-0.0044794+0.0011429i,-0.0046159+0.00095508i,-0.0040143+0.0020204i,-0.0022772+0.0027464i,0.00011136+0.0029129i,0.0018924+0.0025993i,0.0019097+0.0018141i,0.0011199+0.0011687i,0.00010602+0.0010882i,0.00035407+0.0011548i,0.0010061+0.00042904i,0.00062471-0.00048673i,3.3815e-05-0.0013045i,-0.00070122-0.00090582i,-0.0012728-0.00037656i,-0.00099107+0.00016714i,-0.00099857+0.0001955i,-0.0011389-0.00027209i,-0.001063-0.00011739i,-0.00038836+4.5251e-05i,-0.00012421-0.00027135i,-0.00033403-0.00055723i,-6.8707e-05-0.00042471i
0.00042149+0.0011969i,0.00087287+0.0015667i,0.00088125+0.0018557i,0.00041563+0.0006685i,0.0010347-7.3486e-05i,0.00073706+0.00010406i,-6.1814e-05+0.00021193i,-0.00019768+0.00040417i,0.0001013+0.00013188i,-0.00023203-0.00053868i,6.0498e-05-0.00031114i,0.00075445+0.00019642i,4.2362e-05+4.4167e-05i,-0.00053528+0.00028977i,-0.00043692+0.000531i,0.00015913+1.1352e-05i,0.00078461-0.00051052i,0.00032262-0.00052775i,-0.00030155-3.5607e-05i,-0.00017852+0.00065694i,0.00016276+0.00077397i,-0.00021148-0.00012191i,-0.00018201-1.9659e-05i
0.001776+0.00017356i,0.002393+0.00020446i,0.0021071+0.00010929i,0.0011558+0.0003256i,0.00069634+0.00092674i,0.00037822+0.00088075i,0.00021552+0.0005295i,-1.0662e-05+0.0011427i,0.00020812+0.0010469i,0.00029386+0.00012554i,-0.00036326+0.00017947i,-0.00067693+0.00052534i,-6.1669e-05+0.00083847i,0.0001463+0.0010484i,0.00033931+0.00068814i,1.6173e-05+0.00044323i,-0.00049269+0.00018956i,-0.00027829-0.00030191i,0.00012373-0.00032565i,0.00031153-7.2507e-05i,0.00038175-0.00011348i,0.0004436-0.00079187i,2.2124e-05-0.00071095i
-0.00069536-5.5868e-05i,-0.00052424-3.939e-05i,-0.00085309+0.00016929i,-0.0005402+0.00051441i,-0.0001128+0.0011076i,-4.5737e-05+0.0013277i,0.0003946+0.00068433i,0.0013636+0.00066218i,0.00066298+0.00086274i,-7.1464e-05-0.00018857i,0.00019674-0.0011502i,-7.0876e-05-0.00077814i,-0.00079437-0.0004451i,-0.00072401-0.00017219i,-0.00026263+0.000447i,0.00015213+0.00022066i,8.557e-05-3.8294e-05i,8.7462e-05+0.00014404i,4.2189e-05+0.00073429i,-0.00019422+0.000964i,-0.00058035+0.00063472i,-6.1857e-05+2.6324e-05i,0.00061556-0.00032351i
0.00088059-0.00021048i,0.00072252+0.00020168i,0.00046747-0.00011767i,0.000828-0.00037592i,0.00053533-0.00053406i,9.1262e-05+0.00030193i,0.00043243+0.00098646i,0.00090007+0.00084248i,0.00072138+0.00034899i,0.00014724+0.00035257i,4.133e-05-0.00027058i,0.00058848-0.00086965i,3.594e-05-0.00024676i,-0.00026551+0.00016885i,9.9922e-05-0.00015177i,8.752e-05-0.00032128i,-0.00031034+5.8965e-05i,-0.0003917+0.00044522i,7.3635e-05+0.00046052i,0.00031438+0.00021841i,0.00063203-0.00056805i,0.0013066-0.00073175i,0.0014812-0.0006424i
0.00034727-0.0006405i,0.00035472-0.00027347i,-0.00039049-0.00012507i,-0.00098612-0.00049986i,-0.00083464-4.5441e-05i,-0.00036757+0.00074885i,-0.00020715+0.00051186i,2.254e-05-4.0334e-05i,0.00034899-0.00055749i,0.0006485-0.0012525i,0.00077313-0.0014113i,0.00064817-0.00092073i,0.00037014-0.00047923i,0.00024979-0.00076769i,0.00090049-0.00073964i,0.00080872-0.00016249i,0.00058678-0.0002573i,0.00037795-0.00023943i,-0.00019564+0.0002083i,-0.00038322+0.00042251i,-0.00015639+0.00014403i,-0.00016856-0.00019727i,-0.00085961-0.00038179i
-0.00041734+0.00032648i,-0.0004999-0.00043273i,-0.00040561-0.0004961i,0.00010804+0.0005006i,-1.5208e-05+0.00090546i,-0.00050938+0.00064491i,-9.2747e-05+0.0002828i,2.9636e-06+9.1149e-06i,7.5768e-05-0.00031425i,0.0002224-0.00083626i,0.00059674-0.00079172i,0.00053678-6.4141e-05i,0.00019024+0.00038846i,-0.00025452+0.0010157i,-0.0008321+0.0013656i,-0.00031106+0.0010785i,0.00033492+0.00020679i,0.00040774-1.4401e-05i,0.00066685+0.00053779i,0.0003682+0.0004425i,-0.00066521-0.00016234i,-0.0007077-0.0010016i,2.706e-05-0.00075497i
-0.00033459+0.00052026i,0.00022025+0.0015911i,0.00015067+0.0017071i,-0.00044534+0.0011565i,-0.00076719+0.00079406i,-0.00024526+0.0011277i,0.00035764+0.0010817i,0.0006042+0.00029481i,0.00033092-0.00037106i,2.8465e-05-0.00074152i,3.9019e-05-0.00090733i,0.00089428-9.1806e-06i,0.0013103+0.00045823i,0.00052239-0.00074732i,-0.00028981-0.0013352i,-0.00060064-0.00027106i,-0.00014513+0.00040809i,-0.00011225+0.0001214i,7.1395e-06+0.00046499i,0.00018229+0.00065032i,-0.00058132+0.00053079i,-0.00059279+0.00017019i,3.6519e-05-0.00018774i
0.0017888-4.8621e-05i,0.0023274+0.00016301i,0.0017528+0.00063768i,0.0011447+7.2475e-05i,0.0016241+0.0001104i,0.00072686+0.0010951i,0.00014906+0.0014409i,0.00036473+0.00055258i,9.3871e-05-0.0007052i,-8.0745e-05-0.0012606i,-0.00016846-0.0010248i,0.00041448-0.00061759i,0.00084012+0.00023439i,1.1022e-05+0.00079746i,-0.00056461+0.0010566i,-0.00032088+0.0007267i,0.00030483+0.00036296i,0.00021684-7.5053e-05i,0.00072071-0.00067883i,0.0011491-0.00040069i,9.6243e-05+0.00011241i,-0.00068344+4.933e-05i,-0.00035496+2.4545e-05i
0.00013149+0.00092239i,0.0018332+0.000725i,0.0026665+5.4753e-06i,0.0015935-0.00015257i,0.00081961+0.001136i,0.00023991+0.00069378i,-2.9423e-05-5.4964e-05i,3.4438e-05+0.00046078i,0.00055612+7.3378e-05i,0.00050397-0.00028112i,-0.00015089+0.00055091i,0.00022953+0.00080422i,0.00035952+0.00078711i,-0.00010084+0.0019784i,-0.00038364+0.0026097i,-0.0010749+0.0013119i,-0.0013227+0.00086995i,-0.00079478+0.000976i,0.00051243+0.00019643i,0.0010708-0.00084683i,0.0004169-0.00076089i,0.00023077-0.00058194i,-0.00018435-0.00031945i
0.0025875+0.0012173i,0.0021373+0.00080488i,0.0012208-0.00022482i,0.00070738-0.00089045i,0.00018953-0.00028741i,-0.00010857+0.00043043i,-0.00088753+0.00084005i,-0.00026369+0.00080453i,0.00048514+0.00037548i,8.875e-05-0.00050852i,-0.00038931-0.00089068i,-0.0003146-0.00013331i,0.00044498+0.00016631i,0.00049436+0.00025573i,0.00010583+0.00079236i,-0.00063812+0.0010996i,-0.00044134+0.0012613i,-0.00010287+0.0014836i,-0.00018148+0.0016831i,-0.00030747+0.0014671i,-0.00065498+0.00044596i,-0.00034074+0.00010077i,-0.00031985+0.00011828i
