0.00069136-0.0013317i,-0.0004588-0.0022068i,-0.0013136-0.0026924i,-0.0014383-0.0019795i,-0.0016821-0.00098989i,-0.0019362+3.3697e-05i,-0.0016404+0.0005515i,-0.0011256+0.00082532i,4.4639e-05+0.00023891i,0.00053352-0.00036204i,0.0010362-0.0001336i,0.0013863+3.1808e-05i,0.0013956+0.00023204i,0.0010308+0.00051787i,6.8135e-05+0.00031474i,-0.00064691+0.00031251i,-0.0010305-0.0003383i,-0.0005218-0.00060191i,0.00060687-0.00015873i,0.0004502-0.00032577i,0.00013246-0.00041261i,0.00013906+0.00031216i,-0.00021176+0.00095575i
-0.00059813-0.0020736i,-0.00054529-0.0017606i,-0.001601-0.00089149i,-0.00088787-0.00027624i,-6.4018e-05-0.00099215i,0.00059577-0.0020983i,0.00057878-0.0015252i,-0.000426-0.00068273i,-0.001063-0.00027343i,-0.0012445+0.00028069i,-0.00092381-0.00010871i,-0.00050501-0.00036234i,-0.00051947+0.00020166i,-0.0008234+0.00012381i,-0.00058623-0.0005126i,-0.00046265+7.4218e-05i,7.0479e-05+0.00039694i,0.00014607-0.00017815i,-0.00036944+0.00025805i,-0.00088688+0.00053369i,-0.0004418+0.00040875i,0.00052204+0.00080474i,0.0008478+2.3698e-05i
0.0014134-2.719e-05i,0.00028746-0.0011576i,-0.00059181-0.0017707i,-0.00032419-0.001591i,0.0010519-0.0017322i,0.00084758-0.0018219i,0.00012833-0.0013628i,0.00025124-0.00064397i,7.2563e-05-0.00015051i,0.00042443-6.6579e-05i,4.7369e-05+5.4442e-05i,-0.00038589-0.00013358i,5.9117e-05-0.00032706i,0.00013795-0.00029684i,-0.00025078-0.00012996i,5.0094e-05-0.0005048i,-0.00026411+0.00012883i,-0.0010872+0.001125i,-0.0010465+0.0010477i,-0.00063151+0.00066623i,5.1797e-05-0.00017766i,0.0001897+0.00014216i,0.00025748+0.00079798i
-0.0020002-0.00011505i,-0.00093847-0.0013515i,0.0005604-0.00098436i,0.0014639-0.0012973i,0.0012067-0.0018149i,0.0011194-0.0021097i,0.00076145-0.0014622i,-4.7362e-05+2.7459e-05i,-0.00024084+0.0011419i,-0.0002084+0.0014094i,-0.00051704+0.0012561i,-0.00024458+0.00034212i,0.00064726-0.00081992i,0.00077157-0.0004389i,0.00023945-0.0003136i,-0.00052121-0.00070203i,-0.00024226-8.3048e-05i,-0.00053071+0.0004154i,-0.00070135-0.0002616i,-0.00019171-2.3078e-05i,3.4188e-05+0.00060358i,-0.00038013+0.00023116i,-0.00070435-0.00032629i
0.00068601-0.0038701i,-1.9657e-05-0.0026767i,-0.0012221-0.0010521i,-0.0012462+0.00073694i,-0.00074573+0.00050714i,-0.00061196-0.001074i,-0.00031008-0.0015429i,-0.00059254-0.00056438i,-0.00081103+3.43e-05i,-9.573e-06-0.00048633i,0.00038699-0.00036177i,0.00045337+0.00044429i,0.0007826+0.00049723i,0.00010501-0.00020705i,-0.00038079-8.0505e-05i,-0.00044612+0.00036682i,-0.00090348-8.3377e-05i,-0.0006323+0.00057853i,-0.0002621+0.0015973i,6.7076e-05+0.00048784i,1.2535e-06-0.00026951i,7.3389e-05-0.00032088i,-4.0997e-05-0.00044254i
0.00085718-0.00045416i,0.00011183-0.0013403i,-0.0013055-0.0019461i,-0.00066593-0.0014801i,0.00051921-0.00095999i,0.00075005-0.00115i,0.00013504-0.0019337i,-0.00070768-0.001506i,-0.001208-0.00041137i,-0.00090089+0.00023262i,0.00023596+0.00049114i,0.00062916+0.00030554i,0.00020752+0.00072857i,-0.00065575+0.0008373i,-0.00069938+0.00062168i,0.00028816+0.00013023i,0.00076816-2.1694e-05i,5.5909e-05+0.00017857i,-0.00060035+0.00014611i,-0.00087856+0.00056837i,-0.00056318+0.00040078i,-0.00045221+0.00044747i,-0.00016434+0.0001853i
-0.00010404-0.0011049i,0.00030356-0.0019303i,0.0012199-0.00139i,0.00096998-0.00039967i,0.0015817-0.00089976i,0.0015435-0.0014351i,0.00087273-0.0021064i,0.00065306-0.0017367i,0.00095238-0.00041438i,0.0013227+8.6528e-05i,0.00038282+0.00031862i,-0.00013782+0.00042179i,0.00036219-0.00044015i,-2.5983e-06-0.0011827i,-0.00073392-0.00063299i,-0.00014403-0.00019413i,0.00085093-4.1643e-05i,0.00084826-0.00022316i,0.00014964-0.00048572i,0.00067081-0.00073259i,0.001024-0.00067671i,0.00044059-0.00090128i,0.00066017-0.00097789i
-0.0012358-0.00089143i,-0.0013104-0.00074741i,-0.00078674+0.00025618i,-0.00036417+0.00080574i,-0.00055566+0.00036085i,-0.00010197-0.00029213i,0.0003276-0.00055576i,-0.0001255-0.00028208i,-0.000113+0.000222i,0.00029851+0.00061755i,9.4468e-05+0.00065393i,1.5494e-05+4.8744e-05i,0.00068501-0.0002784i,0.00047088-0.00022519i,0.00025248-0.00015335i,-3.5406e-05+0.00039717i,-0.00031255+0.00090785i,-0.00046314+0.00056741i,-0.00092979+0.00041433i,-0.00099876+0.00014669i,0.00040094-7.3031e-05i,0.0008104-7.0769e-05i,-0.00081278-0.00051146i
0.00014762+0.0005977i,0.0013402+0.00045508i,0.0025458+0.00012595i,0.0015151-0.00019655i,0.00031859-0.0010588i,0.00043995-0.0010289i,0.0002455-0.00044631i,-0.0010553+0.00026315i,-0.0015319+0.0008788i,-0.00070269+0.00065391i,-0.0002071-0.00052345i,-0.00039758-0.0013481i,0.00017455-0.0010801i,0.00064146-0.00024845i,0.00033985+8.9106e-05i,0.00049192+5.3784e-05i,-0.00020262+0.00017949i,-0.0010323-0.00030584i,-0.00072425-0.00036981i,-0.00035193-0.00051373i,-0.00060615-0.00081891i,-0.00036535-0.00060402i,6.0328e-06-0.00032656i
-0.0008599-0.00037239i,-0.00096991-0.00024114i,-0.0013084+0.00025852i,-0.00073016+0.00050864i,0.00019681-2.1223e-05i,0.0009572-0.0013649i,0.00111-0.0016507i,0.00036657-0.00082366i,0.00017837+0.00048067i,0.00026489+0.00089048i,-0.00010298+0.00046803i,0.00030332+0.00039864i,0.00046714+0.00062812i,-0.00030379+0.00037781i,-0.00057286-0.00021419i,0.00019322-0.00015547i,0.00054635-9.4865e-05i,0.00028364-0.00023689i,0.00014172+0.00049515i,0.00066255+0.00064786i,0.00071041+0.00010382i,0.00049723-0.00010306i,0.00024617-1.7912e-05i
-0.00098695+8.613e-05i,-0.0014742-0.00059689i,-0.0016105-9.6709e-05i,-0.00087979+0.00057316i,0.00042037-3.8609e-06i,0.0016911-0.0018266i,0.0012601-0.0025818i,0.00078674-0.0014007i,0.00035033-0.00018016i,-0.0002338+0.0013629i,-0.00018835+0.0017755i,0.00010793+0.00049497i,1.2226e-05+0.00010459i,7.9516e-07+0.00019241i,-0.00019647-0.00014208i,-0.00057334-0.00042642i,-0.00032307-0.00072894i,-0.0004357-0.0007344i,0.00014724-0.00032172i,0.00028059-9.0769e-05i,-0.00027237+0.00023119i,-0.00024921+0.00024692i,-0.000433-7.7396e-05i
