0.00069136-0.0013317i,-0.0004588-0.0022068i,-0.0013136-0.0026924i,-0.0014383-0.0019795i,-0.0016821-0.00098989i,-0.0019362+3.3697e-05i,-0.0016404+0.0005515i,-0.0011256+0.00082532i,4.4639e-05+0.00023891i,0.00053352-0.00036204i,0.0010362-0.0001336i,0.0013863+3.1808e-05i,0.0013956+0.00023204i,0.0010308+0.00051787i,6.8135e-05+0.00031474i,-0.00064691+0.00031251i,-0.0010305-0.0003383i,-0.0005218-0.00060191i,0.00060687-0.00015873i,0.0004502-0.00032577i,0.00013246-0.00041261i,0.00013906+0.00031216i,-0.00021176+0.00095575i
0.0014207-0.00099926i,0.00088584-0.0018102i,8.4697e-05-0.0022781i,-0.00020571-0.001873i,-0.00031954-0.0017397i,0.00033063-0.0016081i,0.0011343-0.0015749i,0.00044833-0.00097551i,-0.00035967-0.00052637i,-0.00059077-0.00023767i,-0.00046603+0.00024489i,-5.6968e-05+0.00032257i,0.00027234-0.00045655i,0.00046762-0.00096042i,-0.00029184-0.00056174i,-0.00016181-0.00030186i,0.00037053-9.3575e-05i,-0.00022637+0.00016493i,-0.00042276-3.553e-05i,-0.00019825-0.00012117i,5.8017e-06-0.000381i,0.00058397-0.00044368i,0.0010352+0.00023841i
0.0025697+0.0018652i,0.0026192+0.0010054i,0.0020111-0.0015049i,0.0012844-0.0021862i,0.001944-0.0014783i,0.0029796-0.0010573i,0.0025963-0.00090299i,0.0015944-0.00087746i,-0.00039157-0.00010865i,-0.0010943+0.00056332i,-0.00021388+0.00013197i,0.00050632-0.00038372i,-0.00023968-0.0001179i,-0.001054+0.00021702i,-0.00046902-7.813e-05i,0.00042853-0.00010719i,0.00077878+0.00033425i,0.00041325+0.00065967i,-0.00021558+0.00078446i,0.00023625+0.00030822i,0.00011708-0.00014527i,-0.0010466-0.00056151i,-0.001659-0.0010902i
0.0010385-0.0017622i,0.0011052-0.0026396i,0.00072677-0.0023217i,0.00034685-0.0017388i,0.00095186-0.00084166i,0.0020224-0.00072373i,0.0024497-0.0017326i,0.0014214-0.0016508i,0.00015035-0.00051554i,0.00012299-3.6719e-05i,8.2116e-05+0.00045088i,0.00014061+0.00030412i,0.00033787-0.00051121i,0.00029226-0.0010066i,-1.7422e-05-0.0010372i,1.6648e-05-0.00073215i,0.00023206-0.00017705i,0.00055219-0.00015344i,0.00055293-0.00059962i,0.00024489+0.00010969i,6.8773e-05+0.00068346i,0.00044794+0.00047603i,0.00061823+0.0010624i
-0.0010861+0.0012965i,-3.453e-05+0.00056806i,-0.00039065+0.00053574i,0.00016454+0.00051716i,0.00089508+0.0010471i,0.0010865+0.00095848i,0.0010894+0.00036356i,0.00074985+0.0004728i,-6.4822e-05+0.00073525i,-0.00055381+0.00079386i,-0.00021139+0.00059633i,0.00025926-0.00027691i,0.00028152-0.00049404i,0.00035549-0.00035247i,0.00049521-0.00071875i,0.00063597-0.0012486i,-0.00012195+7.7334e-05i,-0.0010509+0.0010238i,-0.00069685-6.7527e-05i,0.00048043-0.00069986i,0.0009526-0.00025684i,0.00083731+8.1662e-05i,0.00040846+0.00022666i
0.0011818-0.0011247i,0.00017572-0.0030521i,0.00016393-0.0032324i,-0.0011528-0.0018881i,-0.0015721-0.0011924i,-0.00066139-0.0012489i,0.00041666-0.0010973i,0.0012628-0.00051666i,0.0014426-0.00025499i,0.00066755+0.00012538i,-0.00022881+0.0010029i,-0.0007768+0.0010268i,-0.001105+0.0011319i,-0.0013086+0.0010327i,-0.0010365-0.00022133i,-0.00045125-0.00059432i,-0.00035224-0.00010309i,-0.00060723-0.00025637i,-0.00063348-0.00077736i,0.00015313-0.00037992i,0.00035763+0.0003867i,-0.00062732+0.00040288i,-0.0014252+0.00011488i
-0.00036869-0.0017047i,0.00020552-0.0021575i,-0.00045193-0.0026092i,-0.00042138-0.0019146i,0.0010176-0.00061785i,0.0027943-0.0006202i,0.0028003-0.0014041i,0.0011788-0.00085779i,0.00050529-0.00017775i,0.00053529-0.00016505i,-0.000322+0.00054277i,-0.00095794+0.0012604i,-0.00037612+0.0010098i,0.00024187+0.00081928i,0.00032577+0.00078455i,0.00059738+0.00039425i,0.0011474+9.6263e-05i,0.00080499+0.00026161i,2.9128e-05+0.00055369i,-0.00063138+0.00068487i,-0.00031397+0.00096314i,0.00011856+0.00097613i,0.00030994+8.0036e-06i
-0.00048817+0.0012092i,6.2823e-05-0.00036609i,0.0016149-0.0012448i,0.0017366-0.000941i,0.001711-0.00064446i,0.0018597-0.00051991i,0.00099876-0.0010461i,0.00015573-0.0011248i,-0.00024168+1.8236e-05i,-0.00019678+0.000603i,0.00026882-0.00043824i,0.00011802-0.00098391i,-0.00023457-0.00023304i,-0.00031168+0.00098966i,-0.00044141+0.001255i,-0.00034389+0.00076706i,-0.00016209-0.00017661i,0.00016418-0.00090286i,-0.00050506-0.00042945i,-0.00062621+0.00030375i,-0.00015534-0.00018474i,0.00024886-0.00027762i,0.00026728+0.00073772i
0.0016542-0.00081218i,0.0016076-0.0024333i,0.00023795-0.0020647i,-0.0011869-0.0003709i,-0.00087859-0.00016892i,0.00082229-0.00079531i,0.00097637-9.0332e-05i,0.00046631-0.00015614i,0.0005492-0.00041761i,0.00037105-0.00011367i,-1.5804e-05+0.00033669i,-0.00015776+0.00039992i,0.00023321+0.00024774i,0.00067387+0.00049833i,0.0010642+0.00039556i,0.00040284-0.00019679i,-0.00020517-7.5818e-05i,0.00014127-8.423e-05i,0.00051266-0.00085009i,0.00034483-0.00081508i,0.00036231-0.00028347i,0.00030894+0.00019793i,-0.0001712+0.00049825i
-0.0029-0.0033086i,-0.0020109-0.0024794i,-0.0018641-0.00019809i,-0.00093932+0.0018045i,0.00040469+0.0021949i,0.0013745+0.00066344i,0.0012483-0.00082076i,0.00012469-0.00037123i,-0.00021715+0.00013609i,-0.00021625+0.00046442i,0.00017999+0.00094337i,0.0010473+0.00068845i,0.0011617+0.0004513i,0.00064544+0.00046265i,0.00015412+0.00062813i,0.00039559+0.00055463i,0.00048779+0.00072906i,0.00043577+0.00048735i,0.00083354-0.00036921i,0.00081011-0.00012896i,0.00043842+0.00054544i,-0.00028837+0.00033584i,-0.00034682-0.00014516i
-0.00052079-0.0011032i,-0.00026542-0.0020542i,-0.0011832-0.0024886i,-0.0013961-0.0020194i,-0.00055947-0.0015284i,0.00030189-0.0018348i,0.00071398-0.0016552i,0.00050188-0.0011486i,0.00023912-0.0013566i,-0.0001628-0.00029714i,-0.00043658+0.0015633i,-0.00022944+0.0011513i,0.00017861-0.00029281i,0.00027791+0.00035187i,-0.00013811+0.0015659i,-0.00045434+0.0014018i,-0.00051502+0.00085592i,0.00032279+0.00034743i,0.0011488-0.00022779i,0.0010761-0.0007141i,0.00073497-0.00012932i,0.00030841-0.00027669i,0.0001651-0.00073106i
-0.00015867-0.0021503i,-0.00096005-0.0034742i,-0.00096772-0.003026i,-0.00021114-0.0017699i,0.0010352-0.0012987i,0.00139-0.00050799i,0.00020594-0.00050648i,-0.00044272-0.00091911i,-0.00042593-5.1585e-07i,-0.00017561+0.0011196i,0.00058349+0.00083192i,0.00024325+8.545e-05i,-0.00087844+0.00019945i,-0.0010503+0.00059677i,-0.00065523-4.2483e-05i,-0.00031432-0.00019782i,-0.00048289+0.00048409i,-9.478e-05+9.0888e-05i,0.00025285-0.00085847i,7.9591e-05-0.00060193i,0.00043922+0.00013932i,0.00047201+0.0010509i,0.00036813+0.00077262i
-0.0018159-0.00067383i,-0.0011171-0.00079524i,-0.00065906-0.00010569i,-5.9292e-05+0.00089374i,0.0012801+0.001587i,0.0028685+0.0010197i,0.0022838+0.00027523i,0.0010736+0.0004947i,0.00058187+0.0005617i,0.00015425+0.0004656i,0.00057927+0.00084965i,0.00079736+0.00066602i,0.00022489+0.00021285i,0.00011351+0.00050459i,-0.00031527+0.00054667i,-0.00051765+0.00066094i,-0.00047115+0.0009489i,-0.00020567+0.00012413i,0.00052976-0.00017565i,0.00066086+0.00052533i,-0.00020279+0.00086551i,-0.00029767+0.00046321i,0.000698-3.2498e-05i
0.00096983-0.0012869i,0.00024935-0.0024542i,-1.2628e-05-0.0031694i,0.00032659-0.0021415i,0.00033591-0.00069822i,-6.1289e-05-0.00054323i,0.00068794-0.00052155i,0.00093944-0.00026712i,0.00013108-0.00039137i,-0.00032456-0.00028794i,-0.00022064-0.00048675i,0.00017418-0.00084456i,0.00029748-0.0004065i,-0.00043097+0.00017435i,-0.00090358-1.781e-06i,-3.1756e-05+4.3069e-05i,0.00034234+0.00053373i,0.00034035+0.00037181i,-0.00015934-0.00025551i,-0.00036083-0.00013387i,-7.5647e-05+0.00069114i,0.00023693+0.00034002i,0.00028037-9.4809e-05i
-0.0012354-0.0012516i,-0.00102-0.0012723i,3.9747e-05+0.00022526i,0.0012358+0.00075106i,0.0021327-0.00024595i,0.0031356-0.0018931i,0.0027283-0.0012845i,0.00075543-0.00031107i,1.635e-06+7.7564e-05i,0.00045249+0.00010651i,0.00033308+5.6067e-05i,-8.4178e-05+7.0592e-05i,0.00059077-0.0002042i,0.0012987+0.00028853i,0.00076203+0.00079786i,0.00024476+0.0011295i,-0.00038031+0.00078907i,-0.00060726-0.00013255i,-0.00034446-0.00037319i,-0.00040683-0.00043604i,-0.00018533-0.00034476i,-0.00052947-0.00023374i,8.1276e-06+0.00013631i
0.001337-0.0031585i,0.0007686-0.002929i,-0.00068768-0.0028204i,-0.0010588-0.00023792i,0.00060745+0.0020574i,0.0026289+0.00079211i,0.0024099-0.00049128i,0.0011013-0.0013851i,0.00060306-0.0010378i,-0.00033047+0.00028337i,-0.0011371+0.00076603i,-0.00087773+0.0014133i,-6.1783e-05+0.00070189i,-2.9453e-06-0.0007314i,-0.00059876-0.00064656i,-0.00042497+0.00012241i,0.00011244+0.00070188i,0.00018156+0.00076629i,0.00022031+0.00020039i,-0.0001183-4.6057e-05i,-0.0001506+0.00031205i,0.00016191-7.0899e-05i,-0.00055456+2.8666e-05i
0.00022001-0.00010517i,0.00019586-0.0012222i,-0.00051984-0.0014652i,-0.00050713-0.0020496i,0.00032674-0.0019036i,0.00046251-0.0011981i,0.00067235-0.00041988i,-0.00010655-1.5815e-05i,-0.00061164+0.00047834i,-0.00028977+9.4042e-05i,0.00022703-3.1798e-05i,0.00024645-0.00030781i,-0.00016999-0.00095769i,-8.7363e-05-0.00091886i,0.0002497-0.0003709i,0.0003228+0.00028287i,0.00052994+0.00020026i,0.00049834+0.00020508i,0.00022037+0.00013804i,0.00061354-0.00028797i,0.00087941-0.00024138i,0.00061843-0.0003471i,0.00042481-0.00078459i
0.0019707+0.00063164i,0.003221-0.00067552i,0.003204-0.0018302i,0.0013781-0.0016927i,0.00033908-0.00082437i,0.0010371-0.00024863i,0.0018323-0.0002098i,0.0010473+0.00011491i,0.00026662+0.00053286i,0.00074525+0.00025i,0.00022317-0.00053925i,-0.00031011-0.001311i,0.00018749-0.0006111i,0.00010899+8.7142e-05i,-0.00036015+0.00035377i,-0.00017217+0.00076739i,0.00017404+0.0012754i,0.00030443+0.001138i,0.00052077-2.2056e-05i,0.00032206-0.00041849i,0.00037233+2.8535e-05i,0.00053163-0.00018469i,0.00017762-9.374e-05i
-0.00010328-0.00084972i,-0.00034668-0.0014856i,-0.00071667-0.0011378i,-0.00041185+0.00035514i,0.0013548+0.00085681i,0.0030329+2.9887e-05i,0.0018856-1.724e-05i,-0.000284+0.00048825i,-0.00026533+0.00058669i,-0.00041048+0.00095422i,-0.00015613+0.00074501i,0.00089786+0.00058967i,0.0010455+0.00098354i,0.0007334+0.0010511i,-0.0004977+0.00042806i,-0.0015559-0.00036343i,-0.00088328-0.00064956i,6.7278e-06-0.00032344i,-0.0007225+0.00052545i,-0.0010317+0.0015512i,-0.0002955+0.0012588i,0.00017696-7.2243e-05i,0.00082374-0.00056711i
0.00088166-0.0016138i,0.00094506-0.0020704i,0.00048794-0.0019745i,-0.00023169-0.0010918i,0.0008329-0.00088706i,0.0024571-0.0018154i,0.0021432-0.0012197i,0.00056768-0.00043433i,-0.00087284-6.5151e-06i,-0.0011797-4.8815e-05i,-0.00045166+5.541e-05i,-1.3595e-05+0.00062533i,0.00045924-0.0001326i,0.00037808-0.0006302i,0.00017946-0.00043814i,0.00011674-0.00030007i,4.2175e-05-0.00046057i,-0.00014814-0.0002659i,-0.00026383+0.00047643i,-0.00018111-0.00022962i,0.00030293-0.00060517i,0.00064081-0.00020511i,-8.414e-05-0.00016572i
-0.00051875-0.0010933i,-0.00058653-0.0014915i,-8.9119e-05-0.0013216i,-0.00049416-0.00034236i,0.0002847+0.00029429i,0.0019469-0.00016041i,0.001747-0.0005297i,0.00051135-0.00054953i,0.00016499+0.00042392i,-9.065e-05+0.0011606i,-0.00010975+0.00044659i,0.00035774-0.00043959i,0.00038496-0.0003917i,-3.4279e-05+0.00014254i,0.00028006+0.00013343i,0.00035261+0.00022383i,0.00014709+0.00034983i,8.694e-06+0.00055595i,0.00027365+0.00054926i,-0.00018613-3.1121e-05i,-0.00087261-7.2319e-05i,-0.0010916-0.00030738i,-0.00061024-0.00038954i
0.0017261-2.1156e-05i,0.0018917-0.00059801i,0.0019213-0.001115i,0.0017333-0.0013612i,0.0010645-0.0012933i,0.00044604-0.00067591i,0.00074652-0.00048041i,0.00054913-0.0011784i,0.00032575-0.0012407i,0.00043623-0.00077557i,-0.00026081-0.00041315i,-0.00039077-0.00023448i,-0.00018059-0.00050748i,0.00030985+8.9431e-05i,0.00014364+0.000707i,-0.00030638+0.00030155i,-0.00051597-0.00031669i,-0.000108-0.00018197i,0.00021079+4.3717e-05i,0.0003-0.00014619i,0.00023633+0.00052547i,-7.3924e-05+0.00073319i,-0.00035931+0.00023143i
-0.0016043-0.0015001i,-0.0021124-0.0022212i,-0.001383-0.0021175i,0.00062404-0.0010097i,0.001863+0.00037137i,0.0021255+2.856e-05i,0.0017534-0.0010559i,0.0005843-0.00099812i,-3.4028e-05-0.0011259i,0.00030401-0.00079061i,0.00011812-0.00025525i,-9.4895e-05-0.00029828i,0.00040881-0.0008279i,0.00064149-0.00067421i,0.00057516-0.00037329i,0.00024871-2.1586e-05i,0.00021456+0.00081962i,-0.00013928+0.00089954i,-0.00026216+0.00076629i,0.00014098+0.00062086i,-0.00019979+0.00066101i,-0.00041233+0.0004393i,0.00019041+0.00036502i
0.0013252+0.00015391i,0.00089995-0.00042495i,0.00070223-0.0013797i,0.00044237-0.001657i,0.00076702-0.00080135i,0.00090062-0.00086518i,0.00032117-0.0013813i,3.2368e-05-0.0013312i,-0.00033714-0.00061948i,-0.00052356+7.0883e-06i,-0.00068554+0.00043453i,-0.00083828+1.4312e-05i,2.7536e-05-0.0002827i,0.00036966+4.7603e-05i,0.00033601+7.0142e-05i,0.00092627-0.00014029i,0.0011271-2.9664e-05i,0.0007782-0.00018111i,0.00080326+0.00012742i,0.00031751+0.00037596i,0.00021721+0.00026716i,0.00065585+0.00046954i,0.00011141+0.00060128i
0.00036446-0.00093465i,0.001167-0.0011449i,0.00084776-0.00075921i,6.7263e-05+0.00024212i,0.00015877+0.0013372i,0.0010489+0.0012986i,0.0002381+0.0010112i,-0.00082784+0.00048833i,-0.00014607+0.00082507i,-0.00032775+0.001414i,-0.00044982+0.00081098i,-1.8857e-05-6.6095e-05i,-0.00028585-0.00019041i,0.00014117+0.00041422i,0.00075488+0.00010562i,0.00016466-0.00023539i,-2.3807e-05+0.00013802i,0.00058245+0.00066939i,0.0005169+0.00063155i,0.00025902+0.00050012i,0.0010104+0.00032244i,0.0014581+0.00036991i,0.00067248+0.00044398i
-2.1639e-05+0.00045582i,-0.00056594-5.4964e-06i,-0.0005763-0.00062681i,0.00095437-0.00079492i,0.0020294-0.000815i,0.0024651-0.0013233i,0.0024091-0.0012324i,0.0012133-0.00054484i,0.00010281-0.00059953i,-0.00015479-6.5258e-05i,-0.0003883+0.0014175i,-0.0013792+0.0015957i,-0.00079975+0.00087038i,-0.00038109+0.0010454i,-0.0015523+0.00090134i,-0.0012204-0.00020282i,0.00013527-0.00068964i,0.00067575-0.00032856i,0.00028841+0.00014687i,-7.0987e-05-0.00010835i,-0.00022891-7.3454e-05i,-0.00042211+0.00020365i,-0.0002503+4.5402e-05i
0.0026112-0.0024649i,0.0014164-0.0027028i,-0.0003441-0.0030955i,-0.0017415-0.0031445i,-0.0010458-0.0023415i,0.0003575-0.0016073i,0.0016842-0.0012989i,0.0012394-0.00097973i,0.00054966-0.0010742i,0.00028942-0.0008728i,-0.00019215-0.00055912i,-5.1704e-05+0.00024117i,-9.3503e-05+0.00028435i,-0.00013853-0.00096602i,0.00045817-0.00063054i,0.00069256+0.00048043i,-0.00028957+8.3563e-05i,-0.0008082-0.00046486i,-0.0006316-0.0011237i,-0.00046783-0.00080189i,0.00013273+0.00017299i,0.00064177+0.00039774i,0.00029346+0.00013436i
0.0003218+0.00055781i,0.00041019-0.0017255i,0.00063993-0.0018927i,0.0015338-0.0010125i,0.0023758-0.0003741i,0.0026958-0.0010579i,0.0020994-0.0016349i,0.0014128-0.00081099i,0.00077797-0.00016242i,0.00067288+0.0001138i,0.00061162-0.00016907i,0.00046398-0.00036116i,0.00051355-0.00024149i,0.00018147+0.00037887i,-0.00026213+0.00075713i,-0.0010665+0.00068175i,-0.0013101+0.00048111i,-0.00089117-8.2434e-05i,-0.00043971-0.00025722i,-0.00053258+0.0002135i,-0.00090987+5.1459e-05i,-0.00093558-0.00019116i,-0.001121+0.00054195i
0.0026393-0.00099046i,0.00094864-0.0005051i,-0.00067894-0.0014945i,-0.0017695-0.0012604i,-0.001111+7.0555e-05i,0.00097244-1.4168e-06i,0.001723-0.00032999i,0.00071826+3.9269e-06i,0.00010617+0.00045913i,-4.6329e-05+0.00035925i,-8.5632e-05-3.4215e-05i,0.00041689-0.00034838i,6.4784e-05-0.00079741i,-0.00091771-0.00099168i,-0.0012537-0.00047685i,-0.0010213-0.00010926i,-0.00050998+0.00030523i,-9.6259e-06+0.00048839i,0.00042555+0.00051302i,0.00018943+0.001214i,-0.00021911+0.00091415i,-0.00055249-0.00010358i,-0.00043462-0.00042385i
0.0018514-0.00082046i,0.001369-0.0021287i,0.0013798-0.0026039i,0.00070075-0.0024237i,-0.00045563-0.0024744i,-0.00050551-0.0023776i,-0.00022301-0.0016098i,-7.3777e-05-0.00092188i,3.4072e-05-0.00067987i,-0.00036983-0.00059795i,-0.00062039-2.8758e-05i,-0.0010869+0.00097908i,-0.0010626+0.0013096i,-0.00022637+0.00078225i,4.958e-05+9.6418e-05i,0.00017454+6.4187e-05i,-0.00020895+0.00011374i,-0.00086872+8.1488e-05i,-0.00089158+0.00014875i,-0.00045436-0.00034488i,-3.9449e-05-0.00039047i,0.00015016-0.00060828i,0.00035245-0.0010184i
-0.0014169-0.0010791i,-0.0011412-0.00040426i,-8.9555e-05+0.0006209i,0.0014778+0.0013377i,0.0027978+0.0010198i,0.0029597-0.00030972i,0.0023671-0.0011307i,0.0017848-0.00037151i,0.00091352+0.00070282i,0.00051821+0.00077692i,0.00044799+0.00081885i,0.00047494+0.00097508i,0.00081373+0.00055204i,0.001195+0.0002041i,0.00063978-1.8008e-05i,0.00050414-0.00011936i,0.00052727-0.00027929i,0.00023107-0.00012882i,7.8551e-05+0.00011285i,-0.00031347-0.0007664i,-0.00025528-0.0013056i,0.00024604-0.0013156i,0.00011475-0.00076658i
0.0011092+0.00067005i,0.00085835-0.0004594i,0.00027311-0.0015436i,0.00027254-0.0028921i,0.0018105-0.0023213i,0.0031067-0.00095479i,0.0022209-6.0215e-05i,0.00048079+0.00070849i,0.00020041+0.00079245i,0.00075594+0.00081274i,0.0004847+0.00077571i,-0.0004333+0.00010525i,-0.001312-0.0005112i,-0.0012575-0.00040453i,0.00011851-0.00088205i,0.0001624-0.0012613i,0.00017937-0.00090159i,0.00019531-0.00079128i,-0.00065398-0.00037819i,-0.00053857+0.00062997i,2.7819e-05+0.00069865i,-0.00034428-3.4811e-05i,-0.0011892-0.00056627i
0.0025289-0.001762i,0.0025237-0.0017433i,0.0015999-0.00074222i,-0.00022378+0.00061108i,-0.00055622+0.00072916i,0.0012445+0.00028857i,0.0017104+0.00011447i,0.0010669-2.6614e-05i,0.00052992-0.00026088i,0.00035136-0.00074847i,0.00042765-0.00018922i,0.00042549+7.5388e-05i,0.0006604+0.00022625i,0.00088791+0.00077586i,0.00075498+0.00043854i,0.00050704+0.0004462i,0.00035667+0.00059151i,-0.00017481+0.00016058i,-2.3282e-05+0.00012395i,0.00061939-0.00011633i,0.00044175+0.00055145i,0.00017763+0.0014405i,0.00045861+0.0011576i
-0.0011355-0.00065283i,-0.0014735-0.0011537i,-0.0010414-0.0012825i,0.00026518-0.0012034i,0.0020933+0.00022072i,0.0027604+0.00073147i,0.00099309-7.3287e-05i,-5.667e-05-0.0011577i,0.00024742-0.0012465i,0.00034652+0.00015962i,0.00033805+0.00047587i,0.00034564-0.00081748i,0.00044305-0.0012715i,0.00035588-0.00043722i,9.5884e-05+0.00055642i,-8.732e-05+0.00029466i,0.00033521-0.00050818i,0.00081298-0.00036669i,-0.00013063-9.9169e-06i,-0.00076606+9.3433e-05i,0.00025928+0.00051023i,0.00053416+0.00026873i,0.00020952-0.00017305i
-0.0004911-7.8112e-05i,-0.00011611-0.0013347i,0.00023048-0.0010604i,0.0011443-0.001054i,0.0022283-0.0016915i,0.001955-0.0019919i,0.00073401-0.0020398i,-0.00017065-0.0014327i,-0.00070319-0.00071663i,-0.00092354-0.00042128i,-0.00055209-0.00039322i,-0.00092914-0.00040195i,-0.00038224-0.0004198i,0.00040559+0.0002767i,-5.9256e-05+0.00068192i,-0.0006407+0.00022603i,7.8189e-05-0.00055349i,0.0011714-0.0005111i,0.0013249-7.0226e-05i,0.00034245+9.6109e-05i,-0.00018784+0.00031099i,-8.744e-06+0.00021193i,-0.00033683-0.00015707i
-0.002071-0.0017124i,-0.0012162-0.001913i,-0.001669-0.0005873i,-0.0015207+0.0002099i,0.00066711-0.0005461i,0.0024566-0.001271i,0.0023986-0.00096039i,0.00081328+0.00018759i,-0.00037411+0.0013532i,0.00014143+0.0010951i,0.00057152+0.00019539i,0.00037171-0.00028673i,0.0003931+0.00014772i,0.00037791+0.000763i,0.00071499+0.00086336i,0.00041792+0.0007673i,-0.00054335+0.00062762i,-0.00054646+0.00094439i,-0.00053144+0.0010933i,-0.0001609+0.0010154i,0.00012563+0.00054622i,0.00016476-0.00023961i,-1.3655e-05-0.00045795i
0.0013249-0.00035648i,0.0018931-0.00082868i,0.0021945-0.0015829i,0.001501-0.0015781i,0.00049735-0.00058913i,0.00025043-0.00094525i,2.897e-05-0.0010974i,0.0001867-0.0001505i,0.00097197+0.00034604i,0.001048+0.0006009i,0.00060289+0.00080688i,0.00097181+0.00028478i,0.0010747+6.3801e-07i,0.00042087-0.00017084i,0.0004284-0.00025717i,0.0012629+0.00036712i,0.00043416+0.0008245i,-6.9479e-05+0.00062117i,0.00050999-0.00019542i,0.00064607-0.0010684i,0.00049789-0.00014474i,0.00053967+0.00059641i,0.0003329-0.000364i
-0.0012639-0.00047963i,-0.0014464-0.00017444i,-0.00097668+0.00013424i,-0.00072896-0.00050321i,0.00066767-0.0016957i,0.0019145-0.0026875i,0.0020375-0.0026464i,0.0011549-0.0012483i,0.00072993+7.7125e-05i,0.00084383+0.00085583i,-0.00012656+0.0010293i,-0.00032665+0.00047466i,0.00032731+0.00024246i,0.00026825+0.00042749i,-0.00029811+5.3171e-05i,-0.00010949-0.00029686i,-0.00015118+0.00029309i,-0.00029553-0.00025927i,-0.00013225-0.0010953i,-0.00058468-0.0013281i,-0.00024348-0.0010222i,0.00017968-9.5339e-05i,0.00068764-0.0004837i
0.00087448-0.0030755i,0.00090326-0.0026902i,-0.00036644-0.0022357i,0.00032652-0.00094761i,0.0016041+0.00045892i,0.0026099+0.00038729i,0.0023519-0.00044754i,0.0011265-0.00037153i,0.0004813-0.00042408i,-0.00012-0.00048853i,-0.00030542-0.0007987i,0.00036818-0.00022634i,3.9691e-05+0.00057655i,-0.00036642+0.00018368i,-0.00046592-0.00031904i,-0.0011898-0.00036423i,-0.0015809-4.4641e-05i,-0.001582+0.00027656i,-0.00051307+1.3677e-05i,0.00039065-0.00084072i,0.0005731-0.00070368i,0.00043134+0.00024203i,0.0001028+0.00093657i
0.0023684-0.00096539i,0.0015272-0.0016109i,-0.00032752-0.0017325i,-0.0018873-0.0012235i,-0.00059371-0.0015499i,0.0016151-0.0019798i,0.0019997-0.0014991i,0.001031-0.0013734i,0.00037871-0.0011313i,-0.00019158-0.00070676i,-0.00036092-0.00037788i,-0.0002577-0.00033153i,-0.00024148+7.0603e-05i,-7.4709e-06+0.00025127i,0.00021054+0.00023228i,4.0124e-05-0.00024607i,-0.00033325-0.00085943i,-0.00026559-0.00040162i,-0.00011683+0.00048313i,-0.00043626+0.00055769i,-0.00079202-0.0001465i,-0.00028159-0.00026619i,0.00044648-0.00048665i
0.0020811-0.001204i,0.0014207-0.0010664i,0.00031269-0.0023192i,0.00028935-0.0029411i,0.00092448-0.001773i,0.0018513-0.00038437i,0.0017352-3.077e-05i,0.00099498-0.00029366i,0.00042603+8.4214e-05i,5.7232e-05+2.7403e-05i,-0.0001801-0.00024509i,-0.00099138-0.00041655i,-0.00081122-0.00026793i,-6.889e-05-2.9915e-05i,0.0006056+7.0638e-05i,0.00026799+0.00033387i,-0.00050159-0.00036283i,-0.00045986-0.00043065i,-0.00047885-0.00029018i,-0.0011124-0.00072003i,-0.0017551-0.00046277i,-0.00098504+0.0004353i,0.00018151+0.00053933i
0.0012128+0.00083959i,0.001608-0.00035284i,0.00085981-0.00011886i,0.00036955+0.00068869i,0.00052569+0.0001639i,0.0005164-0.001421i,1.1972e-05-0.001259i,-0.00073887-2.6314e-05i,-0.00052376+0.00090561i,0.00040741+0.0016217i,0.00049043+0.0012273i,0.00040254+0.00033705i,-6.2406e-05-0.0003599i,-0.00046866-0.00088403i,0.00010144-0.00068329i,0.00056377-6.1677e-05i,0.00030908-0.00045666i,0.00031128-0.00078356i,0.00064626-0.00038913i,0.00052262+0.00010349i,-8.972e-05+0.00043905i,-0.00064971+0.00034114i,-0.00028081-0.00018608i
0.0029554-0.00047474i,0.0022157-0.0021329i,0.0010093-0.0032706i,0.00045061-0.0036654i,0.0016855-0.0030408i,0.0025069-0.0020263i,0.0020578-0.00063795i,0.0014372+0.00013903i,0.00085851+0.00073577i,0.00077523+0.00059116i,0.00083596+0.000521i,0.00017734+0.00087254i,-0.00069916+0.00051629i,-0.00075312-9.9298e-05i,-0.00020896+0.00051531i,-5.0269e-05+0.0009447i,-0.00027282+0.00024513i,-0.00026278+3.7573e-05i,-0.00071298+0.00052427i,-0.00059213+0.00090274i,0.0003042+0.00017061i,0.00065147-0.00046137i,0.00012126-9.0558e-05i
0.0028251-0.001196i,0.0023871-0.00076577i,0.0019435-0.0005761i,0.00021526-6.021e-05i,4.5315e-06+0.00084028i,0.000817+0.00090107i,0.00072002-3.9542e-05i,0.0010455-0.00063077i,0.001984-0.00079111i,0.0019725-0.00098468i,0.0013963-0.001133i,0.00040536-0.00053709i,-0.00028944-1.3162e-05i,-0.00075372-5.8418e-06i,-0.0016547+0.00026537i,-0.0010395-0.00026281i,0.00018512-0.00083721i,-0.00039213-0.00068893i,-9.7058e-05-0.00035102i,0.00078389-0.00021643i,-1.4638e-05-0.00054473i,-0.00054906-0.00048626i,0.00044851-0.00015881i
