-0.0040511+0.00050719i,-0.0052067+0.00066533i,-0.0042025+0.0037523i,-0.0017366+0.0045486i,-2.339e-06+0.003823i,0.0003372+0.0025569i,-0.00056355+0.0019788i,-0.00025875+0.0021985i,0.00088723+0.0019479i,0.0016317+0.0021994i,0.0017534+0.0019464i,0.0010388+0.0003567i,0.0007506-0.00085663i,0.00048055-0.00066988i,0.00013708+2.351e-05i,5.6501e-05+0.00065145i,0.00022555+0.00082936i,0.00021809+0.00089924i,-9.3879e-06+0.0011391i,0.00018829+0.0012356i,0.00038706+0.00020809i,9.3241e-05-0.00084701i,2.9294e-05-0.0012388i
0.0027597-0.00053456i,0.0028117-0.0006942i,0.0021748-0.00017997i,0.00049822-9.0699e-05i,-0.0007976-0.00087798i,-0.0010288-0.001825i,-0.00029289-0.001217i,0.00015073-4.3571e-05i,-0.00018739-0.00053633i,-0.00035392-0.00098592i,-0.00055603-0.0005665i,-0.000186+0.00031375i,0.00017306+7.5912e-05i,-0.00018686-7.8649e-06i,-6.8073e-05+0.00022293i,0.00018831-0.00032722i,0.00039203-0.00063111i,0.00043792-0.00027507i,0.00027575+2.7012e-05i,-0.00012711+0.00014196i,7.5286e-05-0.0001316i,0.00029928-9.8135e-05i,-0.00013532-2.7416e-05i
-0.0021676-0.0010527i,-0.0032733-0.00061877i,-0.0027304+0.00052831i,-0.0014909+0.00059083i,-0.00085006+0.00057083i,-0.00072676+0.0002388i,8.0333e-05-0.00093666i,0.00022455-0.00067685i,-6.3316e-05+0.00051257i,0.00023848+0.0013742i,0.00068488+0.0017605i,0.00029331+0.00077045i,0.0001257-0.00035352i,-9.5087e-06-0.00032192i,-0.00039614-0.00031764i,-0.00062707-0.00042248i,-0.00027754+9.6643e-05i,-0.00011602+0.0004295i,-0.00022062-0.00013002i,-0.00035361-0.0011863i,5.0843e-05-0.00092615i,0.00025273-0.0004685i,0.00066659-0.00016061i
0.0004179+0.002598i,0.0010606+0.0026949i,0.0012222+0.0023032i,0.00079329+0.0013365i,0.00090316+0.00013751i,0.00060324-0.00055898i,-0.00058727-0.0005409i,-0.00078061+0.00015893i,-0.00018407+0.0008324i,-0.0001777+8.4771e-05i,-1.4212e-05-0.0010786i,0.00068985-0.00097603i,0.00057059-0.00059734i,-0.00065621-0.00054661i,-0.00091091+0.00044851i,-0.00045457+0.001149i,-3.1549e-06+0.00025382i,0.00056111-0.00049529i,0.00066829-0.00049708i,0.0004304+7.1952e-05i,-0.0003114+0.00065855i,-0.00067611+0.000639i,-0.00023808+0.00056059i
-0.0015602+0.0026952i,-0.0007939+0.0023595i,0.00082742+0.0034833i,0.0019795+0.0028138i,0.0019597+0.00056967i,0.0011773-0.0011148i,-0.00021354-0.0012099i,-0.0011456-0.00088441i,-0.0012547-0.00030291i,-9.9467e-06-0.00015533i,0.00069246-0.0002285i,0.00074906-0.00035928i,0.00031154-0.00088482i,-2.9361e-05-0.0007471i,-7.5172e-05-0.00014628i,-0.00055718-0.00031562i,-0.00035155-0.00036408i,-0.0002867+0.00042252i,0.00011314-1.2348e-06i,0.00079367-0.00061826i,0.000181+1.1198e-05i,-0.00088341+0.0007442i,-0.0014037+0.00081538i
-0.0019374-0.0021973i,-0.0025044-0.0019611i,-0.0034779-0.001145i,-0.0031992+0.00046245i,-0.0012818+0.0012138i,0.00017212+0.0010769i,-6.5151e-05+0.00028005i,-0.0010888+2.1883e-05i,-0.00089015+0.0003806i,-0.00084658+0.00058774i,-0.00082886+0.00052323i,3.5007e-05+0.00050978i,0.00069205-0.00048796i,0.00083282-0.0015404i,0.00064417-0.00086232i,0.00043368+0.00022241i,7.4341e-05+0.00014942i,-7.6119e-06-0.00040439i,0.00025853-0.0003564i,0.00043734-5.5003e-05i,0.00022693-0.00010892i,-0.00023698-9.1835e-05i,-0.00034911-7.8852e-05i
-0.00064953+0.00070059i,0.00037996-0.00018429i,0.00062865-0.00050687i,0.0010396+0.00017538i,0.0020242+0.00084943i,0.0016656+3.3099e-05i,0.00014284-0.00094898i,-0.00053442-0.00070267i,-0.0004282+0.00044913i,0.00013247+0.00029458i,0.00018975-0.00028505i,0.00046395-6.6673e-05i,0.00086985-0.00043701i,0.00082703-0.00068037i,0.00062317+7.4044e-05i,0.00014202+0.00033048i,0.00016686+0.00048387i,-4.0927e-05+0.00097247i,-0.00089514-0.00012882i,-0.00060712-0.00070276i,0.00058083-0.00072412i,0.0001799-0.0010078i,-0.00020882-0.00038932i
-0.0022176-0.00073033i,-0.0029544-0.00040908i,-0.0033159+0.00017304i,-0.0033029+0.00059066i,-0.0024733+0.0015192i,-0.00067142+0.0013855i,0.0004229-0.00049391i,0.0006595-0.00089857i,4.3105e-05-0.0006407i,-0.00027754-0.00051653i,0.00028325+0.00067315i,2.3945e-05+0.0010628i,0.00030422+0.00063155i,0.00090998-0.00049901i,0.0005415-0.0016413i,0.00024765-0.0012607i,-0.00030805-0.00050737i,-0.0005218-1.7143e-05i,-0.00012431+0.00030991i,6.1898e-05+0.00044375i,-0.0003287+0.00047767i,-0.00049975+0.00028906i,-0.00035758+0.00032499i
0.00041844-0.00086436i,0.001031-0.00059534i,0.0014841+0.00022038i,0.00091887+0.00061908i,-0.00016371+0.00059626i,-0.00088506+0.00054242i,-0.0012819+0.00034059i,-0.0010345-0.00023336i,-0.00081288-0.00020399i,-0.0011103+0.00017834i,-0.0012495+0.00020756i,-0.00050763+0.00032534i,-0.00011179+6.6265e-05i,-0.00031373-0.00046833i,0.00017015-5.4754e-05i,5.0856e-05+0.00036713i,-0.00034085-2.7455e-05i,-0.00014397-0.00070752i,0.00038003-0.0008098i,0.00034835-0.00054449i,0.00030935-0.00039715i,0.0002209+4.4685e-06i,-0.00062287+0.00023937i
0.00043345-8.8905e-05i,-0.00081337+0.00047511i,-0.0015711+0.0003849i,-0.0010847-0.00049996i,-0.00040307-0.00092551i,7.7996e-05-0.00085022i,0.00065015-0.00018354i,0.00036827+0.00024602i,-0.00077736+0.00039665i,-0.00076323+0.00060468i,-0.00069022+0.00052344i,0.00019842+0.00045708i,0.0013032+0.00081342i,0.00056536+0.00036248i,-0.00081258+0.00015127i,-0.0015146+0.00054249i,-0.0010961+0.00045519i,-0.00039453+0.00035454i,-0.00071003+0.00084601i,-0.00062579+0.00082657i,3.83e-05+0.00035027i,-0.00049906+0.00039422i,-0.00080481+0.00056692i
-0.00048389-0.00052052i,0.00012711-0.001414i,0.0018312-0.0010796i,0.0011228-0.00093332i,0.00032625-0.0011303i,0.00054906+6.3517e-05i,0.00057342+0.00061497i,2.0602e-05+0.00036508i,-0.0003205+0.00063468i,-0.00029202+0.0005937i,-0.00024783+8.2395e-05i,-2.9603e-05-7.7172e-07i,0.00058069+0.00034939i,0.00020982+0.00057676i,0.00037654+0.00057511i,0.0004694-0.00021809i,-4.1288e-05-3.7833e-05i,5.8178e-05+0.00085035i,8.4131e-05+0.0010058i,0.00018976+0.00064835i,-0.00051183+0.00062728i,-0.0010657+0.00050388i,-0.00043368-3.9168e-05i
-0.0012672-0.00076951i,-0.00070612+0.00019092i,-0.0010516+0.00073176i,-0.0013974+0.0003561i,-0.0011494+0.0002168i,-0.0008394+7.2018e-05i,-0.0016287-0.00045193i,-0.0014855-0.00011635i,-0.00024002+0.00047943i,0.00072762+0.00062218i,0.0010758+0.00036633i,0.00073669+0.00031548i,0.0005108+0.00032546i,0.00063527+1.9167e-05i,0.00040314+0.0001161i,0.00018234+0.00045323i,0.00062157+0.00015981i,0.00098628-0.00031255i,0.00021266+0.00025664i,-0.00034899+0.0002622i,-7.8333e-05-0.00064312i,-0.00029876-0.00090279i,-0.00037549-0.00046581i
-0.0010789-0.0001255i,-0.0014572+0.00080742i,-0.0015573+0.00059273i,-0.0008998+0.00058911i,-0.00037336+0.0010126i,-9.131e-05+0.0009214i,0.00033158-0.00026562i,-0.00012314-0.00089301i,-0.00096595-0.00017101i,-0.00086464-0.00044244i,-0.00043977-0.00057081i,-0.00041495-0.00014771i,5.5006e-05-0.00031283i,-4.9719e-05-0.0004325i,-0.0010241-0.00083581i,-0.0011087-0.00083824i,-0.00037662+7.9253e-05i,-0.0002638+9.5527e-05i,6.4509e-05-0.00028558i,-7.5554e-05-0.00063622i,6.0299e-05-0.00073637i,0.00061607-0.000129i,6.0197e-05+1.2592e-05i
