-0.0040511+0.00050719i,-0.0052067+0.00066533i,-0.0042025+0.0037523i,-0.0017366+0.0045486i,-2.339e-06+0.003823i,0.0003372+0.0025569i,-0.00056355+0.0019788i,-0.00025875+0.0021985i,0.00088723+0.0019479i,0.0016317+0.0021994i,0.0017534+0.0019464i,0.0010388+0.0003567i,0.0007506-0.00085663i,0.00048055-0.00066988i,0.00013708+2.351e-05i,5.6501e-05+0.00065145i,0.00022555+0.00082936i,0.00021809+0.00089924i,-9.3879e-06+0.0011391i,0.00018829+0.0012356i,0.00038706+0.00020809i,9.3241e-05-0.00084701i,2.9294e-05-0.0012388i
0.002285-6.9719e-05i,0.0025374+0.00027959i,0.001371+0.00018466i,0.0005168-0.00031479i,0.00061796-0.00082689i,0.00018661-0.0010385i,-0.00016463-0.00086982i,-0.00073491-1.2298e-05i,-0.0010149+0.00034486i,-0.00028317+0.00051726i,6.2147e-05+0.0012417i,-0.00019039+0.0010855i,-0.00052664+0.00080486i,-0.0008833+0.00057661i,-0.0012756-6.2468e-05i,-0.00097376-0.00051699i,-0.00029489+0.00037356i,-0.00055414+0.00074881i,-0.0002785+0.00042183i,0.00013338+8.3515e-05i,0.00046046+0.00015514i,0.00014604+0.00022217i,5.8334e-05-0.00055089i
0.00158-0.0012453i,0.0012395-0.0020527i,0.0010514-0.0023632i,0.00035007-0.0013353i,-0.001087+0.00063284i,-0.0013118+0.0014288i,-0.00062341+0.0002851i,-0.00071095-0.00064886i,-0.00077259-0.00021826i,-0.00043558+0.00017413i,-0.00038792+0.00028308i,-0.00077544+0.00043248i,-0.00091306+0.00060167i,-0.00017794+8.0069e-05i,0.00048862-0.00084378i,0.00093688-0.00094184i,0.00060942-0.00053153i,0.00022035-0.00063771i,0.00019107-0.00031867i,0.00052273-0.0001268i,0.00027946+1.505e-05i,-0.00052132+0.0003528i,-0.00058827+0.0004295i
-1.355e-05-0.0011898i,-0.00091062-0.0010455i,-0.0013722-0.0010568i,-0.00068685+0.00028263i,-0.00041606+0.0014521i,-0.00063807+0.0014821i,-0.0006683+0.00063749i,-0.00076822-0.00038244i,-0.0010164-0.00047022i,-0.0010302+0.00019935i,-0.00054183+0.0010109i,0.00031923+0.00058307i,0.0010391-0.00049872i,0.0012555-0.00099767i,0.00086875-0.00062376i,0.00038546+0.00016306i,3.5777e-05+0.00037727i,-0.00071243-0.00023526i,-0.0005033-0.00097562i,0.00015461-0.00041289i,-0.00036711+0.00051703i,-0.00040956+0.00021281i,-0.00018145-0.00042628i
0.0010801+0.00082118i,0.0028246+0.001027i,0.0023166+0.0010152i,0.0011131+0.00039014i,0.00081613-0.00023923i,0.00046917-0.00040068i,7.9298e-05-0.00077461i,-0.00016264-0.001029i,2.94e-05-0.00012966i,0.00093831+0.00039894i,0.00075617+0.00095103i,-8.213e-05+0.0010657i,-0.00048588+0.00010278i,-0.00085515-0.0001358i,-0.00033217+0.00024103i,0.00039602-9.0807e-05i,0.00016348-0.00020637i,0.00030406+0.00095467i,0.00025883+0.001015i,-0.00016042+0.00030242i,-0.00048784-0.00035423i,7.5651e-05-0.00047146i,0.00011319-0.00039011i
0.0022555-0.00012214i,0.0023176-0.00058283i,0.0018202-0.00049891i,0.00069417-0.0013542i,-0.00041564-0.001204i,-0.0011921-0.00027442i,-0.0019299+9.06e-05i,-0.0013897+4.574e-05i,-2.8068e-05-0.00074395i,0.00031161-0.0010447i,-0.00052671-0.00051524i,-0.00088907-0.00035312i,-0.00033896+0.00035517i,-0.00019571+0.0011615i,-0.00012154+0.0006956i,2.767e-05+0.00028741i,-0.00014198-7.0319e-05i,-0.00058318-2.5729e-05i,-0.0005553-1.9707e-05i,5.3946e-05-8.3228e-06i,-9.8539e-05+0.00031875i,-0.00012235+0.00032265i,0.0007476+0.00031171i
0.0002043-0.0017825i,-0.00091603-0.0021251i,-0.0019865-0.001255i,-0.0017058+0.00099285i,-0.0012801+0.0021602i,-0.0010545+0.0014041i,-0.0011533+0.00059342i,-0.00065316+0.00045499i,0.00031537+0.0005541i,0.00054601-0.00010376i,-0.00025284-0.00031258i,-0.0010678+0.00017451i,-0.001041+0.00019501i,-0.00043682-0.00026728i,2.3688e-05-0.00066716i,0.00014149+6.3945e-05i,0.00050719+0.00075465i,0.0012148+6.2118e-05i,0.0012669-0.0006348i,0.00045866-0.00078302i,-0.00021178-0.00038135i,5.786e-05-0.0001235i,0.00057478-0.00037837i
0.00051025+0.0019157i,0.0013937+0.0014047i,0.002883+0.00070002i,0.0027456+0.00026898i,0.0015515+0.00049423i,0.0011109+0.00073191i,0.0014128+0.0005086i,0.0013701-0.00010857i,0.001079-0.00011369i,0.0009882+0.00077309i,0.0011788+0.00062891i,0.0010483-0.00051093i,-1.9169e-05-0.00059855i,-0.00094919-0.00011003i,-0.00096851+0.0001668i,-0.00041579-0.00034526i,-7.2651e-05-0.00051679i,-0.00040531+0.00022631i,-0.00038147+0.00079062i,0.0005724+0.0010601i,0.00086069+0.0014929i,0.00065746+0.00096484i,0.00046382+0.00019581i
0.00051074-0.0019647i,-0.00016113-0.0011367i,-0.0017656-0.00040437i,-0.0016579-0.00036841i,-0.00067142-0.00014791i,-0.0011626+2.6164e-05i,-0.0017663-0.00083959i,-0.0011051-0.00091217i,-0.00065212-0.00040333i,-0.00067251-0.00068167i,-0.00071997-0.00022787i,-8.324e-05-6.9572e-05i,-0.00015608+8.098e-05i,-0.0003619+6.9673e-07i,-5.1032e-05+5.6467e-05i,0.00026914+0.0002145i,-5.5969e-05+1.8713e-05i,-0.00022741-0.00065142i,0.00023425-0.00079308i,-1.0204e-05+6.3495e-05i,-0.0012116+4.3719e-05i,-0.0011585-0.00015054i,-0.00055018-0.00010413i
-0.00071483+0.0004377i,-1.468e-05-0.0004144i,0.00055209-4.053e-05i,0.00043295+0.00012581i,-0.00014441-1.4449e-05i,-0.00079699+0.00021424i,-0.0011214+0.00073773i,-0.00058628+0.00075271i,-1.1315e-05-0.00018353i,-0.00019778-0.00077421i,-0.00043455-0.00070518i,0.00010492-0.0005253i,0.0007804-0.00014437i,0.00066884+4.8374e-08i,0.00020609-7.07e-05i,0.00014566-0.00014095i,-0.00013958+0.00020375i,-0.0007924+0.00099915i,-0.00071957+0.0003393i,-6.2083e-05-0.00015142i,0.00023711+0.00015472i,0.00027415-0.00018299i,0.0003512-0.00024882i
-0.00064737-0.0014758i,-0.00013694-0.0020522i,0.00071812-0.00069008i,0.00077218+0.00089647i,0.00046713+0.00090429i,0.00074118+0.00057585i,0.00050698+0.00016496i,-0.00046357-0.00011285i,-0.00050711-0.00064969i,-0.00028442-0.00031734i,-7.6319e-05+0.00068324i,0.00023606+0.0011398i,0.00024693+0.0011684i,0.00024974+0.00034317i,0.0009201-1.5448e-05i,0.00049012+0.0005887i,-0.00063681+0.00024824i,-0.00067625-0.00012144i,-0.0001089+0.00034701i,0.00024273+0.00046493i,0.00069711-0.00086606i,0.00051623-0.0012068i,0.00018324+0.00023988i
-2.8442e-06-0.0025127i,0.00018903-0.0018435i,-0.0011237-0.0013116i,-0.0027752+0.00037483i,-0.0018697+0.0013718i,-0.00038342+0.00076074i,8.0098e-05+0.0005353i,-0.00027824+0.00040205i,-0.00057815+8.9715e-05i,-0.00054076+0.00056064i,-0.00014645+0.00093862i,-1.1441e-05+0.00041787i,3.9776e-05-0.00038772i,0.0003208-0.0003598i,-7.2048e-05+0.00032477i,-3.1989e-05+0.00073148i,-1.8283e-05+0.00055971i,-0.00024267+0.00015236i,-0.00020687+0.00049391i,-0.00057114+0.00038612i,-0.00069547-0.00013911i,-0.00011487+0.00038801i,9.3952e-05+0.00040262i
6.3782e-05-0.0014534i,9.0556e-05-0.00095118i,-0.0001385-0.0013556i,-0.00010713-0.00048687i,-2.153e-05+0.001606i,-4.7739e-05+0.0018501i,-0.00025747+0.00106i,-4.5751e-05+0.00030347i,-0.00015867-6.7873e-05i,-0.00034773-0.00014319i,-0.00023723+0.00018413i,-0.00046023+0.00053965i,-0.0006172+0.00059729i,-0.00017836+0.00043259i,0.00042153-0.00042816i,-6.6477e-05-0.00052779i,-0.00072853-0.00035762i,-0.00052898-0.00077304i,-0.00011868-0.00064066i,-1.6726e-05+0.0004409i,-0.00029134+0.00094679i,-0.00050747-4.8308e-05i,-0.00071192-0.00037082i
0.0018775-0.00037885i,0.0018966-0.00071549i,0.0018532-0.00099948i,0.0011952-0.0011514i,0.00015281-0.0013992i,-0.00055756-0.0010101i,-0.0006643-0.00046103i,-0.0004442-0.0007446i,0.00019635-0.00059797i,-0.00017638+1.7992e-05i,-0.00098658-0.00064501i,-0.0004991-0.00073976i,8.7581e-05-0.00043106i,0.00047498-0.0011943i,0.00050802-0.00090205i,-3.2994e-05+2.0619e-05i,-0.00022332+0.00060447i,-0.00019727+7.1265e-05i,0.00034119-0.00052293i,0.00030917-7.0253e-05i,0.00047611+2.0364e-06i,0.0006095+0.00039378i,-7.3021e-05+0.0012096i
0.0010162-0.00011225i,0.0013485-0.00055361i,0.0013992-0.0012823i,-0.00023806-0.0010627i,-0.0018985-0.00045192i,-0.0015346-0.00015599i,-0.00078912-2.1917e-05i,-0.00036777+0.00022777i,-3.2893e-05+0.00028739i,-0.00011453+8.5502e-05i,-0.00036852-6.8998e-05i,-1.8418e-05-6.3859e-05i,-0.00026592+0.00018819i,-0.00028426+0.00042622i,-3.2379e-05+6.2995e-05i,0.00032387-0.00051712i,0.00049361-0.00048385i,0.00025377-0.00049732i,-0.00014538-0.00035486i,0.00050665+7.0551e-05i,0.00097636+0.00060328i,0.00048854+0.00018664i,0.00041069-0.00072732i
0.0026492-0.0031936i,0.0018297-0.0032419i,-0.00029409-0.0029746i,-0.0018084-0.00089451i,-0.001743+0.0010079i,-0.001911+0.0014112i,-0.0019434+0.0015446i,-0.0013212+0.00048436i,-0.00073285-0.00061618i,-0.00082633-0.00045531i,-0.00064696+0.00017516i,4.6211e-05+0.0013668i,-0.00014436+0.0017521i,-0.00025764+0.00074706i,0.00024908-0.00029189i,0.00010439-0.0012336i,-0.00014993-0.00094586i,8.8168e-05-0.00045378i,-0.00019853+2.6492e-05i,-0.00042876-0.00029705i,2.2488e-05-0.00035558i,-0.00040491-0.00021i,-0.0011198-0.00025075i
0.00027738+0.0016016i,0.0011594+0.0010632i,0.0024101+0.00030127i,0.0024055-0.00027632i,0.0019064-0.00042292i,0.0013664+2.214e-05i,0.00067224+0.0004746i,4.1305e-05-4.7581e-05i,-0.00017102-0.00065787i,6.7159e-05-0.00017706i,6.3675e-05+0.00054035i,3.9733e-05+0.0009127i,-0.00013818+0.00048335i,-0.00028216-6.5143e-05i,-0.00027683-0.00062912i,-0.00085828-0.0012988i,-0.00089492-0.00058833i,-0.00055494-0.00014056i,-0.00031655-0.00047301i,-0.00014678+0.00010001i,-0.00012975+0.00046006i,0.00047588+6.1045e-05i,0.00065865+0.00017834i
-0.00022583+0.00025753i,9.9428e-06-0.00059725i,-0.00040032-0.00036927i,-0.00078353+0.00034578i,-0.00091956+0.00025877i,-0.00048249-0.00054304i,8.8758e-05-0.00085384i,0.00037707+0.00010288i,0.00040546+0.00072833i,-0.00038721+4.0018e-05i,-0.00090951-0.00011041i,-0.00084399+0.00066896i,-0.00024435+0.00024915i,0.00036317-0.00029751i,-0.00023113+0.00082141i,-0.001536+0.001184i,-0.0015083+0.00042265i,-0.001106-9.3921e-05i,-0.0006823-0.00032756i,-0.00023745-0.00061272i,-0.00023731-0.00037646i,-0.00012036+0.00064659i,-0.00012876+0.00038052i
-0.0010437-0.0020492i,-0.0020863-0.0026134i,-0.0023806-0.0022008i,-0.0020094-0.00086335i,-0.0015907+0.00048216i,-0.0010578+0.0012789i,-0.00042232+0.0017132i,-0.00021548+0.0011889i,-0.0006029+0.001064i,-0.00038145+0.00065135i,0.00014312+0.00012038i,0.00064554+0.00016771i,0.00087862+0.00051923i,0.00043669+0.0006816i,7.7874e-05+0.00056077i,0.00015771-5.3142e-05i,-0.00040956-0.00029595i,-0.00088633-0.00017321i,-0.00090335-0.00044979i,-0.00062564-0.00024403i,-0.00012994-0.00042738i,-0.00015253-0.00047488i,-0.00014433-1.3206e-05i
0.0017053+0.00018489i,0.0007387-0.00027842i,0.0013685-0.00036767i,0.00067099-0.0011756i,-0.00012626-0.0020032i,-0.00077139-0.001775i,-0.0014466-0.0015495i,-0.00047751-0.00050675i,0.0005765+0.00064562i,0.00046138+0.00051527i,4.2558e-05-1.2301e-05i,0.00018867-0.00011525i,0.0002075+0.00013466i,-0.00032419+1.6508e-06i,-0.00058828-0.00036629i,-0.0002646-0.00053995i,2.5137e-06-0.00068106i,0.00027092-0.0010949i,-5.5487e-05-0.00052244i,-0.00083407+0.00039387i,-0.000453+0.00027624i,-0.00026403-0.00026646i,-0.00067082+8.8281e-05i
0.0010385-0.00067735i,0.0006783+0.00024095i,-0.00038525+0.0001121i,-0.00078587+0.00048089i,-0.00064541+0.0016057i,-0.00078566+0.001412i,-0.00064765+0.00041304i,-0.00059934-0.00033737i,-0.00060245-0.00047877i,-0.0006369+5.032e-05i,-0.0011083-0.00011404i,6.1987e-05-0.00029878i,0.0017057+0.00046324i,0.00055314+0.00030949i,-0.0010071-0.00019022i,-0.0010647-0.00063618i,-0.00041762-0.00059418i,-0.00011609+0.00034936i,0.00020576+0.00072929i,0.00061555+0.0004695i,0.00043693+2.4648e-06i,-1.036e-06-0.0013605i,4.4638e-06-0.0012946i
0.00155-0.0010823i,0.0016914-0.0015081i,0.00041845-0.0021468i,-0.0010008-0.0019749i,-0.0013588-0.0010237i,-0.0012831+0.00044813i,-0.0011772+0.00069091i,-0.00044584+0.00035887i,0.00022412+2.9263e-05i,-0.00042241-0.00081357i,-0.00023373-0.00091823i,0.00071916+7.6763e-05i,0.00058805+0.00065625i,9.7827e-05+0.00019171i,-0.0004344-7.0783e-05i,-0.0010536-0.00043802i,-0.00054624-0.00097719i,3.9126e-05-0.0014766i,0.00071978-0.0010402i,0.0011162-8.1184e-05i,9.2947e-05+9.237e-05i,-0.0005526-0.0001528i,-0.0006515+0.00042667i
0.0025766+0.0018329i,0.0013159+0.0016958i,0.00057956+0.0013816i,0.00083598-0.00028489i,0.00040563-0.0013007i,-0.00097657-0.00045377i,-0.001282-9.4311e-06i,-0.0010402-0.00027626i,-0.00053081-0.00028129i,4.0984e-05+6.4183e-05i,-0.0002332+0.0003754i,-0.00012444+0.00043834i,9.1102e-05+0.00049485i,-4.6306e-06+0.00084007i,0.00071592+0.00038942i,0.0010209+0.00021039i,0.00068301+0.00081396i,0.00041379+0.00037898i,-4.3306e-05-0.00013737i,-0.00042932+3.6454e-05i,-0.00054325-3.7742e-05i,-0.0010243-9.3192e-05i,-0.00083429-0.00043426i
8.3568e-05+0.0017654i,0.00048754+0.00051119i,0.0021125-0.00061723i,0.0018999-0.001286i,0.00028294-0.0018242i,-0.00099939-0.0011685i,-0.0014004-0.00053486i,-0.00075973-0.00024919i,0.00042262-0.00040026i,0.00033201-0.00090641i,0.00012752-0.00081713i,0.00021078+4.4651e-05i,-0.00030485+0.00069695i,-0.00067254+0.0010406i,-9.0678e-05+0.0012095i,0.0001456+0.0010798i,-0.00017505+0.00041967i,-7.0153e-05+0.00046779i,7.8566e-05+0.00054124i,0.00064683+0.00040521i,0.00090472+0.00047251i,-0.00021051+0.0011136i,-0.0010244+0.0010838i
-0.00047861+0.00073892i,-0.00069673+0.00039918i,-0.0013478+0.0015133i,-0.0012774+0.00078751i,0.00034817+0.00054071i,0.00019368+0.00050899i,-0.0014052+0.00040897i,-0.0015166+0.00036876i,-0.00034336+0.00012631i,0.00030402+0.00027974i,0.00075561+0.00012921i,0.0010604-0.00015018i,0.0007364+0.00010735i,0.00092125+0.00013107i,0.0010069-0.00065723i,0.00047339-0.00078616i,0.00043705-3.4716e-05i,0.00055232+0.00070534i,0.00067667+0.00050264i,0.00031543+0.00015836i,6.8615e-06-0.00013i,-1.7331e-05-0.00029708i,-4.331e-05-0.000333i
0.00029455-0.00043818i,0.0012266-0.00026431i,0.0020382+0.00058151i,0.0023589+0.00055208i,0.002201+0.00026198i,0.0013816-0.00024191i,0.00060939-0.00034337i,-0.00012346-3.4084e-05i,-0.00019522+0.0012504i,-0.00055135+0.0016895i,-0.00067506+0.00055566i,-0.0003198-8.4352e-05i,0.00014127-0.00019367i,0.00012181-0.00046528i,-0.00017939-0.000405i,-0.00048614-0.00070978i,-0.00076389-0.0017549i,-0.00076627-0.0018018i,-0.00066787-0.00080211i,-0.00032336-0.00013022i,0.00042127+0.00028784i,0.00078413+0.00026988i,0.00030531-5.572e-05i
-1.1874e-05-0.0011507i,-0.0008622-0.0010359i,-0.0022288-0.0013068i,-0.0031923-0.00052764i,-0.0024133+0.0003243i,-2.2807e-05+0.00056211i,0.00096229+0.00037214i,-1.0556e-05-0.00018892i,-0.00055712-0.00083739i,-0.0012028-0.00044964i,-0.0011352-7.4169e-05i,4.7351e-05-8.301e-05i,0.00054073+0.00017119i,0.00037266-5.9082e-05i,5.2653e-05-0.0002953i,-8.2148e-06-7.238e-05i,0.00041436-8.6942e-05i,0.00026343+0.00024925i,-0.00024163+0.00015399i,0.00030532-0.00058904i,0.00016869+0.00025342i,-0.00057872+0.00075343i,-0.000185+6.6098e-06i
0.0013282-0.003136i,0.00063248-0.0036676i,-0.00074525-0.0028909i,-0.0031728-0.0010932i,-0.0029946-0.00011658i,-0.0012714+6.358e-05i,-0.0002723+0.00029355i,-0.00044922-0.00033424i,-0.00088651-0.00049693i,-0.0011116-0.00021862i,-0.0011173+0.00042778i,-0.00057844+0.00011002i,0.00065146-0.00028434i,0.00084228-0.00014157i,0.00081983-0.00068896i,0.00085047-0.00080472i,0.00036017-8.8648e-05i,-9.8161e-05+0.00038703i,-0.0004192+0.00025589i,-0.00030827+0.0005146i,0.00041909+0.00064056i,0.00044988+0.00045903i,0.00012083-0.00010924i
0.0019375+0.0019601i,0.0020648+0.0017974i,0.0012185+0.0014463i,0.00046613+0.00026365i,-0.00023801-0.00074463i,-0.00091717-0.00023531i,-0.00063251+0.00039947i,-0.00058647-0.00020254i,-0.00020274-0.00086222i,-0.00013186-0.00062607i,-0.00094185-0.00053854i,-0.00066908+1.8188e-05i,5.2389e-06+0.00074561i,0.00030111+0.0009583i,0.00041689+0.0007492i,0.00015066+0.00024195i,0.00056238+0.00028262i,0.0006669+9.8639e-05i,0.00025756+0.0002607i,0.00042784+0.00067141i,-0.00049298+0.00094606i,-0.0011486+0.0010083i,-0.00044028+0.00081407i
0.00050244+0.0005387i,0.00026095+5.7159e-05i,-0.00088374+0.00075457i,-0.00058845+0.00094023i,-0.00046501+0.00025657i,-0.00064223-0.00088072i,-9.8183e-05-0.00082122i,5.6219e-05-0.00057187i,0.00056679-0.0012149i,0.00075686-0.00097521i,6.5977e-05-0.0007969i,-0.00032943-0.00082391i,-0.00044549-0.0003761i,-0.0010571+0.0002345i,-0.00079988-0.0002813i,-0.00015851-0.00079532i,-7.5759e-05-0.00050316i,-0.00037092+0.00020834i,-0.00026101+0.0012059i,-0.00057261+0.0013358i,-0.0010442+0.00089066i,-0.0009201+0.00094533i,-0.0010676+0.001191i
0.0010439-0.00044356i,0.0012057+3.8644e-05i,0.000598+3.0164e-05i,0.00021783+9.0966e-05i,0.00046681-1.7919e-05i,3.0125e-05+7.9113e-05i,-0.0006472+0.00079674i,-0.001119+0.00055341i,-0.0009712+1.1281e-05i,-0.00084561-0.00021689i,-0.00094857-0.00012022i,6.0721e-06+0.00016381i,0.00092369-1.7858e-05i,0.0006258+8.2513e-05i,5.7068e-05+0.0002284i,0.00010859+0.00024394i,0.00028144+0.0013679i,0.00012809+0.0014089i,-0.00077791-4.0873e-05i,-0.00078729-0.00014852i,0.00023693+0.00016302i,0.00048748-0.00028432i,-0.00015495-0.00063393i
0.0035287-0.00086286i,0.0034465-0.0011i,0.0027154-0.0015748i,0.00058425-0.0022145i,-0.0013083-0.0018994i,-0.00070916-0.00037548i,0.00022002+0.00015829i,-0.00058977+2.6032e-05i,-0.00041146+4.8564e-05i,-2.0303e-05-0.00033811i,-0.00042442-0.00015138i,-0.00049935+0.00035654i,0.0003532+0.0004157i,0.00076839+0.00030458i,0.00013943+0.00030533i,-0.00034964+0.0003146i,-0.00021796-0.00025294i,0.00057957-0.00065003i,0.0017613-0.00043519i,0.0011781-0.00068319i,0.00017906-0.00072248i,0.00084137-0.00059857i,0.0015479-9.3324e-05i
0.0016225-0.0013717i,0.0014944-0.0015679i,0.00085941-0.0016205i,0.00017249-0.00072201i,-0.00042182+0.00020653i,-0.00038498-0.00016242i,-0.00066671-9.5039e-05i,-0.0012161-4.1868e-05i,-0.00067463-0.00011937i,-0.00032712+0.00030676i,0.00054342+0.00078891i,0.00067292+0.0010577i,6.0158e-06+0.00098562i,-3.6463e-05+0.00028299i,-0.00011138-0.00056221i,-0.00054481-0.0010626i,-0.00065618-0.00055122i,-0.00050663-5.1822e-05i,-0.00050971+0.00045336i,-0.0001203+0.0010574i,-0.00026621+0.00080459i,2.3614e-05+0.00020601i,0.00036881+0.00010093i
0.0018658+0.00094706i,0.00099104-0.00045614i,9.68e-05-0.00067091i,0.00011125-0.000564i,-0.00045792-0.0001927i,-0.0007575+0.00016798i,-0.00045944-0.00039556i,-0.00061108-0.00022592i,-0.00031991+0.00018068i,0.00083967+0.00049492i,0.00077753+0.00082239i,-0.00034561+0.00026904i,-0.00047124+0.0002364i,-0.00022038+8.145e-05i,-0.00048767-0.00030297i,-0.00026681-0.00020628i,-0.00036631-7.1933e-05i,-0.00048925-0.0003302i,-0.00019321-0.00065007i,0.0003297-0.00049034i,0.00039018-0.00028753i,-6.2283e-06-0.00028i,-0.00060393-0.00037189i
0.00072699+0.0015025i,0.00051781+0.0012546i,0.00090837+0.00092004i,0.0015563+0.00067844i,0.0012139+6.2522e-05i,0.00021795-0.00062864i,-0.00041337-0.00035502i,3.7952e-05+0.00029051i,0.0010007-0.00010149i,0.00051667-6.8766e-05i,9.0144e-05+4.5091e-05i,0.00049814+3.7167e-05i,0.00041949+0.00029953i,-0.00029125+0.00022209i,-0.00029442+0.00021784i,-0.00014651+0.00079049i,0.00014909+0.0007638i,0.00020429+0.0001623i,-0.00020739-0.00016225i,-5.4719e-05-0.00020115i,0.00026743-0.00049593i,0.00084212-0.00030186i,0.00084663+0.00042946i
0.00090676+0.00024137i,0.00056619+0.00013288i,0.00018485+0.00089939i,-0.00086481+0.0010562i,-0.0010184-0.00022875i,-0.00082133-0.0015792i,-0.0010577-0.0010625i,-0.0012711-3.0306e-05i,-0.00053059-0.00050772i,0.00019474-0.00074428i,0.00016626-0.00010676i,-7.0431e-05+0.00037184i,-0.00045693-7.7653e-05i,-0.00063586-0.00057977i,-0.00048146-9.534e-05i,0.00020319+4.6777e-05i,0.001406-0.00037299i,0.0012559-0.00014352i,-0.00042172+0.000323i,-0.0012579+0.00016191i,-0.0010119+0.00043752i,-0.00051003+0.0007694i,-0.00035913+0.00017384i
0.00079368+0.00035311i,0.0011657-0.00057082i,0.0010327-0.00070643i,0.00021796-0.00094983i,-0.0006364-0.00094279i,-0.0012957-0.0010508i,-0.0020722-0.00073208i,-0.0017106-0.00022492i,-0.00024341+0.00042541i,0.0001733+0.00048106i,-0.00037254+0.00045756i,-0.00051748+0.00087888i,-0.00023688+0.00040307i,0.00036696+0.00011603i,0.00061315+9.6077e-05i,0.00056184-9.8982e-05i,0.00071945-0.00046044i,0.0002588-0.00019355i,-0.00023296+0.0001753i,-0.00045503+0.00024203i,-0.00084068-5.3638e-05i,-0.00014276-0.0003199i,0.00086227+0.00027896i
0.0025272-0.00065151i,0.002805-0.00086051i,0.0017037-0.00072442i,0.00020818-0.00031065i,-0.00041551+0.00036867i,-0.00037374+0.00059014i,-0.00072539+0.0003282i,-0.00095379+0.00029568i,-0.00053883-0.00039497i,-0.00039533-0.00074536i,-0.00066127-0.00034138i,-0.00034717-0.00017325i,0.00040267-0.00033298i,0.00061481-0.00024024i,0.00043623-0.00018843i,0.00015649-0.00047946i,-0.00013956-0.00084118i,0.00019736-0.00042238i,0.00036337+0.0006367i,2.4052e-05+0.00063946i,-4.6697e-05+3.7966e-05i,7.4041e-05+7.0872e-05i,-0.00031107+0.0006097i
0.00099262+0.0019003i,0.0010788+0.0012619i,0.0015735+9.9077e-07i,6.3335e-05-0.0015598i,-0.00090624-0.001967i,-0.00067768-0.0010038i,-0.00042627-0.00040424i,-3.1005e-05-0.00056904i,-7.5679e-05-0.00051267i,-5.1202e-05-0.00032965i,4.4303e-05-7.3071e-05i,-0.00032411+0.00043796i,-0.00059074+0.00057429i,-0.0013544+0.00030427i,-0.0017037+0.00016013i,-0.00094875+0.000374i,-0.00046353-9.7841e-05i,-0.0010368-0.00028113i,-0.0010772+0.00044601i,-0.00018706+0.0010327i,0.00013656+0.00090225i,-0.0003275+0.00054733i,-5.48e-05+0.00025009i
0.00079633+0.00028382i,0.00096667-0.00030823i,0.0011561-0.0012453i,0.0010832-0.00055601i,9.1229e-05+0.00039978i,-0.0010704-3.0092e-05i,-0.0014289-1.6139e-05i,-3.4932e-05-7.6581e-05i,0.00090677-0.00031535i,0.00059883-0.00042938i,0.0007054-0.00050493i,0.0006004+0.00018979i,0.00049505+0.00068538i,0.00020544+0.00039248i,-0.00013741-0.0002441i,0.00036751-0.00013064i,0.0009752+0.00040116i,0.00018106+0.00033954i,-0.00045415-0.00043761i,0.00019957-0.00066621i,0.00066363-2.9406e-05i,0.00046366+0.00029719i,-9.2674e-05+0.00022851i
0.0011796-0.00070546i,0.00057692+7.9293e-05i,-0.00031442+0.00056752i,-0.00027339+0.00027126i,-0.00064685+0.00026273i,-0.0010768+5.2411e-05i,-0.00054262+0.00050278i,-0.00025958+0.0010196i,-0.00046878+0.0010023i,-0.00055207+0.00085414i,0.00021121+0.00064275i,0.00069021+0.0004066i,0.00065457-0.00039178i,0.0007668-0.00064904i,0.00034869+0.0001228i,0.00011609+0.0010483i,9.8053e-05+0.00085747i,-2.5976e-05+0.00012234i,-0.00041015+0.00010571i,1.3686e-06+0.00059741i,0.00073442+0.00055497i,0.00073651+0.00023425i,0.00059429+7.8889e-05i
0.00026184-0.00078007i,0.0008089-0.0011715i,0.00049954+0.00026717i,-0.0010067+0.00056048i,-0.0017546-0.00042194i,-0.00034293-0.00090365i,0.00010988-0.0012641i,-0.00092916-0.0009489i,-0.0014579+0.00012998i,-0.0011756+0.00041959i,-0.00054369+0.00033698i,-0.00025583+4.7511e-05i,-0.00033907+4.8104e-06i,-0.00014373-0.00035151i,-0.00030743-0.00068668i,-0.00025013-0.00023849i,-3.5153e-05+8.3129e-05i,-6.2105e-05-1.6735e-05i,-0.00044345-0.00034316i,-0.00048867-0.00052161i,-0.00026774-0.00026014i,-0.00027962+0.00053456i,0.00025743+0.00039955i
0.00072685-0.00074257i,7.1422e-05-0.00020998i,-0.002225-0.00036352i,-0.0019877-0.00024733i,-0.00098322+0.00018183i,-0.00026465+0.00042668i,5.4873e-05+0.00098358i,-0.00083926+0.00085471i,-0.0010811+0.00080718i,-0.00078304+0.0011621i,-0.0007677+0.0013472i,-9.0949e-05+0.0013008i,0.00098275+0.0010644i,0.00079419+0.00010718i,-0.00042892-0.00010313i,-0.0010758+0.00015575i,-0.00094285+0.00034785i,-0.00067078-0.00060749i,0.00016883-0.00083153i,0.00045293-8.2979e-05i,6.4474e-05-8.8264e-05i,-7.4651e-05-0.00084981i,-0.00013183-0.00077188i
