0.00064594+0.00061753i,-0.00013755-0.00052429i,-0.00031142-0.0013559i,-0.0014161-0.0013328i,-0.0025774-0.00030076i,-0.00241+0.00068085i,-0.00092699+0.001164i,0.00066647+0.0013565i,0.0014331+0.0017728i,0.00068332+0.0016945i,0.00015231+0.0010608i,0.000171+0.00016295i,0.00038501-0.00054345i,0.00055026-0.00073811i,0.00085373-0.0010102i,0.00058191-0.0009343i,0.00056437+0.00015775i,0.00057051+0.00023954i,3.4308e-05-0.00014385i,0.00015405+0.00039781i,0.00050945+0.00042584i,0.00064708-0.0004683i,0.0011538-0.00033643i
0.0016312+0.00012496i,0.0013921-0.0003009i,0.00048019-0.0020468i,1.1288e-06-0.0026159i,0.00073131-0.0016789i,0.0013946-0.00074631i,0.00109-3.1163e-05i,0.00041585+0.00036335i,0.00087062+0.00037597i,0.00049863-0.00012263i,-0.00017245-0.00057672i,-0.00020469-0.00014359i,-0.00062208-0.00024057i,-0.0013927-0.00062289i,-0.00084274-0.00029479i,4.6149e-05+0.00012381i,0.0003009+8.6297e-05i,-0.00031731-0.0002422i,-0.00067587-0.00048909i,-0.00051985-0.00068685i,-0.00012925-0.0010316i,-0.00020294-0.00082878i,-0.00015211-0.00071194i
0.001314+0.0018701i,0.0011874+0.0016417i,0.0016995+0.00046144i,0.0017529-0.00071511i,0.00046321-0.0018591i,-0.00053333-0.0013458i,-0.00042452+6.1994e-05i,0.00020393+0.00090341i,0.00053626+0.0015127i,0.00086528+0.0016156i,0.00055751+0.0012242i,-0.00046704+0.0010368i,-0.00074326+0.00046858i,-0.00026406+8.4318e-05i,0.00018042-8.3118e-06i,0.00068218+0.00030523i,0.00087115+0.00025835i,0.0010765-0.00023363i,0.00076507-5.641e-05i,2.0616e-05+0.000227i,3.3368e-05+0.00016648i,-0.00043465+0.00021676i,-0.0011108-0.00046852i
0.0022493-0.00030495i,0.0017458-0.00022941i,0.0014795-9.2957e-05i,0.00049002-0.00068854i,-0.00015398-0.0010142i,-0.00031231-0.00052534i,-0.00027398+8.9484e-05i,0.0003446+0.00015425i,0.00015745+0.00017438i,0.00021729+6.8355e-05i,0.00060093-0.0003557i,0.00088263-0.00063709i,0.00063665-0.00012915i,1.4389e-05-0.00014111i,-0.00027354-0.0001166i,-0.00031787-0.00030243i,-8.0328e-05-0.00028252i,0.00031075+0.00050305i,0.00060859+0.00036792i,4.4963e-05+0.00029597i,-0.00024845+0.00029214i,8.8801e-05+0.00034401i,-8.9018e-05-3.3405e-05i
0.0006725+0.0010516i,0.00034812+0.00052513i,0.0012205+0.00079412i,0.0016706+0.00042429i,-2.5015e-05-0.0010145i,-0.00098265-0.0011018i,-0.00069159-0.00011025i,-0.00054749+0.00023739i,3.2196e-06-0.00018721i,0.00062072-0.0003374i,0.00036112+4.584e-05i,-0.00031241-0.000393i,-0.00017227-0.00084303i,1.0568e-06-0.00019457i,-0.00054887+5.9518e-05i,-0.00034393+0.00069514i,4.426e-05+0.00052102i,0.00068458-0.00050478i,0.00074828-0.00047818i,-1.0793e-05+0.00037835i,-0.00045934+2.5301e-05i,-0.00061914-0.00038821i,0.00014079-0.00042923i
-9.911e-06-0.00060597i,-0.00029579-0.00042726i,-0.00027736+4.3959e-05i,5.5476e-05-0.00083106i,-0.00083897-0.0014523i,-0.00090371-0.00047652i,-0.00019305+0.00071645i,0.00024674+0.00071674i,0.00081054+0.00041017i,0.00090199+0.000767i,0.0011216+0.0007876i,0.00066532-5.4499e-05i,-0.00062617-7.4492e-05i,-0.00030527+0.00039905i,0.00084876-0.00010204i,0.00099877-0.00039336i,-0.00011121-9.0941e-05i,-0.00021441+4.7055e-05i,0.00012577+0.00051063i,-0.00018855+0.00067167i,-0.00026262+0.00014229i,-0.00043233-2.6119e-05i,-0.00018716+0.00025929i
0.0011059-0.00071815i,0.00045187-0.00053452i,0.00021002-0.0010619i,0.00024068-0.0011734i,-0.00018182-0.00050422i,-0.00061702+0.00024083i,-0.00076648+0.00048707i,6.1948e-05+0.00050973i,0.00096037+0.00026003i,0.00080405-0.00042134i,0.00059078-9.9684e-06i,0.00081771+0.00055578i,0.00061615+0.00098095i,0.00055096+0.0011765i,0.00071189+0.00081279i,0.0010026+0.00036886i,0.00054582+2.3334e-05i,-0.0002719-0.0005578i,-0.00025777-0.00090533i,0.00044386-0.00074104i,0.00025383-0.00021033i,-0.00036946-0.00017939i,7.4834e-05+0.00013182i
0.00049384-3.6459e-05i,0.0004997-0.00033997i,0.0001512+0.00094623i,-0.00033915+0.00062524i,-0.00057592-0.00073628i,-0.00012684-0.0015984i,0.00024907-0.00093994i,0.00031839+0.00051659i,-0.00010336+0.0011191i,-0.00056866+0.0012564i,-8.5849e-05+0.00093995i,0.00075072-0.00017023i,0.00069854-0.00072238i,0.00033282-9.9996e-05i,0.00023216+0.00048824i,-0.00037174+4.5585e-05i,-0.00026628-0.00056099i,0.00066484+8.3865e-05i,0.00028362+0.00047709i,-0.00025733-0.00064838i,0.00015145-0.0014705i,0.00023463-0.00060537i,-0.00050196+0.00032228i
-6.5598e-05+5.876e-05i,-0.00016267-0.00052359i,-0.00025503-0.0013423i,-0.00036779-0.0017164i,-0.00055026-0.0014038i,-0.0011854-0.00068582i,-0.00081479-0.00021935i,0.00023069+0.00046721i,0.00018079+0.00060683i,-0.00040442+0.00061454i,6.1668e-05+0.00066098i,0.00051421+0.0004399i,0.00091648+0.00023322i,0.00094218+0.00029555i,0.00011373+0.00037076i,-0.00028682-6.7294e-05i,-0.00015699-0.00071166i,-0.00045984-0.0008367i,-0.0004903-0.00056417i,-0.00042863-0.00076689i,-0.00066247-0.00047284i,-0.00078069+0.00053283i,-0.00065658+0.000858i
-0.00046211+0.0011327i,-0.0013847+0.0013911i,-0.0014903+0.0013655i,7.6953e-05+0.0012191i,0.00078418+0.00055325i,-0.00013323-0.000214i,-0.0012111-0.00027838i,-0.0010099+0.00031621i,0.00029979+0.00098016i,0.00022108+0.0013214i,-0.00024112+0.0007958i,0.00042183-0.00091754i,0.001106-0.00079273i,0.00088526+0.00039138i,0.00023476-0.00013463i,-3.7139e-05+2.2599e-05i,0.00036955+0.00062956i,0.00028602+0.00038999i,-0.0002474+0.00036639i,-1.3795e-05+0.00010606i,-7.8132e-05-0.00010117i,-0.00029568-2.8821e-05i,7.8051e-05+8.0832e-05i
0.0003223+0.00069923i,0.00035134-0.00023302i,0.0013991-0.00070852i,0.0019077-0.00050652i,0.001341-0.00048234i,7.693e-05-0.00053446i,-0.00029619+0.00015639i,0.0001593+0.00023073i,0.00045951-0.00024839i,-9.1474e-05-0.00031683i,-0.0004219-0.00037828i,-0.00059796-0.00062122i,7.1727e-05-0.0002469i,0.00086852-8.5588e-05i,0.00015879+0.00011459i,0.00017653+0.00032995i,0.00093001-0.00072343i,0.00028749-0.0010919i,-0.00018582-0.00068505i,0.00019904-0.00032093i,-6.3343e-05+0.00066592i,-0.0003581+0.00080563i,-0.00058571+0.00017937i
