-0.002402+0.0011997i,-0.0016002+0.00032854i,-0.0014519+0.00095806i,-0.00098598+0.00090415i,-0.00094428+0.0013739i,-0.00033956+0.0016513i,-0.00019024+0.0022341i,-0.00023192+0.0024737i,0.00030415+0.001805i,0.0010752+0.00046234i,0.0016033-0.00043322i,0.0017996-0.0014675i,0.0011391-0.0016728i,1.3031e-05-0.0018003i,0.00030769-0.0016782i,0.0006087-0.00030246i,0.00057695+0.00010272i,0.00027855+0.00032221i,-0.00048462+0.00036774i,-0.00050071-0.00048907i,8.4984e-05+0.00044421i,0.00011788+0.0015944i,0.00031766+0.0011541i
0.0016921-0.00037532i,0.00046661-0.0011312i,0.00020837-0.0017637i,0.0001948-0.0012538i,-0.00026238-0.0010956i,-0.00065423-0.00028162i,-0.00014395-0.00048692i,0.00058416-0.00085914i,0.00071656-0.00017661i,0.00039282-0.00028544i,-0.00028125-0.00028236i,-0.00030593+3.0742e-05i,-0.00032329+0.0004092i,-0.00088357+0.0014574i,-0.0010919+0.0014472i,-0.0005798+0.0008481i,2.7163e-05+0.00031342i,0.00016777-0.00028968i,0.0002475-0.00061325i,0.0008669-0.00042093i,0.0003742-0.00017886i,-0.00084472-0.00055348i,-0.0010655-0.00047627i
-0.00021619-0.00031014i,-0.00017607-0.00030371i,-0.00073051-0.00056149i,-0.0012079-0.00041854i,-0.00079477+0.00016049i,-0.00079172+0.00067402i,-0.0013374+0.00022255i,-0.00078209-0.00014226i,-0.00062061+0.00037073i,-0.001965+0.00012229i,-0.0018596-0.00065924i,-0.00057531-0.00011733i,0.00030727+0.0003248i,0.000278-0.00012509i,0.00034532-0.00020144i,0.00049161-0.00014312i,0.00032233-0.00017174i,-0.00045293-0.00028611i,-0.00098602-0.00058776i,-0.00062175-0.001423i,-0.00020186-0.00086295i,-0.00016222+0.00022967i,0.00025596+0.0001596i
-0.0026042+0.0012289i,-0.0031387+0.0015321i,-0.0022198+0.0015771i,-0.00060781+0.00085548i,0.00062592+0.00057941i,0.0012319+0.00044098i,0.00083399+7.8856e-06i,5.0202e-05-0.00033556i,-0.00048419+0.00013008i,-0.00022804+0.00039207i,0.00070963-0.00032658i,0.00090977-0.00027846i,0.0010432+0.00014148i,0.00060354+0.00018244i,7.4544e-05-0.000518i,0.00025357-0.00076501i,0.00037423-0.00017215i,0.000148-0.00046206i,7.4682e-05-0.0010416i,-3.1229e-06-0.00057687i,-0.00016224-0.00018233i,0.00050825-2.0666e-05i,0.00080886-4.1936e-05i
-0.0011382+0.00066483i,-0.00011377+0.00034313i,0.00083406+0.00049705i,0.000986+0.00071639i,0.0016999+0.0001468i,0.0018665-9.9352e-05i,0.00067313-0.00055938i,-0.0006027-0.00032359i,-0.0010851+0.00053124i,-0.0008727+0.00085841i,-0.00044867+0.00093009i,-0.00033839-1.055e-05i,-0.00027779-0.00041944i,-1.439e-05-0.00010049i,0.00019889-0.0010761i,0.0004248-0.0011842i,8.1146e-05+6.2226e-05i,-0.00025778-5.0712e-05i,-9.1441e-05-0.0003768i,-0.00015022+1.8544e-05i,0.00014719+0.00060749i,0.00042908+0.00025346i,0.00014228-0.00039537i
-0.0030904+0.00010749i,-0.002698+0.00093544i,-0.0018156+0.0011279i,-0.00054706+0.00069692i,0.00047693+9.2484e-05i,0.0010773-0.00035117i,0.00012611-0.00065814i,-0.00087474-0.00073419i,-0.00054789-0.00023277i,-0.0001168+1.1428e-05i,-6.2146e-05-0.00021651i,0.00055795+0.00026109i,0.00090013+0.000394i,0.00061287-1.4635e-05i,0.00043534+0.00030981i,0.00098608+0.00035594i,0.00054893-7.6117e-05i,-0.0001813-0.00046243i,-3.076e-05-0.00051374i,0.00050538-0.00080196i,0.00026381-0.0013114i,-0.00033312-0.0009065i,-0.00054657+9.9596e-05i
-0.000555-0.0010365i,-0.0017268-0.0021121i,-0.0020081-0.0017139i,-0.0011358-0.00048578i,-0.00052682+0.00014982i,4.4471e-05+0.00014457i,0.00052353+3.4928e-05i,7.8283e-05-5.4335e-05i,-0.0003676-7.802e-06i,4.8875e-05+0.00012586i,0.00085044+0.00025255i,0.0011839+7.2963e-05i,0.00070574-0.00010821i,0.00051834+8.0349e-05i,-4.4927e-06+0.00082553i,-0.00080357+0.0010249i,-0.00036065+0.00080558i,0.00042251-0.00042569i,0.00064132-0.0010449i,0.0013108+0.00019792i,0.0013047+0.0012088i,0.00015448+0.00076019i,-0.00032438-5.3679e-05i
0.00056473+0.0014081i,0.0006524+0.00019342i,-8.5519e-05-0.00063656i,0.0004563-0.00051763i,0.00032694+2.1134e-05i,-0.00050089-0.00052843i,-0.0011893-0.0010967i,-0.0014707-0.00078012i,-0.0012858-0.00020389i,-0.0010044-0.00032403i,-0.00048354-0.00077013i,0.00043073-0.00041353i,0.00046793+0.00037854i,-0.001076+0.00089962i,-0.0015275+0.0005296i,-0.00090777+0.00024886i,-0.00021365+0.00016822i,0.00072534-0.0003772i,0.00062123-0.00084984i,-0.00012163-0.00016248i,1.6334e-05+0.0002109i,0.00022016-0.00023119i,1.3216e-05+0.00018145i
-0.00028908-0.00025702i,-0.00065447+0.00018922i,-0.0010907+0.00070297i,-0.00085752+0.00079309i,-0.00025877+0.00071503i,5.9709e-05+0.00039384i,0.00065032-0.00041769i,0.00011748-0.00052504i,-0.00065402+0.00013881i,-0.00013671+0.00036277i,0.00071469+6.8728e-05i,0.0011759+0.0002716i,0.00053622+0.00037537i,0.00011404+0.00063257i,-0.00019088+0.00057549i,-0.0010021-0.00010239i,-0.001148-0.00025906i,-0.00027832-9.5776e-05i,1.9434e-05+0.00053456i,-0.00049654+0.00065735i,-0.00037662-0.00012988i,-9.626e-06-0.00056271i,0.00016927-0.00062887i
-0.00071462-0.00034172i,-0.0010646+0.00017489i,-0.0018498+0.00045923i,-0.0016255-0.00022381i,-0.00088942-0.00089715i,-0.00072432-0.001359i,-0.00015047-0.0015684i,-9.7981e-05-0.0018154i,-0.00081876-0.0013137i,-0.00017086+0.00021487i,0.0008686+0.0010696i,0.00055022+0.00066432i,2.8968e-05+0.00026096i,0.00029634+0.00010396i,0.00096625+0.00019302i,0.0011449+9.5798e-05i,0.00030348-0.00021591i,0.00032083-0.00037244i,-4.8473e-05+3.4958e-05i,-0.00046832+0.00022066i,0.00013486-0.00013656i,0.00030349-0.00017213i,0.00049708-0.00026951i
0.0012805-0.00031133i,0.0010685-0.00022392i,0.00058129-0.00066611i,0.00073739-0.00068102i,0.00073193-0.0003101i,0.00062549-1.791e-05i,0.00057907-0.00053461i,0.00027064-0.00034823i,0.00048274+0.00026163i,0.00025157+0.00013825i,-0.00033146+0.00040597i,-0.00027152+0.00093893i,0.00025586+3.7726e-05i,0.00078352-0.0004754i,0.0003037-0.00019445i,-6.8456e-05+2.4505e-05i,-0.00043621+0.00054174i,-0.00092438+0.00039282i,-0.00020798-5.861e-05i,-0.00010108-0.000679i,-0.00085402-0.0010146i,-0.00083747-0.00091345i,-0.00064245-0.00014612i
-0.0018532-0.001557i,-0.0013865-0.00034995i,-0.0011003+0.001077i,-0.00099232+0.00039588i,0.00014049-0.00037822i,0.0010654-0.00087648i,0.00094822-0.00063144i,-0.00010724-0.00056501i,-0.00031267-0.00066246i,0.00011963-0.0002246i,0.00033493-7.0215e-05i,-0.00010767-1.3154e-05i,-9.6348e-05-4.6974e-07i,0.00019708-0.00017193i,-0.00010455-0.00024667i,-3.1219e-05+1.9313e-05i,0.00012577-0.0001528i,0.00060075-0.00037991i,0.00047511+4.9167e-05i,0.00018988+0.00067885i,-0.00021872+0.00045785i,-0.00041027-0.00036374i,-0.00015472-0.00061713i
4.4237e-05+0.00043228i,0.0011311-0.00028794i,0.00012984+0.0002189i,-0.0014588+0.00072052i,-0.0015062+0.00024241i,-0.00083891-0.00057629i,-0.00090133-0.00069089i,-0.00078546-1.6823e-05i,-0.00012485+0.0011291i,-0.00026236+0.001385i,-0.00033649+9.4099e-05i,0.00028401-0.0010899i,0.00053317-0.00078207i,4.0729e-05-0.00050684i,-0.00018049-0.00026566i,0.00049911+0.00016944i,0.00077329+0.00048365i,0.00098142+0.001051i,0.00038109+0.0011923i,-7.1718e-05+0.00022269i,0.00054548-0.00038786i,0.00049736-0.00025057i,5.5056e-05-7.6998e-05i
-0.0016165+0.00069901i,-0.0018236+0.00094744i,-0.0013722+0.00035675i,-0.0010218-0.00019996i,-0.00066876-0.00012324i,-0.00058387+9.2188e-05i,-0.00059488-0.00069717i,-9.1189e-05-0.00079639i,-1.3905e-06-0.00044922i,-0.00020429+0.00036004i,-0.00031397+0.0014637i,0.00044825+0.0015122i,0.00051187+0.00059707i,3.5574e-05-0.00017259i,0.00030293+0.00015543i,-0.00022246+0.00077333i,-0.0010448+0.00027822i,-0.0015844-0.00043681i,-0.0011048+0.00020189i,-0.00025257+0.00033198i,-0.00029837-0.00055419i,-0.00054269-0.00046779i,-0.00072991-0.00019258i
