-0.00019404-3.6258e-05i,0.00076183-0.0012912i,-0.00080597-0.0030335i,-0.0038215-0.0026591i,-0.005234-0.00085144i,-0.0047429+9.3885e-05i,-0.0026125+0.0011717i,-0.00020275+0.0021523i,0.001178+0.0018096i,0.0010534+0.00084584i,-0.00020981+0.0004371i,-0.00093747-0.00044793i,-0.0008452-0.0010242i,-0.00053456-0.0011884i,-0.00017349-0.00047617i,-0.00022033+0.00056402i,-0.00057837+0.00045193i,-0.0006671+2.839e-05i,-0.00070571+0.00054473i,-0.0007424+0.0003792i,-0.00068781-0.00043826i,-0.00046126-0.00059549i,-8.2816e-05+7.7152e-05i
0.00085178-0.00039734i,0.00077245+5.9384e-06i,-0.0007175-0.00040974i,-0.0028937-0.0017069i,-0.0034702-0.0019747i,-0.0027053-0.0012354i,-0.0020713-0.0003681i,-0.0019411-0.00027525i,-0.00082594+8.404e-05i,-0.00025678+0.00026838i,-0.00087473+8.0408e-05i,-0.0013443+0.00037981i,-0.0014552+0.00057218i,-0.00072969-0.00018069i,-0.00023918-0.0013049i,-0.000655-0.00064588i,-0.00037092+0.00078245i,0.00067588+0.00073509i,0.00094136+0.00013481i,0.0006774-3.8412e-05i,0.00042189+0.00026014i,2.2731e-05-9.2244e-05i,0.00024395-0.00049423i
-0.00065594-0.0013568i,-0.0020253-0.0013945i,-0.0034366-0.0012042i,-0.0042133-0.00076789i,-0.0045907-0.00012381i,-0.0038207+0.0011061i,-0.0016481+0.00099207i,-0.00055764-0.00026122i,-0.00073262-0.0003016i,-0.001196+0.00089267i,-0.00054009+0.00079571i,0.00037851-2.6747e-05i,0.0010232-0.00069313i,0.0011743-0.00098229i,0.00022922-0.00078462i,-0.00084416-0.00045255i,-0.00093657-0.00011579i,-0.00010883-0.00022011i,0.00026822-0.00034244i,1.472e-05-0.00070339i,-0.00012948-0.00057924i,0.00018677+0.00012913i,0.00040384+2.3956e-05i
0.00097698-0.00035313i,0.00075296-0.00042452i,-0.00055818-0.0012556i,-0.0021901-0.0021749i,-0.0038391-0.0021406i,-0.0035663-0.00048548i,-0.001574+0.00072112i,-0.00052739-0.00026318i,-0.00099911-0.00088252i,-0.0013081-0.00097265i,-0.0010983-0.00080838i,-0.00044872+0.00030479i,2.1387e-05+0.00036947i,0.00014619+0.00015181i,1.6045e-06+0.00026515i,0.0001537+0.00034365i,0.00039537+0.00054724i,-0.000179+0.00035095i,-0.00069253+0.00024808i,1.293e-05+0.0004852i,0.00015918+0.00068946i,-0.0003916+7.559e-07i,-0.00028498-0.00085561i
0.0014994+0.0014966i,0.0016718+0.00061729i,0.0010989+0.0001719i,-0.00046827-0.0007815i,-0.00081507-0.00077337i,-0.0010468-0.00039601i,-0.0015883-0.00062366i,-0.00047607-0.000665i,0.00015402-0.00048563i,-0.00047364-0.00075109i,3.6686e-05-0.0012605i,5.3704e-05-0.00085369i,-0.00016063-0.00023159i,-6.7632e-06-0.00010386i,-0.00058095+0.0001172i,-0.00041091+0.00040275i,-4.9062e-05+0.00049923i,-0.00059725+8.6711e-05i,-0.0011979-0.00069665i,-0.00090516-0.000934i,0.00015409-8.8561e-05i,0.00061284-0.00063522i,0.00073444-0.00042593i
-0.0011626+0.0020283i,3.6557e-05+0.0014635i,0.0010807+0.00018524i,-0.00040084-0.0015291i,-0.0018901-0.0022885i,-0.0021658-0.0017776i,-0.0013671-0.0011259i,-0.00040718-0.0011951i,-0.00037188-0.0012757i,-0.00068379-0.00030962i,-0.00067078-0.00019341i,-0.00094046-0.00087975i,-0.00087786-0.00049044i,-0.00073647+3.9224e-05i,-0.001009-0.00027103i,-0.00087881-0.0001046i,-0.0006986+0.00064204i,-0.00024563+0.00068339i,0.00055604+0.00088227i,7.8712e-05+0.00033542i,-0.00072473-0.00015629i,-0.00045625+0.00052936i,-0.00064211+0.00086214i
0.00060738+0.00026409i,0.0015065+5.7366e-05i,0.0010474-0.0012409i,-0.00049103-0.0022625i,-0.001826-0.0014704i,-0.001956-0.00063479i,-0.0012843-0.00036407i,-0.0012237+0.00015235i,-0.0013958+0.00059975i,-0.00055789+0.00048192i,-6.418e-05-3.317e-05i,0.00016827-0.00098619i,-4.952e-05-0.0011574i,-4.8065e-05-0.00036592i,-0.00037893-0.00018962i,-0.00088377-7.492e-05i,-0.00039727-0.00039991i,0.00036087-0.000364i,0.00043575+0.00045827i,-0.00032611+0.00027223i,-0.00033043-0.00042738i,-0.00066642-0.00085454i,-0.0010574-0.00095935i
-0.00020839+0.00068301i,-0.00023494+0.0008839i,-0.00094828+0.0005366i,-0.0014041+8.4718e-06i,-0.001551-0.00013726i,-0.0015527+0.00033609i,-0.0010363+0.00011289i,-0.0011815-0.00085285i,-0.0012421-0.00074196i,-0.0010576+0.00018624i,-0.00070084+0.00048996i,-0.00076574+0.00031325i,-0.00071077+0.00023429i,-0.00038918-3.6564e-05i,-0.00010108-0.00026294i,5.2045e-05+0.00028539i,3.6791e-06+0.00022488i,0.00014876-0.00015636i,0.00015625+0.00043389i,2.7329e-05-1.3801e-06i,0.00028205-0.00078788i,0.00027865-0.0013935i,0.00036874-0.0013896i
-0.00041393-0.0019618i,-0.0016209-0.0016943i,-0.0022234-0.0026778i,-0.0033678-0.0025138i,-0.0039598-0.00095206i,-0.0022852+0.00041776i,-0.00039269+0.00065905i,-0.00056979-0.00046458i,-0.00079002-0.0010425i,-0.00093179-0.00093848i,-0.00051842-0.00092237i,-3.0484e-06-0.00040568i,-0.00035469-0.0008017i,9.3219e-05-0.00094094i,0.00061671+9.0115e-05i,0.00091379+0.0006101i,0.00057496+0.00046256i,8.6654e-05+0.00042674i,0.00042413+0.00061145i,0.00037224+0.00040214i,-7.9059e-05+0.00022457i,-0.00021023+0.00051301i,0.00049728+0.00075561i
-0.00028562-0.00093552i,-0.0016635+0.00019325i,-0.0022539+0.0012038i,-0.0029228+0.0008308i,-0.0029957-0.00023998i,-0.0015549-5.8934e-05i,-0.00050851-3.9514e-05i,-0.00065354+0.00017736i,-0.0015115+0.00048287i,-0.00082319+0.000368i,0.00038182+0.00017267i,0.00029048+0.00017513i,-0.00015488+6.6624e-06i,-0.00017403-0.00014947i,0.00036525-0.00021339i,6.6173e-05-0.00024521i,-0.00081772-7.8827e-05i,-0.00034112-0.00027413i,0.00021393-0.00018887i,0.00016159-5.7835e-05i,0.00032819+0.00032623i,0.00040705-8.4147e-05i,0.00069648-0.00039505i
-0.0024234+0.00015254i,-0.0025509+0.00019874i,-0.0023478+0.00012617i,-0.0018789+1.3713e-05i,-0.0015083+9.4967e-05i,-0.0017974+0.0011468i,-0.001258+0.0013498i,-0.0010944-0.00057091i,-0.0018789-0.00023783i,-0.0012697+0.0007329i,-0.00040704+0.0006825i,-0.00049554+0.00029209i,-0.00071534-0.00065477i,-4.8789e-05-0.00069657i,0.00085727-1.4279e-05i,0.00090948+0.00048963i,0.00046161+0.00061983i,0.00034797+0.00051258i,0.00021576+0.00062655i,0.00067673-0.00030578i,0.00062933-0.00066548i,-1.9994e-05+0.00035123i,0.00017786+0.00064703i
-0.00016266-0.00097119i,-0.0014749+0.00011891i,-0.0027625-6.1333e-05i,-0.0054058+8.0024e-05i,-0.0064792+0.00076726i,-0.0042827+0.0017663i,-0.0020855+0.0013482i,-0.0012555-0.00017466i,-0.0010639-0.00064198i,-0.00060771-0.00026522i,-5.7587e-05-0.00024535i,-0.00010487-0.00018576i,-0.00022837+0.00012993i,-0.00054161+0.00018686i,-0.0010497+0.00014985i,-0.00057147+8.8524e-05i,8.2898e-05+0.0004218i,0.00030249+0.0006748i,0.00039109+0.00035633i,-0.00020997-0.00030531i,0.0002641-0.0006315i,0.00026794-0.0006024i,-0.00089334-0.00080973i
0.00052342-0.00038179i,-0.00054157-0.0014391i,-0.00031711-0.0014971i,0.00073793-0.0011826i,0.00069858-0.00097925i,-0.00053755-0.00085267i,-0.0011598-0.00036142i,-0.00077614+0.00030439i,-0.0006503+0.00075409i,-0.0010792+0.00063706i,-0.0010629-0.00020117i,-0.00090872-0.00037573i,-0.0011024+2.444e-05i,-0.0010395+0.0003916i,-0.00044015+0.0001844i,0.00041032+0.00018902i,0.00035941+0.00042312i,-6.4495e-05-0.00042003i,0.00026218-0.00090805i,0.00019098-0.00095964i,0.00012755-0.0005825i,0.00027394-0.00085665i,0.0005151-0.00066654i
