-0.0038847+0.00019336i,-0.0032615-0.0013553i,-0.0041773+0.00030783i,-0.0034129+0.0018454i,-0.0012269+0.0023895i,1.868e-05+0.0030316i,-0.0010322+0.0032202i,-0.002061+0.0023228i,-0.0010871+0.0014266i,0.0004638+0.00061494i,0.00068107+0.00020151i,0.00042226+5.5198e-05i,0.00078261+0.00032241i,0.00037785+3.6537e-06i,-0.00013296-0.00021829i,0.00011345-3.4387e-05i,0.00073781-0.00015795i,0.00080408-2.71e-05i,0.00022645-5.1168e-05i,0.00013525-7.4745e-05i,-0.00023076+0.00021595i,-0.00063516+0.00049351i,-0.0003176+9.3056e-05i
0.00081007-9.8538e-05i,-0.00037683-0.00065752i,-0.00024173-0.00083009i,0.00067424+0.00013461i,0.0014565+0.0010428i,0.00074514+0.00079402i,0.00026644+0.00064205i,0.00035044+0.0010243i,0.00011663+0.0010721i,6.7528e-06+0.00066553i,5.9491e-05+1.2611e-05i,0.00035311-0.00025473i,0.00042987+0.00022491i,0.00019502-9.7993e-05i,0.00045004-0.00019721i,0.00014882-0.00015755i,-0.00022467-0.00065891i,-0.00018285-0.00011325i,-0.00027752+0.0010776i,4.8107e-05+0.00070894i,0.00010515-0.00041792i,-0.00055289-0.00083712i,-0.00075302-0.0004387i
-0.00056998-0.00080297i,-0.00027811-0.00038196i,0.00015997+0.00041309i,0.00058751+0.00067546i,0.0008119+0.00046703i,0.00058593+0.00028744i,0.00012006+0.00021777i,-1.7625e-05-6.1951e-05i,0.00028339-0.00025062i,0.0011555-0.00018703i,0.00081398-0.00056354i,-0.00029338-0.00089473i,-0.0003318-0.00023143i,-6.6882e-05+4.2749e-06i,-0.00025671+8.4031e-05i,-0.00016374+0.00023539i,2.6202e-05-0.0002769i,-7.8252e-05-0.00030003i,-0.00041796-0.00027532i,-0.00089049-0.00023247i,-0.00065123+0.00020757i,-8.0258e-06+0.00014361i,-0.00030825+0.00031946i
0.00019881-0.0013371i,-0.00042498-0.0016802i,-0.0007806-0.0028458i,-0.00043955-0.0014768i,-6.2114e-05+0.0012823i,6.4157e-05+0.0012139i,0.00018449+0.00028922i,1.3866e-05+0.0004061i,6.2545e-05+0.00014467i,0.00041324-0.00028922i,0.00011072+7.9335e-05i,-0.00051172+0.00051591i,-0.00037467+0.00080547i,0.00055076+0.00079296i,0.0005327+0.0011891i,-0.00019939+0.0012035i,-8.3668e-05+0.00028155i,-0.00017354+0.00072111i,-0.00023121+0.00061532i,-0.00024374-0.00010151i,-0.00072055+0.00031625i,-0.0007826+0.00045382i,-0.00071013+0.00012637i
-0.00066577+0.00050107i,7.7466e-05+0.0006794i,0.00094763+0.00073586i,-0.00013857+0.001439i,-0.00075976+0.001467i,0.00020318+0.00083545i,0.00016593+0.00094925i,-0.00044248+0.00068758i,-0.0012346+0.00067303i,-0.0014134+0.00066401i,-0.0012812+0.0012913i,-0.00088604+0.0013402i,6.1993e-05+0.00048093i,0.00066915-0.00051111i,0.00043015-0.00098716i,-5.8817e-05-0.00046217i,0.00035894-0.0007254i,0.00080091-0.00082373i,0.00074054-0.00032957i,0.00046763+3.2017e-05i,-0.00016815+0.00038184i,-0.00012526+0.00025364i,0.00019361-0.00025468i
-0.00088157+3.0423e-05i,-0.0010822+4.1691e-05i,-0.00083654+0.00070107i,-0.00028063+0.0014116i,-0.00027942+0.0015637i,-0.00048495+0.00089816i,-0.0006179-0.00016624i,-0.00036023+5.5264e-05i,0.00020205+0.0010693i,0.00022257+0.00087742i,-1.5019e-05+0.00047689i,1.1039e-05+0.00046537i,-0.00018137+0.00011485i,-0.00012814-0.00045251i,0.00013475-0.00063768i,0.00023302+6.9795e-05i,0.00057421+0.00047421i,0.0013101+8.2347e-06i,0.0011171-0.00039752i,0.00048297-0.00035211i,-2.9264e-05+1.7454e-06i,-0.00010614+0.00014051i,7.5945e-05+0.00031847i
-0.00037757+0.0010948i,-0.00017665+0.0012371i,0.0005815+0.00023984i,0.0014991-6.1868e-05i,0.002173-0.00031755i,0.0010665-0.00078233i,-0.00035017+8.2944e-05i,-0.00037299+0.0010853i,-0.00057968+0.0007639i,-0.00095138+0.00011899i,-0.00059064-0.0002985i,0.00065264-0.00017289i,0.0012013-8.0971e-05i,0.00031438-0.00033105i,-0.0003212-0.00029292i,0.00014943-0.0010624i,-5.0282e-05-0.0010387i,-0.00071108+3.8353e-05i,-0.00075339+0.00048491i,-0.00097395+0.00048586i,-0.00050833-2.9782e-05i,0.00035068+0.0001413i,0.00042189-0.00026388i
-0.00011868+0.00084841i,-0.00053242-2.5234e-05i,-0.0004599-0.00019676i,-0.0003546+0.00047001i,0.0001039+0.00051645i,-5.932e-05-0.00061254i,-0.00052835-0.00095329i,-0.00073766-0.00064546i,-0.00068918-0.00049555i,-0.00036182-3.1684e-06i,-0.00025256-0.00010355i,-6.5633e-06-0.00019211i,0.00036323-0.0001887i,0.00015888-0.00066069i,-0.00021806-0.00061727i,-0.00059379-0.00038829i,-0.00056326-0.00053568i,-0.00043593-3.7122e-05i,-0.00014115+0.00014815i,0.00097183+0.00037277i,0.00070485+0.00045346i,-0.00087803-0.00029622i,-0.0009615-0.00063869i
-0.00080409+0.00013285i,-0.0010749+0.00031832i,-0.00074155+0.00084997i,-7.4898e-05+0.0012474i,0.00055509+0.00084617i,0.00073995+0.00077679i,-0.00026934+0.00094139i,-0.0014593+0.00083255i,-0.00058723+0.00033446i,-0.00032862+0.00031953i,-0.00039865+0.00033877i,2.3359e-05+0.00042309i,0.00024393+0.00069933i,0.00071613+6.4965e-05i,0.00055535-0.00045142i,0.00074451+0.00011186i,0.00053249+0.00023962i,-2.9222e-05-0.00032759i,0.00035892-0.00044911i,0.00054247-0.00011432i,0.00020986+0.00028245i,0.00031533+0.00025035i,0.00056047-0.00010672i
-0.0018736+0.00024754i,-0.0023847-0.00018614i,-0.0017071+0.0018532i,-0.00067789+0.0031191i,0.00039841+0.0023855i,0.0011855+0.0010984i,-7.8868e-05+5.5164e-05i,-0.001107-0.00032454i,-0.0010261-0.00038223i,-0.00018722-0.00011014i,3.0846e-05+4.6127e-05i,0.00027635-0.00019913i,0.00091439-0.00021956i,0.00077025+4.5657e-05i,0.00041142-0.00057872i,0.00082691-0.00088183i,0.00087536-0.00083153i,0.0005921-0.000698i,-0.00068234-0.00057904i,-0.0012786+9.2745e-05i,-0.0002973+0.00024356i,0.00040972+0.00014769i,0.00015715+0.00049468i
-0.0016211-0.00072632i,-0.0015199-3.1702e-05i,-0.0010899+4.9867e-05i,-0.00038282+0.0001131i,0.00052201+0.00027806i,0.00065447+0.00014895i,-0.00046255+0.00033942i,-0.00092744+0.00058668i,-0.00053612+0.0010827i,0.0004283+0.0014529i,0.001385+0.0012324i,0.00076204+0.0014555i,-0.00029496+0.00074127i,5.4066e-05+0.00011435i,0.00062706+0.00055645i,0.00072387+0.00057057i,0.00058161+8.2126e-05i,0.00017921-0.00091493i,-0.00037675-0.00096865i,-0.00074037-0.00051333i,-0.00032121+0.00024062i,0.00021892+0.00019346i,-5.3828e-05+0.00031923i
0.0010283+0.0010085i,2.4565e-05+0.0007478i,0.0010802+0.00046969i,0.0013523+0.00067173i,0.00078717+0.00037807i,0.00088713+9.0508e-05i,0.00014419+9.4447e-05i,-0.00083182+0.00053254i,-0.00033959+0.0006297i,0.0003535-7.3853e-05i,0.00047775-0.00067484i,0.00052897-0.00043853i,0.00035292-5.8941e-05i,0.00024293-0.00037328i,0.00016871-0.00037453i,8.7915e-05-0.00050702i,-0.00018581-0.00093614i,-0.00037849-0.00046024i,-0.00073765+0.00011129i,-0.00044552-3.7017e-05i,-0.00021096-0.00080898i,-0.00030766-0.0012707i,0.00026837-0.0008864i
0.00094384-0.0015467i,0.00054329-0.00087328i,-0.0010927-0.00052491i,-0.0014159-0.00057633i,-0.00063516+0.00029863i,-0.00035359+0.0015554i,-0.0009689+0.0022257i,-0.00093145+0.0014852i,-0.00054327+0.00049422i,-0.00073718-2.3698e-05i,-0.00046055-2.8108e-05i,-3.8874e-05+0.00025458i,0.00010947+0.0001278i,0.00035837-0.00014028i,0.00028431+0.00017001i,0.0004077+0.00056418i,0.00078492+0.00070444i,0.00063974+0.00075694i,0.00058632+0.00060979i,0.00030611+0.00018047i,3.5387e-05-9.479e-05i,-0.0002178+0.00071847i,-0.00021243+0.00036225i
0.0012997-0.0011081i,0.00022911-0.0010477i,0.00090398-0.0013808i,0.0017931-0.0013996i,0.0010399-0.0013126i,-0.00051163-0.00049102i,-0.0014132-0.00013544i,-0.00085506+0.00060035i,-0.00078244+0.001754i,-0.0014563+0.0015538i,-0.001023+0.00083981i,-1.6837e-06+0.00057878i,0.00032218+0.0007366i,0.00019684+0.00068194i,0.00014553+0.00018008i,0.001021+0.00023799i,0.0012205+0.0010124i,0.00075784+0.00085301i,0.00025048-0.00030463i,-0.00054318-0.00074912i,-0.0005037-9.8854e-05i,-1.9561e-05+0.0004281i,0.00039101+0.00047902i
-0.0016819-0.0013134i,-0.0010924-0.0013162i,-0.0012126-0.000449i,-0.001442+0.00080409i,-0.00038049+0.0011689i,0.00022449+0.0012543i,-0.00018602+0.00074524i,-0.00018916+0.00025488i,-0.0005089+0.00018672i,-0.0010153+0.00070469i,-0.00024623+0.0011587i,0.00043182+0.00083614i,-0.00018193-0.00040737i,-0.00034893-0.001524i,0.00020128-0.0013526i,0.00034719-0.0004768i,0.00043025-0.00039896i,0.00077748-0.00032966i,0.00053004+0.00055066i,0.00069396+0.00078431i,0.00053096+0.00049469i,0.00038529-0.00020797i,0.00042954-0.00062127i
-0.0013591-0.00030152i,-0.0014651-0.0002969i,-0.00071046-0.00018601i,0.00054187-2.5262e-06i,0.0005914+0.00065472i,0.00087811+0.00078631i,0.0013008+0.0006112i,0.00083724+0.00021761i,0.00061707-0.00035533i,0.00014376-0.00021258i,4.2374e-05+0.00034925i,0.00037978+0.0010216i,0.00040724+0.00063273i,0.00089473+0.00011209i,0.0010975+0.00027422i,0.00066567+8.6465e-05i,0.0002366-0.00035245i,0.00026955-0.00047952i,0.00019629-8.2271e-05i,-8.61e-05+0.00041717i,0.00015349-7.2492e-05i,0.00032277-2.1617e-05i,0.00066327+0.00064019i
