-0.0027327-0.00055102i,-0.002688+9.9379e-05i,-0.0031355+0.0011838i,-0.0041568+0.0013988i,-0.0049945+0.0021417i,-0.0031152+0.0025066i,-0.0010278+0.0020353i,-0.00095953+0.0023649i,-0.00038617+0.0027667i,0.00035388+0.0023147i,1.9906e-05+0.00091369i,-0.00033616-6.8623e-06i,-0.00044905-0.0002877i,-6.2178e-05-0.00049637i,-0.00056299-0.00064672i,-0.0010619-0.0010688i,-6.9679e-05-0.00059341i,0.00018382+0.00053215i,-0.00010408+0.00028524i,-8.4531e-05-0.00038452i,0.00038358+3.7339e-05i,0.00098316-0.00012734i,0.00085851+0.00010549i
-0.00080441+0.00058334i,-1.2286e-05+0.00066273i,0.00046051+0.00099888i,-0.00019456+0.00053432i,0.00014757-0.00014317i,0.0016703-0.0005862i,0.001604-0.0009031i,0.00019632-0.00062646i,-3.6e-05+0.00091588i,0.00038825+0.001513i,0.00046908+0.00062825i,0.00011106+0.00026553i,-0.00067992+0.00090461i,-0.001206+0.0010415i,-0.0011168+0.00059992i,-0.00097942+0.00026648i,-0.00072128-6.0138e-05i,-0.00025858-0.00066608i,1.6431e-06-0.00093692i,7.207e-05-0.00056952i,0.0002681-5.6194e-05i,0.00017114-0.00029093i,0.00010944+0.00012473i
0.00090727-0.00070558i,6.4476e-05-0.0017597i,-0.0019519-0.0023878i,-0.0036103-0.00081671i,-0.0031974+0.0011186i,-0.001685+0.0013833i,-0.0002561+0.00078873i,-0.00020628+0.00080852i,-0.00060526+0.00072814i,-0.00021685-2.0092e-05i,0.00019974+6.8214e-05i,0.00066514+0.00076556i,0.0010392+0.0011715i,0.00048033+0.0011789i,-7.7979e-05+0.00052838i,0.00040748+7.213e-05i,0.00028359+5.3878e-05i,0.00027416+0.00014536i,0.0011913+0.00012207i,0.0015383+9.0061e-05i,0.0008401+0.00017655i,0.00033739-0.00013732i,0.00017155-0.00021782i
-0.0011413-0.00043118i,-0.00060698-0.00010822i,-0.00023394-0.00021484i,-0.0016217-0.00027573i,-0.0023611+6.5045e-05i,-0.0016089+0.0010659i,-0.00090975+0.0012001i,-0.00088432+0.00074647i,-0.0010029+0.00067138i,-0.00070135+0.00035319i,-0.00034548+0.00014095i,-2.512e-05+0.00028989i,-0.00011368-0.00024609i,-0.00036435-0.00037272i,-0.00068671+0.00052872i,-0.00093718+0.0012401i,-0.00023837+0.0015195i,0.00036239+0.0006783i,0.00046864-0.00055145i,0.00029576-0.0010071i,0.00059508-0.00077956i,7.2331e-05-0.00024848i,-0.00068972+0.00058949i
0.00016786-0.00022174i,0.00016801-0.00036182i,-0.0010083-9.2093e-05i,-0.0025296+7.2714e-05i,-0.0023331+0.00072412i,-0.0005085+0.00092631i,0.00044345+0.00043476i,-9.7233e-05+0.00090428i,-0.00064852+0.0012523i,-0.00021685+0.00092265i,0.00023086+0.00059792i,-0.00080972+0.00060615i,-0.00061373+9.4164e-05i,-0.00035302-0.00029131i,-0.0002374-0.00026411i,0.00099421-0.00015167i,0.0010191+0.00010917i,-9.4852e-05+5.0038e-05i,-0.00041788-0.0004011i,0.00053514-0.0008671i,0.00024175-0.00044535i,-0.00057638+0.00052507i,4.4803e-06+0.00064403i
0.001133+0.0015819i,0.0010404+0.0013989i,0.0010773+0.00083264i,0.00022348+0.00025291i,-0.00073448+0.0005834i,-0.00052337+0.00026765i,0.00024126-0.00013037i,0.00075542+0.00038216i,0.00036142+0.00096093i,-0.00034039+0.0008083i,-0.00011933+0.00021672i,0.00070079-0.00011421i,0.00087902+0.00074249i,3.5106e-05+0.00043501i,-0.00034249-5.4777e-05i,-0.00034582+0.0001197i,-0.00093933+0.00039328i,-0.00094607+0.00075123i,-4.8385e-06+0.0010266i,0.00024905+0.0010351i,-0.00014219+0.00066526i,-0.00022908+0.00016586i,-9.6245e-05+0.00018396i
0.0023369+0.002085i,0.0019779+0.0010702i,0.0021207-0.00080242i,0.00096287-0.0013816i,-0.00012717-0.0010513i,-0.00086717-0.00060401i,-0.0010113-0.00031851i,-0.00052909+0.00037659i,-0.00031556+0.000888i,0.00011293+0.00031144i,-0.00059209+0.00023673i,-0.0006689+0.00063659i,0.00010244+0.00030622i,0.00047483+0.00052925i,0.00019943+0.0013401i,-0.00038136+0.00082769i,-0.00044191+0.00090872i,-0.00014314+0.00099849i,0.00017264+6.2972e-05i,0.00048481-0.00032703i,0.00031677-0.00025206i,-0.00010873+0.00076041i,-9.4707e-05+0.00098123i
0.00024649+0.00019447i,-7.1763e-05+0.00026464i,-0.00089346+0.00049583i,-0.0024075+0.00034422i,-0.0026025-7.513e-05i,-0.00050345+0.00059592i,0.00048593+0.0010527i,-0.00051184+0.00056503i,-0.00080617+0.00058483i,-0.00032635+0.00075615i,0.00037124+0.00013515i,0.00054375-0.00027026i,0.00019875+1.8358e-06i,-0.00021356+0.00033872i,-0.00061096-7.9223e-06i,-0.00024228-3.4666e-06i,0.00010792+5.5056e-05i,-0.00043082+9.5141e-05i,-0.00075811-0.00023461i,-0.00038333-7.2547e-06i,0.00065399+0.00054476i,0.0015839-0.00011969i,0.0016057-0.00043422i
-0.00051107+0.00090412i,-0.00028264-0.0001453i,-0.00092236-0.00050663i,-0.0017986+0.00055317i,-0.0012104+0.0017492i,0.00060113+0.0015489i,0.0013529+0.00086836i,0.00032442+0.0010131i,0.0001944+0.0005553i,0.00073191+0.00091345i,0.00032717+0.0012421i,7.5088e-05+0.00075598i,1.6108e-05+0.00041898i,-0.00021966+0.0004492i,-9.1728e-05+0.00044387i,-0.0003799-0.00026111i,-0.00068891-0.00064218i,-0.0003419-0.00078374i,0.00039275-0.0010128i,0.00066458-0.0012286i,0.00079381-0.0008009i,4.6853e-05-0.00025967i,-0.00083207-0.00018219i
9.9305e-05-0.0015775i,4.85e-05-0.0017806i,-0.0010687-0.0019612i,-0.0022215-0.0010503i,-0.002344+0.00054003i,-0.0012237+0.0013483i,0.000151+0.0011284i,0.00064517+0.001093i,0.00019957+0.00051299i,-0.00064275-2.7667e-05i,-0.0011446-0.00018293i,-0.0012956+0.0004347i,-0.001017+0.00080767i,-0.0006991+0.00019436i,-0.00017293-0.00028139i,-0.00014282+9.932e-05i,-0.00077536+3.846e-05i,-0.00031793-0.00020425i,0.00068455+0.00049193i,0.0007343+0.00013874i,9.0029e-05+0.00017706i,-0.00068831+0.00053661i,-0.0010898+0.00051621i
-0.00076043+0.0022162i,-0.00060586+0.0013455i,-0.00085147+0.00036831i,-0.0013976+0.00038531i,-0.00099844-6.7318e-05i,0.00065871-0.00056383i,0.0014341-0.00082328i,0.00046125-0.00054032i,-1.1213e-05+0.00059156i,0.00034803+0.00091288i,0.00020959+0.00082825i,0.00012662+0.00038427i,-0.00020319+3.6875e-05i,-0.0010081-8.0345e-05i,-0.0015154-0.00021993i,-0.00051025+0.00010967i,0.00065736-0.00025736i,0.00087991-0.00056192i,1.3815e-05-0.00047962i,-0.00097093-0.00070467i,-0.0010625-0.00033889i,-0.0010325-0.00029732i,-0.00046983-0.00019988i
0.00071906-0.00076401i,2.4559e-05-0.00070228i,-0.0015581-0.0011196i,-0.0020762-0.00058941i,-0.0021336+0.0011426i,-0.0018414+0.0016225i,-0.0013566+0.0018928i,-0.0011278+0.0021155i,-0.00033264+0.0012427i,0.00046316+0.00026454i,0.00027106+0.00017036i,-0.00057771+0.00068297i,-0.00010113+0.00081088i,0.0002833+0.00050679i,-0.00054551+0.00062738i,-0.00084742+0.00028525i,0.00013921-0.00017142i,0.00082311-0.00020672i,0.00057355-0.00027134i,0.00055228-8.5668e-05i,0.0005272+8.743e-05i,-0.00017495-0.00019993i,-0.00079761-0.00013232i
-0.00012858-0.00021096i,-2.4509e-06+0.00032493i,-0.00022011+0.00040375i,-0.00056285+0.00048845i,-0.00097624+0.0005362i,-0.00067796+0.00064351i,0.00059084+0.0007377i,0.00069397+0.0015245i,-0.00081928+0.0016488i,-0.00072573+0.0013299i,-0.00049554+0.0007585i,-0.00083029+0.00021083i,-0.00014551-3.8802e-05i,0.0010368+6.3849e-05i,0.00095653+0.00067546i,-0.00023491+0.000969i,-0.00073426+0.00029661i,-0.00053141-0.00020061i,-0.00017414-0.00073735i,0.00053758-0.00064153i,0.0011393+0.00061102i,0.00086189+0.00058443i,0.00045289-7.5611e-05i
-0.0011978+0.00095367i,-0.0011439+0.00074182i,-0.0015859-1.3069e-05i,-0.0019889-0.00011334i,-0.001788+0.00060392i,-0.0003279+0.00061999i,0.00043222-0.00020016i,-0.00015333+4.1866e-05i,-0.00072022+0.00046719i,-1.7317e-06+6.8073e-06i,0.00068119-0.00033836i,0.00024802-0.00016122i,5.8666e-06-0.00038573i,-0.00014112-0.00082654i,-0.00040642-0.00039588i,-0.00014859-0.00020865i,0.00028683+0.00020965i,0.00032143+0.0001002i,-6.0377e-05+0.00023137i,-0.00037751+0.00061446i,-0.00035695+0.00023494i,7.8624e-05-0.00034951i,0.00017372-0.00024635i
-1.9848e-05-0.0011685i,0.00011678-0.0010401i,-0.0013869+3.8916e-05i,-0.002203-1.1169e-05i,-0.0018011-0.00025757i,-0.00024918-0.00031039i,0.001297-0.00016078i,0.00075881+0.00028942i,1.0942e-05+0.0013972i,-0.00029186+0.0020525i,-2.9032e-05+0.0014252i,0.00082343+0.00074004i,0.00017505+0.00080283i,-0.00058486+0.00086246i,-0.00066827+9.7041e-05i,-0.0011254-0.00055668i,-0.0012952-0.00049085i,-0.00043997-0.00092981i,-3.385e-05-0.00084417i,-3.3636e-05-0.00082089i,-0.00010927-4.3667e-05i,0.00044189+0.0012331i,0.0011992+0.0007264i
0.00057302+0.00015544i,0.00063974-0.0011427i,0.00044686-0.0016651i,-0.00069987-0.00097691i,-0.0024564+0.0008584i,-0.0023112+0.0018541i,-0.00097525+0.0020781i,-0.00019588+0.0019254i,0.00020641+0.0015186i,0.0007599+0.00095872i,0.00091288+0.00083543i,0.00031831+0.00066895i,-0.00039459+0.00011135i,-0.0005673+7.8412e-05i,-0.00018881+4.1819e-05i,0.00040399-0.00022047i,0.00080705+0.00028824i,0.00038067+0.00050484i,-0.00038509-0.00024824i,-0.00022412-0.0005415i,0.00025921-0.00065569i,0.0005265-0.00090294i,0.00016724-0.00043315i
-0.00054617-0.00018498i,-0.00027465+0.00037732i,-0.00096025+0.00068425i,-0.0022909+0.00050881i,-0.0028698+0.00050875i,-0.0018231+0.00049846i,-0.00041425+9.0726e-05i,-0.00024133+0.00012443i,-0.00038508+0.00074955i,0.0007724+0.0012223i,0.00072921+0.00078203i,-1.4627e-05-5.7001e-05i,-0.00029998-0.00014239i,-0.00051982-5.9075e-05i,0.00032022+0.00015607i,0.0013893+0.00050884i,0.0013228+0.0002515i,0.00052162-0.0003996i,-0.00028129-0.00059316i,5.8492e-05-0.00015629i,0.0014801+0.00013332i,0.0016571+0.00052398i,0.00032561+0.00051437i
-0.0023648+0.00071371i,-0.0015493+0.00017194i,-0.0013931+7.4584e-05i,-0.0018219+0.00020519i,-0.00069969+0.00047044i,0.0012066+0.00049539i,0.0019357-0.00032172i,0.00094771-3.884e-05i,-0.00017023+0.0009968i,-0.00061254+0.0011054i,-0.0005087+0.00093026i,9.3143e-05+0.00055375i,-0.0006212-0.00053519i,-0.00076797-0.00056872i,-0.00029905+0.00064924i,-0.00041544+0.001082i,-0.00052698+0.0008009i,-0.00010638-0.0001051i,0.00028062-0.00078097i,0.00034818-0.00076937i,0.0005499-0.00044274i,0.00063655+7.6502e-06i,0.0010097+0.00039424i
0.0012737-0.00092139i,0.0010118-0.0010133i,0.00010202-0.0013537i,-0.0019763-0.00086584i,-0.0029801-0.00060849i,-0.0013322-5.0375e-05i,-5.3753e-05+0.00087808i,-0.00030704+0.0016117i,-0.00046241+0.0012273i,0.00013429+0.00073426i,-0.0001791+0.0009435i,-0.00018885+0.00096821i,0.00012564+0.00098721i,-0.00040878+0.00071301i,-0.0003451+0.00033319i,0.00040273-0.00022835i,0.00062244-0.00010486i,-0.00029654+0.00043303i,-0.0014892+0.00025037i,-0.0012002-0.00010948i,0.00033024-4.9057e-05i,0.00040364+0.00024884i,-0.000475+5.0836e-05i
0.00095121+0.00038719i,0.0012206-0.00041737i,0.00013831-0.0004316i,-0.0011517-0.00012779i,-0.00099903-0.0002676i,-0.00048297-0.00085364i,-5.769e-05-0.00039496i,0.00063667+0.00032618i,0.00079081+0.00032369i,-0.00025692+0.00024118i,-0.00030281-0.00039863i,0.00011732-0.00021194i,-0.00076702-1.3415e-05i,-0.0013152-0.00026894i,-0.0011181+9.9481e-05i,0.00015649+0.00024039i,0.0010024-0.00023228i,0.000535-4.4828e-05i,0.00043478-8.3635e-05i,-0.00029503-0.00031899i,-0.00069065-1.4768e-05i,5.4823e-05+9.4508e-06i,0.0010639+0.00029883i
0.002206-0.00087002i,0.00075863-0.0011365i,-0.0013892-0.001668i,-0.002592-0.0015045i,-0.0019113-0.00042068i,-0.00058556+0.00071781i,-0.00071028+0.00090919i,-0.00048764+0.0011867i,0.00040525+0.0020048i,0.00058888+0.0020916i,0.00088293+0.002054i,0.00015709+0.0017932i,-0.00072194+0.00091514i,-0.00063776+0.00025955i,-0.0005368+0.00054561i,-0.00024556+0.00035956i,0.00044482+0.00042044i,0.00045312+0.00011293i,7.4552e-05-0.00037006i,-0.00021447+2.764e-05i,0.00052784+0.00038134i,0.00056998+0.00010517i,-0.00024058-4.8604e-05i
0.00025546+0.0007497i,0.00044936+0.00043847i,-1.8156e-05+0.00097126i,-0.00050701+0.0015982i,-0.00066259+0.0015736i,-0.00073813+0.0016914i,-0.00074851+0.00079551i,-0.00063707+0.00055846i,-0.00021157+0.00079394i,9.5906e-05+0.000877i,-0.00049514+0.001139i,-0.00050123+0.00033096i,0.00013146-0.00053032i,0.00042945-0.00022845i,0.00031615-0.00033974i,0.00013223-0.00087612i,-5.6769e-05-0.00060809i,-4.2353e-05-0.00062402i,-0.00019486-0.0010928i,-0.00032884-0.001084i,-0.00054697-0.00055042i,-0.00067156+4.4297e-05i,-0.00095382+0.0001519i
-1.0984e-05-0.00078345i,-0.0012038-0.0012451i,-0.0014917-0.0023324i,-0.0022357-0.002406i,-0.0024136-0.0017807i,-0.0017573-0.00074186i,2.6245e-05+0.00013058i,-1.5414e-05+0.0011224i,-0.00060374+0.0008342i,0.00016674+0.0003165i,0.00034728+0.00085753i,-0.00032739+0.0005579i,-0.00076446-0.00014404i,-0.00032424-0.00017348i,-0.00049158-3.7545e-05i,-0.00060378+0.00082205i,-9.2262e-05+0.0007702i,0.00026746+0.00017103i,0.00030742+0.00053125i,0.00057639+0.00033075i,0.00052027+0.00035969i,0.00017219+0.00044355i,-0.0001093-8.4171e-05i
