0.00010649-0.00035654i,-0.00062773-0.0010009i,-0.0013514-0.00077553i,-0.00097404-0.00073794i,-0.0017199-0.00039559i,-0.0023141+0.00062946i,-0.0023093+0.00061987i,-0.0011046+0.00039709i,0.0007862+0.00024547i,0.0014622+0.00021457i,0.0016413+0.00012218i,0.0020402-0.0007391i,0.0019541-0.0010129i,0.0010163-0.0011335i,-0.00059676-0.0015704i,-0.0012971-0.0014098i,-0.00010893-0.00040328i,4.1821e-05+0.0002061i,-0.00012054-0.00016035i,-8.3149e-05-0.00025596i,-0.0004721-0.00083828i,-0.00018236-0.0013i,0.00020454-0.00082371i
-0.00090612-0.00010734i,-0.0012634+0.00055612i,-0.00043914+0.001646i,0.0005039+0.0033217i,0.00047365+0.0033692i,0.00010776+0.0024255i,0.00011248+0.0014482i,0.00024014+0.0006177i,0.00011657+0.00055142i,0.00018657+0.0007603i,0.00061529+0.00044055i,0.0011996-0.00050631i,0.0015396-0.0010998i,0.0012504-0.00068704i,0.00085169-2.4257e-05i,0.00091521+0.0004761i,0.00092736+0.00022313i,0.00043458-0.00058948i,0.00022369+1.6872e-05i,0.00060871+0.0012969i,0.00029313+0.00078862i,-0.00014684+0.00018549i,0.00023603+0.00024445i
-0.00065562+0.00018092i,-0.0010736+0.00077505i,-0.0017821+0.00013081i,-0.00058223+0.00035672i,0.0010167+0.00047417i,0.00068919+0.00015164i,0.00020784+0.00052302i,0.00044483+0.00095012i,0.00076492+0.00038938i,0.00040669-0.00058512i,0.00046394-0.00060465i,0.00075873-0.00036378i,0.00039421-0.0005762i,0.00011428-0.00096597i,-0.00038702-0.00097588i,-0.00076643-0.00062267i,-0.00013181-0.00021514i,0.00049304-0.0005921i,0.00044237-0.00023255i,-0.00018508+0.00025068i,-0.00028498+0.00029069i,0.00051788+0.00045616i,0.00052665+0.00041182i
-0.0024494+0.001584i,-0.0020662+0.0020807i,-0.0019147+0.0030797i,-0.0010845+0.0035778i,-2.3706e-05+0.002456i,-4.2814e-05+0.00059605i,-7.6021e-05-0.00099185i,0.00074211-0.0010193i,0.0011547-0.00046454i,0.00092121-0.00019021i,0.00063954+0.00031447i,0.00078799+0.0011118i,0.00052793+0.0008518i,-3.3094e-05+0.00024279i,-1.1593e-05-3.3488e-05i,0.00041852-0.0010302i,3.3787e-05-0.0011584i,0.0002077-0.00059861i,0.0001006-0.00028265i,7.5433e-05-0.0001252i,0.00092103-0.0002996i,-9.8326e-05+0.00036743i,-0.0005288+0.00064415i
3.641e-05-0.0016069i,0.00035877-0.0009759i,4.9228e-05-0.00022875i,-0.00024811+0.00079199i,-0.00081625+0.00093424i,-0.00041017+4.0337e-05i,0.00031527-0.00047139i,0.00047937-0.0006317i,6.3139e-05-0.00040802i,6.8106e-05-0.00039912i,0.00080186-0.00025258i,0.0011459+0.0003723i,0.00019174+0.00015742i,-0.00041303-0.00034077i,-0.00041072-0.0005046i,-0.0011003-0.00013863i,-0.0015136+0.00019154i,-0.00085109-0.00016727i,-9.4777e-05-2.9657e-05i,-0.00019843-0.00011088i,7.8828e-05-0.0003528i,0.00018923+0.00017208i,0.00021656+3.6376e-05i
-0.00023329+0.0012645i,0.00046858+0.00089531i,0.00066877+0.0003547i,-0.00049131-1.5383e-05i,-0.00096887+0.00064387i,-0.00046826+0.0014315i,-0.00041701+0.00089191i,0.00026126+0.00014926i,0.00075048-0.00048678i,0.00067581-0.00048395i,0.00056828-0.00041052i,0.00035494-0.00047191i,0.0003889-0.00064615i,0.00011932-0.00077821i,-0.00033396-0.0011483i,-0.00024914-0.0016276i,-0.00013809-0.001116i,-8.0852e-05-0.00037181i,1.7353e-05-0.00011683i,-4.2877e-05-0.00011593i,-2.573e-05-0.00033708i,0.00013768-0.00020195i,-1.5949e-05+0.00056509i
0.00075493-0.00071444i,0.0011095-0.00028657i,0.00064065-0.00055186i,0.00056764-0.00057699i,0.00069844-0.00098041i,0.00074012-0.00043617i,0.00035418+0.00032082i,-0.00063695+0.0001345i,0.00013248+0.00020927i,0.0006269+0.0008788i,0.00041092+0.0011348i,0.00093272+0.0013995i,0.00056551+0.000566i,-0.00013101-0.00083755i,-0.00013739-0.00095087i,7.8657e-05-0.00059072i,0.0005801-1.9704e-05i,0.00040621+0.0002219i,0.00021399-4.84e-05i,0.00036333-0.00020774i,0.00041479+0.00053514i,0.00014982+0.0013577i,-5.5904e-05+0.00051115i
0.0010498+1.9682e-06i,0.00060653-0.00019559i,0.0003356+0.00076469i,-0.00017328+0.0013821i,0.00041512+0.0010772i,0.00060999+0.0010871i,0.00015728+0.0011236i,0.00021006+0.0007658i,0.0001817+0.00048092i,-9.269e-05+0.00062259i,0.00057828+0.00087221i,0.00077901+0.00075254i,0.00041436-0.000238i,-0.00027096-0.00077975i,-0.00035073-0.00022991i,-0.00047839-0.00033191i,-0.00088316-3.1831e-05i,-0.00064103+0.00056501i,-0.00048701+0.00071959i,1.6806e-05-0.00022127i,-1.9258e-05-0.0017104i,-0.00013219-0.0010607i,0.00037031-8.0621e-05i
0.0022028-0.00096023i,0.0013591-0.0012145i,0.0011625-0.00059857i,0.0006275+0.00021311i,-0.00017471-0.0002036i,7.2276e-05-0.00043905i,0.0014438+0.00056345i,0.0013888+0.00074318i,0.0005464+0.00043793i,0.00075864+8.3718e-05i,0.0010784-0.00019292i,0.00078113-0.00010539i,0.00056058+0.0005833i,0.00012826+0.00036013i,-0.00032764-0.00096786i,-0.00029359-0.00091868i,-0.0010216-0.00036168i,-0.0014101-0.00010775i,-0.0011824+0.00048821i,-0.0005835+0.00058357i,0.00015916+0.0003574i,0.00048168-9.8351e-06i,0.00051746+0.00013451i
0.00023394+0.003109i,8.7712e-05+0.0020898i,0.00031882+0.0023815i,0.0007102+0.002265i,0.00044063+0.00081162i,-0.00018543-0.00059025i,-0.00026432-0.00020535i,-0.00013416+0.00085355i,0.00069241+0.00059489i,0.0012451+0.00060562i,0.0011124+0.0004463i,0.0012673+0.00012639i,0.00038145-0.00032597i,-0.00033382-0.0006392i,4.0042e-05-0.00062574i,0.00037367-0.00064921i,0.00030751-7.9906e-06i,0.00064141+0.00079929i,3.2245e-05+0.00079026i,-0.001004+0.00020245i,-0.00058318-0.00037807i,0.00028165-0.00035959i,0.00048695-9.1957e-05i
0.0013769+0.0012799i,0.0016071+0.0010018i,0.0018119+0.001094i,0.0023017+0.0011265i,0.0020394+0.00016842i,0.0010431-0.0012948i,0.00037826-0.0014272i,-8.8698e-05-0.0010499i,6.1631e-05-0.00017499i,0.00010961+0.00054064i,0.00018557+7.7246e-05i,0.00070684-0.00032735i,0.00082618+3.8147e-05i,0.00015828-0.00036195i,-0.00011385-0.0011214i,-0.00033151-0.00075332i,0.00017671-0.00049815i,0.0006239-0.00050446i,0.00070936+0.00027418i,0.0007249+1.692e-05i,0.00097416-0.00045502i,0.00078026-0.00030594i,-0.00025074-0.00056019i
