-0.0013886-0.00038945i,-0.0010596-0.000961i,-0.00042585-0.00073584i,-0.0012208-0.00090359i,-0.0028626-0.001865i,-0.0030489-0.0010163i,-0.0014838+0.00037985i,-0.00082923+0.0006981i,-0.00035387+0.0004287i,-0.0002335+0.00026325i,-0.00049941-3.831e-05i,-0.00010251-0.00017784i,0.00012658-0.00047526i,4.4454e-05-0.00092328i,-0.00037767+4.8443e-05i,-0.00055372+0.00067663i,-0.00068274+0.00046976i,-0.00075527+0.00095299i,-0.00080896+0.0010057i,-0.00037707+0.00035307i,0.00044279-0.00061697i,0.00082533-0.00062527i,0.00060426+0.00018954i
-0.0005008+0.00020351i,0.00073444-3.4657e-05i,0.00089365-0.00035895i,0.0012055-0.0010659i,0.001977-0.0013515i,0.0016143-0.00054139i,0.001364+0.00045908i,0.0010631+0.00027649i,0.00055317-0.00032084i,0.00045811-0.00010306i,4.1495e-05+3.9588e-05i,-0.00031685-0.00046041i,6.9212e-05-0.00073243i,0.00035249-0.00016561i,-0.00029581+0.00064662i,-0.00068327+0.00069387i,0.00030541+0.00057605i,0.00051763+0.0010523i,0.00016788+0.00067179i,-9.0171e-05-0.00059763i,-2.6772e-05-0.0011137i,2.4543e-05-0.0012112i,-0.0005755-0.00061708i
0.00082744-0.00044315i,0.0018743-0.00071573i,0.0018987-0.0010941i,0.0010884+0.00029076i,0.00047693+0.0017996i,0.00013501+0.0012894i,0.0002445+0.00077886i,0.00046006+0.0003428i,0.0007743-0.00037293i,0.00072608-3.208e-05i,0.0010274+0.00018316i,0.0010322-0.00027427i,2.7462e-05-0.00050186i,-0.0013885-0.00044413i,-0.0014158-0.00020542i,-0.00027486+0.00024071i,1.2574e-05+0.00043002i,3.6012e-06+0.00060215i,0.00018372+0.0001477i,0.00028065-0.00034557i,0.0002852+0.00052562i,0.00091085+0.00048196i,0.0011551-3.5779e-05i
-0.0012544-0.00064948i,-0.00054672-0.00037745i,-0.00011809+0.00031896i,-0.00080682+0.00038391i,-0.0017401+0.00049031i,-0.0012806+0.00054031i,-8.2729e-05+0.00057983i,0.00017929+0.00058218i,0.00012014-5.5634e-05i,0.00021796+0.00036991i,-0.00033029+0.00035186i,-0.00040393-0.00030652i,-0.0001884-2.2304e-05i,-0.00019851+0.00015019i,-0.00083592-0.00036888i,-0.001457-0.00065222i,-0.0009864-0.00076729i,-5.7214e-05-0.0010086i,0.0003761-0.0012548i,-0.00018285-0.00044934i,0.00028185+0.00033094i,0.00066525+0.00063934i,-0.00034014+0.0009984i
0.00039284+0.00049255i,0.0002509+0.00028922i,0.0016952-0.00059989i,0.0026408-0.0011705i,0.0026181-0.0010103i,0.0016105-7.9577e-05i,0.00073798-0.000318i,0.00074278-0.0010004i,0.00022729-0.00088218i,0.00053513-0.00057823i,0.0010162-0.00039236i,0.00064449-0.00033188i,-9.821e-05-5.9585e-05i,-0.00021893+4.492e-05i,-3.0012e-05-0.0001555i,-0.00029744+0.00014022i,-0.00086955+0.00073821i,-0.0011648+0.0007959i,-0.00075074+0.00095533i,-0.00015507+0.0013601i,-8.1248e-05+0.00096001i,-0.00016403+0.00076969i,-0.00038875+0.00041009i
-0.0017705+0.00081102i,-0.0013867+6.4451e-05i,-0.00019829+0.0010043i,0.0003334+0.0014491i,0.00034314+0.00038326i,0.00054656-0.00070456i,0.0002737-0.00011466i,0.00017188+0.00039592i,-0.00021763-5.2117e-05i,0.00033804-0.00038796i,0.00080426-0.00012956i,0.00039316-0.00046644i,-9.4345e-05-0.0010153i,-0.00076359-0.00050747i,-0.0015653-2.3374e-06i,-0.00091528+9.3798e-05i,0.00016771+0.00018896i,-0.00026101+0.00019158i,-0.00070561+0.00065696i,-0.00067354+0.00092461i,-0.00035995+0.00038331i,-0.00021255-0.00034767i,0.00031049-0.00041863i
-0.00069033-0.00060041i,5.8833e-06-0.00016094i,0.00057925-0.00020078i,0.00054746+0.0007972i,0.00014791+0.000884i,-0.00027737+0.0008826i,-0.00062051+0.0015702i,-0.00061962+0.00093879i,-0.00046181-6.1506e-05i,-0.00044751-0.00024379i,-0.00020414-0.00071629i,-0.00015513-0.0012371i,-0.00013795-0.0014884i,-0.00069981-0.00087848i,-0.00093123+8.5086e-05i,-0.00094953+0.0007486i,-0.00071559+0.00070887i,5.7962e-05+0.0011295i,0.00039676+0.0011354i,0.00068678-0.00013091i,0.00084247-0.0012353i,0.00017748-0.0010697i,-7.1545e-05-0.00073172i
-0.0001732-0.00021344i,-0.00079134-0.00077254i,-0.00088309-0.00092667i,-0.00084075-0.00066658i,-0.0010154-0.00040477i,-0.00067294-0.00020345i,-9.5821e-05+3.5893e-05i,-0.00017119+0.00093379i,-0.00027031+0.00077858i,0.00011443-8.029e-05i,0.00032586-0.0002458i,-0.00023393+0.00065115i,-0.00075055+0.00082282i,-0.00081123+0.00027981i,-0.00090099+0.00038241i,-0.00090237-0.00014033i,8.2909e-05-0.00063633i,0.00022632-0.00050127i,-0.0004172-0.00043062i,-0.00070606-0.0005571i,-0.00043012-0.00065103i,-0.00014194-3.641e-05i,0.00013881+0.00042505i
5.6201e-05+0.0019347i,-0.00028197+0.0030091i,0.00026685+0.0027945i,0.00072563+0.0012972i,0.00098428+0.00068635i,0.0010969+0.0003453i,0.00040738+0.00034823i,2.8372e-05+0.0002453i,-0.000346-4.7141e-05i,-0.00029061+0.0001795i,0.0001365+0.00013902i,0.0002802-0.00062416i,-0.00014031-0.0010644i,-0.0011539-0.0004478i,-0.0014212-0.00010591i,-0.001248-0.00057352i,-0.00080922-0.00081462i,-0.00068363-0.00038199i,-0.00040081+0.00019434i,0.00024234+0.00042327i,0.00014738+0.00024679i,-0.00010868-0.00046801i,0.0003852+0.0001127i
-0.00041643+0.0011426i,2.5828e-05+0.00024239i,0.00020162-0.00049626i,-0.00016624-0.00025776i,0.00036472+0.00046211i,0.00076096+0.00065253i,0.00055689-0.00011505i,0.00010984-0.00058271i,-0.00019014+0.00015707i,-0.0002101-9.1346e-05i,-8.9527e-05-0.00046775i,0.00012564-0.00072723i,0.0001871-0.0010555i,-0.00050724-0.0010521i,-0.0013865-0.00048949i,-0.00077732-0.0003461i,-0.00032836-0.00056915i,-0.00034949+0.00043158i,0.00012892+0.000768i,0.0002327+0.00034716i,0.00044686+0.00030081i,0.00047908+0.00042934i,9.5071e-05+0.0004945i
0.00032552+0.0010313i,0.00062578+0.00181i,0.00035846+0.0017784i,0.00076876+0.0012123i,0.00147+0.00035768i,0.00078436+7.8803e-06i,0.00051862+0.00032773i,0.00048151+0.00050965i,-0.00015937+0.00052008i,-0.00052025+0.00084278i,-0.00026815+0.0006329i,0.00022349-0.00030456i,0.00023778-0.00092885i,-0.00020466-0.00084956i,-0.00087297-0.00046755i,-0.00055287-0.00019641i,-0.00072285+7.1168e-05i,-0.0013101+1.4049e-05i,-0.00091233+0.0001517i,-0.000136+7.6717e-05i,0.0001738+0.00029458i,0.00011322+0.0011216i,3.5342e-05+0.0012994i
