-0.00055251+7.2048e-05i,-0.00024883-8.8436e-06i,-0.00017925-0.00056639i,-0.00037372-0.0018814i,-0.00013042-0.0022803i,-0.00066838-0.00057397i,-0.0013873+0.0010361i,-0.00059836+0.0022387i,0.0013735+0.0016156i,0.0022047+0.00012512i,0.0011364-0.00029046i,0.00056804+0.00027285i,0.00054368+0.00056839i,0.00017784-0.00012481i,3.3118e-06-0.00083244i,-0.00049012-0.000439i,-0.00063887+7.6089e-05i,-0.0006064-0.00081354i,-0.0010323-0.00067736i,-0.00071541+0.00057682i,-0.00013437+0.00047118i,1.2766e-05-0.0002256i,2.8922e-05-0.00042331i
0.0016674-0.00011088i,0.00067394+0.00042983i,0.00085516-0.00042223i,0.00075399-0.00086402i,0.00041575-0.0015772i,-0.00030045-0.0018121i,-0.00028785-0.00046167i,0.00063416+0.0010532i,0.001448+0.0018147i,0.0013515+8.9596e-05i,0.0011091-0.00094301i,0.00073709-0.00047038i,0.00056194-0.00040375i,0.00046183-0.00051944i,0.00086649-0.0011808i,0.0012434-0.0017644i,0.00089899-0.0015889i,0.0003975-0.001264i,0.00012785-0.00015115i,0.00049905+0.00056564i,0.00062491+0.00045667i,0.00051418-0.00024545i,0.00045512-0.00082196i
-0.0024607-0.0014562i,-0.0016525-0.0012288i,-0.0012607-0.00039767i,-0.00085613-0.00069052i,-8.8354e-05-0.0015282i,0.00042129-0.0012493i,0.00041672-0.00059749i,0.00042108+0.0003423i,0.00038854+0.0015099i,0.0006771+0.0014416i,0.00073427-2.0971e-05i,0.00057733-0.00098394i,0.00081903-0.00081314i,0.00087382-0.00069259i,0.00029763-0.00037681i,-0.00022087+0.0002014i,-0.00015054+0.0001926i,0.00036498-5.9596e-05i,0.0010698-0.00025155i,0.00044335-0.00050978i,-0.00050461-0.00065364i,-0.00094278-0.00015124i,-0.00033251+0.00026938i
0.00016849+0.0008029i,-0.00015709+0.0014551i,0.0012901+0.0017795i,0.002543+3.7923e-05i,0.0016846-0.0022953i,-0.0012405-0.0023704i,-0.0023961-0.00060598i,-0.00063798+0.00061435i,0.0014695+0.00053831i,0.0023937-1.7987e-05i,0.0010573-0.00041086i,0.00014818-0.00079258i,-0.00030842-0.00014488i,-0.00044541+0.00063343i,0.00015544+0.00062129i,0.00015871-4.1341e-05i,-0.00016696-0.00032646i,-0.00036033-0.00058683i,-0.00044603-0.00021294i,-3.7107e-05+0.00070925i,-0.0001154+0.00077124i,-0.0002048-0.00050141i,-0.00037923-0.00093599i
-9.3354e-05-0.0001706i,-0.00037954-0.00032223i,-0.00024539-0.001417i,0.00092246-0.0018724i,0.0011866-0.0011102i,0.00096295-0.00072786i,0.00092999-0.00062886i,0.001378+0.00073585i,0.0014752+0.0013241i,0.0012744+0.00094628i,0.0016502+0.00081596i,0.0016533+0.0005341i,0.00041969+0.00044244i,-0.00027391-4.8986e-05i,0.0005595-0.00027899i,0.00055807+0.00011528i,-5.3868e-07+0.00022042i,0.00012398-0.0003618i,-5.3573e-05-0.001115i,-0.00031798-0.0011168i,-0.00016432-0.00032193i,-0.00010797-8.7134e-05i,0.00019461-0.00051046i
-0.00063571+0.0003469i,0.00026223+0.0012621i,0.00052015+0.00079481i,0.00068096-0.00084565i,0.00029836-0.0013587i,-0.00028675-0.00046155i,-0.00032446-8.7159e-05i,0.00077379-0.0001369i,0.0021501+0.0011271i,0.0021698+0.0017412i,0.0011034+0.0009233i,0.00026854+0.00031429i,0.00032733+0.00058459i,0.00023791+0.00078441i,0.00049647+9.6871e-05i,0.0010522-0.00029089i,0.00056929-0.00026967i,0.00023508-0.00040497i,0.00054681-0.00046274i,0.00035108-0.00032109i,-0.00023472-9.4074e-05i,9.1005e-05+0.00047271i,-5.5798e-05+0.00068589i
-0.00078212-0.00014913i,-0.00017993-6.5322e-06i,0.00010671-0.0012469i,-0.0010479-0.0028399i,-0.0010827-0.0039815i,-0.0010083-0.0032695i,-0.0013687-0.0013184i,-0.0002924-6.3748e-05i,0.0010762+0.00072457i,0.00029535+0.00046088i,-0.0002285+0.00016819i,0.00055116+0.00089964i,0.00064267+0.0007972i,-0.00012692+9.8783e-05i,5.6231e-05-0.00034054i,0.0003209-0.00061644i,0.00034864-0.00011618i,7.2747e-06+0.0001464i,-0.00013834-0.00068268i,0.00010593-0.00062335i,-0.00046748-0.0002685i,-0.0004437-8.755e-05i,-8.5175e-06-0.00015408i
0.0012564+3.9725e-05i,0.00094193+0.0014879i,0.0010283+0.0020452i,0.00047243+0.00067667i,0.00045341-0.0011627i,0.00085897-0.00080384i,0.00028297+0.00052171i,0.00011935+0.001146i,0.0012274+0.001175i,0.0019347+8.3582e-05i,0.0010706-0.00082432i,0.00041338-0.00079925i,0.00026139-0.00023622i,0.00057162+0.0003913i,0.0009497+0.0012402i,0.001137+0.00065281i,0.00097412-0.00085682i,0.00070944-0.00095837i,0.00052439-0.000749i,0.00017653-0.0012491i,-3.8146e-06-0.0011134i,0.00022747-0.00023971i,0.00013898+0.00083367i
-0.00014045+0.0010252i,-0.0002609+8.0056e-05i,0.00020907-0.0015098i,0.00033768-0.0033039i,-0.0005375-0.0039052i,-0.0010475-0.0023889i,0.00054544-0.00060575i,0.0017899+0.00071038i,0.0012578+0.0013999i,7.2986e-05+0.00081196i,-0.00053622-2.9543e-05i,-2.5288e-05-8.2552e-06i,0.00033571+1.7408e-05i,-0.00044496+0.00014573i,-0.00049751+0.00020734i,0.00053921-0.00019042i,0.0010423-0.00081639i,0.00056939-0.00065883i,-1.8189e-05-0.00013248i,-6.5364e-05+0.00034004i,5.1959e-05+0.00073327i,-0.00054602+0.00059792i,-0.00044473+0.00043467i
0.00056911+0.0012472i,0.0003759+0.0013584i,0.00085229+0.0015398i,0.0016429+0.00048879i,0.0010402-0.0012141i,-0.00019641-0.0018273i,-0.00029638-0.0013117i,0.00074933+0.00019415i,0.0012461+0.0012007i,0.0013957+0.00053468i,0.0006145-0.00026091i,-8.6455e-05-0.00032525i,7.6623e-05-0.00016621i,-0.00077221-9.3811e-05i,-0.00070686-0.00048687i,0.00055927-0.00038593i,0.00040377+0.00010176i,-0.00016173-1.1531e-05i,-0.00052766-0.00042743i,-0.00068396-0.00033128i,-3.1033e-05-6.3316e-05i,0.00011222-8.5533e-05i,7.4546e-05-0.00011523i
-3.2397e-05-0.00076494i,0.00036461-0.0017248i,0.00076044-0.0020416i,0.00032295-0.0017219i,-0.00032763-0.0018266i,-0.00065293-0.0015996i,-0.00049027+9.5806e-05i,3.3239e-05+0.0010462i,0.0011944+0.0013984i,0.00099188+0.0003765i,0.00041251-0.0010315i,0.00066685-0.0012391i,0.00046028-0.00096203i,-2.7332e-05-0.000197i,0.0005295-0.00035317i,0.0010662-0.0011333i,0.00071519-0.00035284i,-1.4789e-05+0.0010019i,-0.00049692+0.00040632i,8.4732e-06-2.7184e-05i,-0.00037724+0.00021032i,-0.0010677-8.5773e-05i,-0.00022496-0.00054631i
