-0.00036056-0.00049478i,1.4344e-05-0.0015074i,0.00065466-0.00053488i,0.0013571+0.00081848i,0.00072883+0.0011602i,0.00023058+0.00065069i,-0.00049402+0.00066429i,-0.00066047+0.001255i,-0.00076571+0.0017767i,-0.00057966+0.0018988i,0.00074999+0.00091579i,0.00026373+0.00027644i,-0.00062808-0.00010098i,-0.00053208-0.00072462i,-0.00021346-7.8468e-05i,0.0002307+0.00074003i,0.00019525+0.0007675i,-0.00041915+0.00077537i,-0.0008481+0.000548i,-0.00084905-0.00011377i,0.00045681-0.00057858i,0.0013271-0.00035646i,0.00068967-0.00010699i
0.00094648+0.00073106i,0.0024851+0.0010683i,0.0028881-0.00035857i,0.0021892-0.0010445i,0.0010152-0.00098999i,-0.000889-0.00014614i,-0.001305-8.4513e-05i,-0.00065497-0.00086779i,-0.00068729-0.00083552i,-0.00019525-0.00062303i,0.00018476+8.2538e-05i,-4.5662e-05+0.00078713i,-6.704e-05+0.0012549i,0.00019485+0.0011864i,0.00060805+0.00080555i,0.00038789+0.00046007i,-8.077e-07+0.00030645i,-1.0228e-05+0.00023733i,0.00018006-0.0006011i,0.00023467-0.00095942i,-2.9791e-06-0.00036219i,0.00026169-0.00047652i,-0.00018021-0.00079656i
-0.00040521-0.00024091i,0.00011074+3.5854e-05i,0.0018204-1.5509e-05i,0.0019296+0.00054941i,0.00099356+0.00080728i,0.0012854+0.00070874i,0.00073734+0.00031074i,-0.00084187-7.3371e-05i,-0.0017244-0.00063025i,-0.0013317-7.0484e-05i,7.8472e-05+0.001163i,3.6044e-05+0.001055i,0.00015082+0.00098669i,0.0011158+0.001481i,0.00054319+0.0011156i,0.00013023+0.00041077i,0.00049123+0.00012405i,-8.6017e-06+8.5174e-05i,-7.3349e-05+0.00043761i,-1.303e-05+0.00014699i,-0.00016633-3.8019e-05i,0.00032913-0.00044481i,0.00052768-0.00017671i
0.00094165-0.0003655i,0.001066+0.00046118i,0.0012194-0.00037052i,0.0011394-0.0012751i,0.00062126-0.001009i,0.00053552+0.00035222i,0.000309+0.00052311i,-3.2165e-06-0.00042887i,0.00036219-4.5269e-05i,6.4459e-05+0.001019i,8.0226e-05+0.0013602i,0.00050248+0.00053116i,-8.7801e-05-8.7474e-05i,-0.00036687+0.00029314i,0.00048856+0.00020495i,0.00057274-0.00039485i,1.0786e-07-0.00031093i,0.00037317+0.00042323i,0.00027116+0.0008597i,-6.2033e-06+0.00041627i,5.4334e-05+0.00023324i,-0.00039852+0.00035829i,-0.0004719+0.00013369i
0.00064781+5.5441e-06i,0.0015334+0.00075454i,0.0018647+0.00014247i,0.0019708+0.00026569i,0.0011052+0.001127i,0.00017926+0.00048682i,-0.00061581-0.00042849i,-0.0011554+0.00026555i,-0.0012895+0.00057881i,-0.00061091+0.00082663i,0.00057067+0.00078934i,0.0011857-3.3458e-06i,0.0009519-1.7488e-05i,0.00020514-0.00016611i,-0.00029353-0.00028i,0.00018711+0.00052408i,0.00061874+0.0014002i,-0.00027301+0.00074733i,-0.00025793-0.00011917i,0.00063169-0.0004438i,0.00040096-8.1982e-05i,-6.2421e-05-5.9878e-05i,0.00023829-0.00015927i
-0.00036927-0.00030411i,0.0010964-0.00034234i,0.001713-7.3228e-05i,0.0017058-0.0005101i,0.0017157-0.00097301i,0.00099124-0.0011914i,-0.00018499-0.0010198i,-0.001523+0.00010611i,-0.0017014+0.00084356i,-0.00042206+0.00059525i,7.157e-05-0.00010091i,-0.00033086-1.7301e-05i,-0.00060345+0.00039993i,-0.00015585+0.00011494i,0.00032409+0.00020854i,-0.00020558+0.00090376i,-0.00056245+0.0011171i,-0.00060248+0.00040186i,-0.00030286-0.00048977i,-0.00013765-0.00074166i,-0.00048294-0.00018033i,-0.00072567-3.5382e-05i,-0.00060372-0.00034738i
0.0023422-0.00018532i,0.0014961+0.0001172i,0.0017769-5.3453e-05i,0.00084905+0.00025433i,0.00028526-0.00020712i,0.00033531-0.0001757i,0.00023531+1.5242e-05i,-0.00038957-0.00023244i,-0.0015316-2.7707e-06i,-0.0011751+9.337e-05i,-0.00018787-1.9875e-05i,-0.00070247+0.00052401i,-0.0006825+0.001125i,9.0288e-05+0.00095006i,0.00018972+0.00053681i,-0.00019049+0.00029174i,-0.00019502-0.00011481i,5.521e-05+0.00044271i,-0.00015363+0.00098085i,-0.00054992+0.00079769i,-0.00058585-0.00014017i,-4.7859e-05-0.0011921i,4.183e-05-0.001511i
0.00058883+0.00066124i,0.0015419+0.00040202i,0.0018301+0.00039788i,0.002995-0.00018945i,0.0034762-0.00041287i,0.0023561+0.00010912i,0.00062016-9.1601e-06i,-0.00025977-0.00059613i,-0.00060749-0.00043711i,-0.00012046+0.00043631i,0.00062299+0.00076952i,0.00031326+0.00065599i,-0.00044362+0.00060046i,-0.00056297+0.00073565i,0.00047743+0.0011638i,0.00075079+0.0011038i,0.00026263+0.00059878i,5.2019e-05+0.00032099i,0.00023314+0.00024239i,0.00034477+0.00019331i,0.0010828+0.00011496i,0.00080032+0.00035221i,0.00043481+0.00015825i
-0.00047949+0.00069319i,0.00039232+0.00049717i,0.00098421+0.00094753i,0.0014769+0.0012225i,0.0018861+0.00076274i,0.0018076-0.00021969i,0.00062416-0.0010481i,7.597e-05-4.8288e-05i,5.0715e-05+0.00069142i,0.00022616+0.00038554i,0.0004122+0.00070968i,0.00014028+0.00092046i,9.0388e-05+0.00024791i,-0.00039317-3.0863e-05i,-0.00088037-1.167e-05i,-0.00049642+1.7785e-05i,-0.00030089-4.6026e-05i,-6.0327e-05-0.00010037i,-0.00041275+0.00024018i,-0.0013578-0.00012446i,-0.0013662-0.00086745i,-0.00016345-0.0010547i,0.00028502-0.00023505i
0.00086988+0.00055904i,0.0020333-0.00017112i,0.0027279-0.00084823i,0.0027675-0.0011208i,0.0027828-0.00061964i,0.0022536-0.00062576i,0.0012156-0.00066755i,-0.00033101-9.147e-06i,-0.0017153-4.3066e-05i,-0.0013927+7.8919e-05i,-0.00074393+0.0005659i,-0.00072056+0.00016448i,-0.00020566-9.1286e-05i,-2.5281e-05+0.00025804i,-0.00050092-4.0033e-05i,-0.00023878-0.00059471i,-7.2411e-05-0.00065776i,0.00011986-0.00043383i,0.00077031-2.4835e-05i,0.00072464-0.00032103i,0.0005925+3.5046e-05i,0.00055715+0.00084886i,0.00019939+0.0011751i
2.0133e-06+0.0014713i,8.6849e-05+0.00087583i,0.0020463-0.00026021i,0.0020406-0.0013116i,0.001391-0.0013403i,0.0013282-0.00091422i,-7.5241e-05+0.00012043i,-0.0011884+0.00076347i,-0.00044598+0.00021617i,0.0010997-8.6139e-05i,0.0013846-3.7421e-05i,0.00023228+0.00010382i,-0.00070971+0.00054029i,-0.00094671+0.00010007i,-0.00010685+0.00032921i,9.3544e-05+0.00096623i,0.00016595+0.00062595i,0.00095555+0.00032147i,0.00076443+0.0003203i,-0.00017375+0.00010541i,-0.0001449-0.00025115i,0.00053477-0.00035118i,0.00096907-0.0004188i
