-9.9319e-06-0.00048199i,-0.00019512-0.0016547i,-0.00027081-0.0036632i,-7.4871e-05-0.0036323i,-0.00056463-0.0019547i,-0.0019728-0.00046343i,-0.002007+0.00043239i,-0.00067725+0.001106i,0.00037507+0.0012186i,0.00084899+0.00025733i,0.0010514-4.2818e-05i,0.00060559-3.7911e-05i,0.00049625-0.00085317i,0.00089582-0.0011011i,0.00067307-0.00033142i,-0.00026995+1.097e-05i,-0.00055019-0.00026019i,0.00017045-0.00031132i,0.00034398+0.00027286i,0.00025781+0.00021336i,0.00062502-0.00016198i,0.00020775+0.00016089i,-0.00028301+0.00042231i
-0.00076548-0.0017917i,-0.0018974-0.00269i,-0.0031457-0.0034785i,-0.0026015-0.0020812i,-0.001455-0.00058928i,-0.0011057+8.6685e-05i,-0.001201+0.00013573i,-0.0011163-0.00053473i,-0.0002919-0.00096516i,0.00016083-0.00045459i,9.127e-05-0.00018916i,0.00012829-0.00032297i,0.00026209-0.00031331i,-0.0003457-0.00042789i,-0.00060488-0.00036524i,0.00026826+0.00012573i,0.00035935+0.00011193i,0.00020631-3.4642e-05i,0.00025898+0.00026045i,-0.00026909+4.247e-05i,-0.00071685-0.00079914i,-0.00045909-0.00099763i,-0.00024738-0.00047955i
-0.00040497+0.00097905i,-0.00056289-0.00025665i,-0.00046231-9.9461e-05i,-0.00012769+0.00054344i,0.0004601-0.00024016i,0.00097599-0.0014003i,0.00083883-0.00083708i,-1.1876e-07+0.00024245i,-0.00014071-0.00018309i,0.00045275-0.00070823i,0.00057105-0.00074671i,2.8518e-05-0.00022156i,-0.00041479-0.00043066i,4.4999e-05-0.00091554i,1.2967e-05-0.00026127i,-0.00016273+0.0010228i,-0.00034186+0.0011318i,-0.00024229+0.00017068i,0.00061351-1.44e-05i,0.00037386+2.0867e-05i,-0.00020932+5.7906e-05i,-0.00020057+0.00046851i,3.7276e-05+0.00060395i
-0.00030386-0.00070688i,-0.00024028-0.0016781i,0.00025374-0.0013692i,1.788e-05+0.00025671i,-0.00014634+0.00033649i,0.00011756-0.00019964i,0.00055851-0.0003958i,0.0010909+0.000237i,0.0010814+0.00034314i,0.00033893-0.00017771i,-0.0002609-0.00016536i,0.00012472-0.00019355i,-0.00060995+4.9428e-05i,-0.0010562+0.00012273i,-0.00099945+0.00053871i,-0.0009833+0.0012375i,0.00014774+0.0012597i,0.0010125+0.00089773i,0.00064201+0.0002611i,0.00047024+0.00021497i,0.00052191-3.3116e-06i,0.00043487-0.00063131i,-0.00012428-0.0002168i
-0.00076729-0.0012938i,-0.00087217-0.0029652i,-0.0030485-0.0023394i,-0.0035621-0.00053559i,-0.0013501-0.00031521i,-0.0001143-0.00044942i,-0.00063611-0.00029058i,-0.00086571+5.3484e-05i,2.558e-05+0.00033997i,0.00043333+0.00015636i,0.0002174-0.00024129i,0.00037506-0.00032519i,0.00052549+1.4589e-06i,0.00079319+0.00052152i,0.0007102+0.00042403i,0.00052262+0.00016155i,-4.0673e-05-4.7413e-05i,-0.00057857+9.5712e-05i,-0.0005745-0.00025488i,-0.00035982-0.00018389i,-0.00025939-8.2681e-05i,-0.0003286+0.00033254i,-0.0011628+0.0006076i
-0.00023062+0.00084886i,-0.00043153-0.0013873i,-0.00074013-0.0017875i,-0.0005884-0.0011152i,0.00012545-0.00057783i,2.8628e-05-0.00054858i,-0.00037206-0.00088375i,-0.00048056-0.00021209i,-0.00016264+0.00020314i,-0.00011931-0.00059355i,0.00024735-0.0012205i,0.00040335-0.00072367i,-0.00027021-0.00052006i,-0.00062593-0.00080661i,6.0579e-05-0.00080227i,0.00038831-0.00021721i,0.00038136+0.00013303i,0.00064584-0.00014573i,0.00034141-4.8327e-05i,0.00024134-8.8068e-05i,-0.00050823+0.00014801i,-0.00078201+0.00038197i,-0.00078623-1.0042e-05i
-0.00063738+0.00028118i,-0.00036942-0.0010759i,-0.00017849-0.0006371i,0.0003841-4.7654e-05i,0.0011916+0.00032442i,0.00094965+0.00016046i,0.00046157-0.00077522i,0.0003264-0.0003283i,0.00030713+0.00021324i,0.0011642-0.00042496i,0.0011943-0.00016564i,0.00021793-0.00013515i,-0.00019275+0.00019571i,0.00035808+0.00074965i,0.00031474+0.00025629i,0.00036296+0.00037362i,0.0011039+0.00084071i,0.0007592+0.0011533i,-6.8856e-05+0.0014413i,-0.00067526+0.00067646i,-0.00076439-0.0002897i,6.5609e-05-0.00061383i,0.00051462-0.0002079i
-0.00095537-0.0013196i,-0.00090936-0.0020285i,-0.0024003-0.001579i,-0.0030233+5.191e-05i,-0.00082747+0.0007918i,0.00062324+0.00087541i,-0.00018368+0.0010406i,-0.00028347+0.00084454i,-0.00015793+0.00041477i,-0.00010706+0.00029126i,-0.00014317+0.0007398i,-0.000892+0.0010415i,-0.0010088+0.00050717i,-0.00015631+0.00048956i,4.3437e-05+0.00088955i,-0.00050803+0.000435i,-0.00014542-0.00019138i,0.00045601-6.4347e-05i,-0.00031768+7.4943e-05i,-0.0011762-0.0006354i,-0.00081129-0.0005493i,-0.00031873+9.6042e-05i,-0.00053126+0.00038309i
-0.00024292-0.0015192i,0.00045037-0.002522i,-5.5641e-05-0.0020408i,-0.00089315+0.00040414i,-0.00047064+0.0011981i,0.00020716+6.0338e-05i,0.00085928-0.00015148i,0.00070495+0.00016674i,0.00046728+0.00032648i,0.00036154+0.00012739i,-0.00032869-7.0149e-05i,-0.0002602+0.00038733i,-0.00025483+0.00087858i,-0.000703+0.00075295i,-4.8092e-05+0.00015674i,0.00010684-0.00056809i,-0.00051917-0.00090574i,-0.00050349-0.00071827i,-0.00015964-0.0005732i,-0.00021383-0.00034756i,-0.00041019+0.00020537i,-0.00019379+0.00049466i,0.00036594-6.8319e-05i
0.00026773-0.00091898i,-1.7903e-05-0.0014561i,-0.00061248-0.001447i,-0.00083949-0.0011837i,-0.00073519-0.00079909i,-0.0001346-0.0012649i,0.00058862-0.00051498i,0.00014362+0.00088739i,-0.00055846+0.00057738i,-0.00080451-0.00019767i,-0.0005319-0.00084036i,-0.0003075-0.00083796i,0.0001573-0.00012176i,0.0007808+0.00035917i,0.00079369+0.0003571i,0.00093264+0.00011775i,0.0011005-0.00014384i,0.00072733-0.00030646i,0.00049701+0.0002008i,-0.00060328+0.00020541i,-0.0010078-0.00047897i,-7.0704e-05-0.00045836i,0.00011116+0.00063074i
-0.0011444-0.00047611i,-0.0015734-0.0010793i,-0.0017762-0.00054937i,-0.0011955+0.00012102i,-0.00066167+0.00068683i,-0.00048736+0.00057246i,-0.00035118-0.00034539i,-0.00074233-0.00028295i,-0.0008638+0.00073259i,-0.0003438+0.00088608i,-0.00030144+0.0008293i,-0.00079085+0.00057867i,-0.0002618-7.7756e-05i,4.2224e-05-0.00013233i,-0.00026826+0.00010392i,9.9598e-05+0.00035738i,0.00087733+0.00011059i,0.00089195-0.00036048i,0.00030209-0.00055749i,0.00020736-0.00066423i,9.8504e-05-0.0005155i,0.00016318-0.0007567i,0.00079231-0.00061589i
