-9.9319e-06-0.00048199i,-0.00019512-0.0016547i,-0.00027081-0.0036632i,-7.4871e-05-0.0036323i,-0.00056463-0.0019547i,-0.0019728-0.00046343i,-0.002007+0.00043239i,-0.00067725+0.001106i,0.00037507+0.0012186i,0.00084899+0.00025733i,0.0010514-4.2818e-05i,0.00060559-3.7911e-05i,0.00049625-0.00085317i,0.00089582-0.0011011i,0.00067307-0.00033142i,-0.00026995+1.097e-05i,-0.00055019-0.00026019i,0.00017045-0.00031132i,0.00034398+0.00027286i,0.00025781+0.00021336i,0.00062502-0.00016198i,0.00020775+0.00016089i,-0.00028301+0.00042231i
0.0001871-0.0015711i,-0.0014283-0.0013564i,-0.0022402-0.0017928i,-0.0020935-0.0012649i,-0.0011677+0.00050645i,-0.00058944+0.0016449i,-0.00082927+0.00076115i,0.00021875-0.00042537i,0.0011341-0.00040008i,0.0009914-0.00029567i,0.0010104-0.00036268i,0.00084957-0.00023066i,0.00068183+3.9606e-05i,0.00090363+6.7809e-05i,0.0010813-0.00018805i,0.00041203-0.00026954i,-0.00052294-0.00033565i,-7.8219e-05-0.0002174i,0.00049778-0.00022569i,0.00042659-0.0005678i,0.00025697-0.00030531i,0.00014964+0.00076522i,-6.035e-05+0.0010137i
0.00036763-0.0022406i,-0.00030879-0.0026613i,-0.00067868-0.0017104i,-0.00088351-0.00083802i,-0.00055493-0.0004871i,0.00013304-0.00070269i,-0.00017771-0.0003777i,-0.00018703-0.00013071i,7.8182e-05-0.00082187i,-0.00010936-0.0011486i,-0.00046909-5.0383e-05i,-0.00019895+0.0010109i,0.0003266+0.0010708i,0.00069127+0.00095349i,0.00097026+0.00029833i,0.00052846+0.00021665i,0.00032093-0.00017792i,3.2434e-05-0.00051671i,-0.00022109-0.00023018i,0.00019577-0.0004802i,0.0003369-0.00047181i,-0.00012125+0.00014892i,-0.00039424+1.4089e-05i
0.00010974-0.0015196i,-0.00032596-0.0020759i,-0.0014393-0.0023436i,-0.0021472-0.0013758i,-0.0019348-0.00044346i,-0.0017685-0.00088515i,-0.0006689-0.0010358i,-0.00015493-0.00098105i,0.00032167-0.00095179i,0.0005415-0.00056395i,-0.00029139-0.00032872i,-0.00079823+0.00016149i,-0.00074593-0.00019478i,0.00031496-0.00077306i,0.00080365-0.00054496i,0.00033072-0.00040887i,0.000583-0.00037682i,6.8181e-05-0.00031461i,-0.00075523-0.00023656i,1.7619e-05-0.00028198i,0.00035793-9.6594e-05i,-1.4988e-05-7.281e-05i,-4.4944e-05+1.9905e-05i
-0.000564-0.00093614i,-0.00070081-0.0014931i,-0.0016641-0.0013601i,-0.0017373-0.0004351i,0.000183-0.00028034i,0.00052174-0.00039158i,-0.0001289-0.00016971i,0.00010264-0.00066953i,0.00035454-0.00040933i,-0.0004003-0.00033459i,-0.0010197-0.0008581i,-0.0010278-0.00039717i,-0.00040424+0.00010647i,0.00062999+0.00017675i,0.00031182+0.00027023i,-0.000617+0.00016421i,-0.00042222-0.00068954i,-5.4744e-05-0.00045462i,-0.00051713+0.00026835i,-0.0010484-9.9733e-05i,-0.00057067-0.00045877i,3.7979e-05-9.6464e-05i,5.8401e-05+0.00021257i
-0.00073+0.0002489i,-0.00097343-0.00065293i,-0.0010584-0.00062187i,-0.00081848-0.00026461i,-0.0009271-0.00044926i,-0.00069816-0.0009205i,-0.00010506-0.000805i,5.2492e-05-0.00060389i,-3.1351e-06-0.0004489i,-0.00030682-0.0002189i,-0.00071445-0.00019821i,-0.00029809-0.0001722i,0.00018427+0.00018094i,0.00030967+0.00011932i,0.00077851+0.00025431i,0.00068377+0.00040412i,0.00050638+3.8885e-05i,0.0008457+0.00065878i,0.00055495+0.00059863i,-0.00042896+5.0611e-05i,-0.00015493-0.0001399i,0.00056824-0.00038708i,0.00038402-0.00029385i
0.0023768-0.00088979i,0.0025135-0.0026294i,0.0024398-0.0036665i,0.0011277-0.002673i,-8.1931e-05-0.0015412i,-0.00024887-0.0011457i,-0.00044267-0.00092842i,-0.00037733-0.00020536i,-8.0279e-06+0.00064368i,0.00031563+0.00050495i,-2.1531e-05+0.00030039i,-0.00032663+0.00076571i,-0.00014108+0.00074277i,0.00010761+0.00063315i,0.00010228+0.0009863i,0.00031925+0.00055867i,0.0011618+0.00046921i,0.0013278+0.00078051i,0.00052797+0.0010471i,0.00031515+0.00044861i,0.00069773-0.00024813i,0.00029102-0.00019706i,-0.00024768-0.00012122i
-0.0011691-0.00087321i,-0.002166-0.0013427i,-0.0024372-0.00063278i,-0.0016413-0.00018746i,-0.00043995+0.00016869i,0.00067154+0.00063773i,9.8447e-05+0.0010637i,-0.00051737+0.0011424i,0.00063156+0.00099582i,0.001128+0.00045196i,0.00053411+0.00045133i,0.00037329+0.00037688i,0.00011738+0.0003324i,9.6432e-05+0.00060347i,2.6964e-05+0.00095759i,-0.00035107+0.00062019i,-0.00038246-0.00020492i,-0.00033993-7.7937e-05i,-0.00017567-0.00013592i,6.7043e-06-0.00022409i,0.00029139-4.8555e-05i,-0.00016725-0.00017965i,-0.00023843-0.00037956i
-0.001925-0.0011321i,-0.00214-0.0011206i,-0.0023221-0.00010043i,-0.0018721+0.00099491i,-0.00081147+0.0016692i,-0.00023994+0.0010455i,-0.00018861+0.00048226i,0.00013777+0.00037195i,7.6897e-05+0.00046291i,-0.00092647-0.00023623i,-0.00066351-0.00067372i,0.00025633-0.00028751i,-0.00016396-0.00013071i,-0.0006877+3.7629e-05i,-0.00068377+0.00069667i,-0.00077528+0.00087067i,-7.7763e-05+4.7769e-05i,0.00040773-0.0008229i,0.00054711-0.0010252i,0.00088674-0.00081736i,0.00068167-0.00056713i,0.00020054-0.00020707i,0.00039854+0.00010076i
0.00031765-0.0011458i,-0.00046661-0.0015446i,-0.0018205-0.0017373i,-0.0017741-0.000462i,-0.0011264+0.0012909i,-0.00059144+0.0010084i,-0.00022439+0.00022389i,6.2731e-05+7.3455e-05i,0.00026678-8.1505e-05i,0.00055771-0.00061217i,0.00057271-0.00092672i,-5.5024e-05-0.00036943i,-5.4195e-05+4.6673e-05i,0.00049666+0.00032147i,0.00035366+0.00038376i,0.00037198+0.00030772i,0.00086879+0.0002008i,0.00024485+1.9363e-05i,-0.00019343-7.3907e-05i,0.0004136+0.00017515i,0.00088738-7.1815e-05i,0.00028121-0.00072719i,-0.00087624-0.00068588i
-0.00096591-0.00030482i,-0.00068882-0.00019133i,-0.0013881-4.7185e-05i,-0.00077087-0.0002i,0.00061803-0.00027571i,0.00027017-0.00046028i,-0.00028073-0.00040958i,-3.4564e-05+0.00059595i,-1.4641e-06+0.0013258i,0.00021037+0.00034364i,0.00044702-0.00080705i,0.00033414-0.00052506i,-0.00023343+0.00018297i,-0.00043395+0.0005367i,8.0502e-05+0.00060374i,0.00047999+0.00050675i,0.00059811+0.00020648i,0.00010067-0.00024673i,-0.00075178-0.00047367i,-0.0011771-0.00028423i,-0.00052889-0.00019474i,-5.716e-05-0.00033024i,-0.00021926-0.00065497i
0.00021899-0.00043538i,2.8045e-05-0.00082233i,-7.5479e-05-0.0017433i,-0.001381-0.0016518i,-0.0020124-0.00087487i,-0.001748-0.00029043i,-0.0013984-0.00056553i,-0.00060914-0.00034281i,0.00042758-0.00069332i,0.00011726-0.0010751i,9.9648e-05-0.00087833i,0.00036785-0.00067179i,-0.00026475-0.00013102i,-0.00012622+0.00067961i,0.00064448+0.00071705i,0.00078716+0.0006902i,0.00036084+0.00054013i,0.00023534+0.00043813i,-0.00027839+0.00036115i,-0.0010719-0.00014773i,-0.0017206+0.00012265i,-0.0010503+0.00077295i,-0.00034341+0.00058541i
0.00044884-0.0015879i,-4.441e-05-0.0017152i,-0.00073332-0.0021273i,-0.0018434-0.0023784i,-0.0016088-0.0020263i,-0.00084875-0.0010594i,-0.00019817-0.00032579i,0.00034807-5.1823e-05i,0.00047996-4.0206e-05i,-0.00029599-0.00010252i,-0.00089186-4.5983e-05i,-0.00031654+0.00034275i,0.00040684+0.00023499i,0.00020886-4.8886e-05i,0.00065154+3.2168e-05i,0.00094357+0.00026304i,-0.00013968-3.0723e-05i,-0.00039498-0.00069408i,-0.00037272-0.00029424i,-0.00075807+0.00032793i,-0.00062846-6.1149e-05i,0.00032767+3.8263e-05i,0.00049719-4.8633e-05i
-0.00080011-0.0010913i,-0.00080756-0.0028854i,-0.00063332-0.0033411i,-0.0012955-0.001999i,-0.0017578-0.00045268i,-0.001602+0.00086771i,-0.0017962+0.00096825i,-0.00094441+0.00024791i,0.00032133+0.00033763i,0.00064266+0.00050059i,-0.00014657+0.000245i,-0.00060705+0.00026594i,-0.00057023+0.00040583i,-0.0008515+0.00039993i,-0.00064535+0.00015676i,-0.00029757-1.8907e-05i,9.1679e-05-8.3412e-05i,0.00066355+5.2952e-05i,0.00043141+0.00055878i,-0.00012476+0.00058478i,-0.000109+0.00053257i,-6.9633e-05+0.00074191i,-0.0002677+0.00080396i
0.00084434+0.00018919i,0.00079133-0.0014837i,0.00081838-0.0025731i,-0.00018832-0.0021106i,-0.0010122-0.0014789i,-0.0012053-0.0008601i,-0.00019623-0.00053765i,0.00048789-0.00065845i,0.00080105-0.0010331i,0.00072019-0.00092775i,0.00025084-0.00017509i,-0.00012804-0.00021476i,-8.6037e-05-0.00032706i,0.00065152-0.00019425i,0.00055386-8.839e-05i,-0.00036012-0.00049583i,-0.00070541-0.00039574i,-0.00014625+0.00026801i,-0.00024166+0.0007117i,-0.00026186+0.0011222i,0.00032488+0.00041404i,0.0008385-0.00042417i,0.00026607+0.00065267i
9.3292e-05-0.00082888i,-0.00048173-0.00049352i,-0.0015933-0.0011314i,-0.0018324-0.00076468i,-0.0014702-0.00048978i,-0.00057154-0.0013335i,-0.00086036-0.0011107i,-0.00111-0.00014447i,-0.00036072-0.0001612i,0.0002136-0.00091554i,-1.9133e-05-0.00071862i,-0.00068415-0.00036216i,-0.00011196-0.0001714i,0.00051704+0.00034719i,0.00077845+0.00020382i,0.00065947-6.1453e-05i,0.0002583-0.00014285i,-0.00071074-5.6029e-05i,-0.001339+5.1329e-05i,-0.00053284-6.7968e-06i,0.00027634+3.9296e-05i,0.00015904+0.00032381i,8.8683e-05+0.00022332i
-8.5158e-05-0.00043172i,-0.0010026-0.0015154i,-0.002516-0.0010165i,-0.002558+0.00027296i,-0.00034284+0.00036078i,0.00074099-0.00076963i,-0.00034239-0.0010292i,-0.00037622-0.00038621i,0.0011558-0.00055446i,0.0016487-0.00071628i,0.0010669-0.00038807i,0.00042394+0.00011586i,-0.00024051+0.0003747i,-0.00078904+0.00062841i,-0.00048342+0.0010151i,-9.3217e-05+0.00024235i,0.00045691-9.4566e-05i,0.0009755+7.7025e-05i,0.00051778-0.00055553i,4.3792e-05-0.00025487i,0.00032056+0.00041672i,0.00066629+0.00030171i,0.0002296+0.00033576i
0.00061259-0.0010063i,-4.7126e-05-0.0017795i,-0.0013164-0.0025934i,-0.0021264-0.0016918i,-0.0018474-0.00083984i,-0.0012478-0.0013108i,-0.0005383-0.0009487i,0.00024699-0.00036218i,0.00049272-0.00047837i,6.0263e-05-0.00091737i,-3.2203e-05-0.0005164i,-0.00020368-0.00018784i,-0.00018862-0.00021508i,-0.00026661+0.00027894i,-0.00012599+0.00099778i,0.00061662+0.0010813i,0.0012143+0.00017739i,0.0010033-0.00045168i,0.00025712+0.0001495i,-2.7249e-05+0.00013713i,0.00013809-0.00066208i,-1.9238e-05-0.00082276i,-0.00046335-0.00042486i
0.00060356+0.0005785i,0.00019032-0.0011575i,-0.00065596-0.00077103i,-0.00088439+0.00032106i,-0.001088-3.9768e-06i,-0.0010917-1.3704e-06i,-0.00038705-0.00051528i,0.00044204-0.00085018i,0.00084317-0.000124i,0.0002365+0.00052716i,-0.0005557+0.00079807i,-0.00050553-2.7261e-05i,-0.00094628-0.00013757i,-0.0014115+0.00043186i,-0.00048257+0.00086815i,0.00066725+0.0012682i,0.0010062+0.0011782i,0.00047821+0.00080593i,-0.00037406+0.00013407i,-7.9875e-05-0.0001858i,0.00034406-1.8757e-05i,0.00043312-0.00017661i,0.00072204-0.0003681i
0.00028292-0.0012581i,-0.00075757-0.0017671i,-0.0017369-0.0026946i,-0.0016798-0.0019408i,-0.00096087-0.00021499i,-0.00013612+0.00087408i,-0.00049296+0.0010667i,-0.00084784+0.00082213i,-0.00019387+0.00019628i,-0.00021889-0.00050045i,-0.00073114-0.00029875i,-0.00050578+0.00068845i,-0.0001908+0.0012762i,-0.00015164+0.0015296i,-0.00057484+0.00099378i,-0.00049762+0.0003339i,0.00010159+0.00020175i,0.00062265+0.00038757i,0.00022309+0.00082829i,0.00012182+0.00012754i,0.00034659-0.00069699i,0.0002518-0.00058049i,0.00033425-8.622e-05i
0.00070423-0.0015297i,-0.00057596-0.0027485i,-0.0011201-0.0039672i,-0.0014137-0.0030265i,-0.0014968-0.0010416i,-0.0018639-0.00014828i,-0.0015659+0.00014151i,-0.00058284+0.00032836i,0.00047662-0.00019969i,0.00067459-0.00094274i,-0.0004864-0.00070045i,-0.00086795-0.00016478i,-0.00038141-7.7274e-05i,-0.00018876+0.00023077i,0.00074227+0.00071233i,0.00070477+0.00048412i,-2.5722e-05-0.00064274i,0.00043647-0.00050091i,0.0010087+0.00041588i,0.00069903+6.3532e-05i,-7.9024e-05-0.00071388i,-0.00017969-0.00063088i,0.00019984-7.8712e-05i
0.00055205-0.0014478i,0.00029835-0.0028899i,-0.0001059-0.0041602i,-0.00082396-0.0035613i,-0.0015697-0.0021208i,-0.0012498-0.0013825i,-0.00016459-0.0013991i,9.137e-05-0.00047883i,7.3362e-05+0.00018335i,0.00052745-0.00016866i,-4.1498e-05-0.00010432i,-0.00090094+0.00027506i,-0.00065086-0.00014534i,-0.00056564-0.00041823i,-0.00077623+4.713e-05i,-0.00068081-9.5293e-05i,-7.3985e-05+0.0001483i,0.00021401+0.00022884i,-3.8539e-05-0.00045413i,-6.3766e-05-0.0004568i,0.00023745-0.00022188i,0.0005301-8.7732e-05i,0.00081242-7.5999e-05i
-0.0011485+0.00044182i,0.00012472-0.00068926i,0.00033928-0.00095464i,-0.00094841-0.00062041i,-0.00047217-0.00066228i,0.00029412-0.00015735i,-0.00066221+0.0006722i,-0.00060682+0.0010239i,0.00062664+0.0007678i,0.0010231-0.00016453i,0.00035723-0.00095924i,-7.1079e-05-0.0015705i,-4.3241e-05-0.00090708i,5.6612e-05+0.00014576i,0.00078785+0.00052295i,0.00092935+0.0011173i,0.00025486+0.0012135i,-0.00025667+0.00059879i,-0.00022252+0.00040841i,-0.00047265+0.00066517i,-0.00042954+0.00083649i,0.00016072+0.00047356i,0.00017663+0.00058017i
-0.00047232-0.0012869i,-0.00028005-0.001674i,-0.00037076-0.0018527i,-0.0007133-0.0010065i,-0.00069261+0.00027486i,-0.00057788+0.00039701i,-0.00064944-0.00064455i,-0.00037423-0.00039436i,-2.5406e-05+0.00013621i,-0.00062034-0.00043813i,-0.0012607-0.00077309i,-0.00069025-0.00014444i,0.0004954+0.00022423i,0.00056692+0.00023334i,0.00022021+0.00026904i,0.00051716+0.00043639i,0.00075354+0.00051157i,0.00091894+0.00041512i,0.00051672+0.0001592i,0.00031447-8.8226e-05i,0.00017215+1.8869e-05i,0.00012772-0.00032818i,0.0001439-0.00024341i
-0.00072229-0.0008108i,-0.00095265-0.0018778i,-0.0010533-0.0027547i,-0.001675-0.0023365i,-0.001706-0.00069319i,-0.0010783+0.00055849i,-0.00056767+0.0012374i,0.00020855+0.0010905i,0.00064142+0.00027069i,-0.00044953-0.00048659i,-0.00067666-0.0003669i,0.00074967-0.00010827i,0.00097476+0.00010152i,-0.00014814+9.7956e-05i,-0.00029528+0.00020423i,-8.4737e-05+0.00022607i,-3.5928e-05+0.00039692i,0.00027748+0.00020402i,-9.278e-05+0.00013407i,-0.00024997+0.00045135i,0.00043307+0.00026011i,0.00067613+0.0007099i,-8.6049e-05+0.00054938i
0.00016301+0.00018889i,0.00017895-0.00015489i,0.00071597-0.0012714i,0.0007438-0.0012276i,0.00077474+7.4482e-05i,0.0007754+0.0005893i,0.00071129+0.00054511i,0.00015915+0.00033832i,8.4994e-05+3.7177e-05i,0.00038018-2.7685e-05i,-9.9785e-05-0.0002734i,-0.00018628-0.00051559i,-0.00016839-0.00064314i,-0.00023606-0.00048197i,-0.00010935-0.00047833i,0.00046819-0.0011918i,0.0010071-0.00084715i,0.00054534-0.00033488i,0.0004761-0.0002953i,-0.00013193-0.00040358i,-0.0005998-0.00040087i,-0.00040871+0.00012877i,-0.00034502+0.0003973i
-0.00026499-0.00078275i,-0.00072338-0.0014707i,-0.0013994-0.0022743i,-0.0021423-0.0028368i,-0.0020011-0.001807i,-0.0013528-0.00063326i,-0.00033271-0.00067098i,0.00023541-0.00037437i,7.0645e-05+3.7195e-05i,0.00020539-0.00036934i,0.00055773-0.00057323i,0.00063788-0.00076993i,0.00043908-0.00032274i,-0.0010148+0.00010845i,-0.000955+0.00062313i,-0.00040699+0.0009087i,-0.00040552-0.00020739i,0.00070198-0.00093361i,0.0012325-0.00060243i,0.0011147-0.00036274i,0.00074063-0.00034482i,0.00015586-0.00023476i,-0.00031742-7.6987e-05i
-0.00058179-0.00029326i,-0.0011064-0.00031378i,-0.0012184-0.00017612i,-0.0010965-0.00051589i,-0.0015136-0.00083866i,-0.0012979-0.00027737i,-0.00069466+0.0001149i,0.00018887-1.098e-05i,0.00082269-2.5602e-05i,0.00019504-0.00026601i,-0.00051176+0.00013207i,-0.00040671+0.00052181i,0.00037776+3.4942e-05i,0.00066804-0.00019657i,0.00043553+0.00035096i,0.00039992+0.00033644i,4.9135e-05+0.00051781i,-8.9336e-05-0.00031957i,0.00031392-0.001146i,0.00050121-0.00041398i,-0.0002098+0.00033513i,-0.00055209-5.1042e-05i,-0.00025691+0.00023509i
0.0014567-0.0013447i,-8.8489e-05-0.0010871i,-0.0015237-0.0020598i,-0.0016239-0.0027445i,-0.0017961-0.0016582i,-0.00077172-0.00088261i,0.00035049-0.00045078i,0.00058147-3.1829e-05i,0.0009555-0.00036649i,0.00050853-0.0011518i,-0.0004624-0.0011472i,-0.00095685-0.00057622i,-0.00060723-0.00033072i,-0.00018256+6.3913e-05i,0.00039971-5.8042e-05i,0.00059282-0.00020715i,0.00049549+0.00011545i,0.0010497+3.1579e-05i,0.00072999-0.00020544i,-0.00010299-0.00024938i,-0.00062074-2.2247e-05i,-0.00058563+0.00036239i,0.00027382+0.00044911i
0.00083998+3.613e-07i,0.00059029-0.00091647i,0.00036336-0.0022159i,0.00048403-0.0011079i,-0.00060611+0.00032619i,-0.001526+0.0009683i,-0.0012972+0.00064109i,-7.2974e-05+0.00017213i,0.00088055+0.00012897i,0.00084383-0.00050758i,0.00037686-0.00085464i,0.00028488-0.00061171i,0.0002762-0.00011152i,0.00022389+0.00037577i,0.00059416+0.00025645i,0.00054575+0.00011736i,-0.00044106+0.00090522i,-0.00045675+0.00054334i,-0.00013734+3.9478e-05i,-0.00019467-0.00014624i,-0.00031733-0.00040589i,-0.00028388+0.0001169i,-0.00044469+0.00018185i
-0.0013501-0.0017123i,-0.00071696-0.00095014i,-0.0016028-0.000423i,-0.0018246-3.8208e-05i,-0.0015104+0.00055351i,-0.00078349+0.00022533i,0.00016781-0.00015304i,0.00019667-0.00028644i,0.00013919-0.00031847i,-0.00020994-0.00031374i,-0.0010285-0.00066507i,-0.0016218-0.00029141i,-0.00088574-0.00083087i,-0.0002637-0.0014702i,-0.00080696-0.0011249i,-0.00082641-0.00056678i,-0.00019688-0.00040667i,0.00011367-0.00069839i,-0.00031044-0.00012678i,-0.00071841+0.00023942i,-0.00098339-7.3607e-05i,-0.0011351-0.00038505i,-0.00054544-0.00044336i
-0.00075226+0.00020841i,0.00029238-0.00054499i,0.00064199-0.00067841i,0.0011329+0.00016399i,0.0019931+0.00077665i,0.0014289+0.00075407i,0.00081335+0.00045917i,0.00035327+0.00045707i,0.00025708+0.00035258i,-4.0972e-05+0.00032111i,-0.0003423+0.00023849i,-0.00029213+0.0004167i,-0.00028305+0.00090867i,-0.00032328+0.00080757i,-0.00048897+0.00060706i,-0.00071545+0.00070416i,-0.00061619+0.00080691i,-0.00034208+0.00063245i,-0.0003139-0.00014578i,-0.00084465-0.0010893i,-0.00072623-0.0006433i,-3.1139e-05+0.00010765i,0.00032185+7.3736e-05i
