-0.0015385+0.0013872i,-0.0005688-0.00077669i,-0.00069614-0.00093707i,-0.0010987-0.00097229i,-0.0011455+0.0001961i,-0.00077988+0.0015861i,0.00012353+0.0018875i,0.0010212+0.0015925i,0.0012299+0.00078015i,0.001116-0.00013779i,0.0003614-0.0008085i,-0.00043679-0.00089729i,-8.5636e-06-0.00013867i,0.00085516+0.00026181i,0.00032456+0.00049813i,-0.00050117+0.0013409i,0.00030402+0.0017095i,0.00091795+0.00051954i,0.0005351-0.00074337i,-0.00024465-0.0012747i,-0.00031399-0.00078593i,0.00033398-0.000609i,0.00065589-0.00090666i
0.00061012+0.0018447i,0.0011774+0.0013906i,0.0017373+0.00089028i,0.0015178+0.0012127i,0.0014443-1.3335e-05i,0.0012066-0.00077496i,7.7903e-05-0.00015305i,-0.00093964+0.00060393i,-0.00022136+0.00074456i,0.0012375-4.7364e-05i,0.0014623-0.00055245i,0.0004136-0.00045763i,-0.00056631-3.4417e-05i,-0.00030259-0.00030913i,0.00023463-0.00048913i,0.00064468-0.00046777i,0.00035825-0.00019826i,-0.00019296+0.00080483i,-0.00047841+0.00099018i,-0.00045762-0.00054135i,-0.00038249-0.0009218i,-9.7055e-05-0.00037167i,0.00056308-0.00019327i
-0.00055021+0.0011467i,0.00084494+0.0015986i,0.0021426+0.001425i,0.0017264+0.00039727i,0.00077737-0.00067599i,0.00053345-0.0017398i,0.00068431-0.0020702i,0.00027841-0.0014915i,0.0003639-0.0013015i,0.00036474-0.0011678i,0.00022613-0.00090513i,0.00059479-0.00039448i,-0.00012348-0.00037839i,-0.00067016-0.00015687i,-0.00077525+7.2868e-06i,-0.00038093-0.00032964i,5.5455e-07-0.001124i,0.00038706-0.00092i,0.00040965-4.1234e-05i,-0.00028473+0.00033697i,-0.00065745+4.104e-06i,-0.00014369-0.0002757i,0.00048216-0.00025672i
0.00088647-0.00052178i,0.00065881-0.0011429i,7.3647e-05+0.00029362i,-0.0010389+0.00036672i,-0.0014439-0.00070479i,-0.00043887-0.00048641i,0.00013809-0.00065153i,-0.00025573-0.0009385i,-0.00079511-9.8445e-05i,-0.0011613+2.2847e-05i,-0.00078153-0.00035086i,-0.00032296-0.00039632i,-0.00035455-0.00022494i,-0.00052968+0.00077885i,-0.00018525+0.0010284i,1.9695e-05+0.0011392i,0.00033572+0.001578i,0.00036771+0.0010383i,-0.00037255+0.00067613i,-0.00033813+0.00033333i,-0.00021813-0.00063755i,-0.00078533-0.0011608i,-0.00080487-0.00036494i
0.00035038-0.00018705i,-0.00027702+0.00015913i,0.000308+0.00050978i,0.00062838+1.1612e-05i,-0.00017162-0.00028125i,-0.00044175+6.0699e-05i,0.00043803+0.00080922i,0.00022372+0.0008438i,-0.0004956+0.00041248i,-0.00039489-3.4917e-05i,-0.00010692-0.00067421i,0.00023717+0.00026169i,0.00051372+0.0010472i,0.00061936+0.00062545i,0.00047097+0.00011951i,-6.4379e-05-0.00030289i,-0.0001804-1.3038e-05i,-0.00037977+4.2059e-05i,-0.00030221+1.5687e-05i,0.00026632+0.0004446i,0.00030255+0.00035684i,0.00012014-0.0001622i,5.8369e-05-0.00014147i
-0.0020289-0.0011287i,-0.0018331+6.5883e-05i,-0.0022971+0.00045564i,-0.0017218+0.00069316i,-5.0526e-05+0.00021754i,0.00077625-0.00075191i,0.00015157-0.00086652i,-8.2814e-05-0.00040019i,-0.00020034-0.00023515i,5.9786e-05-0.00039879i,0.00092016+0.00020296i,0.00096351+0.00013172i,0.00013734-0.00057897i,0.0002937-0.00040395i,0.00029561+0.00036325i,-0.00012744+0.00043206i,7.0507e-05-0.00012703i,6.9279e-05-0.00036259i,-0.00084225-0.00038499i,-0.0012978-2.9545e-05i,-0.00058907+0.00020289i,-0.00046913-0.00026355i,-0.00071198+7.3495e-05i
-0.0011611+0.001319i,-0.00078951+0.0018602i,-0.00045618+0.0020343i,0.00012573+0.00078847i,0.00056473-0.00070553i,0.00043675-0.0011072i,0.00053914-0.00073961i,-0.00021339-0.00073435i,-0.00095466-0.0012733i,-0.00071934-0.001045i,0.00030658-0.0002148i,0.00020286+0.00029449i,7.807e-05+3.6481e-05i,0.00045441-0.00013002i,0.00046648-0.00023487i,0.0009567-0.00086193i,0.00095747-0.001177i,1.7467e-05-0.00037621i,-0.00026196+0.00064106i,-0.00058137+0.00027806i,-0.00022817-0.00062796i,0.00042229-8.5465e-09i,0.00040951+0.00073259i
0.00039161-0.0003239i,-0.00015892-0.00040714i,0.0004493-0.00040798i,4.4232e-05-0.00025795i,-0.00068818-0.00025045i,-0.00079278-0.0004952i,-0.00060753-0.0004868i,0.00011912+4.8304e-05i,0.00057141-0.00025163i,7.7903e-05-0.00064803i,-0.00019578-0.00017876i,-8.8721e-05+0.00017318i,-6.3258e-05-0.00019335i,3.2692e-05-0.00058579i,0.00014957+0.00013201i,0.0001551+0.00072013i,0.00045841+0.00019745i,0.00060138+0.00030655i,-0.0004762+0.00022779i,-0.00028457-0.00075691i,0.00026469-0.0006188i,-0.00050468-0.00028572i,-0.00043507-9.2639e-05i
0.00011068-0.00062176i,0.00048692-0.00064694i,0.00049334-0.00032733i,-0.00082986+0.00039171i,-0.0016888+0.00096661i,-0.00092701+0.0014114i,0.00042362+0.0012176i,0.00061575+0.00049395i,9.674e-05+0.00044561i,-2.2096e-05+0.00026969i,0.00029482-0.00086235i,0.00032956-0.00049378i,5.9441e-05+0.00082071i,-0.00020949+0.0011672i,-0.00043283+0.0005564i,-0.00013379+0.0001037i,-0.00020632-0.00016228i,-0.00043466-0.00046962i,0.00013738-0.0003531i,0.00058588+0.00035299i,0.0002183+0.00030708i,-0.00059347+0.00015025i,-0.00026638+0.00083445i
0.0010475-0.0007053i,-0.00027849-0.00034743i,0.00012731-0.00039597i,0.00026939-0.00023407i,-0.00060955+0.00013271i,-1.6812e-05+5.4023e-05i,0.00023983-0.00061956i,-0.00022974-0.00031623i,-0.00011634+0.00049104i,0.0003176+0.00086806i,0.00053358+0.00051648i,0.00055183-0.00019238i,0.00033612-0.00026632i,0.00016206+0.00018632i,0.00034697+0.00056554i,0.00044934+0.00066442i,0.0003082+0.00031143i,0.00024766+9.5199e-05i,0.00034124-0.00060391i,6.1538e-05+0.00026256i,-0.00012965+0.0010142i,0.00021326+0.00068914i,4.9809e-05+0.00030802i
0.00035926-0.00021901i,0.00076043-0.00013785i,0.00049534-0.0004258i,0.00018361-0.0006292i,0.00012768-0.00071082i,-0.00050908-0.00087378i,-0.00074004-0.0014405i,-0.00033885-0.0011522i,0.00041607+0.00075084i,0.0011974+0.0013838i,0.00139+0.00035308i,0.00042174+0.00038032i,-0.00016006+0.0010456i,0.00025607+0.0011444i,0.00010362+0.00072567i,-0.0001812-8.4601e-05i,4.5663e-05-0.0006998i,9.366e-05-0.00034061i,0.00038061+3.5428e-05i,0.00080516+0.00011111i,-5.8478e-05+0.00058924i,-0.00061493+0.00024238i,-0.00062542-0.00043803i
