-0.0010191+0.00050353i,0.00019468+0.00063599i,0.00054125+0.00040729i,0.00060172+0.00019061i,-0.00010492+0.00020275i,-0.0010233+0.00034151i,-0.00089828+0.00052603i,-0.00051344+0.0010668i,-0.00011851+0.0011373i,-0.00018431+0.0010061i,2.6009e-05+0.00079562i,0.00046634+0.00012836i,-0.00013702-0.00091954i,-0.00047586-0.00093345i,0.00027939-0.00081342i,0.0011194+2.335e-05i,-1.5704e-05+0.00089159i,-0.0013812+5.1059e-06i,-0.00061723-0.00074906i,9.8441e-05-0.0011622i,5.3241e-08-0.00090155i,0.00037799-0.00071631i,0.00049505-0.00038715i
-0.00057434+4.7351e-05i,-0.00065241-0.00048189i,-0.0012533-5.5263e-05i,-0.00053919+0.00062954i,0.00027174+0.00056084i,0.00051304-0.0001799i,4.9053e-05-0.00077176i,-0.00096445-0.00090752i,-0.0015731-0.00033164i,-0.0019693-0.00029113i,-0.001263-0.00033157i,-0.00049812+7.6334e-05i,-0.00015693+6.6324e-05i,0.00054264+8.9436e-05i,0.00059124+0.00036976i,-0.00016214+0.00089606i,0.000264+0.000708i,0.0010039-4.9939e-06i,0.00071481+0.00073258i,0.00018892+0.00077493i,0.00017221+0.00013111i,-0.00024385+0.00031174i,-0.00058874+0.00035621i
0.0010243-0.0007377i,0.00082846+0.00041394i,-0.00012003+0.0012086i,-0.00022322+0.0023969i,0.00062273+0.0022713i,0.00041305+0.0010481i,0.00031771+0.00015086i,0.0008892-0.0007842i,0.00034291-0.00078463i,-0.0011394-0.00016122i,-0.0016327-0.00058262i,-0.00088472-0.00097348i,-0.00054202-0.0003665i,-0.00048539+0.00074197i,-0.00054472+0.00049426i,0.00019956+0.00038915i,0.00070361+0.00087049i,-4.2208e-05+0.00024394i,-8.2253e-05-0.00013256i,0.00065643-0.00071457i,0.00064542-0.0017175i,0.00072119-0.0012369i,0.00031723+0.00061379i
0.00036345-0.0014305i,-0.00070935-0.00042201i,-0.00023161-0.00086917i,0.00075404-0.0009106i,0.00021953-0.00069252i,-0.00021517-0.00030241i,6.8681e-05-1.4003e-05i,-0.00087989-0.00024027i,-0.0010679-0.00037602i,-0.00062622+0.00022329i,-0.0010173+0.00092897i,-0.00024645+0.00084481i,0.0004211+0.001045i,0.00069258+0.0014321i,6.7259e-05+0.0014382i,-0.00055028+0.000962i,-5.4041e-05+0.00047624i,0.00054788+0.00067833i,0.00083162+0.00032452i,0.00031867-0.00085837i,0.00040853-0.0012525i,0.00051248-0.00083053i,-0.00031224-0.00056895i
-0.00084245+0.0012615i,-0.00030347+0.00051548i,-1.781e-05+0.0013571i,-0.00054772+0.0022026i,0.00015616+0.00086787i,0.00076117-0.0010696i,0.00068365-0.0011592i,0.0010874+3.4495e-05i,0.0015013+0.00087271i,0.0016945+0.00089606i,0.0014191-5.6882e-05i,0.0020099-0.00037729i,0.0022562+0.00049219i,0.00059893+0.00055813i,-0.00040755+0.00028988i,-0.00012472+0.00085802i,0.00044408+0.0015105i,0.0007189+0.00094825i,-0.00040296-0.00030897i,-0.00086592-0.00060596i,-0.00083323+0.0003671i,-0.00031971+0.00083031i,0.00054932+0.00073275i
0.00025666-0.00032814i,0.00043356-0.0005534i,0.00010973+0.00021454i,0.00082177+0.00025213i,0.0014122-0.00037047i,0.00039789-0.0010152i,2.7319e-05-0.0010836i,0.0010333+0.00011453i,0.0015876+0.00086174i,0.0010599+0.00011669i,0.0012368-7.1129e-06i,0.0015407+0.00030881i,0.00090514+0.00057651i,0.00068098+0.00078116i,0.00059122+0.00045501i,0.00019105+0.00050707i,8.4742e-05+0.00028803i,0.0002685-0.00040987i,0.00071798-0.00029934i,0.00046185-0.00017314i,-0.00052066-0.00034044i,-0.00019607-0.00090815i,0.00052779-0.00065467i
-0.00092766-0.00031217i,-0.0019056+0.00040456i,-0.0021522+0.00078593i,-0.00064224+0.0010918i,0.0010793+0.00095409i,0.0015741+4.9433e-05i,0.001013-0.00058642i,-0.00017592-0.00037856i,-0.0009656-0.00043448i,-7.3368e-06-0.00071627i,0.00071952-0.00098152i,0.00010658-0.00064407i,-0.00036681-0.00015708i,0.00010209-0.00057458i,7.1779e-07-0.00059659i,-0.00041305-7.8225e-06i,-0.00046433+0.0007427i,-0.00012529+0.001084i,0.00067207+0.00074915i,0.001101+0.00063923i,0.0011215+0.0005402i,0.0014881+0.00041126i,0.0011317+0.00014965i
-1.1405e-05-0.00082633i,-0.00086792-4.9669e-05i,-0.0029148+0.0010524i,-0.0027426+0.0021463i,-0.00066266+0.0023964i,0.0005679+0.0010402i,0.00044262-0.00026828i,-0.00045577-0.00012426i,-0.00061473-0.00029537i,-0.0010182-0.00076725i,-0.0012705-0.0015028i,-0.00023886-0.0019937i,0.00047601-0.00084779i,0.0006079-0.00016559i,-0.00028334-0.00024544i,-0.00046572+0.00011642i,0.00069996+0.00048275i,0.001283+0.00045185i,0.00081464+0.00079099i,0.0004772+0.00078963i,0.00011216-0.00023829i,-9.4911e-05-0.0014855i,0.00025636-0.0017827i
-0.0011995+0.0014437i,-0.00073445+0.0013436i,-0.00023875+0.0018791i,0.00048811+0.0024083i,0.0013432+0.0022264i,0.0013771+0.0010692i,0.00067527+0.00031779i,-0.00032504+0.00059612i,-0.00088667+0.00067163i,-0.0010918+0.00069858i,-0.0012561+0.00016288i,-0.00097342-0.0012574i,-0.00026536-0.00074351i,0.00036069+0.0010216i,0.0001629+0.0010664i,-0.00064542+0.00035889i,-0.00041832-4.8122e-05i,0.00040816+0.00028815i,0.00077506+0.00019026i,0.00062758+5.8307e-05i,9.187e-05-8.1826e-06i,0.00024274-0.00033176i,0.00035182-0.00014835i
0.0006424+0.00090654i,0.00019065+0.00018232i,-0.00023789+5.4348e-05i,-0.00042432-0.00011207i,-0.00049178-0.00026146i,-0.0014135-0.00028445i,-0.0014982-0.00019642i,6.0127e-05+0.00063705i,0.0002934+0.00010502i,-0.00080183-0.0001539i,-0.0010392+0.0009841i,-0.00058958+0.0013769i,-0.00096375+0.00070171i,-0.00080815+0.00023696i,-0.00019839+0.00028772i,-0.00022238+0.0005653i,0.00026045+0.00064281i,0.0011813+0.00055051i,0.00078278+0.00066657i,0.00011154+0.00038293i,0.00040856-0.00061261i,0.0003214-0.00046554i,-0.00059331+8.3986e-05i
-0.00072882+0.00045716i,0.00029611-0.0004012i,0.00052251+1.7299e-05i,0.00052205+0.0011647i,0.0010435+0.0011396i,0.00055872-9.4895e-06i,-4.212e-05-0.00030046i,0.00028088-0.00026694i,0.00033947-0.00033654i,-6.0929e-05+0.00025945i,-4.101e-05+0.0009773i,0.00031867+0.0016209i,0.00011111+0.0013999i,-0.00028266+0.00072536i,-0.00018311+0.0010034i,-5.4956e-06+0.0011003i,0.00034452+0.00096254i,0.00025923+0.0011621i,-0.00044404+0.00098951i,-0.00030687+0.00096251i,-6.5221e-05+0.0010895i,-0.00012282+0.00032975i,0.00044006-0.00056519i
0.00058887-0.0010111i,0.00026364-0.00068397i,-0.00090811-0.00079096i,-0.00096274-0.00081755i,-0.00083694+0.00046657i,-0.00013048+0.0010076i,0.00067996+0.00014192i,0.00015773-0.00021389i,-0.00030003-0.00033353i,0.00024954-0.00021687i,0.0014309-0.00012573i,0.0012445+5.2337e-05i,0.0013819+0.00026872i,0.0014202+0.00054267i,4.8215e-05+0.00069841i,-2.2975e-05+0.00051021i,0.00087545+0.00052812i,0.00029556+0.00069019i,-0.00065296+0.00034671i,-8.6639e-05+0.00011917i,0.00051498-0.00027249i,0.00046267-0.00058796i,0.00036206-0.00024541i
6.4671e-05+0.0017307i,0.0011418+0.0017457i,0.00078507+0.001743i,0.00050068+0.0018295i,0.0011287+0.00094188i,0.00084673-0.00074674i,0.00041154-0.00091156i,0.00068826-0.0006789i,0.00089726+0.00017909i,0.00086684+0.0002084i,0.00093705-0.00054605i,0.00099028-0.00061344i,0.0010281-0.00033696i,0.00063632-0.00020567i,0.00022042+0.00016435i,-0.00022833+0.00099309i,0.00017767+0.00078483i,0.00090051+0.00079643i,0.00055301+0.001268i,0.00052776+0.00077535i,0.00049014+0.00026397i,-0.0003434-0.00019483i,-0.00066016-0.00035076i
-0.0002872-0.00089194i,0.00011275-0.00023107i,-0.00072945+0.0012742i,-0.0019157+0.0016202i,-0.0022555+0.00083949i,-0.0015718+3.425e-05i,-0.000636-0.00055306i,0.0002374-0.0006346i,0.00066863-0.00044097i,0.00013086-0.0014278i,-0.00018398-0.0019643i,0.00019704-0.00091388i,0.00050528+0.00071074i,0.00030706+0.0015324i,-0.00011273+0.0011502i,-0.00032315+0.00079835i,-0.00033183+0.00079508i,-0.00027852+0.00038719i,0.00022101-0.00016316i,0.0003033-5.7994e-06i,-9.8426e-05+0.00019224i,-0.00077844-0.00051507i,-0.0010871-0.0013877i
-0.00061582-0.00065373i,-0.00039072+0.00020467i,-0.00099644+0.00095509i,-0.0011067+0.0019823i,-0.00011294+0.0019628i,0.00059781+0.00044276i,0.0003525-0.00073808i,0.00010967-0.00051952i,0.00024261-0.00098039i,-0.00062858-0.0010283i,-0.0012925+0.00018415i,-0.00018368+0.00038506i,0.00088961+0.0003059i,0.00048707+0.00035702i,7.1003e-05+0.00034061i,-1.4599e-05-0.00015518i,7.0484e-06-0.0002954i,0.00053382+0.00065392i,0.00051463+0.0011936i,0.00033777+0.00092571i,0.0004023+0.00064405i,-3.6738e-05+0.00079414i,-0.00040793+0.0004834i
0.00099629-0.0012616i,0.0001935-0.00093087i,-0.00035186-0.00016484i,-0.0012972+0.0010272i,-0.0013524+0.0010761i,-0.00050994+0.00094629i,-0.00024147+0.0010009i,-0.0001964-3.5311e-05i,-0.00079785-0.00057933i,-0.0017342-0.00028712i,-0.0017214+0.00016279i,-0.00087682+0.00027158i,-7.8535e-05+0.00030291i,5.3512e-05+0.00061955i,0.00015224+0.00071435i,0.00067331+0.00092054i,0.00047451+0.00098852i,7.9399e-05+0.0010853i,-0.00010614+0.0011553i,-0.00044219+0.00045486i,-0.00028444-0.0001542i,0.00028756-0.00045838i,0.00070045-0.00018402i
0.0010108-0.0021426i,-0.00029103-0.0021571i,-0.0013133-0.00080178i,-0.00065831+0.0010354i,5.6045e-05+0.0017021i,0.00063159+0.0010843i,0.00083086+0.00066416i,0.00022765-0.00016684i,-0.00065471-0.0004149i,-0.0010241+0.0009326i,-0.00067829+0.0015287i,3.4909e-05+0.00061046i,0.00032574+2.3041e-05i,0.0006423+0.00042362i,0.001161+0.00036057i,0.00087206-2.6604e-06i,0.00035219-0.00028268i,0.00044952-6.2657e-05i,0.00022116+0.00038319i,0.00034258+0.00083578i,0.00013433+0.00050295i,-0.00017144+0.00051779i,-0.00014225+0.00083922i
0.0016887-0.00081344i,0.0014674-0.00057974i,0.0019328-0.0014335i,0.00027633-0.00096004i,-0.00094366-0.0011305i,-0.0009613-0.0013655i,-0.0012046-0.00053857i,-0.00032452+0.00025058i,-7.0387e-05+0.00038977i,-0.00016145+0.00014076i,0.00084219+0.00038082i,0.00065993-0.00026328i,0.00039423-0.00052616i,0.00075915-0.00028352i,0.00097125+0.0002489i,0.0005592+0.00079749i,-3.5884e-05+0.00012687i,-2.8542e-05-0.00058102i,0.00034745-0.00029451i,0.00031068+0.00064915i,0.00038602+0.00086227i,-6.2233e-05+0.00058382i,-0.00031307+0.00026965i
-0.0015817-0.00071889i,-0.00134-0.00052965i,-0.0012555+0.00026353i,-0.0012976+0.0013786i,-0.0011851+0.00061173i,-0.00022917+0.00018572i,0.00084958+0.00078534i,0.0020128+0.00058846i,0.0024273+0.00026717i,0.0018914+0.00025096i,0.0014807+1.8745e-05i,0.00084699-0.00042324i,0.00075986-0.00030211i,0.00094168+0.00037819i,0.00058775+0.00056068i,0.0003076+0.00081846i,0.00031641+0.0013863i,-6.1622e-05+0.0014452i,0.00021956+0.00088844i,0.00039014-5.5936e-05i,0.00022028-0.0007121i,0.00014451-0.00014163i,-0.00038517+0.00055681i
-0.00092102+0.00014107i,-0.000791+6.1936e-05i,-0.00045129+0.00095454i,0.00025024+0.0027085i,0.0014912+0.0033232i,0.0013912+0.0019643i,0.00039432+0.00060434i,-0.00031822+0.00053024i,0.00041932+0.00076208i,0.0012811+0.000496i,0.0013449-0.00085907i,0.00079357-0.0017174i,-9.1893e-05-0.0010708i,-0.00054449-0.00038753i,-0.0011897+0.00019456i,-0.001302+0.00086164i,-0.001097+0.0010883i,-0.00054846+0.00053975i,0.00023007+0.00045115i,0.00051026+0.00049557i,7.0434e-06+4.4152e-05i,-0.00053158-5.7123e-05i,-0.00040008-0.00040594i
-0.00087583+0.0016022i,-0.0011536+0.0019567i,-0.0016728+0.0023444i,-0.0001049+0.0018675i,0.001215+0.00059476i,0.0013676-0.0010558i,0.0014047-0.0014609i,0.001211-0.0010771i,0.00076426-0.0015613i,-0.00015145-0.002361i,-0.0013532-0.001684i,-0.0013199-9.6654e-05i,-0.00052692+0.00044562i,7.7624e-05+0.00049172i,-0.00014891+0.00061295i,-0.00076433+0.00062465i,-7.1639e-05+0.00057663i,-0.00024454+0.0010323i,-0.0013435+0.0008375i,-0.00091462-4.9063e-05i,-0.0004905-0.00066194i,-0.0005303-0.0004163i,0.0002568-0.00018331i
0.00092232-7.629e-05i,0.00022217-0.00040295i,0.00029012-0.00011312i,0.00021196+0.0010851i,-0.00013083+0.0010349i,-0.00028575+6.2545e-05i,-0.00044842-0.00075127i,-0.00023759-0.001029i,-0.00019526-0.0008239i,-0.0005839-0.00051288i,-0.00051675-0.00057586i,2.6505e-05-0.00013464i,0.00024994+0.00031183i,0.00010428+0.0005556i,-9.6334e-05+0.00040303i,-0.00030361+0.00041611i,-0.0002801+0.00056748i,-0.00014546+0.00029407i,-0.0001376+7.2305e-06i,-0.00068742+0.00051879i,-0.00090836+0.00043923i,-9.0837e-05-8.6629e-05i,0.00067029-0.00014501i
0.00062784+0.00061066i,-9.3296e-05+0.00054973i,-0.00030835-1.5503e-05i,-0.00016553-0.00033429i,0.00062126-0.00061152i,0.00041587-0.00061092i,-0.00069537-1.8474e-05i,-0.00075052-0.00010005i,-0.0011972-0.00065892i,-0.0018054-0.0005703i,-0.0015497+0.00048947i,-0.00062489+0.00077832i,-9.3074e-05+0.00047553i,-0.00022102-8.8687e-05i,8.2372e-05-0.00033563i,0.00029484+0.00056857i,0.00063351+0.00049256i,0.0011609+0.00045249i,0.00098268+0.0007362i,0.00037467+0.00049642i,0.00042115+0.00013181i,0.00044687-6.6442e-05i,2.1745e-05-0.00049937i
0.0010162+0.00046017i,0.00046351+0.00034541i,-0.00063565+0.00027361i,-0.0015477+0.00071954i,-0.00027123+0.00077405i,0.00054376-0.00026691i,-6.567e-05-0.0010674i,-0.00074494-0.00084616i,-0.0004996-3.2707e-05i,-0.00038553+0.00058399i,-4.9366e-05+0.0006343i,0.00070982+6.2508e-05i,0.00084435-0.00041419i,0.00057241+0.0002026i,0.00027455+0.0011522i,-0.00020658+0.0010019i,0.000348+0.00062056i,0.00084168+0.00033718i,0.00080883+0.00024493i,0.00099304+0.00025093i,0.0011014+0.00040623i,0.0010217+0.00049156i,0.00084571+0.00046413i
-0.0011958-0.00025641i,-0.0016207-6.656e-06i,-0.0016347+0.00060238i,-0.0010721+0.0020833i,-0.00034335+0.0020984i,1.8767e-05+0.00094886i,-4.6908e-05-0.00051656i,0.00041787-0.00076467i,0.00056122+0.00043007i,0.00059824+0.0011551i,0.0013926+0.0006043i,0.0014806+5.191e-05i,0.00088564+1.8404e-05i,0.00028002+0.00014428i,0.00013884+0.00018642i,0.00028151+0.00055137i,0.00094863+0.00059526i,0.0011126+9.4133e-05i,0.0007743+0.00021074i,0.0007419+0.0002575i,-0.00013907-0.00074461i,-0.00081233-0.0014667i,0.00039727-0.001098i
0.00058701-0.0013918i,0.00047915-0.0013876i,0.00080335-0.000202i,0.0010569+0.001615i,0.00091324+0.0020245i,0.00083239+0.0011308i,0.00065279+7.8403e-05i,0.00090615+1.1563e-05i,0.0014398+0.00077452i,0.0013688+0.00093611i,0.00092674+0.00025215i,0.00013771-0.00015462i,-0.00063739+0.00018501i,-0.00089743+0.00011009i,-0.0005466+0.00033283i,-0.00015214+0.00074279i,0.00041719+0.0003228i,0.00058454+0.00077584i,7.3953e-05+0.0005368i,-0.00028136-8.1307e-05i,-1.0674e-05+0.00021274i,0.00056888+0.00048873i,0.00052184+0.00043847i
-0.00054999+0.00077556i,-0.00051499+0.0014375i,-0.00041597+0.0029866i,-0.00026911+0.0032148i,-0.00036651+0.0017187i,-0.00049162-0.00083623i,0.00011452-0.0013925i,0.00083488-0.00012732i,0.00080732-8.3445e-05i,0.00044618-0.00065446i,-2.334e-05-0.00051807i,-0.00069733-8.5483e-05i,-0.001982+0.00049467i,-0.0025671+0.00099965i,-0.0018946+0.00078445i,-0.00069376+0.0013052i,6.7006e-05+0.0013624i,0.00015154+0.00065547i,3.3115e-05+0.00080953i,0.00055193+0.00098569i,0.0011104+0.00075062i,0.0008952+0.00028231i,0.00075485-0.00030316i
0.0015293-0.0017381i,0.00082697-0.00068793i,-6.81e-05-0.00044362i,-0.00096547-0.00075742i,-0.0010354-0.0010771i,-3.7992e-05-0.00048753i,0.00069989-4.5971e-05i,0.00092664+0.00021413i,0.00020908-0.0008429i,-0.00052251-0.0018087i,-0.00059622-0.0012627i,-8.0609e-05+0.00047243i,0.00050597+0.0017388i,0.00051078+0.0015689i,0.00055803+0.00066034i,0.00034334-5.75e-06i,0.00044864+0.0002698i,0.00053305+0.00098815i,0.00033675+0.00042419i,0.00058309+4.177e-05i,0.00090175+9.897e-05i,0.00076804-0.00019615i,1.9896e-05-0.00029491i
0.00074957-0.00080349i,-3.5e-05-0.0005026i,-0.0010749+0.00026275i,-0.0015872+0.0010795i,-0.0017703+0.0022074i,-0.0011227+0.0021186i,-0.00039375+0.00080076i,-0.00069488-0.00042582i,-0.001227-0.0012287i,-0.0015793-0.00093907i,-0.00017774+0.00042791i,0.00083315+0.0013244i,0.00063516+0.0016192i,0.00069263+0.0018098i,0.00016344+0.0015204i,-4.0414e-05+0.00080797i,-7.2167e-05+0.00033836i,0.00011911+0.00025401i,0.00035886+0.00015289i,0.00056115-0.00038807i,0.00080692-0.00045461i,0.00070142-3.724e-05i,0.00037985+0.00055067i
-0.00052144-0.00040271i,-0.00084787+0.0010108i,-0.00033593+0.00073667i,0.00042143+0.0012376i,0.0018556+0.0016541i,0.0022564+0.00049571i,0.0011823-0.00024188i,0.00040333+0.00013068i,-1.8544e-05+9.284e-05i,-0.00055572+1.6771e-05i,-0.00016718+0.00029469i,0.0015096+0.0007605i,0.0012654+0.00023275i,0.00035495-0.00057018i,-0.00052785-0.00019433i,-0.00068484+0.00016498i,-9.2038e-05+0.00051123i,0.00027774+0.00062083i,0.00060397+1.3459e-05i,0.0010013-0.00047734i,0.00063939-0.00085196i,0.00028892-0.0010965i,0.000625-0.00040382i
0.0010737+0.00099212i,0.0020604+0.001411i,0.0022158+0.0022873i,0.0023155+0.0026494i,0.0022838+0.00086749i,0.00090092-0.00085462i,-0.000682-0.00069642i,-0.00079189-0.00012019i,-0.00040717+0.00013205i,-0.00017107+0.00044652i,0.00094462+0.00048567i,0.0016241+0.0001885i,0.0011551-0.00010473i,-1.5311e-05-7.3398e-05i,-0.00081652+0.00014853i,-0.00032072+0.0006538i,-0.00010363+0.00075997i,-0.00032113+5.7579e-05i,5.4163e-05-1.524e-05i,0.00038899+0.00030851i,0.00010328-0.00044333i,9.2041e-05-0.00055113i,-0.0002206-0.00043333i
-0.00047004+0.00082938i,-0.00019302+0.0011802i,-0.00030183+0.0013667i,0.00040772+0.0011846i,0.001654+0.00060207i,0.0021833-0.0012169i,0.0012006-0.0018157i,0.00030368-0.0004097i,0.00052002+0.0013376i,0.00052015+0.0016314i,0.00072743+0.00057636i,0.00022684+0.00027931i,-0.001361+0.00025853i,-0.0017805-3.5584e-05i,-0.00063769+5.6889e-05i,-0.00035215+0.00029084i,-0.00037804+0.0007149i,-0.00022216+0.0011139i,-0.00023557+0.0011522i,-0.0002494+0.0006986i,-0.00073144+0.00030782i,-0.0010353+0.00047675i,-0.00043351+0.00038944i
0.00068916+0.00018966i,0.0010684+0.00085396i,0.00070593+0.0012638i,0.00017636+0.0021374i,-0.00055378+0.0021648i,-0.00069111+0.0014509i,0.00038493+0.0009447i,0.0014596+0.0010672i,0.0017748+0.00038472i,0.00094186-0.00024811i,-0.00038633-0.00027883i,-0.00080518+0.00019575i,-0.00081912+0.001203i,-0.00077395+0.0017346i,-0.0003214+0.0012414i,0.00068818+0.0006452i,0.00030462+0.00056228i,-0.00015419+0.00030913i,0.00047831-8.9997e-05i,0.00034967-0.00030089i,0.00010223-0.00014681i,-0.00037103+0.00093712i,-0.00079544+0.0016099i
-0.0022237+0.00054414i,-0.0018497+0.00091492i,-0.0018295+0.0011687i,-0.00035583+0.0014651i,0.0005382+0.001521i,0.0007491-0.00012581i,0.0015599-0.0013661i,0.0014713-0.00087206i,0.0013529-0.00082369i,0.0018549-0.0010675i,0.0013349+0.00017869i,0.00059244+0.00040153i,0.0010789-0.00044686i,0.00083957-0.00027024i,0.00023614+0.00047654i,0.0008903+0.0010043i,0.0011062+0.0013778i,0.00075302+0.0015327i,-1.0758e-06+0.000937i,-0.00038948+0.00013379i,-0.00023421-0.00038334i,0.00038159-0.00049633i,0.0012532-0.00043907i
0.0011822+0.00011742i,0.00028675+0.0002923i,0.00066732+0.00049637i,0.001623+0.00067568i,0.0011806+0.00078277i,0.00036561+0.00036088i,-0.0002497-0.00071888i,0.000316-0.0013146i,0.0010193-0.001792i,0.00018051-0.001147i,0.00029245+8.8386e-05i,0.00086125+0.0010832i,0.00047883+0.0010637i,0.00062325+0.00014036i,0.00039897+0.00061081i,-0.00044587+0.0010377i,-0.00084016+0.00018488i,-0.00073879-0.00017424i,-0.00021941+0.00022103i,-0.00023252+9.3266e-05i,-0.0004852+0.00051696i,-4.9686e-05+0.00026687i,0.00030179+0.00032398i
0.00046559+0.00078287i,0.00054808+6.1886e-06i,0.0012365+0.00022627i,0.00062031-1.1321e-05i,2.6982e-06-0.0010639i,0.00030231-0.0019299i,0.00013568-0.0020041i,-7.9229e-06-0.0013382i,2.4659e-05-0.0010139i,-0.00053604-0.0010719i,0.00027823-0.00047982i,0.0018862-0.00034899i,0.0017287-0.0010362i,0.00095071-0.00042031i,0.0003539+0.0001257i,-5.6639e-06-0.00010892i,-0.00025833+0.00017993i,0.00039725+0.00062712i,0.001257+0.00030125i,0.0012832+7.4573e-05i,0.00058541+0.00011619i,0.00067048+3.7954e-05i,0.0006917-0.0003324i
-0.00061051-0.0002231i,-0.0012461+0.00031581i,-0.0014064+0.0011794i,-0.00025957+0.002168i,0.00027279+0.0012253i,0.00011681-0.00052223i,-0.00066966-0.00097547i,-0.00097807-0.00084107i,-0.00074942-0.00065656i,-0.0011599-0.00073593i,-0.00057767-0.0011171i,0.00061432-0.00089839i,0.00079161-0.00018286i,0.00015596-5.6447e-05i,-0.00021295+4.1004e-05i,-0.00023878+0.00011237i,-0.00028124-0.00042076i,0.00031662-0.00033352i,0.00043532+0.00054641i,-6.7622e-05+0.00024558i,-0.00028539-0.00016913i,-3.0639e-05+1.8936e-05i,0.00023615-0.00020993i
-0.00085482-0.0011798i,-0.00085745-0.00080467i,-0.001604+0.00020472i,-0.0012668+0.0011781i,-0.00043774+0.0011285i,0.0003631+0.00079747i,0.00056621+0.0003154i,0.00044846-0.00039956i,0.0005241+0.0001335i,-0.00049579-0.00017422i,-0.0011026-0.00055391i,-0.00065807+0.00018912i,-0.00082257+8.9642e-05i,-0.00027372-0.00026397i,5.7585e-05+0.00021069i,0.00019994+0.00086811i,-0.00046116+0.0012524i,-0.0010313+0.00021174i,2.9831e-05-0.00063065i,0.00049075-0.0004882i,-8.8878e-05-3.5348e-05i,-0.00063425+0.00023844i,-0.0007987+7.1092e-05i
0.0013616+0.00013114i,0.0011646+0.00074194i,0.00086405+0.00081219i,0.00039053+0.0016091i,0.00064713+0.002385i,0.00026439+0.0014997i,-8.7452e-05+0.0001858i,0.0010003+0.00097574i,0.00088875+0.0025374i,0.00067347+0.0020809i,0.00023459+0.0010384i,0.00019338+0.00091363i,0.00053649+0.001278i,0.0001154+0.0012195i,-2.6889e-05+0.00045849i,-0.00027392-0.0005265i,-7.8897e-05-0.00063425i,-0.00021356+0.00026161i,-0.00057117+0.00040693i,-0.00020132-0.00026932i,-0.00065095-0.00017205i,-0.0011653+0.00026587i,-0.00082209+0.00045707i
-0.00035181+0.00053058i,-8.1116e-05+0.00019473i,0.00015094+0.00087022i,-0.00010285+0.0011837i,0.00032342-0.00037634i,0.00062668-0.0013318i,0.00048889-0.00020125i,0.00087333+0.00045108i,0.0012416-0.000215i,0.001381-0.00066946i,0.00092929-0.0002712i,0.00089106+0.00027956i,0.0010586+0.00055293i,0.00063318+0.00046613i,0.00066724+0.0010913i,0.00063949+0.00096911i,0.00019402+0.0011662i,-0.00043806+0.0010645i,-0.00079027-7.1686e-05i,-0.000445-0.00026656i,0.00015469+0.00018552i,0.00045013+0.00023576i,-1.9131e-05-0.0006468i
0.002947-0.00077616i,0.0019905-0.0016365i,0.0015862-0.0022226i,0.0015332-0.0012487i,0.0016395+0.0001749i,0.00080087-8.0422e-05i,0.00036332-0.00041213i,0.00091941+0.00021274i,0.0016321-0.00011019i,0.0015382-0.0011697i,0.0010208-0.0012175i,0.00069985-0.00014747i,0.00054766+0.00061542i,0.0010036+0.00030966i,0.00079844-0.00056736i,3.6059e-05-0.0010915i,-0.00021501-0.00035587i,0.00037426+0.00056471i,0.00062109+0.00068695i,0.00049631+0.00054614i,0.00045027+6.6228e-05i,0.00070043-2.029e-05i,0.00038744+7.1823e-05i
-0.00048056+0.00015252i,-0.00048252+9.6497e-05i,-0.00011083+0.00044885i,-0.00067459+0.0013008i,-0.00090146+0.001827i,-0.00048411+0.00088604i,-0.00054423-0.00018598i,-7.2026e-05-0.0013863i,-0.00030051-0.0015748i,-0.00069845-0.0010208i,0.00026983-0.00049297i,0.0008311-0.00041188i,-0.00021362-0.00022466i,-0.00099083-0.00025009i,-0.00023573-0.00028356i,-9.2992e-05+0.00014526i,-0.00061773+0.00093774i,0.00019902+0.0018157i,0.00087671+0.0010174i,0.0008079-0.00056342i,0.00031249-0.00055611i,-0.0003378-0.00051575i,-0.00028127-0.001444i
-0.0007875+0.0009361i,-0.00065845+0.0012893i,-0.00041765+0.00093665i,-0.00036653+0.0013549i,0.00027135+0.001686i,0.0011536+0.00022488i,0.0007489-0.00068131i,0.00040885-0.00055472i,-0.00015167-0.0006303i,-0.00055767-0.00056046i,-0.00049182+0.00034426i,-0.0001692+0.00085043i,-0.00012466+0.00076191i,-0.0014313+0.00065023i,-0.0014482+0.00047548i,0.00013097+0.00072531i,0.00099434+0.00062276i,0.00063666-0.0001606i,0.00068024-0.00074825i,0.00091794-0.00077098i,0.00065773-0.00051286i,0.00044893-0.00026546i,0.00023036+0.00032129i
-0.001369-0.00059134i,-0.0018922+5.4045e-05i,-0.0024739+0.0015473i,-0.0017443+0.0030806i,-0.00069616+0.003077i,0.00010631+0.0012154i,0.00026027-0.00020125i,-0.00023521-0.0001839i,-0.00066905+0.00039469i,-0.00016705+0.00094865i,0.0011761+0.00084932i,0.001559+0.00089292i,0.00056143+0.00084485i,-0.00061851+0.00029944i,-0.00086126+6.9869e-06i,-0.00085783+0.0007309i,-0.00039425+0.0011731i,0.00017748+0.00052259i,0.00056595+0.00031602i,0.00058243+5.638e-05i,0.00026751+1.893e-05i,0.00081255+0.00021427i,0.00082334+3.0454e-05i
