-0.0010191+0.00050353i,0.00019468+0.00063599i,0.00054125+0.00040729i,0.00060172+0.00019061i,-0.00010492+0.00020275i,-0.0010233+0.00034151i,-0.00089828+0.00052603i,-0.00051344+0.0010668i,-0.00011851+0.0011373i,-0.00018431+0.0010061i,2.6009e-05+0.00079562i,0.00046634+0.00012836i,-0.00013702-0.00091954i,-0.00047586-0.00093345i,0.00027939-0.00081342i,0.0011194+2.335e-05i,-1.5704e-05+0.00089159i,-0.0013812+5.1059e-06i,-0.00061723-0.00074906i,9.8441e-05-0.0011622i,5.3241e-08-0.00090155i,0.00037799-0.00071631i,0.00049505-0.00038715i
0.0015486+0.0012652i,0.0014426+0.0014976i,0.00078377+0.003093i,0.00074984+0.0025943i,0.0015137+0.00069511i,0.00086002-0.00030052i,-0.00084515-0.00072094i,-0.00085302-0.0014624i,0.00041727-0.0011331i,0.00076062-0.0002313i,0.00037265-0.00025156i,-0.00016229-0.00039213i,-0.00082014-5.048e-05i,-0.00078355-0.0001173i,-0.00036739+9.5138e-05i,0.00010959+0.0008583i,0.00029015+0.0012025i,3.0118e-05+0.0010939i,-0.0001545+0.00086182i,9.7126e-06+0.00053526i,0.0007129-0.00022205i,0.00088995-0.00025668i,2.6105e-05+0.00013882i
0.0005912-0.00021991i,0.0008539-0.0010755i,0.0017649-0.00057662i,0.0019248-0.00010249i,0.00096396-0.00094369i,-0.00017768-0.00070826i,-0.0006-0.00038077i,0.00021289-0.00040525i,0.00082608-0.00094605i,-8.4734e-06-0.00069731i,-0.00022092-0.00013425i,0.00036547+0.00023296i,0.00041016+0.00057726i,0.0007248+0.0006878i,0.00087542+0.00067213i,0.00039763+0.00031366i,0.00056599-0.00019207i,0.0012451+5.6727e-05i,0.0012485+0.00066997i,0.00083497+0.00083114i,-0.0002265+0.00043732i,-0.00045687-0.00061845i,1.6438e-05-0.0005674i
-0.00047331+0.00022752i,-0.0002328+0.00081249i,-5.8376e-05+0.0010394i,0.0001102+0.0020132i,-0.00013299+0.0021063i,0.00015255+0.001627i,8.2086e-05+0.00062417i,0.00075279-0.00047319i,0.0011013-0.0011682i,0.00080326-0.0011344i,8.1729e-05-0.00055554i,-0.00030043-0.00024603i,9.2637e-05+0.00037312i,0.00016646+0.00081363i,-7.1234e-05+0.00073413i,0.00052488-0.00022277i,0.0013889-0.0004573i,0.0013398-7.884e-05i,0.00091566-0.00010134i,0.00097634-0.00015334i,0.0013072-0.00031565i,0.00081987-0.00057056i,0.00044654-0.0007453i
-0.00089545+0.0013382i,0.00011895+0.0023284i,0.0017306+0.0025003i,0.0022826+0.0021742i,0.001274+0.0010001i,0.00029428-0.00096998i,0.00030537-0.0015422i,0.00021543-0.00073185i,0.00020964+0.00029895i,0.0003415+0.00077925i,0.00017998+5.3717e-05i,4.114e-05-0.00040783i,-0.00018823-0.00031849i,0.00028052-2.439e-05i,-6.4966e-05+0.00092279i,-0.0001594+0.0013612i,0.00036481+0.00099i,-0.00017689+0.00043398i,-0.0007022-0.00046786i,-0.00045523-0.00050565i,-0.00021131+0.00036277i,0.0002247+0.00049523i,0.00053157+0.00016835i
-0.00023396-0.00020122i,0.00035343+0.00039431i,0.00068293+0.0010031i,0.0011867+0.00090781i,0.0022056+0.00013922i,0.0019958-0.00075715i,0.00086512-0.00077305i,4.0934e-05-0.00031266i,-3.4591e-05+0.00018514i,0.0004386+0.00020284i,0.00027318+4.1871e-06i,-0.0005807-0.00023267i,-0.001123-0.00019832i,-0.00022304+0.00046687i,0.0005819+0.00092421i,0.00051838+0.00062436i,0.00086011-0.00034302i,0.0018367-6.5067e-05i,0.0019832+0.0005453i,0.00087081+1.0671e-05i,-0.00050256-0.00061364i,-0.00069347-0.00077914i,-0.00014748-0.00082018i
0.00090498-0.00041734i,-0.00031113-0.001003i,0.00019242-0.00072233i,4.3511e-05+0.00035089i,-0.00091273-3.6982e-05i,-0.0014082-0.00033174i,-0.0022405-6.7351e-06i,-0.001557-7.0221e-05i,0.00010775-0.00042545i,0.00093677-0.00068026i,0.0010683-0.00027798i,0.00057971-0.00012534i,6.3718e-05-0.00044674i,0.00030209-0.00055088i,0.00086539+3.2955e-05i,0.00059538+0.00092707i,-1.0283e-05+0.0013883i,-0.00016464+0.00098085i,-3.6451e-05+9.0222e-05i,0.00031151-0.00030934i,0.00038651-0.00029602i,-0.00050889-0.00026074i,-0.0005378-0.00037028i
-0.00035206+0.0013268i,-1.641e-05+0.0011875i,0.00034572+0.00074179i,0.00044757+0.0012301i,0.00076426+5.8325e-05i,0.00044438-0.0014179i,-0.00072112-0.0016365i,-0.00093639-0.00068156i,-0.00067337+2.7485e-05i,-0.00047891+0.00015667i,0.00019196+0.00010849i,0.0007722+0.00041513i,0.00013747+0.0010472i,1.7246e-06+0.00064389i,0.00041966-0.00011208i,0.00060905+0.00028476i,0.00059177+0.00089954i,0.00068787+0.0009969i,0.00042383+0.0007988i,-0.00037573+0.00011331i,-0.00055025-0.00032975i,0.00023606+0.00026697i,0.00099955+0.00024878i
0.000868-0.00014391i,0.001343-0.00031758i,0.0011555-9.5296e-05i,0.00075393+0.00053653i,0.00079977+0.00050645i,0.00053211+0.0005232i,0.00053343+0.00090949i,0.00027912+0.00044017i,-0.0001222-0.00036427i,-0.00016241-0.00047558i,4.4338e-06+6.5787e-05i,0.0001706+0.00013574i,0.00041047+7.6764e-05i,-7.6512e-05+0.00025907i,-5.5226e-05+3.8032e-05i,0.00041491+0.0004827i,1.6308e-05+0.00074083i,5.1454e-05+1.7161e-05i,-3.8773e-05+8.571e-05i,-0.00050947+0.0005227i,-0.00050787-1.8856e-05i,-0.00020609-0.00081712i,0.00020402-0.00058108i
-4.6065e-05+6.0356e-05i,-0.00041585-1.3196e-05i,-0.00086912+0.00040221i,-0.00058179+0.00065855i,-0.00029106+0.0001281i,-0.00015112-0.0008242i,-0.0003586-0.0015455i,0.00019679-0.0013881i,0.0005255-0.00050552i,0.00044669+0.00016364i,-0.00012-0.00031149i,-0.00052785-0.0008228i,-0.00025503-0.00082022i,-0.00039854+5.9252e-05i,-0.00097366+0.00066344i,-0.00085801+0.00029092i,-0.00032747-3.2795e-05i,0.00013628+0.00033473i,0.00035634+0.0011533i,0.00067481+0.00054158i,0.00031393+8.8696e-05i,-0.00068212+3.0623e-05i,-0.0012034-0.0005952i
-0.00033598+0.00093545i,0.00034538+0.0010435i,0.00050845+0.0012553i,0.0011644+0.0016373i,0.0015085+0.0019781i,0.00094263+0.00040507i,0.00024648-0.00083088i,1.5469e-06-0.0015343i,0.00038956-0.0013909i,-0.00030976-0.0004874i,-0.00077482-0.00084071i,-0.00027175-0.00070692i,4.6924e-05-0.00031099i,0.00051774-0.00051951i,0.0008482+0.0002216i,0.00049685+0.0011963i,0.00027595+0.0011633i,0.0008112+0.00061984i,0.000891+0.00072293i,0.0002889+0.00038935i,-0.00025363-0.00031979i,-0.00052607+5.0718e-05i,-0.00075644-0.00039776i
