-0.00077987+0.00018792i,-2.2916e-05-0.00044392i,-0.00034446-0.00081877i,0.0001375-0.00096929i,-3.8468e-05-0.00042141i,-0.0014053-0.00019186i,-0.0018791-0.00029083i,-0.00061217+0.00060705i,0.00075553+0.00061456i,0.001205-0.00032402i,0.00087334-0.00050492i,0.00021761-0.00032552i,0.00074383-0.00022772i,0.00081172-0.00012912i,3.9067e-05-1.416e-05i,-0.00020116+8.2855e-05i,0.00027108-0.0002903i,0.00010558-0.00069701i,-0.0011485-0.0011151i,-0.00084673-0.00064655i,-9.9063e-06-0.00030079i,0.00012555-0.00023757i,0.00025735-0.00012341i
9.1834e-05+0.00096421i,0.00023436+0.00023287i,-0.00025332+0.00081088i,-0.00038129+0.00058763i,-0.00045164-6.842e-05i,0.00034459-0.00023159i,0.00073706-0.00057595i,0.00026343-0.00033174i,0.00017207-0.00028292i,-0.0005592-0.00033024i,-0.00097141+0.00022844i,-0.00022438+0.00042919i,0.00031304+4.0634e-05i,0.00041629+0.00010581i,0.00055397+0.00019918i,0.00046515+0.00016386i,-0.00020278+0.00014621i,-7.0349e-05+3.6317e-05i,0.00018423+0.00022773i,4.243e-05+0.00023417i,-0.00015172+5.3031e-05i,0.00010616-0.00013598i,0.00045793-0.00061815i
0.00082374+0.00056688i,0.00043474+0.001096i,-0.00024748-0.00032151i,-0.00033544-0.0014298i,-0.0015157-0.0017509i,-0.0012796-0.0015713i,2.1275e-05-0.0005998i,0.00024561-6.2927e-05i,-0.00048843+0.00017146i,-0.00055602-6.5439e-05i,9.7313e-05-0.00050045i,0.000207+0.00054602i,0.00037604+0.0012158i,0.0009064+0.00082098i,0.00080081-8.0913e-05i,0.00047219-0.00068473i,6.4237e-05-0.00052601i,-0.00018914-5.813e-05i,1.8803e-05+0.0008887i,-0.00091023+0.0009972i,-0.0013623+0.00059074i,-0.0011575+0.00052576i,-0.00074201+0.00036147i
0.00027717-0.0013024i,0.00090258-0.00089522i,-4.7324e-05-0.0012086i,-0.00053284-0.00086022i,-0.00060807-0.00068799i,-0.00051072+0.00050136i,0.00015659+0.0012165i,0.00093784+0.00039138i,0.00055244-0.00045955i,7.4885e-05-0.00054688i,-0.00026459-0.00028608i,-0.00073131-2.555e-05i,-0.00056755+7.1811e-05i,-0.00043157+0.00054212i,-6.0913e-05+0.00071071i,0.00066348+0.00018854i,0.0010543+0.0001938i,0.00046387+0.00011583i,5.3668e-06-2.5665e-05i,7.7726e-06+0.00022701i,-0.00067709+0.00045832i,-0.00088749+0.00047337i,-0.00010254+0.00040456i
-0.0011816+0.0011039i,-0.001085+0.00052771i,-0.00099928+0.00048366i,-2.8473e-05+0.00079848i,0.00049585+0.0012442i,0.00060161+0.0010504i,0.0011813+0.00018823i,0.0012938+0.00034108i,0.00047629+0.00081315i,-0.00041321+0.00029954i,-0.00014821+0.00021299i,-2.8053e-05+0.00025812i,-0.00019074+3.2158e-05i,-9.783e-05-8.5367e-05i,-0.00011801-0.00043566i,-0.00027336-0.0003821i,-0.00017023+0.00013697i,0.00039944-0.0001368i,0.00051403-0.00052578i,-0.00019353-0.00026444i,-0.00081142-4.2481e-05i,9.5456e-05+0.0006209i,0.00047756+0.00082096i
-4.4973e-05+0.00064264i,0.00027812-0.00041895i,0.0007972-0.00026436i,0.0016072-0.00089974i,0.0025817-0.0013987i,0.0011103-0.0018276i,-0.00018948-0.0025967i,-0.00022721-0.0019596i,-0.00047573-5.4617e-05i,-0.00016212+0.0005495i,0.00043601-1.3427e-05i,0.00040841-0.00019961i,-0.00011346-0.0003445i,-0.00037267+0.00020662i,-0.00083945+0.0003673i,-0.0010478+0.0004638i,-0.0010589+0.00029982i,-0.00038426-8.4011e-05i,0.00057867+0.00046885i,0.0010313+0.00046909i,0.0004783+6.7349e-05i,-0.00061712-5.6446e-05i,-0.00081428-0.0004442i
0.0007618-0.0011093i,0.00052613-0.0012451i,8.1129e-05-0.0010446i,-0.00057371-0.00057997i,-0.0006639-0.001306i,0.0001392-0.0010491i,0.00056203+2.0659e-05i,0.00036621+0.00051797i,-9.1423e-05+0.00023766i,-0.00037015+8.4183e-05i,-0.00015797+0.00015027i,3.702e-05+0.00022828i,0.00020765+0.00036065i,0.0010744-0.00019173i,0.001208-0.00035988i,-3.9928e-05+8.5293e-05i,-0.00024731+0.00044062i,0.00042372-0.00015925i,0.00078466-0.00097069i,0.00076414-0.00083253i,0.00024225-0.00051185i,0.00056765-0.00026263i,0.00062455-0.00038585i
0.00072324-0.0013019i,-4.7729e-06-0.0013583i,-0.00067475-0.0016684i,2.4059e-05-0.001736i,0.00039731-0.00070322i,1.8193e-06-3.1944e-05i,-5.0531e-05+0.00011275i,1.1171e-05+0.00032976i,0.00011657+0.0002789i,-0.0005659+0.00016164i,-0.0009384+0.00015399i,-0.0005874+0.00039835i,0.00037088+0.00024303i,0.00055157+0.00027811i,-0.00019823+0.00027563i,-0.00016726+0.00016292i,-0.0001167+9.5126e-05i,0.00044695+8.1412e-05i,0.00094347+0.00026933i,0.00023988+0.00037294i,-0.00082014+0.00010864i,-0.00063719-0.00074923i,-0.00054201-0.00049221i
0.00050242-0.00043325i,0.00076241-2.3827e-05i,0.00095653+0.00030852i,-4.7014e-05+0.00018206i,-0.00087811-0.00046279i,-0.00073223-0.0011571i,-0.0002191-0.00088787i,-0.00013125+0.00019426i,-0.00010151+0.00036913i,-0.00052174-0.00044588i,-0.0007062-0.00088382i,0.00010177-0.00047744i,0.00043538+0.00054817i,0.00029902+0.0011582i,9.692e-05+0.0010323i,-0.00033471+0.00071069i,-0.00053841+0.00053167i,-0.0003268+0.00014076i,-2.6513e-05-0.00036663i,8.2852e-05-6.2697e-05i,-0.00055651+5.7299e-05i,-0.00086378-0.00013094i,-0.00034262-0.00050106i
-9.903e-05+0.00015497i,0.00019301+0.00021456i,0.0022333-0.00078206i,0.0028468-0.00084029i,0.0017326-0.00061081i,0.00051318-0.00089503i,-0.00012007-0.00082788i,1.3852e-05-0.00075347i,0.00036651-0.00095841i,0.00057279-0.00099031i,0.0002818-0.0010443i,-0.00034023-0.00037208i,-0.0003786+0.00035519i,0.00010098+0.00012167i,-0.00037987-0.00059586i,-0.00040854-0.00090283i,5.321e-05-0.00072616i,-0.00031311-0.00041982i,-0.0012456+0.00014821i,-0.00068827+0.00033296i,-2.0839e-05+0.00022345i,-0.00032474+0.00011289i,-0.00014645+2.9577e-05i
0.00076267-5.0748e-05i,0.00030662-6.686e-05i,0.00027447-0.00087985i,-0.00051985-0.0016268i,-0.0013843-0.0022622i,-0.0010295-0.0021432i,-0.00018645-0.00093943i,5.5344e-05-0.00024709i,-0.00019955-0.00033953i,-5.9243e-05-0.00053784i,-0.00012458-0.00020788i,-0.00060242-0.00029163i,-0.00031963-0.00063677i,-0.00010164-0.00046618i,-0.0005967-8.4451e-06i,-0.0003526+0.00038189i,-0.00014121-3.8218e-05i,-0.00071289-0.0002723i,-0.00088867-0.00016836i,-0.00041769-0.00010435i,-0.00054073+0.00057231i,-0.00051376+0.0010994i,0.00023226+0.00095418i
