-0.0013109+0.00054096i,-0.00056675-0.00066308i,-0.00027194-0.0010377i,-0.0014935-0.00067843i,-0.001838+0.00018498i,-0.0010215+0.00031752i,0.00043842+0.00052199i,0.0020561+0.0016726i,0.0013667+0.0014348i,7.5168e-05+0.00089933i,-8.892e-05+0.0010278i,-9.5914e-05+0.00044292i,-0.001119+0.00015315i,-0.0015026+0.00041664i,-0.00065124+0.00064535i,-0.00073704+0.00069165i,-0.00029894+0.00021644i,0.00022736-9.642e-05i,-0.0004231-0.00039428i,-0.00084303-0.00053224i,-0.00044311-0.00048997i,0.00034872-0.0005703i,0.00050468+8.5628e-06i
-0.00053275-0.0021978i,-0.00048211-0.0019189i,-0.00083044-0.0018947i,-0.0013923-0.0016205i,-0.0016041-0.00057498i,-0.00031794+0.00036924i,0.00068297+0.00016037i,0.00067033-0.00030451i,0.00049706+2.0854e-05i,-5.6181e-05+0.00020177i,-0.00055895+0.00035815i,-0.00075066+0.00095252i,-0.00051249+0.001083i,-0.00044164+0.00096463i,-0.00075128+0.00041144i,-0.00069888+0.00029955i,-0.00050524+0.00079636i,-0.0004765+0.00055416i,0.00014824+0.00045631i,0.00026163+0.00086473i,-6.245e-05+0.00062276i,-0.00088936+0.00039721i,-0.0010876+0.00064057i
-0.00015642+0.0004216i,0.0004675+0.00061443i,3.4058e-05+0.0013272i,-0.00015822+0.001059i,-0.00019749+0.00070175i,0.00047315-0.00012032i,0.00079184-0.00063156i,0.00050714-0.00062734i,-0.00021211-0.00070388i,-0.0011286-0.00057101i,-0.00052612+0.00012077i,-1.3825e-05+0.00011884i,-0.00064138+0.00012679i,-0.0010609-0.00014458i,-0.00076858-0.00084545i,-0.00045502-0.00063034i,-0.00017762-0.00066926i,-0.0001112-0.00042126i,-0.00020681+0.00016022i,-0.00029859+8.4179e-05i,-0.00015244+5.6669e-05i,-0.00053233+0.00016595i,-0.0013144+2.8887e-06i
0.0014421-0.00027685i,0.00090655-0.00041791i,0.0011433-0.001917i,0.0014695-0.0017346i,0.0016275-0.0011371i,0.0015116-0.00096633i,0.0011647-0.00033979i,0.00055381+3.8684e-05i,2.5054e-05-7.0829e-05i,-8.0539e-05-0.00031804i,-0.0002717-0.0010841i,-0.0006736-0.00050351i,-0.00079364+0.00068595i,-0.0005302+0.0011261i,-0.00091482+0.00099856i,-0.00061749+0.00062779i,0.00023577+0.00054039i,0.00083115+6.9598e-05i,0.001174-0.00027253i,0.00085429-0.00041135i,0.00012266-0.00079914i,-7.4228e-05-0.00095046i,-0.00010641-0.00033844i
0.00113-0.0018349i,0.00077754-0.0013733i,0.00094159-0.0012839i,0.00033507-0.0018272i,-0.0002448-0.0010953i,-0.00040362-1.5448e-05i,0.00027722-0.00023676i,0.0010275-0.0011612i,0.0011776-0.0010741i,0.00037699-5.7991e-05i,-0.00020554+0.00058024i,-0.0003807+0.0012882i,-0.00088959+0.00086532i,-0.00057857-0.00039507i,-0.00052483-0.00046054i,-0.00036839-0.00026649i,-0.00043228+0.00022392i,-0.00072691+0.00077708i,0.00069606+0.00064557i,0.0015652+0.0004212i,0.00049849+0.00054322i,-0.00018973+0.00065624i,0.00037579+0.00029473i
-0.00033616-0.00067944i,-0.00010784-0.0013693i,0.00075243-0.00081692i,0.00075309-0.00016924i,0.00074635+0.00023403i,0.00099523-0.0003694i,0.00061119-0.0010774i,0.0001734-0.00098223i,-0.00038776-0.00044736i,0.00016281-0.00015389i,0.00052525-8.8544e-05i,0.00048956+4.3637e-05i,-0.00034148+0.00027323i,-0.0012957+0.00033424i,-0.0011516+0.00028944i,-0.00082007-4.1027e-05i,-1.0496e-05-0.00025161i,0.00037433+0.0003275i,0.00041811+0.00057698i,0.00082049+0.00081014i,0.00012117+0.00080168i,-0.00062041+0.00070635i,-0.00043358+0.00074409i
0.00013842-0.0017746i,3.3953e-05-0.0022303i,-0.0011482-0.0026722i,-0.0018474-0.0014565i,-0.0022004-2.1785e-05i,-0.0010655+0.00029386i,0.0010917-0.00029752i,0.001405-0.0011013i,5.3919e-05-0.0016786i,-0.00085517-0.001897i,-0.0013491-0.00091286i,-0.0017709+0.00048443i,-0.0013287+0.0014752i,-0.00067413+0.0019791i,-0.00030469+0.0010753i,-0.00058142+0.00011599i,-0.0003222+0.00020096i,0.00039869+0.00022071i,-0.00019609-4.0788e-05i,-0.00083837+9.4346e-05i,-0.00046815+0.00027135i,-0.00048419+0.00014538i,-0.00096984+0.00013614i
-0.0010647-0.00059249i,-0.00092261-0.0016529i,-7.9959e-05-0.00041535i,0.00073323+0.0004994i,0.00035255+0.00014812i,-0.00030841-0.00089826i,0.00024888-0.00070347i,0.00044971+6.7206e-06i,-0.00030842-0.0004609i,-0.00094675-0.00041911i,-0.00046545+0.00015498i,0.00039+0.00019956i,-0.00028125+0.00059933i,-0.00093397+0.00053203i,-0.00072749-0.0001531i,-0.00024265+0.00022669i,-0.00018387+0.00071235i,-0.00052629+0.00035761i,-0.00025907-4.0424e-05i,-6.8267e-05-7.7022e-05i,6.1106e-05+0.00018679i,7.3434e-05+0.00096696i,0.00026912+0.00093961i
-0.00031932-0.00032818i,-0.00156-0.00034053i,-0.0015902-0.00042061i,-0.0011049-0.00012263i,-0.00055662+7.0108e-05i,0.00096341+0.00032146i,0.001387-0.00021346i,0.00013223-0.00061958i,-0.00094352-0.00078547i,-0.0013303-0.0010986i,-0.0012506-0.00017526i,-0.00068311+0.00034508i,-0.00029969-0.00036888i,-0.0002776+0.00017327i,-0.00049757+0.00077972i,-0.00045738+0.0004758i,-0.00017217+0.00075414i,0.00038602+0.00070471i,0.00024925-0.00019632i,-0.00032667-9.3749e-05i,-0.00077841+0.0006687i,-0.00078719+0.00062431i,-0.00016322+0.00050471i
0.00079585-0.00088015i,0.00015684-0.00048362i,0.0011009-0.0014149i,0.00078527-0.0011394i,-0.00020897+2.9994e-05i,-0.0002927+6.934e-05i,0.00014238-0.00049751i,-0.00036046-0.00081029i,-0.001032-0.0011059i,-0.0013258-0.0016304i,-0.00077291-0.0011216i,-0.00082389-0.00067759i,-0.00016368-0.0006006i,5.2073e-05-0.00011987i,-0.00050683+0.00010298i,4.8001e-05-0.00025215i,0.00019761-0.00037681i,0.00022476+0.00011647i,7.8539e-05-0.00041292i,-0.00011411-0.00070621i,-0.00040023-0.00024701i,-0.00045239+0.00010792i,6.5537e-05+0.0009157i
-4.9715e-05+0.0015384i,0.00026364+0.0024887i,0.0010805+0.0024729i,0.0022362+0.0013378i,0.0018099+0.00023556i,0.00053609-0.00083184i,0.0001258-0.0014428i,0.00021568-0.001212i,5.2245e-05-0.00019517i,-0.00018159-0.00012371i,0.00037638-0.00088813i,0.00069572-0.0011815i,3.8601e-05-0.001275i,-0.00064948-0.00070459i,-0.00056386+3.5305e-05i,-0.00017587-0.00020976i,-0.0004457-2.0445e-05i,-0.0005808+0.00031883i,-0.00016081+4.0422e-06i,-0.00065019+0.00011491i,-0.00072002+0.00014008i,0.00048228+0.00045851i,0.00063877+0.00073574i
