-0.00073545+0.00057236i,-0.0010366+0.001625i,-0.0022237+0.0041233i,-0.0018304+0.0039405i,-0.001213+0.0026914i,-0.0011364+0.0014879i,-0.00097366+6.4053e-05i,-0.00016998+0.00012068i,0.00039205+0.0011437i,-0.00019611+0.00095664i,-0.00064676-0.000374i,-0.00010068-0.00044762i,0.00051778+0.00022273i,0.0013765+8.9883e-06i,0.001266+0.00029394i,0.0002164+0.00045748i,-0.00013764+0.00010606i,-7.9678e-05-0.00054378i,1.9454e-05-0.00068265i,-0.00012139+0.0008434i,-0.00033738+0.0017928i,-0.00062906+0.0006552i,-0.00018526-0.00024481i
-0.00030419+0.0010723i,0.00026963+0.0024918i,0.00078408+0.0044023i,0.0020183+0.0037714i,0.0020959+0.0013484i,-0.00011637-0.00060421i,-0.0010162-0.00037021i,-0.00018417+0.00038708i,-0.0003291+0.00050237i,-0.00014167+0.00059338i,0.00035429+0.0001536i,0.00086588-0.0001128i,0.00089857+0.0003918i,0.00018502+0.00096149i,0.00070571+0.00091158i,0.00097417+0.00022909i,0.00054026-0.00047035i,0.00026752-0.00018458i,-8.1798e-05+0.00046272i,-0.00027875+0.00011389i,-0.00043284+0.00043419i,-0.00011897+0.00093991i,0.0001849+8.9365e-05i
0.0011112-0.00043444i,1.8245e-05-1.2384e-05i,-0.00085697+0.0010867i,-0.00052872+0.0012997i,-0.00028497+0.00088384i,-0.00064223+0.0010114i,-0.00050697+0.0014836i,-0.00041891+0.0019932i,-0.0008553+0.0018888i,-0.00056125+0.0014573i,0.00036975+0.00063633i,0.00052345-0.00044172i,-0.00027391-0.00019521i,-0.00016934+0.0009405i,0.00044913+0.00057624i,0.00088829-0.00035446i,0.0010881-0.00016364i,8.638e-06+0.00039498i,-0.00040651+0.00021849i,0.00074701-0.00026771i,0.00091882-0.00023031i,0.00077429-1.169e-05i,0.00038699+0.00013579i
0.001291-0.00045704i,0.0003064+0.00059591i,-8.2986e-05+0.0031327i,-0.00016089+0.0039954i,-0.00042115+0.0018459i,-0.00081468+0.00070754i,-0.00033779+0.0011146i,0.00084209+0.00067653i,0.0016112+0.00067752i,0.00063719+0.00047271i,-0.00024789-0.00036674i,-0.00082-0.0005816i,-0.00097506+0.00014623i,-0.00044221+0.0014363i,-0.00025148+0.0016684i,-0.00022715+0.0010065i,-0.00041313+0.00043303i,-0.00093974-0.00039304i,-0.0011127-0.00015121i,-0.00029867+0.00036609i,0.00023163+0.00023169i,-2.6438e-05+0.00043731i,-0.00010281+0.00012769i
0.0007531+0.0011031i,0.00031175+0.001645i,8.361e-05+0.0024388i,0.00051881+0.0015656i,0.00018678-0.000261i,-0.00087185-0.0011912i,-0.00018888-0.00028392i,3.8567e-05+0.00029517i,-0.00042583-7.6625e-05i,-0.00032335+0.00031278i,0.00010029+0.00082206i,-3.1799e-06+8.3844e-05i,0.00065701-0.00039343i,0.00074094+0.00022069i,0.00022546+0.00082208i,0.00012826+0.00058973i,-0.00085647-0.0004536i,-0.00074521-0.00063758i,0.00042505+0.00033092i,0.00035442+0.00066981i,0.00051711+0.000256i,0.00096033+0.00027254i,0.00053593+0.00053034i
0.00076175+0.00063713i,0.0004063+0.0024013i,0.00027295+0.0030938i,0.00074198+0.0020455i,0.0011196+0.00098973i,0.00027842+0.00051749i,-0.00036069+4.3188e-05i,-0.00037706-0.00022041i,-0.00049098+0.00020999i,-0.00061675+0.00040711i,-0.00025341+0.00026798i,0.00037086+0.00011199i,0.00057362-0.0001422i,0.00074558-0.00036766i,0.0012878-0.00051033i,0.0012195-1.8832e-05i,0.00048015+0.00014965i,0.00044061+0.00016086i,0.00042899+0.00088481i,-7.2983e-05+0.00074842i,-0.00065308-0.00010283i,-0.0008571-9.681e-05i,-0.00075987+0.00055561i
-0.00077838+0.0017255i,-7.5469e-05+0.0022778i,0.0012217+0.0042068i,0.001559+0.0038952i,0.00090139+0.00080494i,-0.00066951-0.0012433i,-0.00090862-0.0012167i,-0.000146-0.00084662i,4.8115e-05-2.0694e-05i,0.00015691+0.00083491i,0.00098012+0.0011054i,0.00061381+0.00060168i,-0.00030927+7.1514e-05i,-0.00017337-0.00023159i,0.00093959-0.00046622i,0.0010439-0.00038824i,5.3279e-05-0.00051478i,-0.00019984-0.00052378i,0.00019146+0.00020309i,2.4946e-05+0.00095232i,3.5301e-05+0.00051407i,0.00011574+0.00033297i,0.00024462+0.00039588i
0.00021026+0.00034305i,-0.00019846+0.0020626i,0.00091951+0.0039701i,0.0021255+0.0036029i,0.0012373+0.0014085i,-0.00042255+5.4342e-05i,-0.00041476-0.00084955i,0.00083815-0.00085717i,0.0012407+0.00017911i,0.00022887+0.00076031i,-0.00093334+0.00029636i,-0.0015037+0.00011961i,-0.00031226+4.1221e-05i,0.0012082-0.0001692i,0.0013139-0.00047708i,0.0014272-0.00043815i,0.0011233-0.00027645i,-0.00014851-9.4368e-05i,-0.00062502+0.00029275i,8.2648e-05+0.00052457i,0.00084493+0.0010424i,0.00092695+0.0014301i,0.00091437+0.0011198i
0.00054035+4.2606e-05i,0.00016851+0.0010713i,-0.00052816+0.0033226i,-0.0012606+0.0035073i,-0.001833+0.0021258i,-0.0019266+0.00073848i,-0.0012686+0.0004767i,-6.8758e-05+0.00028844i,0.001042-0.00074266i,0.0010178-0.0011131i,0.00097041-0.00025355i,0.00013939+0.00049588i,-0.00022526+0.00041518i,0.00027041+0.00024523i,9.2672e-05+0.00041091i,3.8303e-05-0.00022085i,-0.0001996-0.00075022i,-2.7651e-05-0.00042629i,5.2056e-05-0.00070952i,-0.00034429-0.00027094i,-0.00014155+0.0012666i,0.00024521+0.0013156i,0.00048435-0.00017224i
0.00024504+0.0004621i,0.00085219+0.002529i,0.0023058+0.0044607i,0.0026113+0.003385i,0.0021492+0.0015001i,0.00080202-0.00025664i,-0.00043154-0.00085749i,-0.00010687-0.00043658i,0.00071623-0.00016162i,0.00091104-6.6796e-05i,0.00085234-0.00040654i,0.0012005-0.00061241i,0.00086837-0.00016281i,0.00068186+0.00016759i,0.00024551+0.0005313i,0.00012751+0.00037973i,-4.3721e-05-0.00025991i,-0.00089529-0.00021867i,-0.0012708+0.00012896i,-0.00089774+0.00015931i,-0.00039251+0.00014037i,0.00027835+4.6405e-05i,7.8757e-05+0.00017776i
0.00048002+0.0011031i,-7.4695e-05+0.0013671i,0.00070296+0.0023884i,0.0018253+0.0015703i,0.00066802+0.00010857i,-0.00056599+9.2911e-05i,-0.00017626+0.0003301i,-0.00047685+0.00075669i,-0.00093503+0.0011795i,-0.00098983+0.001117i,-0.00072881+0.00017423i,6.7631e-05-1.5492e-05i,0.00029649+0.000442i,0.00040935+0.00036498i,0.00083469-0.00012177i,0.00046461-0.00029363i,-0.00026802-7.3494e-05i,-0.00019346-6.1083e-06i,-0.00032862+4.8507e-05i,-0.00056783+1.8424e-05i,5.0731e-05-0.00027572i,0.00052311+4.0151e-05i,0.00014993-1.5124e-05i
