-0.0030113+0.0020575i,-0.0034187+0.00085635i,-0.0040853-0.00026504i,-0.0031429-6.6583e-05i,-0.0026268+0.0013222i,-0.0016673+0.0016757i,-0.0002649+0.00097611i,0.00074242+0.0008915i,0.0010001+0.00065879i,0.00027793+0.00017473i,0.00019686+0.0001576i,-4.7365e-05+0.00010855i,-0.00047645+0.00047919i,-0.00063925+0.00072431i,-0.0010286-4.5689e-05i,-0.00067273-0.00054678i,9.8266e-06-0.00030636i,0.00023673-0.00048135i,0.00024398-0.0008928i,0.00020857-0.00082469i,6.0955e-05-0.00017539i,-0.00058317+0.0001957i,-0.001263-0.00020594i
-6.1882e-06-0.00091658i,-0.00096452-0.00068187i,-0.0014671+0.00011371i,-0.001167+0.00082863i,0.00012169+0.00056402i,0.00066873-0.00016568i,0.00033012-0.00014257i,0.00066679-5.5564e-05i,0.0012629-0.0003617i,0.0011331-0.0006401i,0.00084083-0.00026016i,0.00064728+0.0002198i,0.00038344+0.00079972i,-0.00035457+0.00121i,-0.0005071+0.00077833i,0.00015481+0.00016218i,0.00039771+5.796e-05i,0.00011192-0.0002134i,0.00011828-0.00054702i,-0.00029422-0.00041251i,-0.00077239+0.00011897i,-0.00015716+8.8968e-05i,0.00023304-0.00066175i
0.0013375+0.00051667i,0.00065549-0.00071521i,-0.00026321-0.00019457i,-0.0013347-0.00011828i,-0.0021601-0.00061186i,-0.0012896-0.00039629i,-0.00072794+0.00029609i,-0.00037218+0.00016337i,-0.00016538-0.00055577i,-0.00068871-4.201e-06i,5.613e-05-3.7906e-05i,0.00040601-0.00069406i,-0.00046304+0.00046751i,1.4963e-06+0.00096251i,0.00027615+0.0011413i,-0.00032227+0.0015937i,-0.00042152+0.0014813i,-0.00030181+0.000247i,0.0001218-0.00055539i,0.00031372-0.00010157i,0.00023385-0.00012907i,-7.2012e-06+0.00028129i,-0.00084309+0.0003795i
0.0011663-0.0015891i,0.00080561-0.0011011i,-0.00028522-0.0014099i,-0.00097084-0.00017756i,-0.00092702+0.0013372i,-0.0011105+0.00084476i,-0.00092696+0.00070359i,-0.00026514+0.00040667i,0.00065146-0.00071053i,0.00073239-0.0010874i,0.0002777-0.00030871i,2.1249e-05+0.00063407i,-0.00033981+0.00060966i,-0.00031953-0.00044831i,-0.00017464-0.00057659i,-0.00073628-0.00050026i,-0.0010323-0.00068405i,-4.3887e-05-0.0003953i,0.00057374-0.00091983i,-3.9379e-05-0.001843i,0.00038874-0.0010692i,0.00049434+4.3755e-05i,-4.6902e-06-0.00018074i
0.0017172-8.6838e-05i,0.0016647-0.00025593i,0.00087553-0.00059628i,-0.00063201-0.00099939i,-0.001199-0.00042142i,-0.001413-0.00028097i,-0.00098446-0.0003417i,-0.00012616+0.00039464i,-0.00017352+0.00073616i,-0.00033478+0.00071264i,8.8125e-05+0.00087153i,0.00044101+0.00056372i,0.00065868+1.849e-05i,0.00022831-0.00018158i,-0.0001224-1.4545e-05i,-0.00060064+0.00059398i,-0.00075054+0.00040655i,-0.00081747-0.00054266i,-0.00078781-0.00077359i,-0.0004054-0.00087927i,-3.4771e-05-0.0011001i,0.00060319-0.00059174i,0.0006872+0.00012563i
0.0016295+0.00064978i,0.0004856+0.00067577i,-2.3218e-05+0.00047787i,-0.00044004+0.00014825i,-0.0013421+0.00066271i,-0.0012795+0.0012598i,-3.3103e-05+0.00082958i,0.00042405+0.00047255i,-0.00016764+0.00017812i,-0.00045565-0.00061581i,0.00039751-0.00037055i,0.00079125-0.00029205i,0.00046918-0.00064606i,0.00063682-0.00050019i,0.00074812-0.00033269i,0.0010733-0.00010116i,0.0010687+0.00030269i,0.0006613-0.00016404i,0.00018766-0.0012423i,0.00051241-0.0011403i,0.00073937-0.00078569i,-0.00060648-0.00070376i,-0.00070953-0.00098807i
0.0022498-0.00015385i,0.0015015+8.2145e-05i,0.0012474+0.000286i,-0.00029+0.00018888i,-0.0014261-0.00010321i,-0.0013834-0.0010547i,-0.00087751-0.0015138i,-0.00040988-0.00046929i,0.00061789-6.2792e-05i,0.00076994-0.00058631i,-0.00036828-0.00055863i,-0.00078941+0.00057854i,-0.00035872+0.00053931i,-0.00016727+2.9971e-05i,-0.00061639+0.00050914i,-0.0011553+0.0010395i,-0.00083162+0.00046489i,-6.6951e-05-8.3985e-05i,-0.00032812+7.2173e-05i,-0.00086927-0.00022795i,-0.00063977-0.00045568i,-0.00019408-0.00016642i,-0.00036023+1.4172e-05i
0.00048086+0.00045691i,0.00012033+0.00014843i,-0.00081363+0.0006456i,-0.0011646+0.0017705i,-0.0011185+0.0022552i,-0.0011932+0.0020669i,-0.00080423+0.0017498i,-0.00095963+0.00051708i,-0.0010011-0.00027569i,-0.0010375-4.7387e-05i,-0.00066566+2.6016e-05i,0.00086589+0.00064317i,0.00098109+0.00032014i,0.00044058-0.00087145i,6.2521e-05-0.00035457i,-0.00055918+0.00025691i,-0.00035104+0.00046721i,0.00046329+0.00030272i,0.0003472-0.00040358i,-0.00060923-7.9515e-05i,-2.7673e-05+0.00048384i,0.00059358+0.0002549i,0.00014756-8.9835e-05i
0.00094185-0.00070045i,-6.2244e-05-0.001526i,-0.00014849-0.0009224i,-0.00065571+0.0001626i,-0.00079334+0.00029714i,-0.00036535-0.00013297i,-0.0005142-4.138e-05i,-0.00040076-5.0403e-06i,-0.00055052-0.00026102i,-0.00036337-0.00017911i,0.00022298-0.00031525i,9.6863e-05-4.9411e-05i,-0.00056086+0.00013023i,-0.00073949-0.00015141i,-0.00027297-0.00012395i,0.00052666+0.00022254i,0.00016273+0.00019048i,-0.00041297+0.00016801i,-7.5912e-05+0.00069903i,-0.00032743+0.00063441i,-0.00058307+0.00018646i,-0.00054481+0.00032048i,-0.00051912+0.00045364i
0.00050688-0.0015583i,0.00031836-0.0019184i,0.00065241-0.0019894i,-8.8287e-05-0.0012081i,-0.0011769-0.00088965i,-0.0013126-0.00077975i,-0.00050064-0.00080939i,0.00052257-0.00034786i,-0.00013335+0.0003151i,-0.0013293+0.00019392i,-0.00073559+6.9541e-05i,-0.00092465+0.00051627i,-0.0017129+0.00023653i,-0.0014867-0.00064382i,-0.00043108-0.0011476i,0.00024707-0.00049625i,-0.00018428+0.00012067i,6.8571e-05-0.00031434i,0.00078828-0.00083671i,-1.211e-05-0.0011229i,-0.00070286-0.00047754i,-0.00079136+0.00052074i,-0.00076538+0.0012371i
0.00053589-0.00075298i,0.0015531-0.0001229i,0.00057832+0.00096889i,-0.00168+0.0011846i,-0.0018111-7.122e-05i,-0.00094451-0.00054599i,-0.00079218+0.00036243i,-0.0007885+0.00084822i,-4.0199e-05-0.00047907i,0.00051517-0.0013524i,0.00037691-0.00052322i,0.00050884+6.1832e-05i,1.225e-05+0.00040886i,-0.00066334+0.00082418i,-0.00062096+0.00039708i,-0.00021889-0.00023521i,-0.00028117-0.0002051i,-0.00026254-0.00011169i,-6.4632e-05-0.00024873i,0.0003539+0.0005114i,0.00065991+0.00086988i,-6.2151e-05+0.00015467i,-0.00030142+2.8499e-05i
