0.00087006-0.001722i,0.001416-0.0018055i,0.0011347-0.0016915i,0.00030446-0.0012241i,-0.00037571-0.00013416i,-2.4616e-05+0.0016217i,0.00072751+0.001955i,0.0014037+0.0006841i,0.0018755-0.00053961i,0.0020146-0.0015726i,0.0012651-0.0013112i,0.00040544-0.0011006i,-8.1454e-05-0.00097916i,-0.00071582-0.00073275i,-0.00053856-0.00091491i,-0.00043928-0.00031677i,-0.0001956+0.00024186i,0.00019713+0.00050407i,0.00019365+0.00077831i,0.00014468+0.00013714i,0.00019245-8.5399e-05i,0.00032335+0.00072605i,2.3103e-05+0.00091218i
0.00066625-0.00015276i,0.00093488-0.0006956i,0.002474+0.00015604i,0.002276+0.001225i,0.0010226+0.0020251i,0.00055141+0.0022769i,0.00025847+0.0023055i,0.00072056+0.0010784i,0.0019398-0.0001182i,0.0020223+9.7587e-05i,0.001905+4.6582e-05i,0.0012153-0.00020636i,5.996e-06-0.00073799i,-0.00025717-0.0012328i,-0.00016014-0.00043798i,-0.00024108+0.00022498i,-0.00017397-0.00047049i,-0.00022461-0.0017192i,-0.00016229-0.0011598i,-0.0003813-7.9961e-05i,-0.00056949-1.0847e-05i,-0.00031963+0.00031182i,6.777e-05+0.00072673i
-0.0010474+0.0013816i,0.00022819+0.001907i,0.0019948+0.0018495i,0.0025977+0.0016413i,0.0018586+0.00069507i,0.0013218+0.00067321i,0.0010379+0.0011807i,0.0012489+0.00097403i,0.0014695+6.1683e-05i,0.00082597-0.0002812i,0.00058324-0.00028126i,0.00083178-0.0003036i,0.0008823-0.00023312i,-7.2723e-05-0.00031504i,-0.00087181-0.00032159i,-0.00083903+0.00031168i,-0.00039578+0.00050846i,0.00023973-0.00021961i,0.00024269+0.00037739i,0.00046263+0.0013174i,0.00085218+0.0011426i,0.00019105+0.0005844i,-0.00082009+0.00043715i
3.2868e-05+0.00066431i,-0.00034168+0.00234i,7.3714e-05+0.001846i,0.0007725+0.0019822i,0.0012472+0.0025922i,0.0016274+0.0028713i,0.0011385+0.0017174i,0.00063078+0.00029742i,0.00080495+0.00013782i,0.001086+0.00019389i,0.00023736-0.00064768i,-0.00057421-0.00098055i,-0.00076257-0.00081721i,-0.00052641-0.00063408i,-0.00014608-0.0001185i,-0.00028846+0.00034521i,-0.00035158+0.0003304i,-0.0001191+0.00035368i,-0.00044534+0.00012804i,-0.00023033+0.00030187i,0.00051023+0.00032416i,0.00070601+0.00029794i,-0.0003756+0.00047739i
-0.0024645+0.0003566i,-0.0028345-7.3121e-05i,-0.0026259-0.0007345i,-0.00049292-0.00051041i,0.00085236+0.00046995i,0.0013996+0.00047541i,0.0016375+0.00094107i,0.0011369+0.0015347i,0.00062335+0.0014392i,0.00023529+0.00093208i,0.00066492+0.00082839i,0.00093859+0.0010122i,0.00035569+0.00039069i,0.00049464-0.00011145i,0.001069+0.00040457i,0.0010533+0.00071921i,0.00072515+0.00086879i,0.00085412+0.00038196i,0.00026435-0.00026361i,-0.00045647-0.00063599i,2.8857e-05-0.00058645i,0.0004704+0.0001567i,0.00046353+0.00046953i
-0.0015033+0.00089627i,-0.00063539+0.00076797i,0.00019325+7.9365e-05i,0.00064015+0.0013677i,0.0007096+0.0027743i,0.00060925+0.0031227i,0.00026597+0.0023157i,0.00073611+0.001556i,0.0012419+0.0012956i,0.0010001+0.00059988i,0.0005927+0.00032437i,0.00066657+0.00077816i,-5.5061e-05+0.00086205i,-0.0013039-0.00014072i,-0.0013547-0.00018436i,-0.0014844+0.00017216i,-0.00098318+0.00068172i,0.00014149+0.0014423i,8.8643e-05+0.00097254i,-8.7148e-05-0.00024684i,-0.00049839-0.00043664i,-0.00026027+5.5017e-05i,0.0003979+0.00034144i
0.00010727-0.00035247i,0.00063715+5.2445e-05i,0.001527-0.00038973i,0.0017683-5.0665e-05i,0.0013668+0.0010835i,0.0013693+0.001664i,0.0015514+0.0016395i,0.0018361+0.00092499i,0.0020983+0.00061643i,0.0014884+0.00030838i,0.00074135-5.1887e-05i,-0.00017208+9.5231e-05i,-0.00064346+5.0579e-06i,-0.00039648-0.00034249i,-0.00045888-0.00042887i,-0.00092656-0.00015914i,-0.0012883+4.6339e-05i,-0.00041774+8.2065e-05i,-0.00018265+9.8602e-05i,-0.0010588+0.00017675i,-0.00075113+0.00011045i,-8.0641e-05-9.0906e-05i,-0.00052979+0.00028211i
-0.0017872+0.00049303i,-0.00048023+0.0016879i,-7.5506e-05+0.0026644i,0.0012684+0.0025158i,0.0022911+0.0021318i,0.0013492+0.0017544i,0.00051603+0.0011187i,0.00091703+0.0011435i,0.0013066+0.00010464i,0.00074854-0.00087599i,-0.00027911-0.00015569i,-0.0004556-0.0001884i,0.00010826-0.00064134i,-1.1098e-05+6.0514e-05i,0.00019386-0.00010413i,-3.5741e-05-0.00033878i,-0.00018788-0.00014074i,0.00054891-0.00094484i,0.0010823-0.001106i,0.00091781-0.00054359i,0.00052885+0.00034474i,0.00071001+0.00076663i,6.3088e-05+0.0002458i
-0.0014912-0.00092743i,-0.0012466-0.00083296i,-0.00099721+0.00022996i,9.1034e-05+0.0016786i,0.00075992+0.0020116i,0.0011031+0.002406i,0.0015645+0.0021543i,0.0017299+0.001472i,0.00087774+0.00095627i,0.00023304+0.0012453i,7.3015e-05+0.0011225i,0.00022975+0.00053949i,-0.00014001+0.00060865i,-0.00048107+0.00025213i,-0.0006506+1.4938e-05i,-0.00031155+0.00069289i,-2.0914e-05+0.0010438i,-0.00046414+0.0013805i,5.3527e-05+0.00069963i,0.00089293+0.00018126i,0.00028645+0.00020928i,-0.00093205-8.2081e-05i,-0.0012074-0.00030859i
-0.0021276+0.00048166i,-0.00038596+0.0013425i,0.00047109+0.0011807i,0.0010725+0.0017767i,0.0012593+0.0025542i,0.0011622+0.0019775i,0.0010827+0.0014776i,0.00097727+0.0012871i,0.00096275+0.00019726i,0.0011466-0.00066198i,0.0011114-0.00047144i,0.00094898-0.00010349i,-6.2723e-05+0.00031662i,-0.0011416-4.9495e-05i,-0.00084479-0.0003946i,0.00031643-5.9941e-06i,0.00098269+0.00054232i,0.0010564+0.00099088i,0.0010715+0.00081833i,0.00021962+0.00033915i,-0.00010862+0.00012496i,0.00033041+0.00016892i,8.0182e-05+0.00056606i
