-0.00046552+0.001595i,-1.2599e-05+0.00017424i,-0.0012643-0.00039655i,-0.0013254-0.0012658i,-0.0014198-0.0005119i,-0.0019736+0.00012545i,-0.0014888+0.00012497i,-0.00025164+0.00090723i,0.00019493+0.0011949i,0.00054034+0.00014872i,0.00092001-0.00096685i,0.00043379-0.0010079i,-0.00056352-0.00076302i,-0.00083338-0.0005889i,-0.0002493-0.00065085i,-7.4359e-05-0.00058594i,0.00026203+0.00023188i,0.00085557+0.00015007i,0.00025558+4.327e-05i,-0.00011554+2.5756e-05i,-0.00013537+0.0001792i,-0.001192+0.00031358i,-0.00086667-0.00026917i
0.00025265+0.00076875i,0.00064127+0.0010381i,0.0010131-0.00020519i,0.0016405-0.00059597i,0.001447-0.00025094i,0.00024912-0.00026844i,0.00014751+8.818e-05i,-0.0001777-1.3464e-05i,-0.00035628-0.00020565i,-0.00035129+0.00025397i,-0.00078419+0.00057689i,-0.00088334+0.00052732i,-0.00074117+0.00031661i,-0.00064825+0.00027902i,-0.00014191+0.00012852i,0.0006285+0.001055i,0.00051185+0.0013763i,1.9835e-05+0.00025681i,-0.00036811+0.00027871i,-0.00028671+0.00022341i,0.00044143-0.001067i,0.00082767-0.0013317i,0.00051277-0.00013604i
-0.00074092+0.00082678i,-0.00060872+0.00091855i,-0.00039923+0.0006205i,0.00012429+0.0002247i,0.00026965-0.00034611i,-0.00076444-0.00054148i,-0.0010769-5.2218e-06i,-0.00050777+0.00095986i,-0.00018534+0.0010519i,0.00021124+0.00048848i,0.00052419+0.00046047i,0.00043206+0.00052518i,0.0003048+0.00045026i,-7.5785e-05+0.00045292i,0.00031863+0.00022985i,0.00099607+0.00066229i,0.00054695+0.00095155i,0.00023625+0.00046842i,0.00017461+0.00010123i,-0.00010206-4.1839e-06i,-0.0002796-0.00063353i,-0.00016485-0.001233i,0.0003899-0.00020601i
-0.0011103-0.0011142i,-0.0017114-0.00053572i,-0.0015768-5.3445e-05i,-0.0003032+8.6003e-05i,0.00049764+0.00059963i,-0.00022906+0.0010167i,-0.0006411+0.00077082i,-0.00026922+0.00077489i,-0.00014502+0.00012933i,-0.0005631-0.0003859i,-0.001046+0.00029946i,-0.00043322+0.0010457i,8.2345e-05+0.0012463i,-0.00027946+0.00014835i,0.00017954-7.1424e-05i,0.00024885-7.096e-05i,3.4198e-05+0.00015798i,-1.3808e-06+0.00037538i,-0.00016788+9.5253e-05i,-0.00026467+6.7319e-05i,-0.00027824+0.00015882i,-0.00028473-0.00037862i,-0.00087582-0.0003909i
0.00082326-0.0019533i,0.00035992-0.002155i,-0.00055137-0.0026807i,-0.00079723-0.0017785i,-0.0011798-0.00036129i,-0.0014367+0.00028283i,-0.0013388-8.0603e-05i,-0.00057372-0.00047915i,0.00030792-0.00026189i,5.9653e-05-7.0043e-05i,-8.8427e-06-0.00011537i,0.00013356+0.00041424i,-0.00034437+0.00094257i,-0.00030651+0.00061608i,-0.00023591+0.00016159i,1.998e-05-1.1627e-05i,0.00028842+0.00013608i,0.00010392+0.00031228i,-8.7977e-05-0.00027449i,-0.00030704-0.00045434i,-0.00032452+8.8693e-05i,6.9042e-05+0.00084282i,9.0366e-05+0.00077373i
-0.002488+0.0012194i,-0.0018098+0.0018029i,-0.00048053+0.0022468i,-0.00057934+0.0015222i,-0.00089915-0.00014372i,2.0422e-05-0.0011283i,0.00038432-0.00035485i,-0.00037888-5.057e-05i,-0.00032182+7.0474e-05i,0.00041815-1.8042e-05i,0.00062931-0.00032785i,0.0001394+0.00013545i,-0.00076994+0.00037938i,-0.0014177+0.00020445i,-0.0015745+0.00018541i,-0.0007697+0.00018105i,0.00013878+0.00012351i,1.1247e-05+0.00055467i,-0.00045074+0.00023856i,-0.00029002+0.00019738i,-4.375e-06+0.00031241i,0.00016818-0.0004832i,0.00012356-0.00087542i
-0.0011714+0.00094579i,-0.00052936+0.00061618i,0.0001237+0.00065305i,-0.00043976+0.00029742i,8.665e-05-0.00022464i,0.00046084-0.00073933i,-0.00051619-0.00087372i,-0.0013162-0.0005345i,-0.0013997-0.00065979i,-0.00057735-0.00082013i,2.4948e-06-6.8197e-05i,-8.3986e-06+0.00051376i,8.3976e-05+3.6032e-05i,0.00031545-0.00077518i,0.00027-0.00051104i,-0.000282+0.00045996i,-0.00041555+0.00044662i,-0.00042208+3.7303e-05i,-0.00021105+0.00031083i,-6.4509e-05+0.00057091i,0.00015015-6.751e-05i,0.00012717-0.00037284i,-0.00042021-5.0146e-05i
-0.0012326+0.0019472i,-0.00041709+0.0015775i,0.0014446+0.00065649i,0.00089583-0.00017774i,-0.00083301-0.00147i,-0.0016183-0.0017879i,-0.0012234-0.00079457i,-0.00060353+0.00018098i,0.00017171+0.00022707i,0.00041496-0.00020869i,0.00020991+0.0001188i,0.00017249+0.00020391i,0.00012549-0.00053071i,-8.7543e-07-0.00055607i,-0.00012501-0.00041843i,-0.00024037-0.00033684i,-0.00036232-0.00043723i,-0.00049048-0.00086872i,-0.00042812-0.00088485i,-0.00039411+4.5319e-05i,-0.0004423+0.00011751i,-0.00026901-0.00055818i,-0.00034689-0.00018971i
-5.9412e-05+0.0019373i,0.00019419+0.0021187i,0.0014557+0.0019905i,0.0020557+0.00060721i,0.001242-0.00057512i,-0.00046267-0.0011552i,-0.0017397-0.00083399i,-0.0014128+0.0005047i,-0.00027722+0.0011285i,0.00013483+0.00032629i,8.6036e-05-0.00015856i,-6.0765e-06+2.7349e-05i,3.253e-05+0.00031738i,-2.2124e-05+0.00047048i,-0.0001229-0.00023832i,0.00042128-0.00043379i,0.0010634+0.00030767i,0.00057239+0.00013559i,-0.00041298+0.00022436i,-0.0010141+0.00021373i,-0.00079007-6.5286e-05i,-0.00048728+0.00018179i,-0.00066879-7.2544e-05i
0.0022184-0.00042765i,0.00051578-0.0010441i,-0.0013669-0.0018707i,-0.0015846-0.0011551i,-0.0017734-0.00034698i,-0.0023718-0.00012634i,-0.0022744+0.00033095i,-0.0015884+0.0004951i,-0.0017125+0.00082571i,-0.001254+0.0011624i,-0.00049619+0.00098384i,-0.00017331+0.00059329i,-0.00030398-9.3616e-05i,-0.00059769+0.00022347i,-0.00040876+0.0009464i,0.00031625+0.00063939i,0.0012988+0.00020347i,0.00134-0.00031288i,0.00060684-0.00067815i,-0.00028142-0.00098251i,-0.00056163-0.00015749i,-0.00026657+0.00064252i,-0.00091293-0.00035574i
0.00050463-0.00041856i,0.00039393-0.00074321i,0.00031116-0.0017392i,-0.00031365-0.0014032i,-0.0017631-0.00031695i,-0.0018194+0.00016433i,-0.00051569+0.00077195i,-0.00037784+0.00099828i,-0.00092462+0.00016791i,-0.00059118-0.00059231i,-0.00022226-0.00016863i,0.00010075-5.7656e-05i,0.00049405-0.00059616i,0.00056193-9.7568e-05i,0.00040411+0.00066827i,0.00019385+0.000468i,0.00026252+0.00042257i,0.00042249+0.0001169i,0.00075877-0.00040255i,0.00078441-0.00065878i,-0.00033564-0.00017368i,-0.00018066+0.00060814i,0.00033502+0.001177i
-0.0022946+0.0011718i,-0.0030229+0.0017226i,-0.0021928+0.00029372i,-0.00090298-6.2983e-05i,-0.00070323+0.0001266i,-0.00041617-0.00076741i,-0.00050937-0.0011955i,-0.00095263-0.00091931i,-0.00039288-0.00022492i,-7.0304e-05+0.00016189i,2.6322e-05+0.00036056i,0.00090917+0.00081915i,0.0012361+0.0008049i,0.00075113+0.00032646i,0.00083306+0.00023362i,0.00092855+0.00038808i,4.2036e-05+0.00054876i,-7.2081e-05+0.00084433i,0.0003381+7.1602e-05i,0.0009064-0.00060149i,0.00090049-0.00042031i,-2.2707e-05-0.00041595i,-0.0003598-0.00083192i
-0.0011277-0.0026748i,-0.0018245-0.0019574i,-0.0016265-0.00049857i,-0.0016397+0.00078218i,-0.0012234+0.0011936i,-0.00078785+0.00070256i,-0.00053461+0.00056481i,-0.00018897+0.00064714i,-0.00020102-0.00037674i,-0.00073838-0.00057051i,-0.00017259-2.9158e-05i,0.0010923-0.00034932i,0.0013344-0.00015505i,0.001077+0.0014117i,0.0011393+0.0018623i,0.0010976+0.00052024i,0.00063301+0.00010257i,0.00011286+0.00024881i,-0.00030179+0.00037241i,-0.00066516-8.4623e-05i,-0.00036787-0.0004441i,-2.2376e-05+0.00020267i,-5.1221e-05+0.00068513i
0.0024028-0.00068945i,0.0022811-0.00076752i,0.0017535-0.00071932i,0.00020323-0.001165i,-0.00045803-0.0015816i,-0.0012796-0.00048614i,-0.0011728+0.00019209i,-0.00019283+0.00035516i,0.0001671+0.00068713i,5.2348e-05+0.00026483i,-0.00011495+0.00042033i,-0.00048734+0.00062372i,-0.0010458+0.0003953i,-0.0018883+0.0010225i,-0.0019846+0.0014619i,-0.0010652+0.0011929i,-0.0001887+0.00049371i,0.0012433+0.00022119i,0.0017981+0.00015329i,0.00088654+9.0641e-05i,-0.00026155+5.3098e-05i,-0.0010294+0.00025736i,-0.0015662+0.00031411i
0.00082895+0.0011102i,0.00038655+0.0032256i,-0.000219+0.0027871i,0.00044928+0.0012277i,5.7654e-05+0.00079362i,0.00032236+0.00055896i,0.00018232+0.00029458i,-0.00053616-7.9279e-05i,-0.00071573-0.00030848i,-0.00060839-0.00010474i,-0.00052403+0.00031184i,-0.0005464+0.00087498i,6.6309e-05+0.0013146i,0.0004446+0.0012001i,0.00015324+0.00097439i,0.00048815+0.0003679i,1.5966e-05-0.00021465i,-0.00050793-0.0005046i,0.00026779-0.00021687i,0.00039102-0.00077764i,0.00030559-0.0014826i,0.0005071-0.00088784i,0.0004331-0.00019807i
