-0.0029905+0.0018308i,-0.0021124+0.00072399i,-0.0017219+0.0012898i,-0.001451+0.0016627i,-0.0012468+0.0011924i,-0.00089699+0.00076767i,-0.001027+0.00089421i,-0.00042278+0.0014441i,0.00065571+0.0018978i,0.0021099+0.0012356i,0.0021598+0.00010763i,0.00071608-0.0012945i,0.00012546-0.0019951i,0.00025087-0.0016485i,-0.00020164-0.00046149i,-6.8879e-06-0.00027333i,0.00038178-0.00026314i,0.0003952-0.00020223i,0.00055102-0.00010208i,0.00018178+0.00019457i,-0.0001098+0.00020269i,0.00042339+0.00010385i,0.00054329-0.00016856i
-0.00026354+0.0010021i,-0.00011656+0.00082758i,0.00056498+0.00086327i,0.0009264+0.00046459i,0.00086642-0.00010958i,0.00052401+0.00010573i,0.00042053+0.00091598i,0.00063305+0.00052626i,0.00049106-0.00055366i,0.00014413-8.5998e-05i,0.00036852+0.00054329i,0.00046726+0.00088266i,-1.4307e-05+0.001209i,0.00031081+0.00072948i,0.0010344+0.00042812i,0.0008793+0.0004096i,0.00021056+0.00032031i,0.00032722+0.00032464i,6.856e-05+0.00026808i,-0.0004335+0.00047057i,-0.00050937+0.00096853i,-0.00028901+0.0013938i,0.0003389+0.00082662i
0.00060657-0.00010697i,-0.00010659+0.00033047i,0.00059456-0.00027776i,0.00078882-0.0018627i,-0.00044997-0.0026962i,-0.00099158-0.001357i,-0.00064189+0.00035351i,0.00031185+0.0013772i,0.0010201+0.0011995i,0.00031368+0.00018028i,-5.1987e-05-2.9423e-05i,-0.00022315+0.00027933i,-0.00061036+0.0001411i,0.00018578-0.00011507i,0.00029088-0.00023236i,0.00010033-0.00012801i,-0.00013546-0.00034779i,-0.00048175-0.00070175i,-0.00055782+0.00014553i,-0.00038252+0.00057401i,-0.00010662-0.0002459i,0.00028915+1.9371e-05i,0.00044245+0.00022571i
-0.00060185+0.0010941i,0.000108+0.0011734i,0.00066074+0.00047024i,0.0009742-0.00046996i,0.00064383-0.0010568i,-0.00025946-0.00081337i,-0.00035403-0.0003545i,0.00049798+0.00039084i,0.00092154+0.00064613i,0.00080247+0.00036343i,0.00014696+0.0001402i,-0.00023012+0.00037124i,-0.0002517+0.00021227i,-0.00017791-0.0007591i,-0.00019613-0.0004434i,-0.00044423+4.6547e-06i,-9.0128e-05-8.212e-05i,9.3579e-05-0.00028359i,0.00033427-0.00062743i,0.0008679-0.00040488i,0.00086385+0.00014295i,-5.2255e-05+0.00075117i,-0.00066609+0.00091329i
0.00036155+0.0013115i,0.00066773+0.0020357i,0.0010604+0.0015882i,0.0012197-3.1301e-05i,0.0010172-0.00078406i,0.00051171+0.00013307i,-0.00010393+0.00048917i,0.00015974+0.00073825i,0.00085939+0.0014831i,0.0007795+0.0010419i,0.00051469+0.00041887i,0.00052333+0.00012236i,1.6444e-05-0.00041469i,-0.00046857-0.00046195i,-0.00087674+0.00010528i,-0.0011009+0.00043714i,-0.0003952+0.00049175i,0.00017422-9.3175e-05i,-0.00036217+5.4388e-05i,-0.00023668-0.00010536i,0.0005411-0.00023962i,0.00071098+0.00022517i,0.00063368-0.00016959i
-0.0014467-0.0016948i,-0.0012946-0.0017136i,-0.0012979-0.0012252i,-0.00074283+0.00014197i,-0.00022781+0.0010483i,-0.0006769+0.00069608i,-0.0003691+0.00013663i,-0.00019267+1.1717e-05i,6.8315e-05+0.00016419i,9.4964e-05+0.00027391i,-0.00021527+0.00039645i,-0.00023527+0.00022415i,2.5138e-05+0.00044896i,1.7069e-05+0.00049984i,3.9225e-05-0.00052113i,0.00073286-0.001131i,0.00065797-0.00068998i,0.00032801+0.00017234i,0.00033044+0.00086411i,-0.0002012+0.00070757i,-0.00059296-0.00038963i,-0.00038271-0.00083504i,-0.00066147-0.00047987i
-0.001302-0.0018729i,-0.001513-0.00083155i,-0.0015943+0.00044563i,-0.0007236-7.8092e-05i,0.00012897-0.00098101i,7.5103e-06-0.00081996i,-0.00016804+0.00014856i,0.00037225+0.0012825i,0.00082793+0.0019443i,0.00065839+0.00066999i,0.00035755-0.00058413i,0.00069932-0.00062548i,1.1107e-05-0.00054594i,-0.0008949+0.00049443i,-0.000304+0.0009931i,0.00023677+0.00046173i,-0.00013429+0.00041856i,8.8059e-06+0.0006422i,-0.00032742+0.00050714i,-0.00073264+0.00029306i,-0.00022516-0.00010467i,0.00011115-0.00068813i,0.00026514-0.001174i
0.0019053+0.0011638i,0.0013748+0.001075i,0.00072129+0.00070551i,0.0014046-8.002e-05i,0.001279-0.00090507i,0.00024875-0.00064201i,-0.00017209+1.1685e-05i,0.00010596+3.3695e-05i,0.00036859-0.00054996i,0.00039717-0.00099379i,0.00039723-0.0011072i,0.00072203-0.00080533i,0.00072457-0.00052199i,0.00034155-5.0152e-05i,0.00057578+0.000568i,0.0003851+0.00048916i,-0.00026165+0.00053251i,0.00048123+0.00053427i,0.00073782+0.00085976i,-0.00025282+0.00059654i,-0.00073524-1.1262e-05i,-0.00056963+0.00032257i,-0.00042105+0.0007574i
-0.00043875-0.00045775i,-0.00030386-0.0010214i,-0.00047253-0.00077248i,-0.00029591-0.00049023i,0.00051516-0.00078735i,-4.8444e-05-0.0001896i,-0.00051492+0.00015656i,0.00066386+0.00057602i,0.00092556+0.0008314i,0.00043553+0.00029248i,0.00040745+7.5106e-05i,0.00037687-3.9552e-05i,0.00044937-6.8418e-05i,0.00044194-0.00028981i,0.00014162-0.00045003i,0.00033539-0.00023214i,0.00026512+0.00062615i,-0.00028831+0.00055985i,-0.00011004-8.6591e-05i,-0.00021676-9.969e-05i,-0.00074612+0.00053533i,-0.00087554+0.00024387i,-0.0003742-0.00035472i
0.0018052-0.0013123i,0.00093992-0.0010477i,-9.9909e-05-0.001491i,-0.00088279-0.0020559i,-0.00068539-0.0013124i,-0.00018924-0.000339i,0.0001137+0.00073764i,0.00022099+0.00086947i,-0.00037367+0.00057144i,-0.00079243+0.00027317i,-0.00073079+0.0002451i,-0.000262+0.00023465i,0.00017209+0.00010837i,0.00077042+0.00018887i,0.0011777+0.0003874i,0.00055435+0.00059775i,8.6498e-05+0.00025091i,-0.00065336+0.00043065i,-0.0012749+0.00078966i,-0.001393+0.0010269i,-0.0012722+0.00059446i,-0.00043303-7.6711e-05i,6.9716e-06-0.0005364i
0.0031482+0.00087191i,0.0034437-0.0014735i,0.0034205-0.0018574i,0.0019944-0.0021098i,0.00049686-0.0022441i,-0.00036517-0.0010368i,-0.0002625+0.00066844i,0.00068372+0.00097393i,0.0014155+0.00073761i,0.001072+0.00024602i,0.00061754-0.00069592i,0.00067453-0.00031239i,0.00048652+0.00067787i,-0.00010033+0.0012013i,-0.00045284+0.00087737i,-0.00011241+0.00067591i,2.8656e-05+0.00066861i,-0.00040137+0.00075495i,-0.00060778+0.0015434i,-0.00014641+0.0012296i,2.2507e-05-0.0001296i,0.0002434-0.00069187i,0.00050577-0.00056987i
