-0.002044-0.00057365i,-0.002341-0.0013924i,-0.0014861-0.00061497i,-0.0010014-9.3518e-05i,-0.0014319+0.00020181i,-0.00086929+0.00023921i,-0.00015096-0.00039174i,-5.6349e-06-0.00096399i,-0.0001718-0.0016145i,-0.00075199-0.00094406i,-0.00042648+5.5297e-05i,5.5001e-05+0.00013076i,-8.8471e-05+0.00027725i,0.00037214+0.00010912i,0.00057026-3.6005e-05i,0.00034163+0.0003743i,0.00073276+0.00061246i,0.00054582+0.00052072i,-7.7898e-05+0.00051747i,-0.00039122+0.00017194i,-0.00042447-0.00036051i,-0.0006228-0.00027473i,-0.00091786-0.00014006i
-0.0016319+0.00033036i,-0.0015204-0.00035026i,-0.00050246-0.00064163i,-0.00066353-0.00017658i,-0.0019396+0.00069228i,-0.0016945+0.00057514i,-0.00032373-0.0001883i,0.00037369-0.0009664i,-0.00034836-0.00071336i,-0.00062594+8.336e-05i,-0.00018119+0.00055825i,-0.00090498+0.00026864i,-0.0012207+0.00090517i,-0.00077262+0.0011734i,-0.00014421+0.00044097i,0.00019819+0.0005499i,0.00082939+0.00038905i,0.0014227-0.00015542i,0.00022674-0.00021168i,-0.00011029-0.00035954i,0.00070877-0.00042338i,0.00066921-8.1979e-05i,0.00068079-0.00041556i
0.0015296+0.0018016i,0.001433+0.0010199i,0.00070581-0.00030413i,8.612e-05-0.00021815i,-0.00012001+0.00023429i,-0.00015734+0.00012334i,-0.00036486-0.00020692i,-0.00063498-0.00051301i,-0.00094776-0.00091638i,-0.0010431-0.0011459i,-0.00032795-0.00066049i,-0.00013486+9.7825e-05i,-0.00096406+0.00085163i,-0.00077862+0.001268i,-0.00050297+0.0004966i,0.00021282-0.00016936i,0.00091535-0.00036488i,0.00054954-0.00068174i,0.0001605+0.00028332i,0.00060336+0.0010447i,0.00065979+0.00063079i,-2.2277e-07+0.00080454i,8.0474e-05+0.00055026i
-0.0016202-0.00177i,-0.0032831-0.00084504i,-0.002983-0.0007096i,-0.002545-0.00061459i,-0.002958-0.00022109i,-0.0019665+0.00073855i,-0.0010619-5.217e-05i,-0.0011902-0.0019121i,-0.0011155-0.0016908i,-0.0010083-0.00053345i,-0.00089776-1.7026e-05i,-0.00062273+0.00067833i,-0.00039172+0.0011082i,0.00015633+0.00065585i,0.00085217-0.00086636i,0.00090521-0.00093297i,0.0004138+0.00061291i,-0.00013573+0.0015868i,-0.00028296+0.0010922i,0.00015083+0.00021893i,0.00048364+0.00014587i,0.00023289+1.6715e-05i,-0.00010409-0.00024236i
-0.00021113+0.00094791i,0.001602+0.0011229i,0.0017829+0.0008592i,-5.3994e-05+0.0005403i,-0.00022786+0.00060755i,0.00034042+0.0003894i,-0.00066437-0.00048029i,-0.001329-0.000926i,-0.0013013-0.00066358i,-0.00090061-1.6034e-05i,-0.000403+0.00012397i,0.00023342+0.00029402i,-0.00017975+0.00078248i,-0.00059493+0.00054167i,-0.00020105-0.00013309i,0.00049092+0.00038889i,0.00056824+0.00093494i,3.4509e-05+0.00065776i,-0.00034231+0.00025134i,-6.5925e-05-0.00010931i,0.00055567-0.00017047i,0.00046874-0.00029578i,-0.00019422-0.00068712i
-0.001964+0.0006096i,-0.00068561+0.0013167i,-0.00051336+0.0012958i,-0.00054634+0.0015546i,-0.00016134+0.0014916i,0.00021506+0.00044962i,0.00067124-0.00039748i,-6.2262e-05-0.0013747i,-0.0013189-0.0018097i,-0.001323-0.0010323i,-0.00097403+0.00027673i,-0.0016592+0.0012655i,-0.0017644+0.00091442i,-0.00072629+0.00022811i,-8.3535e-05+0.00018611i,0.00014066-0.00029844i,0.00022172-0.00061997i,0.00060319-0.00024248i,0.0010958-0.00060426i,0.00083712-0.0010878i,5.843e-05-0.0004625i,-0.00045786-0.00069289i,-0.0010823-0.0013314i
-0.0013124-0.0022089i,-0.002227-0.0019012i,-0.001995-0.0010063i,-0.0012947-0.00012294i,-0.0014813+0.00043286i,-0.00080741+0.00082955i,-0.00026052-0.00017451i,-0.0008389-0.00095396i,-0.0010344-0.0010853i,-0.00067863-0.00090474i,-0.00036539+0.00024779i,-0.0003794+0.0012114i,-0.00022802+0.0010895i,-0.00053787+0.00047172i,-0.00032328+0.00041081i,-0.00023505+0.00026127i,-0.00051136-0.00026462i,-0.00039157-0.00031372i,-0.00050474+0.00024244i,-0.00016855+0.00075987i,-2.9357e-05+0.00060451i,-0.00074462+0.00030913i,-0.00062357-3.6384e-05i
0.00068258-0.00065634i,0.00074913-0.00094108i,-0.00097327-0.0017842i,-0.0025181-0.0022277i,-0.0017281-0.0013127i,0.00013224-2.9341e-05i,0.00062417-0.00048296i,0.00031881-0.0019918i,-0.00057938-0.0021788i,-0.0011808-0.00061279i,-0.0012119+0.00072586i,-0.00090634+0.00072296i,7.2462e-05+0.00031361i,3.6297e-05+0.00017281i,5.9057e-05+0.000202i,0.00029298+0.00079979i,-0.00079155+0.0008383i,-0.00059704+0.000398i,0.00054948+0.00044836i,0.00019172+0.00013741i,-0.00031522-0.00022708i,0.00037126-0.00040078i,0.00081205-0.00011802i
-0.00021141-0.0011762i,-0.0011489+6.9395e-06i,-0.0022617-0.00053539i,-0.0030373-0.00077303i,-0.0029623+0.0001554i,-0.0015139+0.00092948i,0.00037127+0.00046661i,0.00043432-0.00040973i,-0.00049386-0.00071966i,-0.00095626-0.00093026i,-0.00072216-0.00090503i,0.00013568+0.0001043i,0.00048495+0.00032795i,0.0004311+0.00037395i,0.0015158+0.00026206i,0.0022077-0.0001112i,0.00079683+0.00014846i,0.00011711+0.00031514i,0.00045031-0.00037935i,0.00059283-0.00030135i,0.0003271-2.1854e-05i,-0.00029373-0.00030771i,-0.00023149-0.00039722i
-0.00098368-0.0011122i,-0.00053757-0.0018483i,-0.00055002-0.00075775i,-0.00027121+0.000703i,-4.1589e-05+0.0011584i,-0.00015474+0.00041781i,7.0987e-05-0.00058951i,0.00042664-0.0012312i,0.00010186-0.0012453i,-0.00062562-0.00065285i,-0.0001984-0.00036513i,-0.00022121+0.00024495i,-0.0008819+0.00038777i,-0.00069661+0.00048423i,-0.00037019+0.00058801i,-0.00026263+0.00063937i,-0.00046174+0.0010067i,-0.00018561+0.00046703i,0.00067345+0.00025948i,0.00099521+0.00078037i,0.00053334+0.00025649i,-0.00020946-0.00021391i,-0.00064285-4.3891e-05i
