0.023502+0.24766i,0.04332+0.40008i,0.076903+0.40105i,0.11612+0.23317i,0.1726+0.042681i,0.2314-0.054078i,0.19435-0.057935i,0.079319-0.0082141i,0.014574+0.029974i,0.0022157+0.020028i,-0.00068674+0.0085772i,0.011698+0.0081728i,0.022921+0.0011783i,0.016369+0.004322i,0.011989+0.027441i,0.023983+0.049584i,0.033176+0.051589i,0.023527+0.036326i,0.0069102+0.020253i,-0.0020423+0.011136i,-0.0045183+0.0094307i,-0.0055917+0.015246i,-0.0026527+0.019019i
-0.19788-0.14491i,-0.31994-0.23934i,-0.33085-0.22055i,-0.23472-0.084842i,-0.17737+0.064692i,-0.19661+0.16396i,-0.17285+0.17019i,-0.097589+0.092371i,-0.054767+0.022883i,-0.03855+0.0070086i,-0.030415+0.0012441i,-0.035998-0.0038023i,-0.035963+0.0037511i,-0.025699+0.0044499i,-0.02888-0.0094467i,-0.047262-0.017363i,-0.050491-0.010122i,-0.03103-0.001776i,-0.010773+0.002447i,-0.0033561+0.0085475i,0.0017772+0.015607i,0.011998+0.016581i,0.01401+0.0092917i
0.23556-0.047162i,0.38733-0.067189i,0.37791-0.07268i,0.22319-0.077435i,0.11911-0.12686i,0.096393-0.22034i,0.04812-0.22381i,0.0034444-0.10609i,0.010602-0.017726i,0.016365-0.006991i,0.0097838-0.0058986i,0.016129-0.0025624i,0.021797-0.0098763i,0.023467-0.011085i,0.042054-0.004551i,0.068421-0.0071599i,0.072179-0.016568i,0.051583-0.018099i,0.026691-0.013162i,0.011244-0.014478i,0.0050052-0.025527i,0.00069419-0.035202i,-0.0021837-0.031228i
-0.11866+0.20352i,-0.20356+0.32524i,-0.1867+0.30357i,-0.081359+0.17013i,-0.0068107+0.11713i,0.030979+0.17092i,0.067302+0.15842i,0.060559+0.053122i,0.021893+0.00022772i,0.012643+0.012336i,0.016653+0.020961i,0.0082502+0.023503i,0.0021168+0.024841i,-0.0046609+0.015093i,-0.026789+0.0081493i,-0.049941+0.016747i,-0.050506+0.024456i,-0.030911+0.018643i,-0.010639+0.0085091i,0.00048744+0.0073816i,0.00082316+0.014997i,-0.0050415+0.019865i,-0.0085915+0.019144i
-0.073801-0.21281i,-0.10681-0.3539i,-0.097707-0.32023i,-0.054359-0.15448i,-0.029045-0.085157i,-0.050627-0.11618i,-0.059256-0.096223i,-0.015136-0.034966i,0.018895-0.01886i,0.005712-0.028633i,-0.0097422-0.02832i,-0.0075079-0.033957i,-0.0058793-0.038588i,-0.001613-0.028067i,0.015898-0.025114i,0.032783-0.038794i,0.031675-0.045467i,0.014802-0.033857i,-0.0035044-0.018039i,-0.012973-0.010414i,-0.014299-0.0071801i,-0.0099965-0.00033867i,-0.0029178+0.0055041i
0.21267+0.089819i,0.3368+0.15039i,0.29539+0.11898i,0.12032+0.028428i,0.020375+0.013658i,0.044049+0.057803i,0.063707+0.061724i,0.027329+0.034901i,0.0032487+0.018295i,0.012462+0.0057379i,0.018703-0.004276i,0.015656+0.0020755i,0.012812+0.012941i,0.0020846+0.018607i,-0.014858+0.031088i,-0.021582+0.047886i,-0.017095+0.051231i,-0.008895+0.037862i,0.00074363+0.020967i,0.011351+0.0095294i,0.021055+0.00020688i,0.026626-0.0094751i,0.025003-0.014223i
-0.19585+0.097611i,-0.32073+0.15468i,-0.27237+0.15198i,-0.086948+0.090548i,0.0094335+0.017889i,-0.03161-0.02868i,-0.079403-0.030088i,-0.072234-0.012624i,-0.053739-0.0014032i,-0.048606+0.011692i,-0.042229+0.024619i,-0.03515+0.021626i,-0.030639+0.0096601i,-0.017538-0.0034019i,-0.0028363-0.025382i,-0.001645-0.047308i,-0.0060621-0.050564i,-0.007312-0.033293i,-0.0082658-0.0091532i,-0.013784+0.0058346i,-0.024704+0.010078i,-0.034387+0.010752i,-0.033966+0.0076773i
0.05936-0.21067i,0.092905-0.33934i,0.053977-0.30825i,-0.039899-0.13853i,-0.067151-0.014899i,-0.013628-0.0025262i,0.029994-0.034296i,0.031477-0.050675i,0.020635-0.043999i,0.018345-0.036601i,0.017053-0.03184i,0.021418-0.02121i,0.02905-0.012939i,0.02433-0.0042322i,0.016607+0.015895i,0.01801+0.036461i,0.019946+0.041396i,0.018785+0.028813i,0.01698+0.0055924i,0.015539-0.010972i,0.01791-0.011971i,0.018876-0.005872i,0.012847+0.00026223i
0.12212+0.17616i,0.19753+0.28568i,0.21861+0.2399i,0.18308+0.05826i,0.12422-0.063441i,0.07571-0.055903i,0.047018-0.0050726i,0.031865+0.031413i,0.030154+0.043125i,0.026949+0.039603i,0.017985+0.032144i,0.003945+0.022222i,-0.0086651+0.014608i,-0.012397+0.0038542i,-0.016781-0.01352i,-0.025464-0.025353i,-0.02797-0.023589i,-0.021934-0.011522i,-0.012381+0.002167i,-0.0049783+0.0090815i,-0.00015572+0.010599i,0.0071778+0.011729i,0.013529+0.010952i
-0.20563-0.030595i,-0.34082-0.049981i,-0.33881-0.0062603i,-0.20499+0.0928i,-0.091548+0.14759i,-0.05292+0.13007i,-0.033875+0.078405i,-0.024212+0.020146i,-0.029616-0.016703i,-0.031771-0.028682i,-0.02777-0.031423i,-0.016993-0.032184i,-0.0059816-0.030745i,-0.001232-0.018578i,0.0088234+0.0017222i,0.02408+0.016053i,0.031696+0.018426i,0.02527+0.0085353i,0.007952-0.0054058i,-0.0069778-0.013072i,-0.012836-0.018181i,-0.01507-0.026066i,-0.013122-0.028139i
