-0.0037129+0.00049996i,-0.0022605-0.00041054i,-0.0009799+0.001019i,-0.00074342+0.0027654i,-0.00047813+0.0028955i,-0.00043032+0.0012872i,-0.00030411+0.0011253i,0.00028072+0.0012452i,0.0003193+0.00081706i,0.00038598+0.0005i,0.00089199-0.00016877i,0.0007683-0.0015914i,0.00029839-0.0017352i,0.00039547-0.00091944i,-8.9956e-05-0.00054808i,-0.00016462-0.00011063i,5.67e-05+7.5782e-05i,5.6886e-05-0.00037649i,0.00032302-0.00088449i,0.00075993-0.00032549i,0.00091192+3.5424e-05i,1.4428e-05-0.0004204i,-0.00015638-0.00065135i
-0.00043648-0.00014343i,0.00098258+0.00026846i,0.00099741+0.0011737i,-0.0008794+0.0015266i,-0.0014818+0.0017702i,-0.00046544+0.002583i,-0.00018276+0.0021708i,0.00010235+0.0011368i,2.473e-05+0.00060862i,-0.00034393+4.1281e-05i,-0.00013134-0.00051254i,-0.00046069-0.00081725i,-0.001135-0.00019477i,-0.00091222+0.0007741i,-0.00026895+0.00066849i,4.2148e-05+0.00034626i,0.0003681-3.9329e-05i,0.0011294-0.00037492i,0.00084182-0.0003548i,0.00026103-0.00040408i,0.00012467-0.00032786i,0.00032531+0.00018082i,0.00047535+0.00019831i
0.00010903-4.1859e-05i,-0.00031065+0.00035609i,-1.8853e-06+0.00055476i,0.00059101+0.00021905i,0.00073489-0.0005635i,0.0003666-0.00081701i,0.00023802+0.00013805i,0.00032885+0.00040966i,3.1672e-05-0.00046403i,1.7841e-05-0.00080834i,0.00047648-0.00026985i,0.00027543-0.00014454i,-0.00024854-0.00084063i,4.7253e-05-0.0008632i,0.00038683-0.00051741i,-1.8526e-06-0.00017184i,0.00034136+0.0003886i,0.00071116+0.00074031i,4.1043e-05+0.00087119i,-0.00031044+0.0004705i,-7.6444e-05+0.00034328i,9.21e-05-7.0094e-06i,-0.00035081-0.00081695i
-0.0017288+0.00098765i,-0.0012634+0.00070503i,-0.00030678+0.0011176i,0.00024941+0.0017045i,-0.0005414+0.0021329i,-0.0015867+0.0015651i,-0.001145-0.00024225i,8.9134e-05-0.00094687i,0.00044806+0.00017795i,0.00022178+0.00031687i,0.00033658+0.00023767i,0.00024754+0.00063472i,-0.00053099+0.00035945i,-0.00098215-0.00039791i,-9.3014e-05-0.00051541i,0.00045532+5.8097e-05i,0.00018929+0.00068742i,0.0001597+0.00092809i,-0.00050526+0.00033936i,-0.0011696-0.00063944i,-0.00021985-0.0004733i,0.00070415+0.00054313i,0.0004016+0.001095i
-0.0026364-0.00026303i,-0.0020051-7.7425e-05i,-0.0014533+0.00088019i,-0.0013667+0.00083561i,-0.0001529+0.00027469i,0.0011139+0.00027415i,0.0012174-0.00015324i,0.0010674-0.00033754i,0.00078519+0.00015415i,0.00041545+0.00036768i,-0.00042566+0.00084674i,-0.00052354+0.00047695i,0.00013656-0.00059114i,-0.00015791-0.0011608i,-0.00032016-0.00094786i,-8.461e-05-0.00068905i,3.4481e-05-0.00030354i,8.9694e-05+0.00055131i,0.00017019+0.00031507i,9.45e-05-0.00039057i,0.00038764-0.00020147i,0.00055705-0.00043761i,0.00039021-0.00047769i
-3.5846e-05+0.00067861i,-0.00020803-0.00063001i,-0.00029538-0.0013533i,-0.0010255-0.000133i,-0.0014632+0.0010966i,-0.0013068+0.0011466i,-0.00056481+0.0011633i,-0.00010454+0.0016378i,-0.00039516+0.00090843i,-0.00068725-0.00065134i,-5.6887e-06-0.00029625i,0.00058893+0.00034696i,0.00049365+6.4007e-05i,0.00037818+9.438e-06i,0.00061016-0.00011944i,0.0002235-0.00019886i,-0.00073927-0.00012059i,-0.00056549+0.00024505i,-4.7409e-05-0.00031034i,9.6867e-05-0.00083683i,0.00020572-0.00081755i,0.00047278-0.00071081i,0.00082819-0.00052376i
0.00074698+0.00073845i,0.0014495+0.00086031i,0.0021228+0.0019802i,0.0015473+0.0011257i,0.00091408-1.6733e-05i,0.00031928+0.00044406i,0.00035082+0.00086168i,0.00065527+0.00036322i,0.00057547+0.00011064i,0.00021687+2.5486e-05i,-0.00064978+0.0001533i,-0.00099606+0.00066658i,-0.00015748+0.00085137i,7.3118e-05+0.0013409i,-0.00012845+0.00037579i,0.00030228-0.00086054i,5.3258e-05-0.00080454i,-0.00018637-0.00073081i,-0.00022928+0.00027796i,0.00011968+0.00020488i,0.00020339-0.00029933i,-3.5051e-05-0.00086903i,0.00043675-0.00086688i
0.0014515+0.00013915i,0.00090003-0.00034623i,-0.0006823+0.00011963i,-0.0020421+0.0007669i,-0.0017268+0.0015496i,-0.00052245+0.0016427i,-2.7983e-05+0.0014679i,0.00017753+0.0011565i,0.00055151+8.727e-05i,0.00047066-9.4201e-05i,-0.00053768+0.00039349i,-0.00071505+0.00042464i,-0.00043972+0.00018135i,-0.0006383+0.0012133i,-0.00094756+0.0014317i,-0.00060312+0.00034703i,0.00015425+0.00018818i,3.0807e-05+0.00097885i,-0.00056884+0.001856i,-0.00021834+0.001355i,0.00027094+5.8545e-05i,-2.1456e-05-0.00094696i,-0.00043815-0.00064413i
3.4545e-05-0.00022849i,0.00037858-0.0010713i,0.0012939-0.00068886i,0.0012936+0.00029672i,0.00088807-0.00021743i,0.00085504-0.0011902i,0.00046621-0.00063458i,0.00020094+0.00028647i,2.8348e-05+0.00026669i,-0.00033253+0.00024306i,-0.00019222+0.00033138i,0.0006935+0.00010154i,0.0015075+0.00013855i,0.0012998-0.00051098i,0.00095483-0.00053832i,0.00010724-5.0885e-05i,-0.00065733-0.00011597i,-0.00034621-0.00018165i,-0.00063559-0.00079799i,-0.00035988-0.0011909i,0.00063214-0.00046524i,0.00030335+9.5595e-05i,-0.00013518-0.00012876i
-0.0014138+0.0003387i,-0.0011643+0.0014558i,-0.001739+0.0022324i,-0.0018096+0.0026725i,-0.00025079+0.0028546i,0.00057837+0.0015636i,-0.0002658-1.5426e-06i,-3.2015e-05-0.00088164i,-8.9349e-05-0.00042646i,-0.00038199+0.00062448i,-0.00037262+0.00085018i,-0.00030245+0.00063576i,0.00030215+0.00059276i,0.00080883-2.6075e-05i,0.0007032-0.00053325i,0.00057489-0.00016941i,0.00013434+7.7087e-05i,8.4932e-05-0.00010867i,8.5138e-05+0.0003498i,0.00031115+0.00062836i,0.00062183+0.00019153i,0.00051857+1.4522e-06i,0.00064811+0.00027469i
4.4804e-05-0.001688i,0.00030382-0.0012507i,0.00071794-0.00071007i,-7.79e-05+0.0001821i,0.00018194+0.002043i,0.0012688+0.0028003i,0.0011756+0.0022354i,0.00019052+0.001069i,0.00025046+9.0844e-05i,4.8982e-06+4.3067e-05i,-0.0006269+0.00038114i,-0.00053823+2.0581e-05i,-0.00042335-0.00038244i,-0.00044938-9.1641e-05i,-0.00023398+0.00033037i,-0.00024125+0.00014687i,-0.00033869-0.00023231i,-9.4186e-05+9.6971e-05i,-1.1624e-05+0.0009543i,-0.000328+0.0005332i,-0.00049029+0.00043197i,-0.00021511+0.00075993i,0.00013998+0.00089221i
