0.00034691-0.00059808i,0.00033585-0.0011282i,-0.00080389-0.0013325i,-0.002174-5.4638e-05i,-0.0025211+0.0010069i,-0.0018039+0.0020602i,0.00023695+0.0022951i,0.0014801+0.0017083i,0.0014966+0.0012476i,0.00055384+0.00060398i,-0.00046509-0.00028885i,-0.00027391-0.0005419i,0.00047917-6.0106e-05i,2.7631e-05+0.00075642i,-0.00035932+0.00056148i,0.00054067-0.00021308i,0.00055457-0.00024155i,0.00041862-0.00049607i,0.00017636-4.3456e-05i,-0.00010993+0.00068959i,7.6633e-05+0.00066598i,0.00010404+0.00056244i,6.2445e-05+0.00047885i
0.00075474-0.0001228i,5.9708e-05-0.00026323i,-0.00026966-0.00079799i,-0.00028038-0.00031499i,-0.0010011+0.00091364i,-0.00043096+0.00081697i,0.00086462-0.00023815i,0.0011285-0.00052688i,0.00093689-0.00064989i,0.00089858-0.00081609i,0.00090346-0.00072984i,-0.00018382-0.00039066i,-0.0011372+8.584e-05i,-0.00097777-7.0545e-05i,7.5569e-05+9.6844e-06i,0.00025489+0.00019677i,-0.00037785+0.00060369i,-0.00024252+0.00079432i,-0.00010905-0.00024499i,-0.00038108-0.00068439i,7.7662e-06+0.00030843i,0.00018261+0.00024011i,5.5171e-05-0.00037911i
0.0013195+0.00063058i,0.0012738+0.00079471i,0.00042963+4.2338e-05i,1.8339e-05+4.4119e-05i,0.00044336-1.7136e-05i,0.0010649-4.7749e-05i,0.00063751-1.7967e-05i,0.0011577-0.00037466i,0.0013839-3.9553e-05i,0.00078384-0.00027408i,0.0011342-0.00012596i,0.00075423+0.000898i,-0.00023901+0.0006369i,-9.4974e-05-0.00019769i,0.00022925-0.00039854i,0.00032042+0.00019775i,-0.0002878+0.0005321i,-0.0006997+0.00029236i,-0.00035908+0.00046397i,3.5589e-06+0.00059693i,-0.00025215-0.00018337i,6.8038e-05-0.00075356i,0.00018631-0.00024863i
-0.00038058-0.00039679i,-0.00062587-0.00044604i,-0.00010947-0.00042996i,-8.9603e-05-0.0007055i,-0.0011298-0.00078027i,-0.00091125-4.3372e-05i,2.9019e-05-0.00035658i,-0.00032532-0.00045063i,-0.00062044-1.1858e-05i,-0.00053893+6.7293e-05i,-0.00014042+0.00020369i,5.9683e-05+0.00071487i,0.00012287+0.00025555i,0.0002135-0.00070985i,-0.00025984-0.00098828i,-0.00052418-0.00044832i,-0.00045827-0.00038387i,-0.00082291-0.00048364i,-0.0013308-0.00022741i,-0.00049836-0.00052786i,0.0007208-0.00041749i,0.001075+0.00028062i,0.00059145+0.00037809i
-7.8198e-05-0.00035497i,-0.00073431-0.00015732i,-0.00066634+0.00010284i,-9.2989e-05+0.00044219i,0.0005511+0.00027972i,0.00083682+0.00038315i,0.00019587-0.00011419i,0.0011824-0.00024562i,0.001497+0.00016826i,0.00078255-6.7592e-05i,6.7114e-05-0.0011448i,-0.00032552-0.0013587i,-1.313e-05-0.00053862i,0.00033945-0.00024118i,0.00040973-0.00015669i,-0.00013782-0.00014591i,-0.00010355-0.00054017i,0.00055973-0.00037i,-4.4691e-05-0.00050356i,-0.00061847-0.00057893i,-2.5252e-05-0.00016701i,-7.5361e-05-0.00015793i,0.00033671-0.00020858i
-0.00017432-0.00026915i,-0.00018823-0.00034716i,-0.00085426-0.00076824i,-0.0002121-5.0156e-05i,0.001093+0.00088446i,0.001171+0.00057976i,0.00051419-3.6268e-05i,-0.00023751-7.7834e-05i,-0.00022387-0.00025307i,0.00037277-0.00082437i,0.00053671-0.0010513i,0.00042453-0.00049697i,-0.00041015+0.00018587i,-0.00049221+0.00033282i,0.00020739+0.00034426i,0.00013807+0.00021015i,1.8613e-05+0.00034455i,0.00074167+7.8412e-05i,0.00051768-0.0010185i,-0.00030397-0.00039274i,-0.00049139+9.364e-05i,-5.4796e-05-0.00053739i,-0.00049365-6.7971e-05i
0.0021584-0.00058802i,0.0014788-0.00075857i,-0.000206-0.00083328i,-0.0013784-0.00055355i,-0.0022433-0.00033719i,-0.0015208-0.00031587i,0.00024327-2.4713e-05i,0.00097839+0.00087174i,0.00056436+0.0011523i,2.1511e-05+0.0010665i,-0.00046022+0.00081393i,-0.00038217+0.00084185i,-0.00027367+0.00063046i,-0.00051659+2.2949e-05i,-0.00030852+0.00010705i,-9.537e-05+0.00020081i,0.00052936+0.00020735i,0.0001129+0.00029051i,-0.00037034+5.9517e-05i,-0.00024022-0.0006659i,-0.00057374-0.0009455i,-0.00019845-0.00081135i,0.00012313-0.00070831i
0.00017092+0.0002805i,0.0011659+0.00076565i,0.00083123+0.00069285i,0.00013448+0.00045704i,0.00087062+0.0013008i,0.0017416+0.0018033i,0.0014225+0.0003194i,0.0013852-0.00060342i,0.0011168-0.00071486i,0.0009133-0.00028556i,0.00066253+9.621e-06i,-0.00026034+0.00013919i,-0.00091878+0.00072902i,-0.0010127+0.001119i,-0.0013847+0.00045972i,-0.0010682-5.6687e-05i,-0.00053638+0.00044394i,-0.00012109+0.0004776i,0.00030993+4.069e-05i,-0.00021655+5.8122e-05i,-0.00036482+0.00014335i,-9.322e-05-0.00014428i,9.9563e-05-0.00022602i
-0.00074015-0.00066417i,-0.00074874+0.0002755i,-0.0012976-0.00010601i,-0.0017642+0.00041625i,-0.001374+0.0011519i,-8.5625e-05+0.00087398i,0.00055646+0.00083562i,0.00012051+0.00032458i,0.00025374-0.00071101i,0.00062333-0.00016395i,-0.00042385+0.0004841i,-0.00083459+0.00010404i,0.00021848+0.00029735i,0.0010682+0.00069002i,0.00096336+0.0002538i,0.00046268+0.0009112i,0.00065809+0.00096436i,0.00048374+9.4316e-05i,-0.00010126+0.00027101i,-0.00018804+0.00042777i,-0.00071603+0.00063775i,-0.0011699+0.00050567i,-0.00093909+0.00017154i
-0.00085373+0.00020105i,0.0002854+0.00022744i,0.0010172+0.00049677i,0.00077833+0.00088995i,0.00066783+0.00092493i,0.00046711-0.00021502i,0.00025825-0.00073953i,0.0003411+0.00040866i,0.00031668+0.00092348i,0.00020113+0.00013148i,0.00035241-0.00045331i,0.0003398-0.0010034i,0.0006074-0.0010081i,0.00035739-0.0001054i,-0.0012389+0.00013496i,-0.0018526-0.00033426i,-0.00072293-0.00098258i,4.3395e-05-0.00071417i,-3.2258e-05+0.00024175i,0.00035736+0.0003451i,0.00064289-0.00033883i,0.00056335-0.0010011i,-0.00022502-0.00053922i
-0.00024448-4.9986e-05i,0.0011518-4.0312e-05i,0.0010421-0.00026406i,-0.00036578+0.00019209i,-0.00056312+0.0009736i,0.00049852+0.0013462i,0.00013942+0.00061369i,-0.00045344+0.00081927i,-0.0006745+0.001119i,-0.00064396+5.5999e-05i,0.00030651+0.00049167i,0.00059433+0.00069088i,0.00051615-0.00077562i,0.0013688-0.00081782i,0.0011339+8.9741e-05i,0.00020012-0.00021685i,-6.781e-05-0.00069101i,0.00034994-0.00013658i,0.00045219+0.00057628i,-5.0611e-05+0.0002803i,-0.00010042-0.00024376i,0.0004084+4.7919e-05i,0.00042687+0.00092254i
