-0.00042956+0.00046992i,-0.0015747+0.00076232i,-0.0024929+0.00078363i,-0.0027779+0.00023841i,-0.0022118-0.00066242i,-0.0012885-0.00035358i,-0.0018771+0.00083395i,-0.0018283+0.0015744i,-0.00029611+0.00060167i,0.0011424-0.00045215i,0.0016706-0.00048532i,0.00068325-0.00086958i,0.00013263-0.00087204i,4.3657e-05-0.00044146i,0.00070135+9.8973e-05i,0.00040412+0.00038181i,-0.00094863+0.00031321i,-0.0015424+0.00014219i,-0.0009847+9.5848e-05i,-0.00035708-0.00013412i,-0.00012195-0.00028684i,2.8177e-05+3.819e-05i,-3.4135e-05-0.00012623i
0.00039112+0.00010362i,-0.00047941-0.0011739i,6.8127e-05-0.0010953i,0.00054105-0.001105i,-0.00022563-0.0018693i,-0.00041018-0.0016589i,-0.00029567-0.00063502i,-0.00021137-0.00051965i,-1.4011e-05-0.00030682i,-0.00056013+0.0003917i,-0.00041271+7.941e-05i,-9.1418e-05-0.00013394i,0.00011071+0.0001777i,0.00083036+0.00046224i,0.00070069+0.00042798i,0.00028035+6.6636e-05i,-0.00051837+3.4352e-05i,-0.00072179+0.00034324i,-0.00054904+0.00081323i,-0.00053696+0.00056041i,-0.00034717+0.00020992i,-0.00023808-0.00020368i,-0.00043205-0.00019311i
0.0020214+5.408e-06i,0.0017043+0.00084595i,0.0010874+0.0003727i,0.0014144-0.00056781i,0.0014026-0.0011947i,-2.8965e-05-0.00083261i,-0.00058272-3.9285e-06i,-0.00018116-0.00025369i,-0.00032644-0.00081533i,-0.0004462-0.00030184i,0.00012091-4.7699e-05i,0.00070446+0.00019079i,0.00044293-4.1055e-05i,0.00033641-0.0008902i,0.00047658-0.0010388i,0.00068938-0.00085249i,0.00038687-0.00033439i,-0.00018344+6.2859e-05i,-0.00044496+0.00021895i,-0.00069052+8.4088e-05i,-0.00028492+9.4164e-05i,-2.4684e-05+0.00029312i,-5.1358e-05-0.00010945i
0.00036653+0.00020621i,-0.00031117+0.00011319i,0.00051867-0.00039197i,0.0009421-0.001162i,0.00058389-0.0019389i,0.0003811-0.0017168i,0.0007967-0.0012041i,0.0001978-0.00012757i,-0.00036613-3.3279e-05i,-0.00050903+0.00013088i,-0.00097618-0.00023013i,-0.00056081-0.00028936i,0.00020592+0.0008806i,0.00080663+0.0013354i,0.00084439+0.00065481i,0.00085861+0.00010546i,0.0002399-4.3924e-05i,-0.00053356-6.674e-05i,-0.00038941-0.0003129i,-0.00034882-0.00020496i,0.00016791-0.00013153i,0.00091603-0.00021623i,0.00058425-0.00075438i
0.0020621-0.00061622i,0.0020029-0.0014679i,0.0014773-0.001991i,0.00017158-0.0023116i,-0.00062647-0.0025984i,-0.00077539-0.001529i,-0.00090668-0.00072338i,-0.00090592-0.0011222i,-0.00075456-0.0016837i,-0.0005806-0.0010253i,-0.0001299+0.0001826i,9.757e-05+0.00056873i,0.00055531+0.0002509i,0.00055388+7.2134e-05i,0.00054912+0.00030508i,0.00076092+0.0001149i,0.00041904-0.00014611i,0.0001409-0.0004987i,-3.2556e-05-0.00084628i,-0.00056117-0.00016801i,-0.00035181-0.0002855i,0.00042203-0.00034266i,0.00024843+0.00012015i
-0.0007262+0.0036386i,-0.00052207+0.003275i,0.00024374+0.0025961i,0.0014704+0.0016542i,0.0020048+0.00048053i,0.0012888-0.00015487i,0.00029808+1.3775e-05i,-0.00080402+0.00032463i,-0.00094368+0.00059242i,-0.00019008+0.00042955i,0.00023062-0.00031807i,0.00086301-0.00076127i,0.00089048-0.00016864i,0.00071413+8.442e-05i,2.6109e-05-0.00038496i,-0.00057917-0.00053128i,0.00033724-0.00050816i,0.00063371+0.00020542i,0.00065416+0.00047084i,0.00016516-0.00013066i,-0.00014084-0.00018722i,0.00062839-5.0775e-05i,-6.0685e-05-0.00027805i
-0.0041121+0.0015688i,-0.0033804+0.0017124i,-0.0024024+0.0029953i,-0.00090313+0.0025533i,0.00037526+0.0011516i,0.0011154+0.00040856i,0.000707-0.00020284i,0.00020175-7.0798e-05i,-0.00011357+0.00013781i,-0.00024396-0.00014299i,-0.00028115-0.00082113i,0.00057889-0.0010337i,0.0010859-0.00019268i,3.0522e-05+0.00012406i,-0.0010069+0.00011685i,-0.001628-0.00064647i,-0.0014289-0.0014161i,-0.00093071-0.00077697i,-0.00042128-0.00022198i,3.8597e-05+0.00044076i,-1.5159e-05+0.00060283i,-0.00011415+0.00023137i,5.745e-06+9.8267e-06i
-0.001634+0.0017804i,-0.0016814+0.000882i,-0.00176+0.0017117i,-9.339e-05+0.0022834i,0.00075208+0.0012056i,0.00056555+0.00012068i,-6.0687e-05+0.00038846i,-0.00047542+0.00080197i,-0.00028295+0.0010274i,-0.0001901+0.00025561i,0.00026122+0.00059145i,0.00090126+0.0011087i,0.00087748+0.00041789i,0.00074719-0.00020862i,0.00032391-0.00013544i,2.7655e-05+0.00018801i,-1.2497e-05+0.0011797i,-6.3704e-05+0.0013405i,-0.00014513+0.00031688i,0.00019183+0.00023824i,0.00032992+0.00042421i,-7.918e-05+0.00025814i,-0.000202+0.00020225i
0.0005841+0.0009814i,0.00082416+0.00024331i,0.00068558-7.7247e-06i,0.00033022+0.00010495i,0.00038652-0.00010786i,0.00019089-0.00046058i,-0.00044325-0.00028176i,-0.00053501+0.00041891i,-0.00012605+0.00036499i,0.00040536+0.00061863i,0.00056505+0.0008231i,-7.8225e-05+0.00020431i,-0.00044093-0.00077403i,0.00023877-0.00093419i,0.00026835-0.00057787i,-0.00042905-0.0003598i,-0.00025453-0.00013638i,0.00016552-9.6286e-05i,7.8019e-05+0.00033748i,7.3073e-05+0.00054883i,0.00061013+0.00044938i,0.00011241+1.6038e-05i,-8.593e-05-0.00033297i
0.0015572+0.0019895i,0.0010316+0.0019604i,0.0011927+0.0020103i,0.0013378+0.00034265i,0.0009989-0.0016182i,-0.00064005-0.0017531i,-0.00083701-0.0010939i,3.798e-05-0.0011322i,6.4193e-05-0.0011065i,0.00040214-0.00037508i,0.00018331+3.069e-05i,-0.00038734+6.5624e-05i,-0.00027193-0.00024085i,-0.0001627-0.00038688i,0.00058711-0.00044265i,0.00063264-0.00057616i,0.00017148-0.00048562i,-0.0003246-3.0793e-05i,-0.0011375+0.00061369i,-0.00056551+0.0009301i,0.00036641+0.00051445i,0.00049504-0.00033333i,0.00038501-0.00049049i
-0.0017622-1.7558e-05i,-0.0014481+0.00042925i,-0.0007477+0.0012312i,0.00047493+0.0014644i,0.00097306+0.00069186i,0.00024212-0.00031803i,-0.00012236-0.00016169i,-0.0004309+5.053e-06i,-0.00063986-0.00078703i,0.00021978-0.00099553i,0.00077848-0.00030298i,0.00057561-0.00018362i,0.00072815-0.00074461i,0.00039807-0.00066586i,-0.00042488-0.00019666i,-0.00078995-8.3117e-05i,-0.00097826+0.00016088i,-0.00033103+0.00028593i,-0.00034935+0.0010228i,-0.0011586+0.0011765i,-0.00055143+0.00091408i,-0.00027676+0.00072772i,-0.00071568+5.4863e-05i
-0.0010719+0.0018113i,-0.0013837+0.0018229i,-0.00064291+0.0023646i,0.00089849+0.0017821i,0.0014783+0.00047965i,0.00098194-0.00060378i,0.00063947-0.0009765i,-9.9278e-06-0.0013082i,-0.00066675-0.0013649i,-0.0004844-0.00059481i,3.3535e-05-0.00067287i,9.1715e-05-0.00036689i,0.00042919+0.00018074i,1.9073e-05+0.00051115i,-0.00025355+0.00033992i,-0.00021499-2.5892e-06i,-0.0010538+6.07e-05i,-0.0011617+0.00025858i,-0.00078151+0.0002738i,0.00031733-0.00025411i,0.00093866-0.00075621i,0.00088733-0.00091413i,0.00067054-0.001002i
-0.00051512-0.00029298i,-0.00094992-0.00012968i,-0.00081022+1.1239e-05i,5.9256e-05-0.00058397i,1.2719e-05-0.0011741i,-0.00024028-0.0014523i,-4.9284e-05-0.00079961i,-0.00058128-9.0035e-05i,-0.001365-0.00039756i,-0.0010363-0.00054856i,-5.0276e-05+0.00010541i,0.00023553+0.00014433i,-0.00056716+1.2738e-05i,-0.00099297-0.0004157i,-0.00071731-0.00016077i,-0.00082379+0.00060731i,-0.00092446-0.00040234i,-0.0010022-0.001103i,-0.00026864-0.0003482i,0.00041523+8.4298e-05i,0.00031222-0.00010353i,0.00028077-0.00039877i,0.0002048-0.00010415i
0.0013085-0.001305i,0.0012155-0.0026537i,0.001349-0.0034807i,0.00078391-0.0025851i,3.0855e-05-0.0014881i,-0.00041-0.00083042i,-0.00018393-0.00050549i,0.00039381+3.8424e-06i,4.4277e-05-2.601e-05i,-0.00011264-0.00021681i,0.00019188-0.00011361i,-0.00014065-3.0854e-05i,-0.00012302+7.0848e-05i,0.00026627-0.00025027i,0.00068988-0.00081374i,-0.00016117-0.0014042i,-0.00073777-0.001404i,-0.00024892-0.0011673i,-0.00022938-0.00067781i,-0.0002165-0.00023127i,0.000331+0.00024092i,0.00050346+0.000387i,0.00019094+0.00011063i
0.001634+0.0007934i,0.00098914+0.0011666i,0.0016024+0.00049289i,0.0017335-0.00042334i,0.00088296-0.0014557i,-0.00050344-0.0019846i,-0.0006389-0.001224i,-0.00079274-0.00080236i,-0.00090701-0.00063836i,-0.00092126-0.00068013i,-0.00083906-0.00087458i,-0.00015403-0.00010088i,0.00042989+0.00075123i,-0.00028132+0.00032319i,-0.00079511-3.0083e-07i,0.00044359+0.0010557i,0.00067756+0.0014118i,-0.00018158+5.0789e-05i,3.0699e-05-0.00038164i,0.00055808+0.00045434i,0.000975+0.00040168i,0.0012202-0.00042509i,0.00078417-0.00056776i
0.00052529+0.00059081i,0.0018498-0.0008914i,0.0021821-0.0014866i,0.00072196-0.0017051i,-0.00073899-0.0019364i,-0.0008426-0.0016092i,-0.0001311-0.00088638i,0.00041818-0.00017247i,-0.00010184-0.00037578i,-0.00077087-0.00068208i,-0.00028338-0.00079889i,2.6462e-05-0.0007237i,0.00040181-0.00013039i,0.00068921+0.00046743i,-6.5138e-05+0.00037906i,-0.00056917+0.00016736i,-0.00012474+1.2584e-05i,7.4987e-05-0.00016042i,-3.4953e-05-8.9979e-05i,7.8794e-05-0.00034895i,-0.00050284-0.00043357i,-0.00088572-0.00010323i,8.8739e-05+0.0005053i
0.00040324-0.00064426i,0.00048985-0.0015617i,0.00044829-0.0011872i,0.0010477+0.0001671i,0.00078157+5.9993e-05i,-0.0003482-0.00072849i,-0.00063335-0.00029349i,-0.00096582+0.00020124i,-0.0018295-0.0007058i,-0.0015359-0.00073035i,-0.00070546+0.0002874i,-0.00014342+0.00055872i,2.7145e-05+0.00022604i,-0.0001463-0.00082099i,-6.8977e-05-0.00090236i,-0.00051318-0.00033744i,-0.0012555-0.00044242i,-0.0013919-0.00049584i,-0.00041503-0.00021395i,0.00018256-0.00037404i,-0.00016822-0.00070957i,-0.00074038-0.0011448i,-0.00089804-0.0007419i
-0.0018781+0.00040678i,-0.0023216+0.0012796i,-0.0016386+0.0023695i,-0.00087969+0.0014129i,-3.053e-05-0.00077145i,0.00032413-0.0015029i,-0.00011553-0.0001657i,1.8375e-06+0.00072353i,-0.00029451+0.00025099i,6.3667e-05+2.5458e-06i,0.0010261-0.00012503i,0.0015-0.00037918i,0.00076738-0.00050656i,0.00066823-0.0011222i,0.00058272-0.0008647i,-0.00045222-0.00016471i,-0.00099398-0.00010864i,-0.00056059+0.00010111i,-0.00013803+0.00063509i,0.00012437+2.493e-05i,0.0002547-0.00029962i,-0.0004264-0.00014347i,-0.00071597-0.00018415i
0.0022661-0.0017316i,0.0023611-0.00096249i,0.0010858-0.0016735i,0.00016568-0.0014288i,-3.474e-05-0.001572i,-0.00049881-0.0011225i,-0.00087595+0.00020345i,-0.00079678+0.0003827i,-0.00029711-0.00018172i,-0.00024971-0.00052248i,-0.00084797+3.038e-05i,-0.0012409+0.0011752i,-0.00064717+0.001402i,0.00042487+0.00069507i,0.00064026-0.00022969i,-7.2586e-05-0.0010036i,-0.00010853-0.00059777i,2.9814e-05-0.00017842i,-0.00022661-0.00036548i,0.00038823+0.00056333i,0.00074485+0.00078853i,0.00079382-0.00041538i,0.0010785-0.0012888i
