0.0018896-0.00054447i,0.00072525-0.0011443i,-0.00079556-0.0014663i,-0.00083956-0.0015141i,-0.001359-0.0006943i,-0.0018769+3.4031e-05i,-0.0016981+0.0013433i,-0.00024976+0.0022171i,0.0020515+0.0011741i,0.002924-0.00012226i,0.0016818-0.0011412i,0.00022101-0.0011975i,0.00019296-0.00047792i,0.00022392-0.00072373i,-0.00023859-0.00092569i,0.000113-0.00034868i,0.00010013+0.00046371i,5.8669e-05+0.00068587i,0.00061997+0.00089851i,0.00060874+0.00069932i,0.00057015+0.00012984i,-0.0002186-0.00044831i,-0.0012407-0.00041763i
0.0029379-0.00088253i,0.0026442-0.001248i,0.0033975-0.0020647i,0.0028261-0.0023347i,0.0018525-0.0019902i,0.00062658-0.0012707i,-9.1284e-05-0.00025604i,0.00064578+0.00071953i,0.00096944+0.0011968i,0.0010494+0.00047701i,0.0012834-0.00099167i,0.0012875-0.0011005i,0.00062431-4.9181e-05i,4.7555e-05-0.00010122i,-7.6691e-05-0.0001401i,0.00033568-0.00020567i,0.00047634-0.0004571i,-0.00013562+2.3424e-05i,-0.00070506+0.00094801i,-0.00078127+0.00078854i,-0.00057351-0.00042142i,-0.00016685-0.0010173i,0.00033581-0.00091542i
0.00052375+0.00060378i,0.0012408-0.00050084i,0.0013847-0.0010998i,0.00066211-0.0010482i,0.0008817-0.00074809i,0.0012939-4.7599e-05i,0.00051781+0.00052576i,-0.00043861+0.0011854i,-0.00090852+0.0012899i,-0.00021015+0.00056724i,0.00038217+0.00064688i,-0.00011144+0.00087162i,-0.00052622+0.00030706i,-7.7436e-05+8.0714e-05i,1.9827e-06+6.1029e-05i,0.0007746-0.00027625i,0.00083075-0.00028035i,-0.00017444-0.00024492i,-0.00045282-0.00068881i,-3.5687e-05-0.0012231i,0.00055431-0.00095888i,0.00037871-0.00034445i,-0.00031359-0.00012003i
-0.00041979-0.00066617i,0.00048269-3.0123e-05i,0.00093257+0.00099309i,0.0013051+0.00060676i,0.0017125-0.00046145i,0.0022864-0.00083566i,0.0012618+0.00044526i,-0.00029698+0.0019125i,0.00027307+0.0016018i,0.0013276+0.00059465i,0.0011513-0.0003396i,0.00095853-0.001373i,0.00059202-0.001424i,-0.00029728-0.00069892i,-0.00019502+8.2693e-06i,0.00028957-0.00025758i,-0.00036409-0.00019561i,-0.0008015+0.00027615i,-0.00016877+0.00023993i,0.00035237+0.00017027i,0.00011653+4.5784e-06i,-0.00013859-0.00017121i,-0.00013079-0.00022265i
-0.00061655-0.00034902i,0.00028547+4.4833e-05i,0.0016927+0.00075771i,0.002171-0.00075276i,0.0021665-0.0014159i,0.001849-0.00061611i,0.0002813+0.000795i,-0.00019569+0.0014529i,0.00068368+0.0013422i,0.00063092+0.0013019i,0.00022351+0.00045813i,0.00031565-0.00045065i,0.00051196-0.00015008i,0.00074123-0.0001501i,0.0003916-0.00029222i,0.00014215-0.00012728i,0.00022911+0.00012963i,0.00042442+5.9872e-05i,0.00036733+6.5201e-05i,-3.4129e-05+0.00063966i,-0.00093061+0.00068548i,-0.00081789+0.00045692i,-0.00013444+0.00075498i
0.0030054+0.0012978i,0.0016379+0.00082299i,0.0022694-0.00032676i,0.0028647-0.00061392i,0.0020706-0.00020111i,0.0012288-0.00041705i,0.00030869+3.1131e-05i,0.00033038+0.00069124i,0.0005913+0.00077034i,0.00066707+0.00028347i,0.0008329-0.00027962i,0.00063817-0.00010068i,0.00044923-0.0001977i,0.0001648-0.0004794i,-0.00034219-0.00043376i,-0.00088241-0.00078209i,-0.00021856-0.0010687i,0.00081524-0.0012676i,0.00079483-0.00061961i,0.00085849-0.00012018i,0.0012899-0.00038186i,0.00083448-0.00081955i,0.00053698-0.0011743i
-0.00037055+0.00075486i,-0.00062544+0.0018231i,1.4983e-05+0.0018595i,0.0011329+0.0006135i,0.0013019-0.00027236i,0.0011381-0.00021441i,0.00051387+0.0010084i,-0.00055735+0.0022706i,0.00010141+0.0018257i,0.0015104+0.0010505i,0.0015438+0.00066111i,0.0015333+0.00051225i,0.001346+0.00021569i,0.00066537-0.0001157i,0.00049456-0.00023547i,0.00039404+0.00013632i,-0.00036688+0.0012587i,-0.00082957+0.0012382i,-0.00081342+0.00027781i,-0.00069793-7.7544e-05i,-0.00076101-0.00028424i,-0.00072864-0.00012867i,-0.00045887-0.00054115i
0.0014514+0.0012387i,0.0020945+0.0010134i,0.0025192+0.00047888i,0.002199-0.00029471i,0.0016304-0.00075135i,0.0013405-0.00059908i,0.0013333+0.00023741i,0.00063966+0.00052564i,0.00059058-2.0053e-05i,0.001047-0.00066407i,0.0012352-0.00098157i,0.0016845-0.0012623i,0.0014323-0.0014268i,0.00038842-0.00090065i,-5.4378e-05+0.00018311i,-0.00057438+0.00025318i,-0.00071388+0.00017837i,-0.0004604+0.00059664i,2.4429e-05+0.00039747i,0.00094578-3.2238e-05i,0.001366+0.00024955i,0.00087604+0.00034962i,-0.00013299+0.00022451i
6.1163e-05-0.00087413i,0.0006543-0.00039525i,0.0016963-0.0010681i,0.002333-0.00095267i,0.0017575-0.0010554i,0.00078023-0.00052021i,0.00061709+0.00026555i,0.00069824+0.00078291i,0.0012725+0.0012547i,0.0010277+0.00014992i,0.00023175-0.0015386i,0.00029354-0.0015002i,0.00024363+2.3843e-05i,-0.00016754+0.0011903i,-0.00033281+0.0012107i,-0.0003116+0.00037278i,-0.00089587+0.00029489i,-0.0010226+0.00086347i,-0.0005703+0.00078862i,-0.00038629-0.00037639i,-0.00033712-0.000703i,-0.00012273-0.00030657i,-4.8584e-05-0.00018024i
0.0033268-0.0013835i,0.0032772-0.00077595i,0.0032114-0.0019644i,0.0020019-0.0022257i,0.00025786-0.0015261i,-0.00013109-0.0011484i,-0.00010584-0.00013884i,-0.00020896+0.00097911i,0.00028779+0.00032278i,0.0011192-0.00037484i,0.00070424-1.0679e-05i,4.8226e-05-0.00032896i,0.00024869-0.00046828i,0.00070668-0.00024597i,0.00065659-0.00020907i,0.00032125+0.0002887i,-0.0003233+0.00022531i,-0.0006807+0.00024635i,-0.00020856+0.00080481i,0.00040404-1.2679e-05i,0.00060539-0.00033892i,5.175e-05-2.8402e-06i,-0.0005522-0.00037973i
-0.00064642-0.00038914i,-7.4335e-05-0.00086706i,-0.0010386-0.0013512i,-0.00086711-0.0020869i,7.8609e-05-0.0018953i,0.00032616-0.001302i,7.1778e-05-0.00072566i,-6.4796e-05+0.00066796i,0.00047049+0.0016238i,0.00061648+0.00076693i,-0.00013127+0.0001394i,-0.00042421+0.00012507i,-0.0002501+0.0002578i,-0.00043953+0.00060383i,3.6093e-05+0.00024338i,0.00092979-9.326e-05i,0.00021021-0.00094187i,-0.00023806-0.0010254i,0.00047817-5.8032e-05i,0.0010418+0.00015398i,0.0010342-0.00035747i,0.00051412-0.0004297i,-0.00026445+6.2497e-05i
0.00081744-0.00063533i,0.0018515-0.00013587i,0.0023032-0.00067681i,0.0020837-0.0010081i,0.0026995-0.0013294i,0.0018995-0.00033213i,0.00065754+0.00093576i,-8.6739e-05+0.0012107i,-0.0001587+0.0015845i,0.00041004+0.0011019i,0.00072549-0.00048518i,0.00054464-0.0012655i,8.0712e-05-0.0012806i,-2.5971e-05-0.00074673i,-4.875e-05+0.00026503i,-0.00012771+0.00042073i,-0.00015181+2.7892e-05i,-0.00015049+0.0005169i,-0.00021015+0.0011384i,2.3746e-05+0.00042677i,0.00089136-0.00072983i,0.0003195-0.00069059i,-0.00062264-0.00047065i
