0.0027148+0.0010007i,0.0024026-0.00041483i,-4.7441e-05-0.0020944i,-0.0021742-0.0025472i,-0.0027772-0.0015767i,-0.0029683-0.00034935i,-0.0023193-1.0437e-05i,3.4905e-05-0.000443i,0.0019265-0.00080819i,0.0012874-0.0012402i,0.00014986-0.00074334i,0.00036282+3.4003e-05i,0.00089099+0.00030175i,-0.00013511-0.00014889i,-0.00077868-0.00023139i,-0.00068995+0.00071312i,-0.00068143+0.00075408i,8.6593e-05+0.00021223i,0.0010812+0.00032022i,0.00078799+0.00018537i,0.00024777-0.00052486i,-0.00021917-0.00047759i,-0.00069839+2.2114e-05i
-0.0018393+0.002615i,-0.0007002+0.0024912i,0.00028068+0.0019246i,0.0015002+0.0012763i,0.001898+0.00021769i,0.00072549-0.00134i,-0.00070448-0.00166i,-0.00095799-0.0014962i,-0.00068516-0.00032438i,-0.0004869+0.00034049i,-0.00038668+0.0001062i,0.00029176+1.9224e-05i,0.00030936-0.00092654i,0.00024734-0.0014621i,0.00082342-0.00070506i,0.00083808-0.00010408i,0.0001306+0.0004387i,0.00031719+0.00025389i,0.00031306+3.7891e-05i,-0.00046002-6.3987e-05i,-0.00084326-0.00014571i,-0.00036238+0.00043317i,0.0004435+0.00032098i
-0.00052664+0.0001434i,-0.0012545+0.00042899i,-0.0012345+0.00074332i,-0.00021535+0.00038364i,0.00084812+0.0001145i,0.0011763-0.00094303i,0.00043991-0.0012724i,-0.00027164-0.00017192i,-0.00011714+0.00015288i,8.6019e-05+0.00028339i,-0.00014369+0.00095931i,-0.0004768+0.00079102i,0.00027357-0.00056219i,0.00098607-0.0012089i,0.00046739-0.0011245i,-0.00058916-0.00095279i,-0.00039094-0.00055843i,0.00056444+9.5466e-05i,0.00060192+0.00019756i,-0.00048705+0.00016669i,-0.00051425+8.1618e-05i,-0.00018845-0.00046297i,-0.00032768-0.00036294i
0.0015133+0.00099926i,0.0011753-0.0011875i,0.00064747-0.0020025i,0.00026467-0.00133i,0.00016117-0.0012698i,-0.00025154-0.0020784i,-0.00073328-0.0019242i,-0.00085231-0.0011662i,-0.00059317-0.00023418i,-9.2674e-05+0.00022293i,0.00026532+0.0004354i,0.00023168+0.00014835i,0.00027729+0.0002799i,0.0001171+0.00080677i,0.00030701+6.0969e-05i,8.0452e-05-0.00056399i,-0.00040336-0.00031035i,-0.00044897-0.00065437i,-1.4568e-06-0.00051894i,0.00068064+0.00013514i,0.00090801-0.00019674i,0.00062674-0.00051071i,5.1207e-05+0.00038617i
-0.00057337-0.00036501i,-0.00029856-0.0014592i,0.00081289-0.0012988i,0.00063484-0.00076407i,-0.00022102-0.00061039i,-0.00039955-0.00053273i,-0.00072149-0.0012637i,-0.00072139-0.0016226i,-0.00057519-0.00042726i,-0.00028976+0.00034935i,-0.00017926+0.00039705i,-0.00013201+0.00030774i,0.00040459+0.00040889i,-0.00039954+0.00079135i,-0.00019571+0.0010809i,0.00088602+0.00063209i,0.00077631+1.1085e-05i,0.00052105-8.7882e-05i,0.00018742-0.00020264i,0.00046577+0.00022761i,0.00094963+0.00028058i,7.842e-05-0.00051574i,-0.00025539-0.00080129i
-0.0018575+0.0020238i,-0.00088012+0.0023183i,0.00024498+0.0024773i,0.0014177+0.0024118i,0.0020786+0.00090348i,0.00066022-0.0019574i,-0.00060726-0.0022619i,-0.00049742+3.4464e-05i,0.0004976+0.00097012i,0.0011129+0.00056861i,0.00030357+0.00021924i,-0.00033799-0.00019398i,-0.00027276-0.00056752i,-8.5003e-05-0.0013265i,-7.1293e-05-0.0017257i,0.00019366-0.00080219i,0.0011575+0.00085663i,0.00085209+0.00089718i,-0.00048577-0.00019185i,-0.00064134-0.00034444i,-0.00045446-0.00037925i,-0.00057473-0.00042182i,-0.0011092-0.0006744i
0.0015151-0.00053882i,0.0018455-0.00055246i,0.0015132-0.0014515i,0.00017025-0.001952i,-0.00082067-0.0014704i,-0.00078528-0.0014427i,-0.00060132-0.0010442i,-0.00031409-0.00038593i,0.00017242+0.00014717i,0.00020442+0.00043938i,1.6047e-05+0.00019259i,-9.3487e-05+0.00063579i,-0.00035501+0.00043817i,-0.00099497+7.3228e-05i,-0.0013644+6.0898e-05i,-0.00074935+0.00029579i,-8.8838e-05+0.00039907i,-0.00042126+0.00024558i,-0.00066604+0.00068357i,2.4696e-05+0.0009223i,0.00037553+0.00031249i,0.00011784+0.00026621i,0.00016228+0.00029058i
0.0014305-0.001754i,0.0013559-0.001869i,0.00026701-0.0020577i,-0.0012592-0.0018001i,-0.0015376-0.00088323i,-0.0012242+0.00016409i,-0.00097927+0.000258i,-0.00014059+0.00037359i,0.00027453+0.0006824i,-0.00031746-0.00032858i,-0.00066602-0.00052316i,-0.00030074+0.00064344i,-6.4461e-05+0.00063443i,-0.00010059+0.00020886i,-0.00011916+0.00057098i,-0.00048153+0.0012885i,-0.00062444+0.00062124i,0.00026417-0.00041576i,0.00066967-0.00058316i,0.00043682-0.0002634i,0.00045653+7.9591e-05i,0.00062139-0.00030386i,0.00017431-0.00017871i
4.7576e-05-0.00039458i,3.4736e-05-0.00074861i,-0.00039504-0.0010708i,-0.00030428-0.00022413i,-0.00023516+0.00068122i,0.00065888+0.00086939i,0.0012077-0.00022312i,0.00059182-0.0012788i,0.00017641-0.00121i,-0.00045897-0.00028076i,6.4908e-05+0.00057478i,0.0010495+0.00078212i,0.00069738+0.0011491i,0.0009101+0.0014071i,0.00065632+0.0015656i,-0.00013657+0.0010511i,0.00067758+0.00068862i,0.0011153+0.00057i,0.00071857-0.00020637i,-2.1424e-06-0.00047476i,-0.00045806-0.00085243i,-1.0426e-05-0.00067033i,0.00034338-0.00017876i
-0.0016391+0.002339i,-0.00085345+0.0016414i,-0.00053187+0.00046579i,0.0009877-0.00020149i,0.0016343+2.5426e-05i,0.0009255-0.00068212i,1.1072e-05-0.0020477i,-0.00095479-0.0017719i,-0.0011318+2.2438e-05i,-0.00011559+0.00089534i,0.00079168+0.00037446i,0.0008513-0.0001411i,0.00013912-0.00061328i,0.00010674-0.00060656i,0.00046453-0.0005095i,-0.00019331-0.00071893i,-0.00067996-0.00031438i,-0.00017567+0.00025191i,7.2174e-05+0.00033067i,-0.00047867+5.2424e-06i,-0.00081084-0.00035778i,-0.00030999-0.00033994i,0.00062915+3.1193e-05i
0.00060472+0.0012239i,0.00081129+7.1096e-05i,0.00082363-0.00039591i,0.00097624-0.00059578i,0.00119-0.00077568i,0.00012126-0.0018375i,-0.00085526-0.0021114i,-0.00045519-0.00067552i,0.00037169+0.00047258i,0.00028116+0.00065443i,-0.00012339+0.00022613i,-0.00013498-0.00013698i,-0.00058339+8.3908e-05i,-0.00099555-0.00048173i,-0.00065547-0.0010552i,-0.00074904-0.00065666i,-0.0009468+0.00034568i,-0.00078222+0.00040843i,-0.00030717-1.8028e-05i,0.00016974+5.9188e-05i,-5.4332e-05-0.00037811i,-0.00069605-0.00081434i,-0.0010865-0.0006761i
