-0.002279-0.00057677i,-0.0026448-0.00037734i,-0.0039182+0.00061492i,-0.0032559+0.0014464i,-0.0013706+0.0027562i,-0.0011603+0.00244i,-0.0013613+0.0018987i,-0.00043117+0.0010975i,0.00071395-0.00017421i,0.00054821-0.00085794i,0.00043161-0.00076525i,0.00067465-0.00058574i,0.00069575-0.00084256i,0.00097297-0.00048637i,0.00035801+7.5489e-05i,0.00036504+2.3217e-05i,1.472e-05-0.00035867i,-0.00043827+8.5503e-05i,-0.00027397-0.00011521i,-5.3243e-05-0.00053928i,0.00017474-0.00021659i,0.00023044-0.000349i,0.00051331-0.00082972i
0.0009557+0.0023972i,0.0019632+0.0030654i,0.0032994+0.0034342i,0.0035613+0.0017857i,0.0021978+9.7925e-05i,0.0004571-0.00090834i,-0.00030553-0.0015175i,-0.0006112-0.0012938i,-0.00017303-0.00061088i,-0.00034929+2.841e-05i,-0.0007708-0.00049288i,-0.0001504-0.00095063i,-0.00033389+9.5532e-06i,-0.0006545+0.00057957i,-0.00022968+0.00028236i,8.1848e-05+7.4241e-06i,0.00030938-0.0003166i,0.00085236-0.00016986i,0.00065107+0.00067031i,0.00056346+0.0006716i,0.00030289+0.00084207i,-1.0673e-05+0.0018134i,-0.00040013+0.0011729i
-0.00065019+0.00074432i,-0.00014049+0.00098684i,-0.0011901-0.00053277i,-0.0013672-0.00017613i,-0.0005267+0.00080821i,0.00060668-7.6517e-07i,0.00039533-0.00050731i,-0.00061521-0.00018158i,-0.00081344-0.00050654i,-0.0012365-0.0014636i,-0.0014138-0.0015251i,-0.00082975-0.0010128i,-0.00023375-0.00010439i,-0.00024726+0.0003508i,0.00017345+0.00036538i,0.00060698+0.0001954i,0.0008086+0.00015703i,0.0010561+0.00016493i,0.00049233+4.3467e-05i,-0.00050294-0.00010776i,-0.00081745-0.00010343i,-0.0010239-3.3941e-05i,-0.00098519-9.3747e-05i
-0.00052841-0.00071606i,-0.0012591+4.9336e-05i,-0.0013956-0.0004754i,2.5945e-05-0.00022039i,0.0013087+0.0008473i,0.00066807+0.0015441i,-0.00084688+0.0017782i,-0.0010541+0.0010362i,-0.00095359+0.00017252i,-0.0013614-0.00075281i,-0.0014408-0.0006386i,-0.00056116-0.00011897i,-0.00088845-0.00049476i,-0.0018016-0.00069221i,-0.00078826+0.0002436i,0.00010232+0.00086148i,0.00010525+0.00055704i,-0.00024821+0.00064625i,0.00010092+0.00090813i,0.00036714+0.00032948i,-0.00012424-0.00011573i,-0.00026503+0.00022639i,0.00013421+0.00013359i
0.00096257+0.00018164i,0.00068999+0.0014537i,0.0014919+0.0017583i,0.0016084+0.00059217i,0.00060967-0.00045706i,0.00075797-0.00050209i,0.00062353-7.5078e-05i,0.00027775-0.00077631i,0.00053439-0.0020552i,0.00011566-0.0021714i,-0.00041787-0.00086248i,-0.00050325+0.00027978i,-0.00046231+0.00055809i,-0.000597+0.00034732i,-0.00070991-0.00022848i,-0.00093196-0.00064032i,-0.0011952-0.0005047i,-0.00065112-0.0002627i,0.00012243+4.1726e-05i,0.00039515+0.00089733i,0.00072999+0.00093838i,0.00052085+0.00013593i,6.9759e-05-0.00017418i
-0.001102+0.00076958i,-0.000565+0.00064972i,0.00024538+0.0011227i,5.7744e-05+0.00097903i,-0.00019962+0.0003496i,5.3432e-05+0.00037644i,7.9112e-06+0.00020563i,0.00017875-0.00031534i,0.00027871-0.00080481i,-0.00035246-0.00075807i,-0.00059796-3.3505e-05i,-7.9834e-05+0.00062114i,0.00032805+0.00049995i,0.00050472+9.8816e-05i,0.0004124-0.00022411i,-0.00027123-0.00031539i,-0.00036817+1.7106e-05i,0.00018872-2.8238e-05i,0.00062861+0.00053249i,0.00043419+0.00048038i,0.00010752-3.2987e-05i,-0.00040476+0.00012451i,-0.00032923+0.00054952i
2.2518e-05-0.0010321i,0.00046442-0.00053498i,0.00072009-0.00090856i,0.00058275-0.0013585i,0.00032907+7.003e-05i,3.916e-06+0.00051449i,0.00027585+2.7577e-05i,-5.1594e-05+0.00020117i,-0.00045172+0.00013919i,-0.0005197-0.00012943i,-0.00083704-0.0001599i,-0.00071885-0.00057298i,-0.00050546-0.00097247i,9.2937e-05-0.00076111i,0.00026586-0.00049324i,-0.0004428+2.5642e-05i,-0.00059691+0.00031035i,-0.00023556+0.00054126i,-0.00017989+0.00044562i,0.0002485+7.3829e-05i,-4.0977e-05+1.7935e-05i,-0.00076446+0.00041473i,-0.00067058+0.00075304i
0.00038454+0.002031i,0.00079104+0.0022656i,0.0011607+0.0029795i,0.00026651+0.0023936i,-0.00074069+0.00060259i,-0.00063518+0.00036958i,-0.00047016+0.00074745i,9.6129e-05-0.00034286i,0.00040324-0.0009943i,-0.00089538-0.0010518i,-0.0011875-0.00089691i,-0.00038677-3.6827e-05i,-0.00018232-1.3447e-05i,-0.00014613-0.0004578i,-0.00016076-0.00059892i,4.3733e-05-0.00057854i,-9.5915e-05+0.00018108i,-3.0655e-05+0.00059197i,-0.00016574+0.00017056i,-0.00030135-0.00031326i,-1.7501e-05-0.00052805i,0.00024846-0.00071594i,0.00061252-0.0005285i
6.2207e-05+0.0021489i,0.00097578+0.0019161i,0.0011024+0.0013165i,0.00093391+0.00028865i,0.0010101-0.00058478i,0.00087507-0.0010734i,0.0010019-0.00076997i,0.00022458-0.00058469i,0.00027258-0.00073305i,0.00034489-0.00062093i,-0.00064778-0.00061325i,-0.00031297-0.00066394i,0.00073322-0.00035008i,0.0012727-6.4401e-05i,0.00057239-0.00025288i,0.00047186-0.00075134i,0.00031912-8.4769e-05i,-0.00017444+0.00086375i,-0.00038845+0.00061716i,-0.00022915-0.00018723i,-0.00044374-2.2554e-05i,-0.00044404+0.00038552i,0.00048082+0.00035446i
-0.0014549+0.00076512i,-0.00088865-0.00075525i,7.9672e-05-0.00073684i,0.00066804+0.00022581i,0.00091464+0.00076899i,0.00046601+0.00015019i,0.00028004-0.00072332i,0.00040914-0.0012307i,0.00045151-0.0014392i,0.00077517-0.0010694i,0.0010658-0.00028624i,0.00041368+0.00034097i,-3.3242e-05+0.00043457i,0.0006116+0.00019072i,0.0011859+0.00069244i,0.00080474+0.00074363i,0.00027344+0.00010264i,-0.00020299-0.0001004i,-0.00056563-0.00040002i,-0.00042092-0.00056944i,-0.00031619-0.00010513i,-0.00023087+0.00030651i,0.00031517-0.0002797i
7.1053e-05+0.0010842i,8.4753e-05+0.0011442i,0.00033881+0.0014674i,0.00049411+0.00091644i,-0.00035735+0.00019097i,-0.0013179+0.00053708i,-0.00071616+0.0010315i,-0.00015262+0.00025154i,-0.00048184-0.00068731i,-0.00052081-0.000315i,-0.00053825-0.00010676i,-0.00098539-0.00044641i,-0.00059316-0.00013295i,0.00010422+0.00045276i,4.0164e-05+0.00058612i,-0.00037579+0.00099394i,-0.00010776+0.00069418i,0.00041748-0.00026068i,1.7329e-05-0.00030177i,6.155e-05-0.0002655i,-0.00016342+0.00017423i,-0.00079957+0.00029873i,-0.00050122-0.00025313i
