-0.0021294+0.00014801i,-0.00074494-0.00055173i,-0.0015842-0.00022669i,-0.0024837+0.0015376i,-0.0016665+0.0034316i,-0.00060159+0.0032099i,-0.00028889+0.0014219i,-0.00028531+0.00047687i,-0.00017401+0.00060188i,0.00050796+0.0016876i,-6.573e-05+0.0010682i,-0.0003316+0.00011248i,-0.00042771+0.00023711i,-0.00073778+0.0003242i,-0.00031871+0.00062567i,-0.00024789+0.0010322i,1.5943e-05+0.00062638i,9.6446e-05+0.0005653i,-0.00025992+0.00030512i,0.00057062-0.00047703i,0.0011414-0.00027429i,0.00081093+4.7658e-05i,0.00014047+8.5861e-05i
-0.00044637-0.0016406i,-0.0016587-0.0017447i,-0.0019312-0.0010104i,-0.0015448+0.00018787i,-0.0014427+0.0010105i,-0.00039775+0.0013813i,0.0008481+0.00056667i,0.0011452-0.00084086i,-0.00019595-0.00087374i,-0.00044948+0.00030185i,0.00020364+0.0012239i,-0.00039468+0.0013484i,-0.00040884+0.00077881i,0.00046385-0.00012272i,0.00076373-0.00056766i,3.8336e-05-0.00042453i,-0.00090332-0.0002192i,-0.00043363+0.00014829i,-0.00038659+0.00038937i,-0.00068126-0.00039133i,-0.00033266-0.00088824i,-0.00030187-0.00077777i,-0.00032316-0.00022933i
-0.0011618+0.0014891i,0.0006398+0.0023237i,0.0016872+0.0017141i,0.0012547+0.0013217i,0.00044816+0.00089885i,-0.00015776-0.00044465i,-0.00015929+0.00036342i,-0.00060251+0.0011321i,8.9204e-05+0.00012982i,0.0010402-0.00021967i,0.00041748-5.2177e-05i,-0.00041833+0.00046577i,8.9319e-05+0.00088875i,0.00027606+0.0010345i,-7.0416e-05+0.00016297i,-0.00059615-0.00045066i,-0.00045946-0.00021209i,9.4428e-05-6.814e-05i,-4.7948e-05+0.00016181i,0.00011026-2.1234e-05i,7.5962e-05-0.00090232i,2.8394e-05-0.0010622i,0.0004612+6.065e-05i
0.00069004-5.2562e-05i,0.00029977+9.7409e-05i,-0.00045207-0.0011114i,-0.00023563-0.0021904i,0.00073293-0.00097663i,0.0011624+0.00022686i,0.00074998+0.00010935i,-0.00013103-0.00088813i,-0.00085256-0.0013093i,-0.0010954-0.0012031i,-0.00090049-0.0008465i,-0.00052361+9.4936e-05i,-0.00075643+5.1646e-05i,-0.00064724-0.00011614i,-0.00012472-0.00037412i,0.00017315-0.00054497i,0.00013155-0.00011143i,0.00042095-0.00024389i,0.00063908-0.00068668i,0.00058253-0.00082306i,0.00039798-0.00039842i,-0.00029813+0.00023145i,-0.00067276+0.00028629i
-0.0007098-0.00012165i,0.00011983+0.00036317i,0.00015115+0.0015258i,-0.00041698+0.0015804i,0.00026676+0.0017937i,0.00060137+0.0010951i,-0.00024781-0.00066293i,-0.00086087-0.0011418i,-0.0010902-0.0010387i,-0.0010963+5.8541e-05i,-0.00067512+0.00095271i,-0.00046378+0.00082687i,-0.0011758+0.00049268i,-0.0010259+0.00014464i,-0.00067229+0.00025314i,-0.00076782+0.00021558i,-1.3214e-06+0.00039103i,0.00054226+0.0011329i,0.00020387+0.00084371i,-0.00072918+0.0001802i,-0.00084162+6.7971e-05i,-0.00011677+0.00039001i,-0.00026573+0.00090915i
-0.0015699-0.0016044i,-0.0025445-0.00059309i,-0.0035602+0.00019254i,-0.0029927+0.00074606i,-0.0018713+0.0015702i,-3.3731e-05+0.0020358i,0.0010217+0.00055107i,0.00040694-0.00033839i,-0.0011516+0.00044429i,-0.0017329+0.00057378i,-0.0014308+0.00039335i,-0.00065389+0.0008031i,0.00020196+0.00019624i,0.00043948-1.9023e-05i,0.0002148+0.00022506i,-0.00017359+0.00028821i,-0.0006811+0.00049959i,-0.00047594+6.8442e-05i,0.00079398-0.00042975i,0.0011492-0.00023976i,0.00075898-0.00057559i,0.00034165-0.0010214i,-8.2438e-05-0.00085281i
0.00066668+0.0009457i,0.0010607+0.00045915i,0.0014565+7.5828e-05i,0.0016262+0.00021359i,0.00091394+0.0016363i,0.00033732+0.0019022i,0.00015297-0.00021272i,1.4694e-05-0.00090851i,-0.000429+0.00037282i,6.471e-05-7.4204e-05i,0.00049522-0.0012428i,-0.00029333-0.00060656i,-0.00026512-6.588e-06i,0.00055877+0.00018908i,0.0001099+0.00066226i,-0.00080063+0.0010147i,-0.00070281+0.00075359i,0.00031487+0.00011895i,0.0002389-0.0001374i,1.1531e-05-0.00066389i,-0.00018855-0.00087624i,-0.00035771-0.00041224i,-0.00049468-0.0003438i
0.00015931-0.0017051i,1.9228e-05-0.00171i,-0.00053612-0.0012451i,-0.0016245-0.00040467i,-0.0025624+3.5064e-05i,-0.0013311+0.00065538i,-0.00030638+0.00067874i,-0.00014847-0.00044414i,-0.00040985-0.00043408i,-0.00053517-0.00031957i,0.00015125-0.00041763i,0.00044877+0.00010027i,-1.7198e-05+0.00066781i,-0.00055206+0.00078699i,-0.00095974+0.00024195i,-0.00026182+0.00014166i,0.0010018-0.00016287i,0.0016577+0.00015471i,0.0012218+0.00026946i,0.00075688-0.00053144i,0.00033117-0.00032938i,-0.00076179-5.6304e-05i,-0.00054172+0.00022815i
-0.00026963+0.00052828i,0.00036815+2.7305e-05i,-0.00028958+0.00022229i,-0.00078077+0.00095951i,-0.00021107+0.0012285i,0.00020365+0.00078647i,3.4722e-05-0.00042738i,-0.00063868-0.0011765i,-0.00078308-0.00083223i,-0.00027023+2.3767e-05i,-0.00026185+0.00072804i,-0.00038797+0.00098484i,0.00017114+0.00046681i,0.00032025+6.7532e-05i,-0.00021028-4.6662e-05i,-0.00055973-2.733e-05i,-8.7265e-05+0.00052926i,-8.6255e-05+0.00057446i,0.00045885-0.00033109i,0.00085983-0.00072531i,5.7576e-05+0.00041256i,3.2046e-05+0.00086194i,7.321e-05+0.00061153i
-0.00044745+0.00030786i,-0.001494+0.00020437i,-0.0012297+0.00037596i,5.4526e-05+0.00076826i,0.00086255+0.0015046i,0.00099733+0.0016497i,0.00069458+0.00069994i,-0.00027917-0.00025566i,-0.00040641-0.0003824i,4.4901e-06+0.00022096i,0.00048037+0.00023402i,0.00016465+0.00063217i,-0.0007926+0.00058249i,-0.00099707+0.00021007i,-0.00099933+0.00016321i,-0.00024488+0.00065093i,-0.00016691+0.0014169i,-0.0011148+0.00069214i,-0.0011062+0.00018445i,-0.00070866+0.00054327i,-3.7303e-05+0.00061869i,7.9806e-05-6.4158e-05i,0.00043331-0.00049777i
-4.9323e-05-2.9083e-06i,-0.0010031+6.7802e-05i,-0.0012358+0.0004877i,-0.00042999+0.0008473i,-0.0004628+0.00059036i,-0.00042572+0.0008566i,-0.00053079+0.00051471i,-0.0015324+0.00041074i,-0.0016097+0.00056782i,-0.00076577+0.00076664i,-0.0010427+0.00092671i,-0.0011009+0.0010043i,-0.00051596+0.00087477i,-0.00020015+0.00015939i,-0.00092709+8.3925e-05i,-0.00076899+0.000306i,0.0002881-1.1659e-05i,0.00026239+4.8407e-05i,-8.9537e-05+9.7877e-05i,-0.00030155+0.00019439i,-0.00040603+0.00013839i,-0.00044541-0.00087313i,7.1563e-05-0.0015142i
