-0.0010949-0.00026672i,0.00054569-0.0010621i,-0.00098659-0.00071654i,-0.0012665-0.00015394i,-0.00055747+0.0013447i,-0.00015005+0.0014159i,0.0002407+0.0013449i,0.00059741+0.0021183i,0.00081956+0.0018865i,0.00093247+0.0011648i,0.0009542+0.00014004i,0.001186-0.00044638i,9.6565e-05-8.3482e-05i,-0.0010311+0.00010528i,-0.00083084+0.00024997i,-0.0007181+0.00049564i,-0.00050094+0.0001994i,-0.00053801-0.00040578i,-0.0010109-0.0002685i,-0.00097225+0.00016946i,-0.00065051-0.00060825i,-0.00044411-0.0010633i,-0.00041318-0.00066034i
0.00061926-0.00060834i,0.0016818-0.00039112i,0.0021693+0.00022675i,0.0015927+0.00040095i,0.0018204+0.00013812i,0.0014817-6.0593e-05i,0.0012035-0.00035146i,0.0019946-5.1505e-05i,0.0015176+0.00035376i,0.00018525+0.00025149i,2.9767e-05+9.0909e-05i,-0.00026328-7.4277e-05i,-0.00030959+7.6148e-05i,4.3114e-05-0.00011193i,0.00037553-0.00041304i,0.00040514+0.00016344i,-0.00018878+0.00061977i,-0.00093785+7.6899e-05i,-0.0013025-0.0011678i,-0.00035826-0.0011454i,0.00070164+0.00012774i,0.00076633+0.00044849i,-0.00024907+0.00055821i
0.00092335-0.0010676i,0.00017526-0.00068387i,-0.0005793-0.00050288i,0.00024125-7.0596e-05i,0.00069301+0.00071234i,0.00071393+0.00084717i,0.00070266-0.00062169i,0.00027802-0.0013403i,-0.00029338-0.0011588i,-0.00039976-0.00075482i,-0.00028976-0.00046961i,-0.00051524+0.00018277i,-0.00025125+0.0013959i,0.00016236+0.0019081i,-0.00023218+0.0006646i,-0.00043977+0.00032196i,-0.00033903+0.0010855i,-0.00017207+0.00074369i,-0.00014631+0.00021583i,-0.00026243-0.00010307i,1.0451e-06-0.00091886i,9.3179e-05-0.00074866i,-6.5323e-05-0.00015858i
-0.000394+0.00011218i,-7.591e-05-0.00014513i,0.0010221-0.00083874i,0.0021496-0.00043183i,0.0018645+0.0005417i,0.0012515-0.00010932i,0.00074868-0.0022164i,-0.00013896-0.0026845i,-0.00096682-0.0016442i,-0.0014036-0.001377i,-6.0734e-05-0.00094035i,0.0010072-0.00027594i,0.0004806-0.00045938i,-0.00027251-0.00071435i,0.0002347-0.00062589i,0.0012542-0.0001441i,0.00085015+0.00016374i,0.00069248-0.00044321i,0.000639-0.0010403i,0.00016286-0.00074618i,-0.0010263-4.7289e-05i,-0.0012009-0.00013191i,-0.00033334-0.00022534i
-0.0015404-0.0007846i,-0.0015729-0.00058683i,-0.0012441+0.00078432i,-0.00059275+0.0012804i,0.00026771+0.0012674i,0.00080346+0.00042085i,2.6577e-06-0.00022631i,-0.0011454+2.7145e-05i,-0.00091878+0.00032546i,0.00010546+0.00084885i,0.0010136+0.00057793i,0.00066695+0.00010627i,-0.00058158-4.8368e-05i,-0.0010339-0.00049747i,-0.0012562+0.00011121i,-0.00094609+0.0011332i,-9.0223e-05+0.00079434i,0.00029937-0.00016509i,6.7782e-05-0.00040272i,3.9124e-05+0.00027761i,0.0005328+0.00055514i,0.0003391+0.0002171i,5.5064e-05+0.00028309i
-0.0011083-0.00066001i,-0.0014815-0.00067253i,-0.0019344-0.00079382i,-0.0013109+0.00080649i,0.00035787+0.00069168i,0.0016368+0.00026458i,0.0011648+0.00044539i,0.00054183+0.00068078i,0.00041033+0.00059651i,0.00045263-0.00014526i,0.00045274-0.00051987i,0.00047899-0.00034853i,0.00014667-0.00064219i,-0.00027459-0.0010958i,0.00016208-0.00090752i,0.0010356-0.00074846i,0.00067798-0.00078203i,0.00011912-0.00085961i,-3.0946e-05-0.0015695i,-0.00029825-0.0010005i,-0.00027162-0.00032915i,-0.00015977-0.00051407i,-0.00049975-0.0007322i
-0.00064434+0.00035595i,-0.00080756+0.00076667i,-8.4766e-05+0.0014737i,0.001052+0.0010344i,0.0018912+0.00036106i,0.002362-0.00080593i,0.0021854-0.0004691i,0.0012005+0.000256i,0.00015769+0.00070034i,-0.0006339+0.0012608i,-0.00064727+0.0014907i,-0.00053649+0.00083273i,-0.0011651+0.00036803i,-0.00031298+0.00041454i,0.00068028+0.00042892i,0.00031379-6.5584e-06i,-2.0616e-06-0.00090416i,-0.00018692-0.00054222i,-0.00035817+0.00048494i,0.00013736+0.00079325i,0.00072349+0.0007479i,0.00030434+0.00024266i,-0.00052907-0.00020251i
0.00088281-0.0024533i,0.00090561-0.00234i,0.00063575-0.0023105i,-0.00070145-0.0015384i,-0.0012805-0.0012312i,-0.00037009-0.00085699i,0.00018355-0.0003303i,-4.1528e-06-0.00015554i,1.2376e-05+0.00052322i,-0.00032976+0.0011334i,-0.00044024+0.0013301i,-8.6176e-05+0.0012524i,0.00030605+0.0011255i,0.00030482+0.00046864i,0.00054571+1.1998e-05i,0.00082639+0.00053848i,0.00028932+0.00061132i,-0.00046552+2.8031e-05i,-0.00080525-0.00011243i,0.00046075-0.00024197i,0.001367-0.00046289i,0.00056955-0.00050842i,-0.00033314-0.00027364i
2.2837e-05-0.0019675i,7.5923e-05-0.00024862i,0.00017974+0.00032225i,6.5421e-05+0.00016366i,-0.00042207+0.00045338i,-0.00056146+0.00045909i,0.0003468-0.001099i,0.0008043-0.0020711i,0.00033077-0.00094473i,0.00048184+0.00069516i,0.0012594+0.00084755i,0.0010423+0.00031465i,0.00018235+0.00012588i,-0.00035859-1.5259e-05i,-0.00076003+8.3004e-05i,-0.00048233+1.9084e-05i,0.00020336+0.00041564i,0.00034886+0.00088626i,0.00056973+0.00030732i,0.00046611-0.00013474i,0.00017083+7.8707e-07i,-0.0002065-0.00023038i,-0.00074695-0.00020155i
0.0012072-0.00042181i,0.0010293-0.00012886i,0.00057532+0.00109i,0.00064998+0.0004221i,0.0014242-0.00042501i,0.0013547-0.00067162i,-3.1579e-05-0.0014009i,-0.00084789-0.0016067i,-0.00028153-0.00051705i,-4.0579e-05+0.00091933i,0.00014057+0.00066651i,0.0004736-0.00022509i,0.001232-0.00063953i,0.0011319-0.00071517i,0.00082446-9.0553e-05i,-0.00015775+0.00039262i,-0.00061125-3.2425e-05i,7.3743e-05-0.00021036i,0.00042261-0.00015219i,0.00061745-0.00096832i,0.00050637-0.00084561i,0.00015508+0.00022472i,-0.00020315-2.9749e-07i
-0.00048329-0.00087099i,-0.0007068-0.0007198i,0.0002537-0.00092743i,0.0011969-0.0010882i,0.0013717-0.00044509i,0.0011382+0.00015306i,0.00023067-0.00035166i,-0.00040178-0.00033992i,-0.00032147-0.00060199i,0.00011094-0.0012811i,0.0005294-0.0013439i,0.0002945-0.0010934i,-0.00027676-0.00086406i,-0.001238-0.00042952i,-0.00075701+0.00018511i,0.00065311+0.00033486i,0.00086418+0.00023415i,0.0010149+0.00025941i,0.00092621+0.00025322i,0.00026417+0.00041643i,0.00020587+0.0007382i,9.9182e-05+0.00068975i,-0.00088578+0.00052442i
0.0010277-0.0020853i,0.00055185-0.0013129i,0.00032563-0.00068775i,0.00054524-0.00099337i,0.00079514-0.00022571i,0.001017+0.00031606i,0.001013+0.00068245i,0.00020363+0.00076198i,-0.00070893-2.5983e-05i,-0.001449-0.00033237i,-0.00086045-0.00018342i,-0.00065981-0.00039649i,-0.0013358-0.0003487i,-0.0013393+0.00017433i,-0.00063177+0.00123i,4.8448e-05+0.00093586i,0.00056419+0.00064004i,0.00031208+0.00050726i,0.00012892+0.00011164i,0.00020226+0.00065233i,0.00039053+0.00084056i,0.00051575-0.00018986i,0.00016529-0.00098382i
-0.00026165+0.00092032i,-0.00032993+0.00045138i,0.00042406+0.00030406i,0.0013479+0.00049561i,0.0021539+0.00039711i,0.0024268+0.00043844i,0.00231+0.00023594i,0.0016159+0.00017003i,0.000576-0.00015961i,-0.00091066+0.00021143i,-0.0013582+0.00099172i,-0.00050115+0.0013379i,0.00061929+0.001254i,0.00012645+0.00078286i,-0.00053787+0.00062773i,0.00016176+0.0002974i,0.00063202-0.00048063i,0.00043262-0.00048869i,0.00015928-9.2227e-05i,0.00020208+0.000221i,-0.00034252-0.00037613i,-0.00049225-0.0007389i,-0.00030829-0.00093843i
0.0010951+0.00088072i,0.00068001-0.00031747i,0.0017722-0.00059455i,0.0024339-0.00095207i,0.0021973-0.0014401i,0.0018375-0.00068009i,0.00088185-0.00057138i,-1.811e-06-0.00086229i,0.00042755+4.9983e-05i,0.00084745+0.0006561i,0.00087096+0.00066218i,0.0010286+0.00067184i,0.00057177+0.00084216i,-8.3478e-06+0.00090496i,0.0001248-2.4753e-05i,0.00066121-0.00013831i,7.1096e-05-0.00040258i,-0.00075292-0.00089604i,-0.00036202-0.00063581i,-0.00029963-0.0005529i,-0.0012126-0.00041424i,-0.0013585-0.0005102i,-0.00039349-0.00087257i
-0.00024213-0.0007686i,-0.00068651+0.00017567i,-0.0011331+0.00035183i,2.9104e-05+0.00086945i,0.00086763+0.0013318i,0.00090562+0.00049986i,0.00038471-0.0010198i,-0.00016661-0.0012454i,3.1663e-05-0.00053148i,0.00049553+0.0002184i,0.00053957+0.00083573i,0.00097311-0.00012647i,0.00084734-0.00070312i,0.00014838+0.00025668i,-0.00013996+0.00023418i,4.3309e-05-0.00046943i,0.00026608-0.00017474i,-0.00029036+0.00059136i,-0.0010587+5.8811e-05i,-0.00096898-0.0010755i,-0.00015635-0.001183i,-8.742e-05-0.00035382i,-0.00030611-1.355e-05i
