0.0017604+0.00092419i,0.0020723-0.00051563i,0.000733-0.0018677i,-0.0015199-0.0020374i,-0.0024734-0.00051957i,-0.0017658+0.0018262i,0.00037133+0.0028577i,0.0023025+0.0015747i,0.0028454+2.9921e-05i,0.002233-0.00075552i,0.00089731-0.0015787i,-0.00036747-0.0015889i,-0.00060505-0.00082693i,-0.0008655+0.00038893i,-0.0017787+0.00034186i,-0.0017967-0.00042319i,-0.0013709-0.00098377i,-0.0011258-0.00053926i,-0.00025079+0.0008857i,0.0007813+0.00061941i,0.00078902-0.00079267i,-0.00044614-0.001614i,-0.00078504-0.0010543i
-0.00035478-0.0010472i,2.8771e-05-9.4329e-06i,-0.0011385+7.8342e-05i,-0.001094+0.00063205i,0.00028518+0.0011153i,0.0016659+0.00083971i,0.002152+0.0002651i,0.0021667-0.00084301i,0.00061487-0.0011596i,-0.00032855+0.00017994i,-2.6045e-05+0.00015064i,-0.0001675-0.00077054i,-0.00010139-0.00055451i,0.00069686-0.00044706i,0.0013705-0.0010441i,0.0013784-0.0012308i,9.3811e-05-0.00073544i,-0.00077099-9.0474e-05i,-0.00013345+3.4202e-05i,0.00045161+0.0004988i,0.00070852+0.0012223i,0.00030454+6.7617e-05i,-0.0004406-0.00070676i
-0.00012958+0.0011137i,-0.00041705+0.0013827i,-0.00072832+0.00123i,0.00039667+0.0007001i,0.0014713+0.00089994i,0.0018008+0.0021807i,0.0022064+0.0019761i,0.0020756+0.00069537i,0.0012819-3.5688e-05i,0.00073933-0.00011013i,0.0010612+0.00023291i,0.0015315+0.00050572i,0.0012361+5.0996e-05i,0.0010466+4.0983e-05i,0.00046753+0.00095091i,5.6523e-05+0.00088389i,0.00039049-0.00022304i,3.3195e-05-0.00039169i,-0.00037927+0.00054886i,-0.0001958+0.00041403i,5.9238e-05-0.00040095i,0.00017355-0.00021305i,0.0001427+0.00015759i
-0.0016744-0.0018123i,-0.0012416-0.0013576i,-0.0017113-0.00019794i,-0.0012003-0.00019825i,0.00045439+0.00022805i,0.0013805+0.00080636i,0.0011554+0.00088277i,0.00063568+0.00038768i,0.0004188-7.1052e-05i,-6.4434e-05-0.00017027i,-0.00011771-0.00034241i,-8.6704e-06-0.00057066i,0.00045879-0.00029665i,0.00041146-0.00034086i,-0.00017631-0.0011798i,-6.9784e-05-0.0011151i,0.00038686-0.00037992i,0.00044464-0.0005854i,0.00025663-0.0010652i,0.00032924-0.00078823i,0.00030434-0.00057283i,-0.00037427-0.00090575i,-0.00075696-0.001096i
-0.00083969-0.00098427i,-0.00019083+0.0010295i,-0.00098032+0.0019793i,-0.00065616+0.0024217i,0.0003129+0.0025883i,0.00093073+0.0026645i,0.0014499+0.0018446i,0.001625+0.0006765i,0.00081655+0.00023917i,4.7721e-05+0.00062063i,0.00047294-0.00027262i,0.00094263-0.00090096i,0.00087089-0.00023688i,0.00094216+4.4506e-05i,0.00090845-0.00035822i,-0.00030444-0.00019477i,-0.00082283-0.00046922i,-0.0002999-0.00075161i,-8.9458e-06-0.00035163i,2.9849e-05-9.5612e-06i,-0.00036495+0.00014921i,-0.00078091-0.00027791i,-0.00015077-0.00037468i
0.001535+0.0011056i,0.0017691+0.00043113i,0.0018686+0.00023809i,0.0018442+0.00060757i,0.0017902+0.000274i,0.0010711+0.0010371i,0.0014396+0.0021701i,0.0018958+0.0020467i,0.00034853+0.0014339i,-0.00057572+0.00025195i,-0.00060085-0.00079036i,-0.00068428-0.00059127i,-0.00086889-0.00020186i,-0.0010148-5.3941e-05i,-0.00053509-3.9417e-05i,-0.00046031-0.00032562i,-0.001072-0.0010575i,-0.00059932-0.0011506i,0.00023692-0.00013491i,0.00072563+0.00024708i,0.0004415+0.00047935i,7.4235e-05+0.00068787i,0.00029687+0.00017495i
0.00061497-0.0012861i,-0.00089092-0.0013937i,-0.00096774-0.00088451i,-3.0051e-05-0.00020634i,0.00037464+0.00026486i,0.00059674+0.0011539i,0.00074095+0.0012706i,0.00075732+0.00057026i,0.000147-0.00023203i,-0.0010149-0.00060359i,-0.0011384-0.00081212i,-0.00028878-0.00083519i,0.00028588-0.00046951i,0.00034714+0.00014529i,4.7034e-05+0.00015899i,-0.00051528-0.00015684i,-0.000521-0.0003168i,-0.00028048-0.00067859i,-0.00023733-0.00045524i,8.9049e-05-3.3113e-05i,-4.3705e-05+3.4963e-05i,-5.4618e-05-0.00030005i,0.00011373-0.00055005i
0.00068629-0.0025189i,0.00058598-0.0026523i,0.00044635-0.0022347i,-0.00020959-0.00092972i,-0.00049457+0.00042266i,-0.00014016+0.0021953i,0.00024058+0.0027202i,0.00065163+0.0010712i,0.00048007+5.968e-05i,0.00014721+0.0006822i,-9.3175e-05+0.00062325i,-0.00085735+4.3809e-05i,-0.0010311-0.00049026i,-2.49e-06-0.00065359i,-1.532e-05-0.00015291i,-0.00026202+0.00046228i,0.00061981+0.00016035i,0.001229-0.00042605i,0.00043804-0.00071985i,-0.00058871-0.00098345i,-0.00074048-0.00078123i,-0.00095355-0.00082837i,-0.0007884-0.0012106i
0.00039674+0.0016823i,0.00052584+0.0024988i,0.00059386+0.0030895i,0.00062828+0.002708i,0.00058352+0.0024493i,0.0003363+0.0022874i,0.00030674+0.0021465i,0.00048379+0.0013242i,0.0003553+0.00053449i,0.00077509+0.00043562i,0.00044762+1.6496e-05i,-3.8566e-05-0.00073785i,0.00048206-0.00046637i,0.00092768-0.00047912i,0.00063288-0.00056799i,0.00047703+0.00046626i,0.0002423+0.0010324i,-0.00018726+0.00023195i,-0.00030218+0.00040902i,8.1855e-05+0.0014714i,0.00073717+0.0010883i,0.0006074+0.00042193i,-0.00030983+0.00048615i
-0.00054358-0.00064994i,0.00046742-0.00091767i,0.001173-0.0010397i,0.00011791-0.00038695i,-0.00037663+0.00054346i,0.00057249+0.0010416i,0.001614+0.00046809i,0.0015801-0.00012586i,0.000848+0.00029825i,6.3699e-05+0.00075926i,-0.00060854-0.00017728i,-0.0007421-0.00091837i,-0.00021418-0.0004763i,-0.0003214+0.00019369i,-0.00055555-5.1184e-05i,-0.00015745-0.00046101i,0.00030792-0.00013032i,0.00024025+0.00041404i,4.2905e-06+0.00073435i,9.2268e-05+0.000478i,0.0002243-0.00015415i,0.00011718-0.0010081i,0.0002112-0.00075081i
0.0014571-0.00095431i,0.0011757-0.00029131i,-1.9192e-05-0.00032266i,-0.0010449-0.00022932i,-0.00079161+6.8341e-06i,0.00031693+0.00083661i,0.0014959+0.0013661i,0.00098195+0.0006464i,-0.00027156-0.00019234i,-0.00047689-0.0011014i,-0.00058832-0.00040999i,-0.00085136+0.00048272i,-0.0011436+0.00021394i,-0.00062922+0.0002982i,-0.00061747+0.00062817i,-0.0010967+0.00028479i,-0.00055769-0.0004712i,2.3587e-05-0.00037302i,-0.00018731-4.4225e-05i,-0.00031017-0.0001844i,0.00019485-0.00039479i,0.00043212-0.00073429i,0.0012055-0.0007958i
