0.00094772+0.00039748i,0.001602-0.0011407i,0.0013235-0.00089964i,0.00028856-0.000851i,-0.0012952-0.00040928i,-0.0024109+0.00075242i,-0.0016885+0.0015246i,-0.00035065+0.0010873i,0.00067665+0.00051461i,0.0016432-0.00044479i,0.0016034-0.00083989i,0.00034426-0.00026196i,-0.00042007-6.6514e-05i,-0.00044904-6.057e-05i,-0.00071088-4.0996e-05i,-0.0010122+0.00037403i,-0.00076745+0.00040633i,-0.00029757+0.00042578i,-0.0002032+0.00055634i,0.00050055-0.00013533i,0.0006239-0.00015483i,-0.00019513-4.0504e-05i,-0.00017409-0.00058559i
-0.001183+0.0018624i,-0.0016127+0.0014825i,-0.0002739+0.0011879i,0.00017864+0.0014551i,-0.00068047+0.00047349i,-0.0010639-0.00074613i,-0.00067491-0.00033782i,-0.00056785-0.00049735i,-0.00089396-0.00023217i,-0.00080947+0.00056198i,0.00026325+0.00080134i,0.0009968+0.00094731i,0.00098384+0.00048588i,0.00029487-0.00049058i,-0.0003017-0.0005113i,-0.00038365-0.00036484i,1.6439e-05-0.00027827i,-3.3262e-05-0.000256i,-0.00031022-0.00040515i,0.00038315-0.00076204i,0.001334-0.0011283i,0.00063647-0.00090847i,-0.00023031-0.00038928i
0.00076794+0.00018331i,0.00095769+0.00013098i,0.0011122-0.00015276i,0.00079061-0.0010915i,-0.00022655-0.0011941i,-0.00045547-0.00086992i,7.2427e-05-0.0004948i,0.00016634+0.00011625i,-0.0003135+0.00023384i,-0.00024396+0.00030159i,0.0001106+0.0002317i,0.00068263-0.00024619i,-1.396e-05+1.8103e-05i,-0.00055392-5.4377e-05i,-0.00052424+8.9397e-05i,-0.00032733+0.00074423i,0.00022812+0.00025825i,0.00055705-0.00024427i,0.00071001-0.00034405i,0.00051698-4.6591e-05i,-1.7367e-05-0.00023398i,2.1219e-05-0.00063568i,-0.00022306-0.00033952i
-0.0016519-0.0014103i,-0.00080394-0.0011682i,-0.001815-0.00029201i,-0.0021527-2.7034e-05i,-0.0017253-0.00076763i,-0.001426-0.0005534i,-0.0017984-0.00057684i,-0.0012646-0.00051632i,-0.0010777-0.00030627i,-0.00058072-0.00013685i,-0.00012727+3.4978e-05i,0.00022346-0.00029013i,0.00065779-0.00037776i,0.00040704+0.00023263i,0.00019027+0.00040467i,-0.00023895+0.00042844i,-0.0002768+0.00012094i,-0.00014452+0.00014826i,0.00018233+0.00086068i,7.3312e-05+0.00085203i,7.927e-06+0.00036428i,-0.00047795+0.00027016i,-0.00058698+0.00051581i
-0.00068011+0.00036644i,-0.00033756-0.00065525i,6.2808e-06-0.0012859i,-0.00041029-0.00022872i,-0.0011498+0.00086928i,-0.0010102+0.0018408i,-0.00032207+0.0020198i,-0.00048356+0.00091529i,0.00023425-5.5698e-05i,0.00060365+0.00022561i,-0.00069885+0.00041531i,-0.00022383-0.00013318i,0.00012029-0.00065242i,-0.00053505+9.0043e-05i,-0.00024023+0.00082223i,-0.00014572+0.00071263i,-0.0004159+0.00022546i,-5.0122e-06-0.00019903i,3.5739e-05-0.00054784i,-8.9918e-05-0.00024647i,0.00021357+0.00019885i,0.00014637+0.00031861i,-6.3611e-05+0.00020254i
-0.0014695+0.00105i,-0.00065834+0.0017608i,8.8616e-05+0.0024395i,0.00074811+0.0020066i,0.0008366+0.0011755i,0.00041023+0.00049605i,3.3421e-05-0.00029096i,0.00013345-2.5584e-05i,0.00064043+0.00057532i,0.00055014+0.0002169i,7.6569e-07-0.00018637i,0.00013161-0.00036457i,0.001076+0.00023546i,0.001297+0.0011038i,0.00029095+0.00053329i,-8.8876e-06+0.00029804i,0.00062674+0.00020922i,0.00069356-7.048e-05i,-6.238e-05-0.00048344i,-0.00022144-0.00095499i,0.00029764-0.00056226i,0.00085631+0.00027186i,0.00052895+0.0011262i
-0.00088169-0.00263i,5.8524e-05-0.0034104i,0.00042158-0.0036406i,-0.0002895-0.0026831i,-0.0015634-0.00079245i,-0.0016337+0.00070311i,-0.00032817+0.00042563i,0.00074246-0.00064277i,0.00026713-0.0013362i,-3.3599e-05-0.0010511i,0.00030714-6.192e-05i,-0.00020964+0.0007571i,-0.00034249+0.00065853i,-0.00029916+0.0010525i,-0.00054755+0.0012157i,-0.00011357+0.00066908i,-0.00012976+0.00031545i,-0.00055867-0.00041525i,-0.00021324-0.0010641i,0.00023964-0.00021976i,1.4849e-05+0.00029364i,-0.00042568-0.00027466i,-0.0004442-0.00093832i
0.0010869-0.00036843i,0.00075571-0.00035218i,0.00089107-0.00057315i,0.00026118-0.001094i,-0.0012223-0.00052445i,-0.0019508+5.7069e-05i,-0.0018772-0.0004439i,-0.0011367-0.00039427i,-0.00039377-6.0297e-05i,-0.00071865+4.9699e-05i,-0.00087883+0.00033327i,-0.0006324+0.00029911i,-0.00013079-0.00015446i,-0.00016188-0.00054758i,-0.00030056-0.00095875i,-0.00039596-0.00040485i,-0.00014918+0.00064511i,0.0010599+0.0014244i,0.00037161+0.0010282i,-0.00017712+8.3363e-05i,0.00029862-0.00019877i,-0.00029953-0.00012053i,-0.0001899+0.00019832i
0.00091611-0.00010615i,0.0012435-0.00044095i,0.0012057+0.00060411i,0.00020056+0.0013055i,-0.00033554+0.00033265i,-0.00043166-6.2985e-05i,-0.00014237+0.0005306i,0.00034037+0.00029568i,-0.0003998-0.00068968i,-0.001121-0.00093527i,-0.00026353-0.00018873i,-0.00014952+0.00041942i,-0.00081507+0.00097i,-0.00048113+0.00037323i,0.00041148-0.00044822i,0.00055961+7.7478e-05i,0.00027772-0.00011471i,0.00022606-0.001151i,-1.8999e-05-0.00055325i,-0.00080035+0.00043334i,-0.00092241+0.00068542i,-7.5233e-05+0.00053229i,0.00021828+0.00012712i
-0.00085871+0.00098383i,-0.00074984+0.00080433i,1.2288e-05-0.00037701i,-4.4322e-05-0.00036693i,-0.00042289-0.00027395i,0.00019198+0.00035186i,0.00022572+0.00064157i,0.00059696-0.00040102i,0.00093038-0.00039444i,0.00015432+2.9628e-05i,8.4747e-05+6.7173e-05i,0.00059454+1.0484e-05i,0.00016472+0.00043176i,-0.00085445+0.00070429i,0.00013212+0.00060554i,0.0014586+0.000348i,0.0011747-0.00013519i,0.00050817-0.00029477i,0.0004383-0.00039324i,0.0010375+0.00020202i,0.00074094+0.0011906i,-0.00054228+0.00072833i,-0.0011116+2.282e-05i
0.00023717+0.0022214i,-0.00029557+0.0017751i,-0.00026978+0.00058177i,-6.8934e-05+0.00056107i,-9.7054e-05+0.0007736i,-0.00033827+0.00046422i,-0.00087922+0.00085458i,-0.00082633+9.2034e-05i,-0.00046624-0.0013419i,-0.00017406-0.00062764i,-0.00055237-6.0909e-05i,-0.00081579-0.00016141i,-0.0004651+0.00014372i,-0.00044312-6.7091e-05i,-0.0001423-0.00041848i,3.7728e-05+5.5429e-05i,-3.1307e-05+9.5851e-05i,7.0263e-06-9.8241e-05i,0.00031532+0.00013233i,0.00024091-4.8408e-05i,0.00010098-0.00041073i,0.00015592-2.0812e-05i,0.00022464+0.00047587i
