-0.0042235-0.0021807i,-0.0037946-0.0022015i,-0.0024921+0.00048382i,-0.0018515+0.0021704i,-0.0012897+0.0018381i,-0.00014654+0.0013958i,-0.00026655+0.0014753i,0.00027095+0.0016606i,0.0016141+0.0013444i,0.0020471+4.8776e-05i,0.0017942-0.00086186i,0.00078883-0.0010884i,0.00023697-0.0013812i,-0.0002695-0.0014343i,-0.00091586-0.0010605i,-0.00096755-0.00038844i,-0.0007393+0.00080763i,-0.00065527+0.00065894i,-0.00027253-0.00013542i,0.0004312+0.00034213i,0.00065516+0.00094232i,0.00072704+0.00041412i,0.0004698-4.8017e-05i
0.0027644+0.0016339i,0.0029745+0.0015236i,0.0032124+0.00091871i,0.0028131+0.00031071i,0.0020259-0.00048103i,0.00055206-0.0011345i,-0.00034491-0.0012773i,0.00042102-0.00076394i,0.0013917-0.00087622i,0.00081092-0.0016451i,-0.00010336-0.0012887i,-0.00056444-0.00052376i,-0.00098533-0.00011149i,-0.00078315+0.00066246i,-0.00059911+0.0011458i,-0.00032574+0.00045667i,-0.00011306-0.00075692i,0.00045256-0.00034733i,0.00068138+0.00075495i,-8.9608e-05+0.00049497i,-0.00065823-0.00023577i,1.1836e-05+0.00017617i,9.9733e-05+0.00087873i
-0.0027906+0.00040444i,-0.0034703+0.0012833i,-0.0035182+0.0017937i,-0.0019387+0.0014184i,-0.00027187+0.00075115i,0.0004104+0.00041276i,0.00033448+0.00042482i,-0.0001224-0.00029656i,-0.00050147-0.00022095i,-0.00082396+7.2381e-05i,-0.00070622+0.00012268i,-0.00035651+9.7579e-05i,0.00023324-0.00058171i,0.00035544-0.0011582i,0.0011361-0.0017019i,0.0017527-0.0012848i,0.00080202-0.00070653i,-0.00017634-0.00083889i,0.00012499-0.00028913i,0.00051139-7.0464e-05i,0.00012053-0.00037939i,-0.00037479-0.00034781i,0.00012898-0.00035168i
-0.00044129-0.00044511i,0.00060952-0.0010351i,0.00022201-0.0010694i,0.00031563-0.00060196i,0.0013167-0.00057304i,0.0012224-0.00024164i,-6.8479e-05+1.9072e-05i,0.00035636+9.8163e-05i,0.0013161-0.00039179i,0.00079119-0.00035581i,0.00030245-5.971e-05i,7.6242e-05+0.00026162i,-0.00029946+3.5073e-06i,-0.00029501-0.00085656i,0.00016777-0.00086332i,0.00075771-0.00031287i,0.00024687-0.00019136i,0.00017297-0.00032363i,0.00065491-0.00017731i,0.0010567+0.00036524i,0.0010579+0.00022038i,-0.0001311+0.00018452i,-0.00067103-5.7881e-05i
0.00087871+0.0026476i,0.0025749+0.0023079i,0.0044434+0.0022497i,0.0037933+0.0018561i,0.0026141+0.00047301i,0.0020455-0.00039812i,0.00094552+4.0622e-05i,0.00036062+0.00041548i,0.00035916+0.00010824i,-0.00050573-0.00010404i,-0.0010331-0.00039599i,-0.0010469-0.00031593i,-0.0012165-0.00020685i,-0.00057939-0.00060464i,-0.00072516-0.00063448i,-0.0015158-0.00075218i,-0.00057301-0.00076128i,7.3316e-05-0.00025479i,-0.00025244-0.0001519i,-0.00035587+4.2229e-05i,-0.00079698+0.00053773i,-0.00087238+0.00036571i,-0.00057038+0.00011376i
0.00040103-0.0013843i,-0.00052878-0.00057438i,-0.00061285-0.0011031i,-0.00023536-0.0013086i,-0.00038637-0.00095836i,-0.00072163-0.00048456i,-0.00082126+0.00049635i,-6.266e-05+0.0012443i,0.00038512+0.00070886i,-0.00013412-0.0008885i,-0.00081361-0.0014248i,-0.00098425-0.0011242i,-0.00046887-0.00036534i,0.00075857+0.0010374i,0.00067377+0.0020354i,-0.00023197+0.0010901i,-0.00032196-0.00012056i,0.0005893-0.00054045i,0.00062299-0.00038265i,-0.00010251-0.00063342i,1.9578e-05-0.00072997i,-6.0804e-05-0.00075634i,-0.00043031-0.00087629i
0.00033269+0.0025705i,4.4864e-05+0.0010574i,-0.00065069+0.00018937i,0.00013926-0.00018789i,0.0012729-0.00073263i,0.0013222-0.00098454i,0.00081529-0.00079761i,-6.7491e-05-0.00030521i,-0.00025193-0.00051404i,0.00047923-0.0011666i,0.00017028-0.0010212i,-0.0003124-0.00085054i,-0.00072644-0.00023726i,-0.00099151+0.00041529i,-0.00099426+0.00047972i,-0.00037685+0.00011565i,0.00042745-0.00061746i,0.00054959-0.00088928i,0.00028795-0.0003627i,0.00027817+0.00016629i,0.00031723+0.0004326i,0.000287+0.00057523i,-0.000234+0.0007251i
0.0015037+0.00075103i,0.0018192+0.00052071i,0.002084-0.00014295i,0.0023775-0.000805i,0.0026552-0.0012032i,0.0016945-0.001715i,0.00077982-0.0018028i,0.00090025-0.00063436i,0.00069772-0.0004519i,0.00015284-0.00089372i,-0.00062472-0.00070935i,-0.00032674+0.00010107i,0.0010379+0.00071832i,0.0014577+0.00019755i,0.00036804+0.00014436i,-0.00012924+0.00039083i,0.00048924+0.00050509i,0.00042924+0.0011439i,0.00026961+0.00074816i,8.4384e-05+8.8622e-05i,-0.00071283+0.00024788i,-0.00096601+0.00050685i,-0.00087068+0.00041491i
0.00017866-0.00072232i,-0.00045064+4.0099e-05i,-0.00078555-0.00022905i,-0.00065199-0.00042399i,-0.00015024-0.00024672i,9.0287e-05-0.00016782i,0.00020104+0.00018541i,0.0010532+0.00082804i,0.00072327+0.0008279i,-0.00042927-0.00068117i,-0.00068216-0.0010305i,-8.7693e-05+0.00034354i,0.00041192+0.00071927i,-0.00011864+0.00030164i,-0.00033325-0.00048335i,6.3434e-05-0.0006626i,9.7671e-05-6.2528e-05i,-0.00012009+3.8634e-05i,0.00019996-0.0005169i,5.8773e-05-0.00081206i,-0.00040489-0.00014022i,0.0004913+0.00032681i,0.00073579+3.0493e-05i
0.0020081+0.00040011i,0.0011558-0.00012088i,0.00074197+8.1467e-05i,0.0014128-0.00045676i,0.0012663-0.00023267i,0.00011505+4.4871e-05i,0.00010712-0.00015566i,0.00035365-0.00041081i,-0.00019101-0.0011871i,-0.00039387-0.0011321i,-0.00052482-0.00091712i,-0.0009178-0.0004092i,-0.00052052-7.7577e-05i,-0.00034087-0.00057598i,-0.00065917-0.00027532i,-0.00065679+0.00062568i,-0.00076213+0.0005172i,-0.0004176+9.559e-05i,-0.00019877-0.00013506i,-0.0001884-0.00075871i,0.00037828-0.00093363i,0.00013586+0.00020108i,-0.00042319+0.00028655i
0.00060608-0.001384i,0.00029991-0.0021626i,0.00078182-0.001751i,0.00079635-0.0012471i,-0.00018972-0.0015271i,-0.00068737-0.00078467i,-0.00040332-2.5851e-05i,0.00045827+4.3005e-05i,0.00097772-0.0001099i,-2.3414e-05+9.4604e-06i,-0.00080816+0.00010429i,-0.00079675+6.3469e-05i,-0.00040034-0.00011715i,-0.00021516-0.00010863i,0.00010135-0.00017409i,-0.00010559+0.00012591i,-0.00041648+0.00041321i,0.00014629-0.00027995i,-3.3824e-05-0.00058197i,-0.00024516-6.0966e-05i,0.00010043+3.1963e-05i,0.00069581-0.00026868i,0.00088957-0.00028059i
