-0.0042235-0.0021807i,-0.0037946-0.0022015i,-0.0024921+0.00048382i,-0.0018515+0.0021704i,-0.0012897+0.0018381i,-0.00014654+0.0013958i,-0.00026655+0.0014753i,0.00027095+0.0016606i,0.0016141+0.0013444i,0.0020471+4.8776e-05i,0.0017942-0.00086186i,0.00078883-0.0010884i,0.00023697-0.0013812i,-0.0002695-0.0014343i,-0.00091586-0.0010605i,-0.00096755-0.00038844i,-0.0007393+0.00080763i,-0.00065527+0.00065894i,-0.00027253-0.00013542i,0.0004312+0.00034213i,0.00065516+0.00094232i,0.00072704+0.00041412i,0.0004698-4.8017e-05i
-0.001814+0.0022279i,-0.0027104+0.002441i,-0.0014676+0.004319i,0.0012739+0.0035637i,0.0021795+0.00041939i,0.0017085-0.0016419i,0.00076076-0.00089593i,0.00013698-0.00031254i,0.0002253-0.00075412i,0.00013964-0.00076782i,-0.00058265-0.00096131i,-0.00010824-0.00066481i,0.00015496-0.00070139i,-0.00028631-0.00095586i,-0.00027124-0.00015173i,-0.00034734+0.00073209i,-0.00047998+0.0005668i,-0.00080758+0.00015101i,-0.00088526+4.4225e-05i,-0.00073139-0.0003139i,-0.00055864-0.00021198i,-0.00043044+0.00043499i,0.00020752+0.00076766i
0.001497+0.0016018i,0.0015632+0.0012204i,0.0022124+0.00023777i,0.0031539-0.0013625i,0.0034308-0.0026863i,0.0016075-0.0024205i,1.1303e-05-0.001607i,0.00022518-0.00069068i,0.00044687-0.00046497i,0.00048787-0.0015152i,-0.00030896-0.002051i,-0.00039824-0.0014711i,0.00040282-0.0007356i,0.00017306+0.00013285i,-9.5877e-05+0.00059155i,-1.7052e-06+0.00033316i,0.00023581+0.00019396i,0.00089346-0.00049564i,0.0004951-0.001375i,6.6321e-05-0.0004669i,0.00028837+0.00054563i,0.00063862+3.584e-05i,0.00027793-0.00050859i
0.00093685+0.00025567i,0.00054134+5.195e-06i,0.0012268-0.00020704i,0.0017736+0.00015947i,0.0014107+0.00042453i,0.00062986-0.00017285i,0.00034746-0.00047668i,9.5896e-05-0.00025421i,0.0010197-4.5564e-06i,0.0017684-7.1647e-05i,0.00065593-0.00014507i,-0.0011235+0.00019903i,-0.0014649+0.00027613i,-0.00063986+0.00039133i,0.00036434+0.00031358i,0.00091207+0.00049629i,-5.5708e-05+8.6389e-05i,-0.00037992-0.00024393i,2.1921e-05+0.00010558i,-0.00023538+1.664e-05i,-0.00010126-0.00010805i,-7.4642e-05+0.00056011i,-0.00034092+0.0014151i
0.0015767+0.0013854i,0.0026266+0.00012177i,0.0035272-0.00058588i,0.002868-0.0011655i,0.0024879-0.0017912i,0.0013061-0.0015951i,2.9809e-06-0.00080659i,-0.00027742-0.00010034i,-0.00023689-0.00064402i,-0.00019234-0.0012573i,-0.00039908-0.0008013i,-0.00069131-0.00091807i,-0.00098498-0.00057958i,-0.00088797-7.597e-05i,0.000124+0.00022981i,2.1862e-05+0.00046321i,7.5154e-05-0.00010289i,0.00057747-0.00034596i,-0.00013098-0.00041313i,-0.00071769-0.00015456i,-0.00041535-0.00029777i,0.00026414-0.00021066i,0.00017431+0.00046419i
-0.0020711+0.001051i,-0.0020731+0.002691i,-0.00075637+0.0039594i,0.0016433+0.003759i,0.0021955+0.0017564i,0.00094245+0.00027911i,-0.00033031+0.00082287i,-5.4294e-05+0.00080577i,0.0005595-0.00025702i,0.00015583-0.00061105i,-0.00040954-0.00042026i,-2.9343e-05-0.00041398i,-4.3799e-05-0.00041811i,9.6341e-05-0.00024369i,0.00013824-0.0001221i,0.00026616-0.00044967i,0.00051672-0.00013652i,0.00026333-0.00058117i,-0.00023546-0.0012142i,-0.00028546-0.00049916i,-0.00039107+4.8878e-05i,-0.00096168+0.00044962i,-0.00080524+0.00067547i
-0.0001482-0.0019453i,0.00018863-0.0025325i,-0.00071437-0.00294i,-0.0011129-0.0021055i,-0.00014928-0.0017613i,0.00063789-0.0010348i,0.00070488-0.00025039i,0.00033803-0.00074419i,0.00019395-0.00065252i,-0.00030048-0.00011539i,-0.00030486+0.00021156i,-7.705e-05-5.1211e-05i,-0.00013004-0.0002344i,6.7873e-05+0.00046411i,-0.0001782+0.00018605i,-0.0002794-0.00054498i,1.9741e-05-0.00064479i,-0.00032516-0.00065413i,-0.00021552-0.0001444i,-4.4476e-05-6.354e-05i,-0.00082845-0.00073204i,-0.0010775-0.0010266i,-0.00082469-0.00031563i
0.00054842+0.00052247i,0.001139+0.00050436i,0.0019872-0.00072141i,0.0020905-0.00023761i,0.0022418+0.00023099i,0.0018911-0.00018089i,0.0010421-0.00019167i,0.0009509+0.00054721i,0.00090929+0.00029828i,0.00066881-0.00050963i,-0.00028534-0.00042928i,-0.00071848-0.00013956i,-0.00072451+0.00027873i,-0.0005471+0.00049364i,0.0001334-0.00014417i,0.00044074-0.00036705i,-5.0692e-05-0.00041108i,-0.00031636-0.00069069i,9.7133e-05-0.00035001i,0.00038018+0.00044102i,-0.0002014+0.00094823i,-0.00037175+0.00095831i,-0.00026563+0.00053034i
-0.0025699-0.00098485i,-0.0021644-0.00095077i,-0.0020436+0.00036285i,-0.0016658+0.001677i,-0.00041636+0.00084554i,0.0011984-0.00021174i,0.0016514-0.00050675i,0.0011695-0.00060966i,0.00025944-0.00015104i,-0.00016776-0.00043905i,-0.00021898+1.7858e-05i,-0.00020083+0.00011565i,-2.75e-05-0.00071463i,-1.2109e-05-0.00053972i,-0.00028268-0.00028291i,-0.00015078-0.00042559i,0.00017953-0.00021707i,0.00027352-0.0001072i,0.00026272+0.00019634i,-0.00051305+0.00049135i,-0.00074351+5.7304e-05i,7.8509e-06-0.00058868i,0.00042878-0.0007013i
0.00024568+5.4727e-05i,0.00032128+0.00031821i,0.00019918-0.00035823i,0.00022303-0.00064332i,0.00097635-0.00062108i,0.00067423-0.00015586i,0.00027069+0.00026382i,0.00050286+0.0001928i,0.00063248+0.0001814i,0.00055938-0.00050218i,0.00056954-0.0012478i,0.00053184-0.0010201i,-0.00041315-0.0011636i,-0.00046504-0.00098726i,0.00061387-0.00045686i,0.00046757-0.00014534i,-0.00063389-0.00058753i,-0.00032805-0.0010005i,7.9175e-05-0.00056653i,8.7701e-05-0.0007628i,-7.2278e-05-0.00080046i,-0.00083231+8.029e-05i,-0.0010472+0.00021928i
-0.0031571+0.0020319i,-0.0023959+0.0026943i,-0.00093924+0.0023195i,0.0008894+0.0015972i,0.0017297+0.00047415i,0.0018729-0.00058356i,0.00085976-0.00033263i,2.9014e-05+0.00040377i,0.00027626+0.00027092i,0.00033585-0.00087716i,-0.00062494-0.00066116i,-0.0010263+0.00028153i,-0.00037299+0.00025807i,-0.00021804+2.1565e-05i,-6.8246e-06-8.1666e-05i,-0.00013931+0.00018246i,-0.00046254+0.00074783i,0.00056756+0.00058714i,0.0011426+0.00029533i,0.00053735+0.00025541i,-9.2876e-05+0.00016842i,-0.0002814+7.4028e-05i,-0.00034833+0.00060366i
-0.0016523-0.0011258i,-0.0013284-0.0012079i,-0.0010465-0.0012409i,0.001098-0.0011193i,0.0028059+0.00035218i,0.0018129+0.00067586i,0.00079183+0.00040255i,0.00021475+0.00069448i,8.7492e-05+0.00087959i,-0.00042387+0.00027003i,-0.00050696-0.00073133i,5.9724e-05-0.00092406i,0.00027503-0.00066995i,0.00033185-0.00095094i,0.00022297-0.00049726i,0.00023834+0.00038464i,0.00037419+0.00030964i,0.00064648+8.7025e-05i,0.00080833+0.00066611i,0.00031488+0.0004732i,-0.0002169-0.00060065i,-0.00026106-0.0010322i,-0.00035627-0.00042564i
0.0015145+0.0022933i,0.0022708+0.0028739i,0.0029498+0.0027055i,0.0026946+0.00056004i,0.0016004-0.0013686i,0.0010709-0.00089867i,0.00012181-0.00041383i,-5.645e-05-0.00047746i,0.00038125-0.00026484i,-0.00019411-0.00081092i,-0.0012235-0.00048229i,-0.0015661+0.00076758i,-0.0013425+0.0011174i,-0.00071821+0.0010505i,-0.00070134+0.00088575i,-0.00032313-0.00039143i,-0.00030818-0.00078195i,-0.00023227-0.00046472i,0.00038237-0.00026824i,0.0002391+0.0001395i,0.00020522-0.00023405i,0.00056921-0.00024071i,0.00095874-0.00021929i
-0.00031399+0.0008639i,-0.0013181-0.00046142i,-0.00063506-0.0015601i,0.00071908-0.0013895i,0.0011892-0.001193i,0.0011226-0.0013986i,0.0010579-0.0015553i,0.0010852-0.00092619i,0.0007545-0.00097521i,0.00031979-0.001532i,-0.00024767-0.00039523i,-0.0010619+0.0003867i,-0.00086844+0.00011536i,6.3982e-05+9.2721e-05i,0.00012159+6.9321e-05i,0.00031334-0.00055016i,0.00014585-0.0013975i,-0.00044056-0.00071944i,-0.00035384+0.00032333i,-0.00034583-1.1724e-05i,-0.00025169-0.00038678i,0.00051382+0.0002803i,0.00095349+0.0007911i
0.0027065+0.00015325i,0.00331-0.00048538i,0.0041494-0.00073669i,0.0041905-0.0005656i,0.003283+9.2245e-05i,0.0019606-0.00028179i,0.00046038-0.0010735i,0.00050933-0.00028441i,0.0018446+0.00040097i,0.0013948-0.00032609i,0.00034444-0.00089662i,0.00036106-0.00055621i,-8.4251e-05+0.00022682i,-0.00082628+0.00030404i,-0.00060979-0.00049088i,-0.00011306-6.1609e-05i,0.00022768-9.667e-05i,0.00021472-0.00036547i,0.00028739-0.00014562i,8.6426e-05-0.00035232i,-0.00050835+5.8843e-05i,2.5933e-05+0.000989i,0.00033405+0.00093573i
0.00059437+0.0024489i,-0.00039117+0.0023021i,0.00060204+0.001195i,0.0014485+0.00027234i,0.00099532-0.00077591i,-7.8139e-05-0.00163i,-0.00018523-0.0012146i,0.00010428-0.00045836i,0.00049161-0.0002643i,0.00049318-0.00054878i,-0.00046084-0.00051444i,-0.00094243-0.00069232i,-0.00092336-0.00068727i,-0.0011737-0.00025987i,-0.0010599+5.3872e-05i,-0.00091936-0.00016157i,-0.00080214-0.00028165i,-0.00030558-0.00048772i,1.9221e-05-0.00039648i,-0.00024973-0.00030523i,-0.00024117-0.00020148i,0.000458+0.00012718i,0.00052927+0.00021378i
0.0012012-0.00030065i,0.001515-0.0015064i,0.001842-0.0022308i,0.002358-0.0018528i,0.0023856-0.0015832i,0.0013284-0.0012953i,0.00041148-0.00050267i,-3.7036e-05-0.00043082i,0.00053389-0.0010537i,0.0011428-0.00099673i,0.00016915-0.00080074i,0.00031131-0.00090778i,0.00092793+8.343e-06i,0.00062632+0.00053537i,0.00034894+0.00022775i,5.5358e-05-0.00052918i,0.00021319-0.00055476i,0.00092198-0.00059397i,0.0011518-0.0014562i,0.00068914-0.0015459i,0.0003949-0.0013374i,0.00012995-0.00077199i,0.00011227-4.7063e-05i
0.00081257-0.00018886i,0.00071461+0.0003878i,-1.0181e-05+0.00028446i,-0.00048449-0.00053319i,-0.00040467-0.0010107i,0.00027176-0.00057757i,0.00034955+0.00016581i,5.1843e-05+8.2952e-05i,0.00045485-0.00034654i,0.00027378-0.00097306i,-0.00074782-0.00072366i,-0.00097508-0.00033673i,-0.00034716-0.00056656i,-0.00033445-0.00066498i,-0.00020024-0.00024801i,0.00030741-4.7387e-06i,0.00032274-0.00025402i,0.00012757-0.00011742i,-0.00042204-8.8395e-05i,-0.0011743-0.00011373i,-0.00083571-0.00026793i,-0.00042134-0.00035813i,2.0631e-05-0.00080272i
0.0015678+0.0031778i,0.0025418+0.0020189i,0.0036932+0.0018263i,0.0038348+0.00032633i,0.0037488-0.00194i,0.0029655-0.002066i,0.00083868-0.00077746i,-0.00076268-0.00040724i,-0.00075988-0.00052318i,-0.00070501-0.00045359i,-0.001398-0.00029152i,-0.0014171-0.00051514i,-0.001107-5.8799e-05i,-0.00054866+0.00038378i,0.00040986+0.00070788i,0.0011016+0.00023758i,0.00072419-0.00038597i,1.6412e-05-0.00042671i,-2.2183e-06-9.6475e-05i,0.00031659+0.00027849i,0.00021644+0.00041417i,0.00050025+0.00036157i,0.001231+0.00057619i
0.0014834-0.0013164i,0.0012889+9.4239e-05i,0.00023857+0.00072658i,0.00019314+0.00032569i,-0.00020192-0.00079987i,-0.0005126-0.00092871i,-0.00060956+0.00012436i,-0.00019888+0.00043215i,0.0002692-1.6638e-05i,8.4041e-05-0.00022569i,-0.00038646-0.00024962i,-0.00045075-3.3272e-05i,-0.00050872+0.00037149i,-0.00097708+0.00011155i,-0.00089465-0.00039854i,-0.00071152-0.00044987i,-0.0010983-0.0012779i,-0.0010416-0.0011246i,-0.00037252-0.00028006i,9.4182e-05-2.0777e-05i,0.0004029+0.00038612i,0.00032334+0.00048245i,-0.00010934+0.00013594i
0.0009157+0.0013873i,-0.00029916+0.0015885i,5.4661e-05+0.00052639i,0.0012498+0.00036769i,0.0019399-0.00013775i,0.00089872-0.0012322i,-0.00022203-0.0012405i,6.735e-06-0.00067426i,0.00032856-0.00036521i,0.00014545-0.0012631i,0.00045983-0.0011262i,0.00024747+0.00036356i,-0.00076366+0.0011191i,-0.0012512+0.0013742i,-0.00070113+0.00087386i,6.9797e-05-0.00039686i,0.00044818-0.00094788i,0.00029817-0.00064966i,0.00019245+4.5172e-05i,3.9363e-05+0.00074876i,-0.00020089+0.00053781i,-0.00032904+0.00011015i,0.00019504+8.039e-05i
0.0012956-0.00078761i,0.0016391-0.00029602i,0.0019161+0.00071939i,0.0011868+0.0003206i,0.00059118-0.00092176i,0.00033788-0.00094069i,0.00049066-2.1432e-06i,0.00025207+0.00085332i,-0.0002651+0.00096236i,-0.00034117+0.0002649i,-4.5731e-05-0.00019491i,-0.00028888-0.00068048i,-0.00031751-0.00047259i,0.00058304+2.1227e-05i,0.0014401-0.00033474i,0.0011113-0.00035004i,-0.00020323-0.00033365i,-0.0012898-0.00062647i,-0.00087083-7.8764e-05i,-0.00025976+0.00025873i,-0.00020224-1.5225e-05i,-0.00018126-0.00038238i,-0.00051584-0.00051427i
-0.0024506+0.00025811i,-0.0024955+0.00053495i,-0.0025437+0.0018357i,-0.00053246+0.002916i,0.0018089+0.0018653i,0.0023055+0.00042682i,0.00094822-6.4195e-05i,1.2673e-05+0.0003663i,0.00062023+0.0010165i,0.00080422+0.00084121i,-0.00013998+0.00030124i,-8.9949e-05-0.00014678i,0.00010184+4.7198e-05i,0.00023229-0.0007982i,0.00021657-0.00050975i,-0.00012795+0.00030341i,0.00024704-0.00063306i,7.7794e-05-0.00077513i,-0.00087616-0.00033036i,-0.0010436-0.00047236i,-0.00045404-0.00017189i,-0.00011759+0.00040233i,0.00038666+0.0001363i
0.0014716-0.0014448i,0.00073666-0.0022948i,-0.00025766-0.0025552i,-0.00070003-0.0019397i,-0.00074221-0.0012533i,-0.00098791-0.00035197i,-0.00047625+0.00071945i,5.6921e-06+0.0008835i,0.00033145-0.00020598i,-0.00019981-0.00093529i,-0.00066812-0.00087654i,-0.00077265-0.00025495i,-0.00029016-2.7228e-05i,0.00059289-0.00059121i,0.00033042-0.00051124i,2.9836e-05-0.00028584i,0.00036177+8.2862e-05i,0.00041813+0.00075535i,0.00012257+0.00055447i,-0.00015196-0.00015014i,-0.00037006-0.00057141i,0.00028322+0.0001979i,0.00084318+0.00046344i
0.002511+0.00074128i,0.0024569+0.00084234i,0.0025602+0.00050734i,0.0023614-0.00025403i,0.0018585-0.00035082i,0.0011467-0.00041256i,0.00092071-0.00014123i,0.00084288+0.0003366i,0.00083476-0.00027956i,0.00051196-0.0016298i,-0.00037151-0.001712i,-0.0012534-0.00061095i,-0.0014212-0.00065335i,-0.00078665-0.00087749i,-0.0011787-0.00029125i,-0.001003+6.3273e-05i,-0.00069239+0.00018813i,-0.00018582+0.0004032i,0.00046222+0.00023316i,0.00031994+7.8595e-05i,0.00047156+0.00037916i,0.00012303+0.00030094i,6.4784e-05-0.00028657i
0.00011948+0.002071i,0.00012926+0.0017217i,-0.00033139+0.0012959i,0.0006224+3.4311e-05i,0.001786-0.00084076i,0.0011395-0.00028447i,0.00017439+0.000223i,-0.0001231-2.584e-05i,0.00018841-0.00039346i,0.00055462-0.00037049i,0.00018312-0.0006261i,-0.00028534-0.00092359i,-0.00035455+2.8226e-06i,-0.00072971+0.00053666i,-0.0014103-0.00017166i,-0.0009319-0.001041i,-0.00034238-0.0010116i,-0.00014416-0.00021254i,-0.00083494+0.00010456i,-0.0012985+0.0001426i,-0.00051684+0.0003343i,-0.00021998+0.00039122i,-0.00068296-0.00010053i
7.2482e-05-0.00023074i,0.00010487-7.7234e-05i,0.00077913+3.903e-05i,0.00056886-0.0002552i,0.00047472-0.00039929i,0.00038298-0.0002096i,0.00051595-8.0881e-06i,0.00030599+0.00059271i,-0.00015098+0.00065838i,-0.00018719-0.00038582i,-0.00029249-0.00062926i,-0.00047149-0.00030249i,-0.00033991-0.0001411i,4.061e-06+0.00016272i,-7.7682e-05-6.5922e-05i,-0.00020243-0.00011341i,0.00028194+0.0002871i,0.00052576-0.00020201i,0.00057949-0.00096583i,0.00039678-0.00046777i,7.3178e-06+0.00019572i,2.8223e-05-0.00035477i,7.3475e-05-0.00047462i
0.001917-3.8373e-05i,0.00041285-0.00038127i,0.00041099-0.00037515i,0.0016999+0.00068432i,0.0016364+0.0005317i,0.00053903-0.00030058i,-0.00067634-0.00091234i,-0.00084253-0.0010252i,-0.0011017-0.00048463i,-0.001068-0.00018119i,-0.00026809-0.00099327i,-0.00063095-0.00089593i,-0.0013581-0.00020197i,-0.00075634-0.00020111i,-0.0001895-0.00021665i,0.00046697-0.00054856i,0.00070277-0.00091354i,3.269e-05-0.00010774i,-0.00029431+0.0010613i,-0.00045583+0.00075746i,-0.00040044-0.00036425i,-0.00027334-1.1337e-05i,6.9797e-05+0.00089341i
0.00081838+0.0014923i,0.0014792+0.00022118i,0.002894-0.00041815i,0.0033763-0.00088008i,0.0026555-0.00079203i,0.0017649-0.00054804i,0.0011236-0.00037774i,0.0007013-0.00049146i,-4.4599e-05-0.00047531i,-0.00027596+1.668e-05i,-0.00034858-0.00035354i,-0.00083681-0.00020918i,-0.00063384+0.00067661i,-0.00037956+0.00077932i,-0.00046643+0.00037334i,-0.00034256-0.00033702i,-0.00067051+7.7717e-05i,-0.00029599+0.00082426i,0.00022316+0.00061768i,1.036e-05+0.00013095i,0.00046582+9.5624e-05i,0.00053164+0.0002209i,0.00021458+0.00048867i
0.00063169+0.0015854i,0.00045113+0.0014537i,0.0014766+0.0011993i,0.0022341-0.00023574i,0.0017459-0.0020606i,0.00061941-0.0014388i,-0.00054809-0.00027665i,-0.00028805+0.00044119i,0.00050366+0.00032449i,0.0003833-0.00076499i,-8.2719e-05-0.0006319i,-0.00092264+3.5107e-05i,-0.0013232+0.00038482i,-0.00081831+0.00071974i,-0.00064004+0.00035268i,-0.00088872+0.00031096i,-0.00058238+0.00044687i,0.0002494+0.00033453i,0.00073735-1.5462e-05i,0.00043091-0.00094566i,0.00010197-0.00033192i,-0.00042622+0.0002248i,-0.00029762+0.00021791i
0.00036941+0.0024925i,0.00060521+0.0017836i,0.0019073+0.0012004i,0.0027571+0.00045666i,0.0024331-0.00048208i,0.001733-0.0017433i,0.0014306-0.0018657i,0.0016955-0.00067906i,0.0016878-2.5063e-06i,0.0010268-0.00059391i,0.00022223-0.00074353i,-0.00097961-0.00043564i,-0.0016557-0.00071192i,-0.0006056-0.0008542i,-6.5933e-05-0.00032504i,0.00040764-0.00020513i,0.00060501-0.00016814i,0.00017149+0.0001937i,0.00022852+0.00061875i,0.00033379+0.00011042i,-2.0781e-05-0.00015695i,-0.0006645+0.00049219i,-0.00028649+0.00089871i
0.00041961+7.96e-05i,0.00042395+0.00035794i,0.00044854-0.00065784i,0.0004613-0.00073546i,0.00045436+3.9584e-05i,0.00033147+0.00086569i,0.00071733+0.00033082i,0.00079132-2.3519e-05i,0.00077027+0.00017076i,0.00086196-8.111e-06i,0.0002804-0.00016078i,0.00015234-3.4501e-05i,0.00024043-0.0001413i,4.3698e-05+0.00027688i,4.3923e-05+0.00038112i,0.00045662-0.00025396i,0.00018484-0.00028097i,-0.00022515-0.00052087i,0.00011124-0.00068868i,0.00034571-0.00049571i,-0.00095364-0.00081526i,-0.0018832-0.0011129i,-0.0013142+1.1718e-05i
0.00090012+0.0012892i,0.00031262+0.0011679i,0.00051991+0.0009305i,0.00079232-2.8167e-05i,0.0010895-0.00063768i,0.00045889-0.00082353i,-0.00026441-2.164e-05i,-0.00013537+0.00060809i,-0.00030054+0.00013965i,0.00017252+2.5736e-05i,0.0002373-0.00035063i,0.00022745-0.00013396i,0.00021332+0.00019739i,0.00022306-0.00010853i,0.00023627-0.00011326i,-8.2985e-05-0.0001264i,-8.4557e-05-0.00054383i,9.4685e-05-0.00057734i,8.1792e-05+0.00036784i,-4.8295e-05+7.4318e-05i,0.00035271-4.5115e-06i,0.00053105+0.0012146i,0.00050434+0.0011623i
0.0015222-0.0004518i,0.0026617-0.0015672i,0.0021168-0.0030327i,0.0018275-0.0016719i,0.0021021-0.00064569i,0.001178-0.00055132i,0.00050147-0.00047821i,0.00062575-0.00079242i,0.00053931-0.00095829i,0.00020738-0.00068047i,-0.00032391-0.00054762i,-0.00014962-0.00033651i,0.00028926-0.0004216i,0.00018695-0.00016109i,7.427e-05+0.00065344i,-0.00020286+0.00042856i,-0.0004262-0.00078856i,-0.00036899-0.00071753i,-0.00026947+0.00028237i,-0.00022177+0.0011698i,-0.00045453+0.0010614i,-0.00041384-0.00015112i,-0.00063408-0.00060263i
0.0007373+0.00034308i,0.00027437+0.00060994i,7.2334e-05+0.00016009i,0.0013795-0.0010681i,0.0024012-0.0016745i,0.0015654-0.0014228i,3.8246e-05-0.00071815i,-0.00017905-0.00041609i,0.00051221-0.00038108i,0.00068388+3.5602e-05i,-5.6284e-05-0.00031867i,-0.00050334-0.00091895i,-0.00025925-0.00022118i,-0.00025913+0.00030831i,-9.1754e-05-0.00040582i,-6.2197e-05-0.00068063i,0.00043578+3.0743e-05i,0.0005327+0.00070718i,-9.4182e-05+0.00060455i,-0.00032378-0.00018048i,-0.00048646-0.00031492i,-0.00057981+0.0002255i,-0.00029213+0.00035919i
0.00070196-0.00057354i,0.00080048-0.00036875i,0.0015721-0.00078536i,0.0020657-0.0009655i,0.0015608-0.0015755i,0.00035354-0.0018579i,-0.00050875-0.001106i,-0.0006908-0.0006036i,-0.00020015-0.00088844i,-6.4408e-05-0.0014008i,0.00023142-0.0012829i,0.00027021-0.00016329i,9.7914e-05+0.0014011i,0.00088514+0.0017401i,0.0012059+0.00074129i,-0.0002754-1.8869e-05i,-0.0010221-0.00023311i,0.00016771-0.0001325i,0.00062122-0.00040248i,-0.00010583-0.0005321i,-0.00045962-0.00028581i,0.00013835-2.7624e-05i,0.00036682+0.00010333i
0.0013804-0.0037502i,0.0011643-0.0034649i,0.0010213-0.0026018i,8.5979e-05-0.0023183i,-0.00085276-0.0013421i,-0.00088449-0.00023397i,-0.00089089+0.00061673i,-0.00016343+0.0010311i,0.00057712+0.00072906i,0.0003799+0.00058327i,-0.000176+0.00022156i,-0.0005385-0.00032465i,-0.0003098-0.00018736i,0.00045136-0.00031389i,0.00058248-0.00083299i,-0.00039615-0.00057114i,-0.00070473-0.00060176i,-0.00058798-0.00052835i,-0.0011401-0.00011639i,-0.0015195-0.00079035i,-0.00062301-0.00075935i,0.0006479-0.00022118i,0.0010502-0.00051845i
0.00070578+0.00056517i,-0.00028792-5.3346e-05i,-0.00090979-0.0014429i,0.00016082-0.0014252i,0.00088603-0.00085542i,0.0014814-0.00074462i,0.00070386-0.00047223i,-6.7978e-05+0.00035734i,-0.00026749+0.00028378i,-0.00027895-0.00074112i,0.00023301-0.0013112i,0.00057597-0.00098548i,-0.00011754+0.00011486i,-0.00065693+0.0010071i,7.8435e-06+0.00086743i,0.00048763+0.00067767i,-0.00011654+0.00070902i,-0.00057866+0.00033486i,-0.00018074+6.043e-05i,0.0001766+0.00052489i,0.00064098+0.00088865i,0.0008456+0.00047882i,0.00065899-0.00045034i
-0.0027388+0.00025819i,-0.0020243+0.00027368i,-0.001071+0.00076401i,-0.00057933+0.0014933i,0.00015628+0.0015833i,0.00092601+0.0017027i,0.00028114+0.0013455i,-0.00018968+0.00032664i,3.6402e-05-0.00015702i,4.9538e-05-0.00026569i,0.00047074-0.00080177i,0.0001165-0.00096141i,-0.00052764-6.005e-05i,1.6689e-05+0.0003065i,-0.00019562-0.00017904i,-0.00083777-0.00031273i,-0.00015616+0.00040373i,0.0001318+0.00059534i,-0.00019431+0.00067822i,-0.00022362+0.00045741i,-0.00038247+0.00061744i,-0.00074401+0.0014457i,-0.00086982+0.0012765i
0.00047597+0.0015716i,0.0012406+0.0011383i,0.0022939-0.00017184i,0.0026622-0.0015219i,0.0021539-0.0017592i,0.0010414-0.0010989i,0.00020006-0.00032688i,-0.00013218-0.00015258i,-0.00015501-0.00011137i,-0.00031984-0.00071847i,-0.00066636-0.0013653i,-0.00051452-0.0013443i,-7.1111e-05-0.00042387i,-0.00030829+0.00030428i,-0.00048248+0.0006i,0.00051579+0.00011682i,0.0010152-0.00017328i,0.00059693+7.8294e-05i,-5.6385e-05-0.00066518i,-0.00025298-0.00077545i,-0.00046779+0.00064527i,-0.00093209+0.0001044i,-0.00076412-0.00087598i
-0.0005265+0.0042757i,0.00069656+0.0036756i,0.0013335+0.0032169i,0.0019598+0.0021866i,0.0029512+0.0012648i,0.0024662+0.0005912i,0.0016012+0.0003229i,0.00073005+0.00046944i,0.00075287+7.0002e-05i,0.0010206-0.0012572i,0.00041653-0.0017123i,-0.00058458-0.0012581i,-0.00062555-0.00063351i,-0.00085191-0.00016304i,-0.00069415-0.00055919i,-0.00025976-0.00082167i,0.0003609-0.00049741i,0.00068749+9.0114e-07i,2.0276e-05+0.00051361i,-0.00013944+0.0010858i,9.4724e-05+0.0012001i,4.9155e-05+0.00079458i,6.1714e-05+0.0010691i
0.00075881-0.0015216i,0.0013551-0.0022647i,0.00033638-0.0020567i,-0.00031124-0.0024998i,0.00092806-0.0018534i,0.0009647+5.3053e-06i,7.2245e-05+0.00039634i,-0.00025584+0.00045118i,4.5084e-05+0.00036844i,0.00017822-4.7188e-05i,1.3982e-05-9.8648e-05i,-6.3392e-05+0.00038082i,-0.00012771+0.0003692i,0.00031332-0.00078775i,0.00056535-0.0016467i,1.0365e-05-0.0016672i,-0.00070859-0.00077875i,-0.00045346-0.00016541i,0.0006307+0.00045972i,0.0001964+0.00016798i,-0.00010487-0.00050776i,0.00012721-3.6984e-05i,8.471e-05+0.00048007i
0.00011172+4.6945e-05i,0.0004299+0.00046739i,0.00078446+0.00096149i,0.00097695+0.0010212i,0.0015776+0.00055067i,0.0016104+0.00058212i,0.00086284+0.00028802i,0.00047233-0.00011973i,0.0013247+7.0382e-05i,0.0010764-5.9478e-05i,-0.00017883-0.00022337i,-0.00040566-0.00026243i,9.869e-05-0.00017034i,0.00038009-4.5459e-05i,-7.9141e-05+0.0001768i,-0.0010206+0.00047669i,-0.00030173+0.00058666i,0.00062365+0.00059499i,-2.2594e-05+0.00077906i,-8.1836e-05+0.00085587i,-0.0001348+0.00066929i,2.8027e-05+0.00045235i,3.6492e-05-0.00019804i
-0.0013589-0.00066439i,-0.0017335-0.00058452i,-0.002399-0.00014008i,-0.0014924+0.00013902i,-2.1766e-05-0.00069986i,-0.0002659-0.00063593i,-0.00088655-0.00042385i,-0.00050554-0.00031847i,-1.3212e-05+8.9273e-05i,0.00035036-0.00014233i,-6.2534e-05-0.00073307i,-8.5236e-05-0.0010668i,0.00031141-0.00077647i,8.9977e-05-6.3449e-06i,-0.00064967+0.0002743i,-0.00077675-0.0003293i,-0.00063735-0.00044078i,-0.0002897-5.1813e-05i,0.00018378-0.00022949i,0.00051779-0.00014949i,-8.6575e-07+0.00089296i,-0.0011356+0.00079405i,-0.00092913+5.3413e-05i
