-0.0029346+0.0001169i,-0.0030842-0.0012575i,-0.0033944-0.0018076i,-0.0024261-0.001196i,-0.0011676-0.00016985i,-0.00064082+0.001227i,-0.0003916+0.0022474i,0.00063304+0.0018489i,0.0011859+0.00039073i,0.00094932-0.00066106i,0.00043004-0.00063845i,7.6313e-05-0.00054313i,0.00063751-0.0011421i,0.00049609-0.00019158i,-4.7274e-05+0.00079412i,0.00059457+0.00068063i,0.00083798+0.0010289i,0.00055877+0.00054527i,0.00063015+8.7085e-05i,2.8389e-05-3.4787e-05i,-0.00018892-4.3749e-06i,-0.00038787+0.00035128i,-0.00026785+6.7286e-06i
4.4341e-05+0.0006443i,-0.0003389+1.9741e-05i,-0.00027526-0.00069494i,0.00037858-0.0017409i,4.201e-05-0.0011851i,-0.00015044-2.358e-05i,0.00059367+0.00048446i,0.0011726+0.00082781i,0.0012335+0.00081034i,0.00077941+0.00062787i,0.00086823-2.6339e-05i,0.00060126+1.9467e-05i,-0.00044296+0.00024123i,-0.00028035+0.00013424i,-2.0498e-05-0.00033811i,-0.00039556-0.00089298i,-0.0005494-0.0007721i,-6.3712e-05-0.00021972i,0.00062637+0.0001594i,-0.00019777+0.00040066i,-0.00068296+0.00019877i,0.00028335-0.00067822i,0.0005812-0.00025967i
-0.00024172-0.0012305i,0.00014363-0.00032548i,0.00011549+0.00024258i,0.00047809-0.00052729i,0.00021944-0.0013936i,-0.00025787-0.0012211i,-8.8417e-05-0.00029012i,0.00048056-0.00046456i,0.001107-0.00033747i,0.001024+0.00037891i,0.00029119+0.00039249i,-0.00046534+0.00036386i,-0.00058147+0.00061694i,-0.00043168+0.00038185i,-0.00044978+0.00035529i,-0.00033347+0.00033673i,-0.00077923-0.00045147i,-0.00032083-0.00045874i,0.00077541+0.00038703i,0.00041161+0.00023289i,4.8915e-05-0.00038973i,-0.00015531-0.00022909i,-0.00072843-0.0003073i
5.1413e-05+0.0013812i,0.00037217+0.00046686i,0.00054781+0.00024635i,0.00065964-0.00036826i,0.00076081-0.00071711i,0.00065911-0.0010875i,0.00057786-0.00085834i,0.00021327-0.00073983i,1.9713e-06-0.00072009i,0.00017707-0.00061253i,0.0005253-0.00053957i,0.00030712-0.00019164i,-0.00035098+0.00014253i,-0.00033745-0.00032705i,-0.00043543-0.00063418i,-0.0002714-0.00015142i,-0.0003416+0.00065715i,-7.7619e-05+0.00026784i,0.00035506-0.00072068i,-0.00014842-0.00080248i,-0.00073106-0.0005748i,-3.4363e-05+0.00036908i,0.00066304+0.00085463i
-0.0014229-0.00016421i,-0.0010615-0.00059731i,-0.001145-0.00029296i,-0.00015908-0.00063092i,0.00055465-0.00071063i,0.00058496-0.00040382i,0.00075807-0.00055201i,0.0010896-0.00084777i,0.00060131-0.00089607i,-0.00016573-0.0010271i,0.00013106-0.00107i,0.00099122-0.00068066i,0.00059439+3.5926e-05i,0.00025171+2.3846e-05i,0.0010105+0.00014211i,0.0010742+1.0266e-06i,-0.00014435+1.2116e-05i,-0.00085775+0.00048482i,4.1879e-05+0.00074044i,-7.061e-05-0.00040493i,-0.00028352-0.0011048i,0.00058029-0.0009849i,0.00032302-0.00078667i
0.0013998+0.0033429i,0.00024848+0.0035756i,0.00089647+0.0029875i,0.0019605+0.0020572i,0.0012341+7.1282e-05i,0.00016092-0.0015528i,0.00024109-0.0010128i,0.0013037-0.00058077i,0.001487-0.00038395i,0.00095096-0.00040966i,0.00037738-0.00090792i,9.3253e-05-0.0004228i,-5.2162e-05-0.00037859i,-0.00018599-0.00065867i,-0.0003844+0.00050196i,-0.00038442+0.0011895i,-0.00022489+0.00060423i,0.00046975-0.00032453i,0.00033232-0.00081735i,-0.00071811-0.00082594i,-0.00039688-0.00025673i,0.00024908+0.00038559i,-0.00054048-0.00041827i
-0.0013269+0.00065751i,-0.0007133+0.0015078i,-1.3167e-05+0.0010467i,0.00048722+0.00028753i,0.00079201-0.00032798i,0.00071121-0.00020447i,0.00065726+0.00031028i,0.00071121+0.00076004i,0.00047708+0.00088776i,0.0005115-0.00025695i,-0.00020006-0.00073966i,-0.00018427+6.2645e-05i,0.00055794+0.00047824i,-2.5306e-06+0.00038234i,0.00019024+0.00043186i,-0.00011245+0.00027222i,-0.000453+0.00023425i,-0.00022698+0.00037134i,-0.00030943+5.68e-05i,-0.00018526+0.00049773i,-6.2025e-05+0.00088786i,7.3751e-05+0.00074775i,-0.00016259+0.00058544i
-0.00083935-0.0019319i,-0.00046674-0.0026444i,-0.0003193-0.0027628i,0.00033327-0.0021692i,0.00048326-0.0015407i,-0.00047135-0.00025544i,-0.00015065-0.00025545i,0.00043379-0.00098665i,0.00089026-0.00074496i,0.00057489-0.00039257i,-0.00028014-0.00015411i,-0.00016958+9.6372e-05i,0.00011326-3.8118e-05i,-0.0003222-1.8648e-05i,-0.00052217-0.0002533i,-4.8904e-05-0.00061056i,0.0001763-0.00027184i,-0.00022834-0.00028096i,-6.9035e-05-0.00083462i,0.00016648-0.00034046i,-5.2051e-05+0.00028078i,0.00050509+0.00084833i,0.0010324+0.00053015i
0.0001185-0.00057326i,-0.0010605-0.00042975i,-0.0010954-0.00098888i,-0.00029556-0.0014162i,-5.0357e-05-0.0020387i,0.00020413-0.0018514i,0.00040811-0.00078693i,0.00047751+1.4042e-06i,0.0010128+5.3929e-05i,0.00099028-0.00013619i,0.00029866-0.00042165i,0.00040384-0.00018232i,0.0011983+0.00049938i,0.00076493-0.0003529i,-9.0078e-05-0.00072199i,-0.00073659+8.1878e-05i,-0.00090127+0.00041164i,-0.00088677+0.00026494i,-0.00099492+0.00019951i,-0.0014104+0.00029841i,-0.00063967-0.00036555i,0.00041336-0.00055351i,0.00057012-6.3885e-05i
-0.00045948-0.0001811i,-5.8634e-05-0.00081147i,-0.00032905-0.001264i,0.00016448-0.00072945i,0.00088384-0.00032075i,0.00075355-1.4674e-05i,0.00054162+0.0010457i,0.00025954+0.0010843i,-0.00021241+0.00043091i,-0.00047974+0.00010351i,-0.00012715+0.00018153i,0.00093934+0.00044464i,0.00034297+0.00033746i,-0.00043161-0.00039508i,-0.00039694-0.0008364i,-0.00035933-0.00035972i,-0.00033487-0.00011448i,-0.00026762-0.00036498i,-0.00012913-0.00065674i,-8.6467e-05-0.00050894i,0.00042914+0.00017389i,0.00085967+0.00095755i,0.00045999+0.0012521i
0.0010684-0.0027782i,0.0019175-0.0025519i,0.0015535-0.0027473i,0.0010234-0.002692i,0.0011451-0.0020468i,0.00078233-0.0010825i,0.00025112-0.00039872i,0.00075645-0.00043256i,0.00078746-0.00034671i,0.00067682-0.00014465i,-0.00013943-0.00042027i,-0.00066476-0.00044146i,-0.00068806-0.00047073i,-0.00087058-0.0006302i,-0.00041024+2.7877e-05i,-0.00037897+0.0006407i,-0.00046531+0.00025179i,-0.00014494-7.3397e-05i,-0.00052455+1.1523e-05i,-0.00064336+0.00010831i,4.6232e-05+0.00042899i,0.00086774-6.054e-06i,0.00094988-0.00028781i
-0.00011184+0.0021149i,-0.00027291+0.002581i,0.00058429+0.0021251i,0.00073747+0.00088548i,0.00082079+0.0004548i,0.00098212+0.00011592i,0.00094551+0.00036566i,0.00084684+0.00060521i,0.00093219+0.00054032i,0.00066928+0.00046456i,-0.0002698+2.0221e-05i,-0.00073469-5.8002e-05i,-0.0005216-0.00011226i,-0.00048186-0.00058299i,-0.00048224-0.00072078i,-0.00045015-0.00070112i,0.00017647-6.1094e-05i,0.00014859+0.00059385i,-0.00072723+0.00051872i,-0.00070893+0.00043963i,0.00030385+0.00053496i,0.00041107+0.00078054i,0.00022459+0.0010076i
0.0004959+0.0010764i,0.00057269+0.00091534i,0.00050406+0.0022295i,0.0011329+0.0014973i,0.0015418-0.0009683i,0.0012124-0.0018953i,0.00076138-0.0010326i,0.00035837+0.00022702i,0.00098927+0.00013378i,0.0012108-0.00093752i,0.00059707-0.0011568i,0.00076038-0.00068188i,0.0012715-0.0001297i,0.00071035-9.7367e-05i,0.00011816-0.00038307i,0.00045945+0.00029316i,0.00094707+0.00071075i,0.00079399-0.00025119i,-5.4597e-05-0.0010364i,-1.2313e-05-0.00066879i,0.00014018+0.00035209i,2.7546e-06+0.00071169i,0.000579+0.00041095i
8.241e-05+0.00063804i,0.00016361+0.00090075i,0.00036173+0.00085401i,0.000374-6.3348e-05i,0.00033609-0.0013375i,0.00010551-0.0011234i,4.4029e-05-0.00075825i,0.00055831-0.00076811i,0.00065122-2.3653e-05i,-0.00012996+0.00026281i,0.00043877+0.00017342i,0.00072931-0.00013718i,0.00051761-0.00044209i,0.00044581-2.1744e-05i,0.0006399+0.00010822i,0.00094157+0.00025592i,0.00034065+0.00090362i,-0.00031695+0.0006742i,-0.00070769+0.00018362i,-0.0007876-0.00014461i,-0.00021275-0.00016175i,0.00034092+0.00021564i,0.00014459-3.7303e-05i
0.001924-0.00054947i,0.0014247-0.00041518i,0.00093164-0.0017798i,0.000944-0.0024574i,0.0005185-0.0021933i,-0.00040595-0.0010521i,-0.0004797+0.00052476i,0.00027806+0.00081404i,0.001188+0.00031836i,0.00162-0.00012047i,0.0012757-0.00068172i,0.00057386-0.0012149i,-0.00035578-0.001242i,-0.0005237-0.00040069i,-0.00030323-0.00017699i,9.8304e-05-0.00045589i,-0.00014289-0.00045061i,-0.00048859-3.7127e-05i,0.00053816+0.00026597i,0.0010693+0.00022628i,0.00040488-0.00033163i,-0.00017262-0.0002409i,-0.0005152+0.00010756i
-0.0011072+0.00049707i,-0.0015222+0.00030606i,-0.0013172+5.4498e-05i,-4.1755e-05-0.0004789i,0.00095587-0.00028044i,0.001558-0.00024007i,0.0013618-0.00054473i,0.00094095-0.00017023i,0.00044756-0.00040902i,-0.00061112-0.0013474i,-0.00021151-0.0017281i,0.00048788-0.00082224i,-3.3356e-06+0.00028481i,-0.0003962+0.00064201i,-0.0007354-0.00033708i,-0.00082717-0.00081252i,-0.00029695-0.00023037i,0.00034218+4.0013e-05i,2.2024e-05+0.0004655i,-0.00046104+0.00090363i,-0.00071152+0.00038228i,-0.00091694-2.4557e-05i,-0.00076918+0.00039804i
-0.0013747-0.0012837i,-0.0027879-0.00084046i,-0.0024299-0.0011269i,-0.0016719-0.0019183i,-0.0012192-0.0015202i,-0.00068974+4.8039e-05i,7.0018e-06+0.000178i,0.00070501+9.1416e-05i,0.00081651-0.00030301i,0.00022691-0.00082648i,-0.00037369-0.00014684i,-0.00071687+0.00042891i,-0.0010158+0.00035495i,-0.00061837+0.0007587i,-4.1762e-05+0.00081911i,-7.9908e-05-1.1937e-05i,0.00013046-0.0002878i,0.00011124+2.72e-05i,-0.00025119+0.00014297i,-0.00025341+1.1687e-05i,-0.00028269+0.00018134i,-8.3571e-05-4.1865e-05i,-0.00027941+1.7117e-05i
0.0015522+0.00037309i,0.0021841+0.00087777i,0.0021245+0.00094387i,0.0015843-0.00023123i,0.0012274-0.00078683i,0.00040579-0.00017489i,-0.00023138-0.0001718i,-9.3761e-05-0.00051973i,0.00078142+2.4163e-05i,0.001245+0.0014247i,0.00032955+0.001391i,0.00017091+0.00079797i,0.00043178+3.2039e-06i,0.00014391-7.4998e-05i,-7.3894e-05+8.9355e-06i,-0.00025364-0.00013151i,-0.00048313+0.00012531i,-0.00011749+0.00032213i,0.00061788+0.00049741i,0.0011148+0.00064362i,0.00064137+0.00029225i,0.00099777+0.00020307i,0.00094145+0.00057714i
0.0020822-0.00097113i,0.0012645-0.00042053i,0.001641-0.0023489i,0.0016527-0.0019533i,0.00066941-0.0012343i,8.4242e-05-0.00046151i,0.00033799+0.00034353i,0.0007525+7.282e-05i,0.00089949-0.00039009i,1.9573e-05-0.00055853i,-0.00049244-0.0007615i,-3.854e-05-0.00085537i,-0.00031142-0.00022342i,-0.00088264-0.00063759i,-0.0010574-0.0011158i,-0.0011243-0.00091155i,-0.00072783-0.00027293i,-5.7451e-05-0.00018803i,0.00024582-0.00025712i,0.00028181+0.00012366i,0.0008106-6.5858e-05i,0.00036736-0.00049122i,-0.00073581+8.7896e-05i
0.00080119+0.0022094i,0.00071537+0.00099639i,0.0014848+0.00084979i,0.0016652-0.00024908i,0.001432-0.0012153i,0.00033314-0.0011117i,-0.00074075-0.000529i,-0.00029775+0.00044782i,0.00063369+0.00049299i,0.0010731+0.00049361i,0.00085678-3.0347e-05i,0.00075063-0.0005324i,0.00038175+1.7706e-05i,-0.00042246+0.00080466i,-0.00030229+0.00069757i,-3.7932e-06+0.00055595i,0.00021359+0.00052196i,0.00019121+0.00063902i,0.00020706+0.00071646i,0.00065441+0.00010213i,0.00056684-0.00014947i,-0.00045257+0.00013851i,-0.0013424+0.00015144i
-0.0014279-0.00056668i,-0.0014602-0.00074124i,-0.001074-0.0012393i,-0.00073459-0.00064266i,-0.00060229-4.6196e-05i,0.00014061-0.00024358i,0.00033848+0.00014783i,0.00053204+0.00084165i,0.00070221+0.00062967i,0.00023466-0.00013944i,7.4376e-05+2.4933e-05i,0.00022816+0.00029844i,0.00038854+0.00059307i,0.00048596+0.0010441i,0.00057313+0.0010075i,0.00035897+0.0011728i,-0.00040697+0.00094364i,-0.00030093+0.00021669i,-0.00025317-0.00048274i,-0.00037599-0.00048118i,-0.0005972-0.00011579i,-0.00059402-0.00013113i,-0.00016186-0.00036776i
