-0.0045294-0.00070519i,-0.0051468-0.00069731i,-0.0058067+0.0006856i,-0.0053892+0.0026609i,-0.0038424+0.0026095i,-0.001796+0.0033662i,-0.00061503+0.003438i,-0.00054211+0.0017991i,-0.00064192+0.0013539i,4.4147e-05+0.0016365i,0.0013961+0.00052256i,0.0018201-0.00067874i,0.0010499-0.0011313i,0.00020903-0.00086977i,-0.00038128-0.0012114i,-0.0003955-0.0010341i,-0.00050997+0.00038535i,-0.00020974+0.001195i,8.6381e-05+0.0010722i,-0.00071233+0.00041429i,-0.0014361-0.00052515i,-0.0006251-0.00045941i,0.00031801+0.00037794i
0.0011686-1.4374e-05i,0.0015882+0.00021424i,0.0015539-0.0007344i,-2.1741e-05-0.001934i,-0.0014565-0.0021179i,-0.0012612-0.00069021i,4.2562e-05-0.00010949i,0.00054528-0.00036816i,0.00039365-0.00024517i,7.1e-05-0.00020617i,0.00032622+0.00012989i,0.00026877+0.0006736i,0.00017087+0.00053062i,0.00086911+5.302e-05i,-3.1067e-05-9.7004e-05i,-0.0010106-0.00052385i,-0.00010873-0.00057377i,1.6086e-05-0.00042077i,-4.7927e-05-0.00079758i,0.00011279-0.00013765i,7.7182e-05+0.00018355i,-0.00017049-0.00028497i,0.00014989-0.00017921i
-0.0022931+0.0018259i,-0.0018678+0.0012791i,-0.0014417+0.0025602i,-0.0011902+0.0028112i,-0.00074319+0.0014217i,-0.0003578+0.00050079i,-0.00010259+0.00012065i,-2.2741e-06-0.00065867i,-0.00013556-0.00040445i,-0.00046313+0.00013568i,-0.00048183+0.00027171i,-0.00020887+0.00022055i,0.00015705-0.00027591i,0.00090704+0.00025767i,0.0007182+0.00081666i,0.00023804+0.00051568i,0.00036524+0.00048699i,0.0011351+0.00044901i,0.0014043+0.00010368i,0.00064695-0.00010426i,-0.00021981+2.7213e-05i,0.00017997-9.6883e-05i,3.6378e-05-0.00025227i
0.0021328-0.0011959i,0.0012541-0.0013935i,0.00044146-0.0019773i,-0.00097378-0.0017348i,-0.0017019-0.0011025i,-0.0016436-0.00028746i,-0.0012052-0.00027903i,0.00027027-0.00095161i,0.00047394-0.00051731i,-0.00025172+0.00015328i,-0.00041718+0.00020587i,-0.00023635-0.00010144i,-1.4604e-05-0.00060448i,-2.2947e-05-0.00060858i,0.00046376-0.00089108i,0.00047272-0.00096823i,0.00032604-6.0083e-05i,0.00084967+0.00076912i,0.00072009+1.3386e-05i,-2.5769e-06-0.00038393i,-0.0004463+4.9937e-05i,-0.00018987-2.2829e-05i,0.00016652+0.00047855i
0.00048986+0.0022778i,0.0018951+0.0031358i,0.0032155+0.0028451i,0.0024911+0.0016513i,0.00095661+0.00055668i,0.00050859+0.00024912i,0.00031647-4.496e-05i,4.8519e-05-0.0003528i,9.6467e-05+0.00040077i,-6.2416e-05+0.0010566i,0.00014754+0.00045929i,-2.1481e-05+0.00010471i,-0.00046212+0.00011279i,-0.00035795+0.00040707i,9.4335e-05+0.00056046i,0.0010271+0.00035721i,0.00079667+0.00022184i,0.00052881-0.00015716i,0.00022908-0.00048702i,-0.00028552-0.00088851i,-0.00070734-0.00083343i,-0.00082793-0.00055051i,-0.00044462-0.00039098i
-0.0013585+0.00016195i,-0.0021416+0.00023997i,-0.0031+0.00070992i,-0.0028775+0.001408i,-0.0014599+0.0018499i,-0.00058898+0.0012409i,-0.00050181+0.00051098i,-0.00031356+0.00035358i,0.00010345-0.00036121i,-5.9648e-05-0.00011304i,4.5473e-05+0.00060418i,0.00084227+0.00035129i,0.00064216+0.00053778i,0.00012458+0.00060795i,0.00064094+0.00085604i,0.00088011+0.0010032i,0.00087939+0.00034173i,0.0001529+0.00014679i,-0.0006477+5.9942e-05i,-0.00080653-0.00050881i,-0.0011976-0.00079472i,-0.0010564-0.00073106i,-0.00037421-0.00026117i
0.00041677-0.0012142i,-4.1057e-05-0.0011232i,8.4222e-05-0.0012463i,0.00019248-0.00064169i,-0.00020431-8.3058e-06i,-0.00024322+1.4318e-05i,-0.00016262-0.00059209i,-0.00066854-0.001539i,-0.0012377-0.0015019i,-0.00058225-0.00014491i,0.00030033+0.0007966i,0.0007236+0.00042331i,0.00067557+0.00037157i,0.00059131+0.00076042i,0.00070419-6.6438e-05i,0.00046516-0.0005562i,-0.00023256+3.4601e-05i,-0.00047762-7.3918e-06i,-0.00064608-0.00071121i,-0.0005772-0.0013824i,-0.00060311-0.00133i,-0.00014045-0.000951i,-5.8481e-05-0.0009169i
-0.00091681-0.0012064i,-0.00015532-0.0010593i,-0.00093741+0.00083528i,-0.001715+0.0012191i,-0.0016995+0.00072538i,-0.00075658+0.0012551i,-9.324e-05+0.0011527i,-0.0003844-0.00038089i,-0.00050774-0.00053068i,-0.00036331+0.00021638i,5.3337e-05-0.00031996i,0.00067002-0.00058616i,0.0003338-0.00028845i,-0.00020476-0.00067885i,-0.00035323-0.00030323i,1.5519e-05-0.00015139i,5.6964e-05-0.00065107i,1.7817e-05-0.0010083i,0.00029916-0.00046851i,-0.00019025-0.00010608i,-0.00061428-0.00037341i,-0.00092261-0.00048261i,-0.001008-0.00035822i
-0.00014224-0.0012131i,0.00068956-0.0010525i,0.00044876-0.00147i,-0.00092381-0.0016043i,-0.0025238+0.00020975i,-0.0026156+0.0017107i,-0.0010166+0.00072745i,-0.00075712-0.00039311i,-0.00087174-0.00017477i,-0.00025032+0.00067167i,0.00035686+0.00085647i,0.00065205+0.00092804i,0.0006358+0.0011343i,0.00032292+0.0013385i,8.638e-06+0.00089723i,0.00068687+0.0006822i,0.00061717+0.00055972i,-0.00017798+4.7991e-05i,0.0003199-0.00055854i,0.0011308-0.00096112i,0.0013327-0.00077274i,0.00046529-8.1935e-05i,-0.00071416+0.00079031i
-0.00094666+0.00010736i,-0.0012226+0.0008267i,-0.0016166+0.0008012i,-0.0021178+0.0005496i,-0.0023591+0.00045555i,-0.0018016+0.00093527i,-0.0011009+0.0007458i,-0.00057506+0.00029225i,-0.00028965+0.00050394i,-0.00030026+0.001009i,-0.00077325+0.0012119i,-0.00096051+0.0011007i,-0.00060216+0.00056721i,-0.00074554+0.00058482i,-0.00015267+0.00075125i,0.00046814+3.3246e-05i,0.00052952-0.00057248i,0.00068307-0.00089578i,0.00085959-0.0010507i,0.00094302-0.0014925i,0.00035791-0.0015164i,-2.7614e-05-0.00073738i,-0.00036749-9.2024e-05i
-0.0018143+0.002104i,-0.0026135+0.00045309i,-0.0028467+0.00080322i,-0.0014184+0.001291i,-0.00045067+0.00068299i,-0.0012006-0.00021593i,-0.00078439-0.0013733i,0.00069849-0.0016135i,0.00055982-0.00073026i,6.5248e-05+0.0006873i,0.00081828+0.001449i,0.0010735+0.00054057i,0.00032586+0.00037357i,8.7342e-05+0.00073223i,-3.0361e-05+0.00092772i,-5.445e-05+0.0006038i,-7.8341e-05+0.00058796i,-0.00025504+0.00088211i,-0.00017544+0.00037591i,3.6778e-05+0.00011316i,0.00014047+6.2554e-05i,0.00040284+6.5565e-05i,0.00031837+0.00057431i
