-0.0025054-0.00028677i,-0.0024711-6.8736e-06i,-0.0019814+0.0011473i,-0.00057287+0.0003218i,-7.1995e-05-0.00051615i,-0.00027594-7.61e-05i,-0.00033415+0.0008017i,0.00031785+0.0010304i,0.00099017+0.0004726i,0.0015599-0.0011128i,0.0021317-0.00086904i,0.0013676+0.00032502i,0.00062632+0.00061845i,0.00080113+0.00090009i,0.0010693+0.00031845i,0.00031513-8.9625e-05i,-0.00010708+0.00015054i,0.00053514+0.00032604i,0.00078112+0.00028744i,-0.00024623+4.9201e-05i,-0.00042459-0.00018481i,-0.00019475-0.00028563i,-0.00047347-0.00050319i
0.0016602+8.2453e-06i,0.0016491-0.0012003i,0.00025601-0.0026648i,-0.00031182-0.001783i,-0.0010232-0.00099213i,-0.00056414-0.00051478i,0.00083575-0.00024878i,0.0012006-0.00032167i,0.00093489+0.00028055i,-4.5987e-07+0.00053644i,-0.0001088+0.00057405i,-0.00051673+0.00093997i,-0.00064764+0.00066899i,0.00012273+0.00035172i,0.00055449+0.00026406i,0.00044235+0.00028614i,-3.4967e-05+0.00033234i,-0.00022943+0.00017174i,-0.00035964+0.00035332i,-0.0010054-0.00010403i,-0.00091221-0.00055043i,0.0002329+8.4432e-05i,0.00055399+0.00017716i
0.00025145-0.0015498i,-0.00044602-0.0013581i,-0.0027715-0.0010042i,-0.0024085-4.6635e-05i,-0.0010265+0.00049239i,0.0001948-0.00010365i,0.00060189-0.00042675i,0.00033399-0.00025197i,0.00064456-0.00010847i,0.00017805+0.0003314i,-1.7068e-05+0.00023032i,-0.00020543-0.0003806i,-0.0010002-0.00049098i,-0.00014887+0.00019307i,0.00054283+0.00055465i,3.0944e-05+0.00069171i,-5.1208e-05+0.00020846i,0.00030349-0.0003314i,0.000208-0.00034098i,0.00020605+5.0228e-06i,0.00010388+0.00052016i,-0.00032705+0.00016314i,0.00019199-9.6469e-05i
2.9351e-05-0.0015551i,-0.00049907-0.0015205i,-0.0015457-0.0015231i,-0.0017474-0.00078284i,-0.0007482+0.00017358i,6.9783e-05+0.00018972i,0.00015412-0.00011023i,-9.2613e-05+0.00038324i,-0.00021612+0.00063496i,-0.0005146+0.0006838i,-0.00041509+0.0008011i,-0.00026613+0.00058799i,-4.3992e-05+0.00040104i,0.00020805+0.00035952i,0.00012003-0.00018173i,-0.00011936-0.00039621i,-0.00034423-0.00057907i,0.00011226-0.0002213i,-0.00027581-0.00050972i,-0.00092911-0.00084996i,-0.00031375+0.0002048i,0.0004018+0.00072528i,-8.7633e-05+0.00033122i
7.7486e-05+0.00071439i,0.00066534-0.00020455i,0.001572-0.00058348i,0.0017305-0.00027675i,0.00097561-0.00092042i,0.00036643-0.00072894i,-7.3781e-05-0.00033449i,5.6019e-05-0.0011598i,-0.00018876-0.0013726i,-0.00068433-0.00078494i,-0.00033895-0.00023616i,0.00018784+0.00027588i,-7.7181e-05+0.00063951i,-0.00034053+0.00023422i,-4.9421e-05-0.00017917i,-0.00016111-0.00046637i,-0.00039956-0.00025365i,-0.00069629-0.00014463i,-0.0009889-0.00093469i,-0.00078162-0.00086917i,-0.00032868-0.00022474i,0.00037002+0.00020615i,0.00069329+0.00028774i
0.00086374-0.0012033i,0.00026224-0.0010967i,-0.00086121-0.0010643i,-0.0012301-0.0015998i,-0.00071028-0.0011044i,-0.00023429-0.00084079i,0.0006874-0.00036167i,0.00076682-0.00019694i,-0.00056736-0.0011815i,-0.0014587-0.001239i,-0.00081586-0.00014401i,3.09e-06-1.514e-05i,0.00037931-0.00027539i,5.0005e-05+0.00047285i,-0.00031624+0.0007751i,-0.00056303+0.00074379i,-0.00017715+0.00040413i,0.00025255+6.0904e-07i,0.00024294+5.2839e-05i,0.00059192+0.00025184i,0.00063851+0.00047831i,0.0003756+0.00013358i,2.0094e-05-0.00035769i
-0.00012489+0.00015891i,-6.6997e-05-9.5884e-05i,-0.00024654-0.00026319i,0.00032238+0.00078138i,0.00080986+0.0011691i,0.0013966+0.00035563i,0.0017376-0.00029882i,0.001362-0.00014792i,0.00096417+0.00018719i,0.00095094+0.0004312i,0.00097398+0.000752i,0.00042517+0.00091807i,0.00036201+0.00048163i,0.0004686+3.8848e-05i,0.00018186+0.00026599i,0.00021419-0.00046414i,6.8895e-05-0.0010565i,-3.3532e-05-0.0010385i,3.021e-05-0.0011575i,-0.00031165-0.00046179i,-0.00072354+0.00030664i,-0.00020087-0.00016683i,0.00052766-0.00073204i
0.00052255-0.00083706i,6.2693e-05-0.00097672i,-0.00055048-2.1899e-06i,-0.00056943+0.00023228i,-0.00075233-0.0014859i,-0.00070745-0.0024773i,-0.00017555-0.00092993i,9.8637e-05+0.00025319i,-0.00020488+6.6687e-05i,-0.00085513-0.00031328i,-0.00017963-0.00026536i,-0.00020948+9.0427e-05i,-0.00097178+0.00022841i,-4.923e-05-8.1749e-05i,0.0004954-0.00049264i,1.6977e-05-0.00028113i,9.064e-05+0.00038335i,0.00079645+0.00057312i,0.0010026-0.00022585i,0.00032424-0.00041784i,0.00022617-0.00040045i,0.00052279-0.00074976i,-0.0002659-0.00077969i
0.0011638-0.0012104i,0.00097301-0.0017569i,0.00059554-0.0016199i,0.00051117-0.00099418i,0.00013198-0.0010362i,0.000146-0.00067695i,0.00025019+0.00019127i,0.00022423+0.0003229i,0.00041523-0.00075564i,0.00021596-0.0013112i,-0.00029702-0.00029458i,-0.00031871+0.00036829i,-3.7698e-05+0.00021278i,-0.00037249+0.00095645i,-0.00025177+0.0014067i,-0.00020215+0.0012504i,5.4831e-05+0.001105i,0.00073909+0.00066716i,0.00021358-0.00022469i,-1.7995e-05+1.7195e-05i,0.00068042+0.00013565i,0.00079149-0.0010541i,0.00044423-0.00090382i
0.00088209+0.00024906i,0.00094955+0.00034123i,0.0019904-0.00088022i,0.0008251-0.0014125i,-0.00016023-0.0016053i,-0.00012889-0.0015297i,-0.00045423-0.0011106i,-0.00029662-0.00098888i,-0.00010594-0.00063716i,-0.0001465-3.9937e-05i,-0.00016452-7.6492e-05i,-8.4411e-05-0.00030813i,-0.0002405-1.531e-05i,-0.00043587+0.00049227i,-0.00092574+0.00083874i,-0.00092323+0.00057451i,-0.00024164+0.00044403i,-7.2354e-05+0.00078396i,0.00026225+0.00030274i,-2.0136e-05-0.00054948i,-0.00074888-4.4912e-05i,-0.00084156+0.0002978i,-0.00052168-0.00034954i
-0.00017397-0.0010261i,0.00057078-0.00031317i,0.00038249+0.0010803i,0.0015007+0.0012767i,0.0025497+6.627e-05i,0.001122-0.0007952i,-0.00028694-0.00057674i,-0.00042488-0.00053356i,0.00020628+0.00017876i,0.00045242+0.00094916i,0.00081082+0.00032388i,0.00077598-0.00018414i,0.00083734+0.00053667i,0.00096111+0.0015585i,0.00051789+0.00088832i,0.00017631-7.8467e-06i,-0.00018163+0.00019308i,4.1019e-05-0.00014281i,0.00064948-0.00036018i,0.00041062-0.00022897i,-5.943e-05-0.0005111i,0.00044049-0.00028157i,0.0011601+0.00016161i
-0.00058649-0.0020038i,0.00063372-0.0016943i,0.00098275-0.0013395i,0.00028148-0.00056025i,0.00058618-0.00033012i,0.00074495-0.0010731i,0.00034207-0.0012421i,0.00069508-0.00033752i,0.00049675+0.00047833i,-0.00047289+0.00027039i,-0.00058926-6.1803e-05i,-0.00029523+9.2443e-05i,-0.00018426+0.00045107i,0.00020373+4.5264e-05i,0.00052692-0.0007045i,1.6026e-05-2.0171e-05i,-0.00047202+0.00067171i,-7.6416e-05-2.9724e-05i,-1.3871e-05-0.0003583i,-0.00068639-0.00024619i,-0.00061665-0.00040346i,-0.00081859-8.7602e-06i,-8.29e-05+0.0009263i
-0.0019634+0.00035758i,-0.0014702+0.00087908i,-0.0017973+0.00093428i,-0.0011203+0.00097949i,0.00016206+0.00056637i,0.00037295-0.00046013i,0.00022974-0.00086799i,0.00039033-0.00030984i,-0.00011442-0.00014313i,-0.00016455-0.00070997i,-3.9036e-05-0.001202i,0.00027738-0.0014395i,-0.00023552-0.0012547i,-0.00059006-0.0005594i,0.00019827+8.1313e-05i,-0.00038282-7.6168e-05i,-0.00025164+5.2584e-05i,1.3914e-05+0.00039667i,-0.00062976+0.00024434i,-0.00090385-7.556e-05i,-0.00097687+0.0003634i,-0.00042729+0.00093709i,0.00026352+0.00093194i
0.00070128-0.00016205i,4.1764e-06+0.00031782i,0.00050968+0.00047858i,0.0013095+0.00049688i,0.00047185-0.00036236i,-0.00012432-0.0012284i,0.00028524-0.0009655i,0.0013447+3.3511e-05i,0.0010731+0.00036367i,-2.9152e-05+0.00022702i,-0.00014298+7.2296e-05i,-1.7105e-05-0.0002001i,-0.00039712-0.00046667i,0.00028457-0.00052922i,0.0014889-0.00012527i,0.00045301-0.0003497i,0.00026559-0.00032241i,0.00072554+0.00014407i,-8.0095e-05+0.00048361i,4.142e-05+0.00037777i,-3.2648e-05+0.00025985i,-0.00044468+0.0006214i,-0.00021376+0.0008306i
-0.00084073-0.0025531i,-0.0011651-0.0015906i,-0.0018214-0.0018202i,-0.001648-0.0010242i,-0.00071547+0.00026125i,0.00095531-0.00058271i,0.0019345-0.00098464i,0.0014787-0.00012304i,-4.766e-06+0.0002235i,-0.00024786-0.00051063i,0.000633-0.00035101i,0.00096059+0.00033846i,0.00086955+0.00079731i,0.00067516+0.0010346i,3.3847e-05+0.00098916i,-0.00023532+0.00065246i,-6.6058e-05+0.00048785i,-0.00051105+0.00054239i,-0.00077048+0.00058323i,-0.00030043+0.00043698i,0.00056656+2.8914e-05i,0.0012718-0.00026899i,0.00073116+0.00038278i
0.00040217-0.00067697i,0.001071-0.00078671i,0.00094281-0.0014025i,0.00033397-0.0018427i,-0.00041147-0.0013101i,-0.00015456-0.0007096i,0.00034288-0.00010608i,0.00031838-1.385e-05i,0.00035224-0.00015435i,0.00028284+0.00056657i,0.0005538+0.00094811i,0.00057112+1.2993e-05i,-0.00011797-0.00055345i,-0.00066323-1.1895e-05i,-0.00094259+0.0008436i,-0.00083455+0.00057151i,-0.00014076-3.1008e-05i,0.00048083+0.00012265i,0.00019703+0.00047879i,4.9621e-05+0.00039522i,-0.0001343-5.2158e-05i,0.00014246-0.00021608i,0.00069059+0.00028985i
0.00015911+0.002166i,-4.307e-05+0.0026517i,0.0010661+0.00097882i,0.0015927-0.0012339i,0.0012602-0.0026519i,0.00085097-0.0031482i,0.0008065-0.0019166i,0.0011808-0.00080663i,0.001483-0.0004034i,0.001101-0.00059508i,0.00038785-0.0002122i,-0.0006272+0.000321i,-0.00098551+0.00040598i,-0.0010116+0.0005312i,-0.00098147+0.00076356i,-0.00099591+0.00059873i,-0.00042162+0.00027511i,0.00034982+5.5352e-05i,0.00057446+0.0001302i,8.8895e-05-0.00038145i,0.0001679-0.00056148i,0.00066705-0.00032608i,0.00083847-0.00056851i
-4.2656e-05+0.00010398i,-0.0011718-0.00052199i,-0.001296-8.9054e-05i,-0.00088199+0.00041303i,9.2531e-05-4.3777e-06i,0.00043897-0.0007148i,0.00068967-0.00076397i,0.00050895-0.00022834i,-0.00048816+0.00048564i,-0.0010978+0.001043i,-0.0015747+0.0010225i,-0.0013383+0.00022724i,-0.00054754-0.00020139i,0.00020413-0.00030786i,0.0010189+0.0004069i,0.00099549+0.0013017i,0.00052836+0.00052967i,-2.8863e-05-0.00015729i,0.00018804-0.00012917i,-9.0615e-05-0.00024965i,-0.0009262-3.6008e-05i,-0.00061323+0.00052249i,-0.00018849+0.00024246i
