0.002016+0.0010606i,0.0019291-0.000309i,0.00040911-0.0025576i,-0.00067445-0.0030092i,-0.00093279-0.0014678i,-0.0018559+0.00061503i,-0.0019252+0.0019209i,-0.00060177+0.0023784i,0.00032716+0.0017943i,0.00080296+0.00091168i,0.0011095-4.6036e-05i,0.0011888-0.0012717i,0.00098631-0.0014768i,0.00071459-0.00062107i,0.00010598+8.7138e-05i,-0.00090368+0.00060441i,-0.00056307+0.00081334i,0.00054546+0.0013115i,0.00048661+0.0010164i,0.00072714-0.00044948i,0.00071827-0.0012979i,0.00022388-0.0014653i,-0.00016348-0.00080661i
0.00010405-0.00081358i,-0.00082273-0.0011167i,-0.00075304-0.000957i,0.00016677-6.2561e-05i,-6.9556e-06+0.00087818i,-0.00044782+0.00054536i,-0.00088164-0.00019694i,-0.0011809-0.00060504i,0.00010193-0.00015852i,0.00035899+0.00072274i,-0.00055381+0.0012234i,-0.0011311+0.00077912i,-0.00069871+0.00019525i,0.00047942-0.00026943i,3.747e-05-0.00021073i,-0.00055242+0.00012278i,-0.00096099+0.0009715i,-0.0011982+0.00091223i,-0.00099945+6.235e-05i,-0.0012152-1.9769e-05i,-0.00096017+0.00063802i,-2.2745e-05+0.00079388i,0.00025033-5.6564e-05i
-0.00048277+0.00036981i,0.00010021+0.0009941i,-0.00027869+0.00068185i,-0.00082795+2.7246e-05i,-0.00040216+0.00032839i,6.5957e-05-2.8658e-05i,0.00016359-0.00030176i,3.2301e-05+7.948e-05i,0.00032418-5.118e-05i,0.0011374-0.00053657i,0.0014446-4.8711e-05i,0.001153+0.00018409i,0.0010584-2.2591e-05i,0.00014456+6.0676e-05i,-0.00091175-0.00035791i,-0.0012889-0.0008185i,-0.000707-6.6276e-05i,0.00053426+0.000507i,0.0011436+0.0001115i,0.00048445-0.00017604i,3.7853e-05-0.00020262i,0.00049837-2.9307e-05i,0.00054463-0.00026278i
-0.00026343+0.00042574i,0.00097802-0.0012143i,0.0024894-0.0013054i,0.0025845-0.00077262i,0.0017353-0.00052007i,0.0013664-0.00030028i,0.0011592-0.00048066i,0.0006288-0.00013336i,0.00052018+0.00028019i,0.00068102+0.00038161i,0.00073946+0.00015214i,0.00047763-0.00052366i,1.4765e-05-0.00068156i,-0.00034854-0.00060885i,-0.00028432-0.00053381i,-0.00043961-3.0654e-05i,-0.00085435+0.00069647i,-0.00071915-0.0001468i,-0.00029546-0.00076289i,0.0004372-0.00019248i,0.00069364+2.2174e-05i,7.573e-05+0.00029588i,-0.00015268+0.00058568i
-0.001732+0.0010544i,-0.0010641+0.0011876i,-0.0009841+0.0012149i,-0.00076903+8.0456e-05i,-0.00041546-0.00063973i,-0.0004507-0.00053285i,-0.00080021-0.00066866i,-0.0016239-0.00049945i,-0.0014877+0.00056703i,-0.00058407+0.0017074i,0.00014833+0.0012476i,-6.5972e-05+0.00033675i,-6.8073e-05+0.00038358i,0.00046014+0.000443i,0.00091271+5.8926e-05i,0.00023772-0.00072961i,-0.0009058-0.00074946i,-0.00090962-0.00042393i,0.00017791-0.00041286i,0.00028626+7.0543e-05i,-0.00052541+0.00075464i,-0.00038346+0.00075784i,-0.00022313-1.293e-05i
0.0014515+0.00089653i,0.0020937+0.00084993i,0.0014956+0.001724i,0.0011015+0.0015723i,0.0012654+0.00062363i,4.8359e-05-0.00046723i,-0.00029955-0.00026543i,0.00080357+0.00074671i,0.00068934+0.0011162i,0.00046928+0.0006178i,0.00069047-0.00058435i,0.00043073-0.00067019i,-1.7251e-06+0.00020965i,0.00053868+0.00023864i,0.00015468+8.6702e-05i,-0.00085079-2.7383e-06i,-0.00051441-0.00048784i,0.0001733-0.00092676i,-0.00021553-0.00055046i,-0.00022569-0.00038808i,0.0006041-0.00029684i,0.00040663+4.1329e-05i,-0.00018035+0.00080657i
-0.00081123-0.0019636i,-0.00063105-0.0015507i,-0.00022193-0.0012458i,0.00051243-0.00095246i,0.0012979-0.00031559i,0.0012555+0.00024493i,-4.6417e-05+0.00056223i,-0.00060276+0.0012832i,-0.00040885+0.0016871i,-0.00011306+0.0015933i,0.00022818+0.0012047i,-0.0001148+0.00084626i,-0.00053738+0.00051691i,-0.00020185+0.00020968i,0.00033539-0.00021726i,0.00020919-0.00050997i,-0.00031947-0.00015211i,-4.2618e-05+0.0002185i,0.00080879+0.00012107i,0.00074533+0.00051596i,0.00016094+0.00088395i,-0.00028379+0.0011792i,-9.0847e-05+0.00092757i
0.0014381+0.00057509i,0.0013975+0.0009094i,0.0013849+0.001061i,0.00059725+0.00085171i,0.00084988+8.5615e-05i,0.00054278-0.00052409i,-2.8048e-05-0.0010097i,-0.00051823-0.00031535i,-0.00019973+0.00038448i,-0.00025086+0.00087868i,-0.00043838+0.0008785i,6.9569e-05+0.00069001i,0.00019488+0.00046951i,0.00025069+3.3108e-06i,0.00046585-5.5274e-05i,0.00050456-0.000213i,0.00032045+3.7652e-05i,0.00031387-6.1562e-05i,0.00021499-0.00042102i,-0.00010067-0.00063328i,-0.00036899-0.00077494i,-0.0004338-0.0004752i,-7.0698e-05-0.00014466i
-0.0031556-0.0016826i,-0.0025951-0.0015226i,-0.0015367-0.00096512i,-0.00034426-3.5436e-05i,0.00074789+0.00033734i,0.00063391-0.00046781i,0.0005821-0.0004505i,-4.3917e-05+0.00031629i,5.5479e-06+0.00065411i,0.001151+0.00065926i,0.0016198+0.00011188i,0.0010267-0.00069571i,0.00078056-0.00052681i,0.00056531-0.00016853i,-3.5335e-05-0.00028547i,-0.00013412-0.00061674i,-0.00012696-0.0008982i,-0.00019619-0.0009344i,0.000211-0.00045644i,4.8978e-05+0.0001291i,-0.00051415+0.00092004i,2.3672e-05+0.0014245i,0.00021134+0.00045668i
0.00088387-0.00048001i,0.0015297-0.00071861i,0.002486-0.0008694i,0.0014979-0.00063102i,0.00098984-0.0010686i,0.00043136-0.00049587i,-0.00093677-0.00039056i,-0.00080218-0.00058196i,-0.00025334-1.2082e-05i,0.00024021+0.00016376i,0.00033082-2.7414e-06i,-9.6171e-05-0.00023947i,-0.00037973-0.00041489i,-8.065e-06-0.00074942i,0.00024462-0.00083519i,-0.00066027-0.000525i,-0.0008533-1.1589e-05i,0.00010059-4.83e-05i,0.0003659-0.00061204i,-0.00025324-0.00066111i,-0.0005879-0.00041356i,-0.00053255-0.00019912i,5.1201e-05-0.00061554i
-0.0003027+0.0014099i,0.00019414+0.0015693i,0.00064454+0.0011207i,0.001204+0.00024587i,0.0007389-0.00088715i,-0.00060017-0.0012831i,-0.0010436+2.043e-06i,-0.00068772+0.001229i,-0.00018963+0.00097469i,0.00069723+0.00043129i,0.00084122+3.9388e-05i,0.00083605-0.00035027i,0.00073596-0.00019921i,0.00036753+0.00050111i,-0.00015231+0.00054205i,-0.00046784-2.0459e-05i,-0.00040081-0.0013396i,-0.00027117-0.0017005i,-0.00026452-0.00082247i,-0.0005517+0.00045359i,-0.00074822+0.0010225i,-0.00097234+0.00045884i,-0.00091758-5.918e-05i
-0.00061323-0.0033102i,-0.00058746-0.0037977i,0.00079895-0.0026899i,0.00059297-0.001108i,0.00024998-0.00033406i,-8.6536e-05+0.00035736i,-1.0568e-05+0.00016153i,0.0005104-0.00046098i,0.0001097+0.00010715i,-7.807e-05+0.00053459i,-3.458e-05+0.00030739i,-0.00047552-2.2986e-06i,-0.00015102-0.00036687i,0.00065562-0.00032105i,-8.3982e-05-0.00064985i,-0.00041545-0.00022795i,-0.0003109+0.00028464i,-7.8756e-05+0.00034904i,0.00051217+0.00045902i,0.00015847+0.00049716i,3.3726e-05+1.6594e-05i,0.00029654-0.00071699i,0.00024775-0.0010703i
0.0015372-0.00059181i,0.0014471-0.00022531i,0.0022171-0.001231i,0.0013657-0.0012077i,0.00081794-0.0013503i,0.0002358-0.0015152i,-0.0012039-0.0010319i,-0.00048642-0.00028765i,0.00094151+5.9268e-05i,0.0011113-6.5304e-05i,0.00086638-5.8027e-05i,0.00055417+0.00016962i,6.6232e-05+0.00026316i,-0.00041117-3.4336e-06i,9.6476e-06+0.00020147i,0.00028221+0.00082922i,-0.00034405+0.00073782i,-0.00039681+0.00011885i,-0.00035598+0.00014713i,-0.00065409-0.00010527i,-0.00093559-0.00026403i,-0.00092384+0.00020779i,-0.00079087-6.6139e-05i
0.0021468-0.00070003i,0.00175-0.00058303i,0.0017943-0.00084142i,0.0012645-0.0013518i,0.00020807-0.0006862i,-0.0004461+0.0006895i,-0.00024465+0.0011495i,-0.00027804+0.00096073i,-0.00046992+0.00045863i,-0.00059266+0.0006045i,-0.00049278+0.00058082i,-0.00072269+0.00027764i,-0.00046856-0.00020517i,0.00072749-0.00038679i,0.00081395+0.00030525i,0.00045526-7.4295e-05i,-0.00030075-0.00036645i,-0.0009478-2.9994e-05i,-0.0010366-0.00019487i,-0.00020833+0.00022842i,0.00033815-7.5985e-05i,5.356e-05-0.00019118i,-0.00044767+4.1112e-05i
-0.00028765+0.0010621i,-0.00097181+0.00070603i,-0.00085214+0.00093738i,0.0012007+0.00061522i,0.0020896+0.00099065i,0.0011183+0.00044353i,0.00060138-0.0006039i,0.00016675+0.0001177i,4.1815e-06+0.00065531i,0.00038209+0.00050305i,0.00039656+0.00026927i,4.9739e-05+0.00039877i,-0.00024578-7.5714e-05i,0.00013321-0.0010424i,0.00093631-0.001177i,0.00095249-0.0010207i,0.00010273+0.00031163i,-0.00054236+0.0011875i,-0.00067306+0.0003195i,-0.00030443-0.00069686i,0.00028522-0.00082585i,0.00025439-0.00016576i,-0.00032781+0.00016108i
