-0.0046532+0.00089542i,-0.0048677+0.0020565i,-0.003506+0.0035594i,-0.0015019+0.0032175i,-0.00049974+0.0025815i,-0.00042891+0.0026798i,-0.00064854+0.0024774i,-8.2683e-05+0.0021038i,0.00041223+0.0011676i,0.0010725+9.9385e-05i,0.0011233-0.0001109i,7.5902e-05-0.0001933i,0.00053623-0.0011533i,0.0016737-0.0016623i,0.0010672-0.0020772i,0.0002318-0.00079499i,-0.00046869+0.0003792i,-0.00019076+0.00035993i,-0.00034619-1.2513e-05i,-0.00065724+5.1995e-06i,-0.00013799+0.00097023i,-1.7673e-05+0.0014063i,0.00041743+0.00068157i
-2.3563e-05+0.0014957i,4.2026e-05+0.00096038i,-0.00036587+0.00057133i,0.00036235+0.00015356i,0.00070545+0.00038855i,0.00018686+0.0010766i,0.00027818+0.0013943i,3.6739e-05+0.0011048i,-0.00019179+0.0006708i,-0.00034169+0.00056527i,-0.00036154+0.0004055i,-0.00022552-5.2885e-05i,1.8767e-05+0.00085029i,1.4844e-05+0.0013276i,-0.00028423+0.0004972i,-0.00043756-0.00021619i,-0.0005255-0.00036997i,-0.00017182-0.00035542i,7.3952e-05-0.00048714i,-0.00040206-0.00046863i,-0.0003924-0.00099413i,0.00024518-0.00095576i,0.00099614-1.1622e-06i
-0.00051847-0.00048581i,-0.00031226-0.00018305i,-0.00087617-3.6333e-05i,-0.00090055-0.00035985i,-0.00091829+0.00072789i,-0.00076617+0.0013808i,-7.9842e-05+0.00091623i,0.00011033+0.00082959i,-0.00050124+0.00051251i,-0.00077705+0.00012277i,-8.5271e-05+0.00019162i,0.00017212+0.00058252i,-0.00037776+0.0012905i,-0.00062824+0.00049179i,-0.00073449-0.00058789i,-0.00038651+2.8694e-05i,-0.00075403+0.0004021i,-0.0009144+0.00065837i,-0.00011814+0.0014755i,-0.00035772+0.00094968i,-0.00078033-0.00014437i,0.00026947-0.00051516i,0.00081721-0.00056772i
6.651e-05-0.00067949i,-0.00028911+1.4135e-06i,-3.6242e-05-0.00040147i,0.00017277-0.00042019i,-9.2348e-05+0.00019785i,3.5509e-05+0.0014099i,0.00042185+0.0021233i,0.00075424+0.0016307i,0.00091801+0.00076623i,0.00078687-2.3947e-05i,0.00016448+3.1913e-06i,0.00020465+0.00022286i,0.00063404-0.0001123i,-7.8664e-05-2.8523e-05i,-0.00058752-4.9888e-05i,7.3973e-06+0.0004057i,0.00034128+0.00012377i,-2.8858e-05-0.00091419i,-0.00041715-0.0011734i,-0.00077736-0.0006729i,-0.00043341+0.00037739i,0.00035595+0.0010852i,0.00071636+0.00086411i
0.001173+0.0013867i,0.0014053+0.00021101i,0.0010774-0.00080377i,0.00026277-0.001065i,-0.00035839-0.00042749i,9.0796e-05+0.0010982i,0.00083585+0.0017602i,0.00015199+0.0014716i,-0.00040864+0.0011928i,-0.00020761+0.00052949i,-0.0005338-0.00062321i,-0.00072861-0.00095019i,1.5628e-05-0.0006772i,0.00020106-0.0007604i,-0.00042182+4.279e-06i,-0.00079901+0.00058165i,-0.00040054+0.00045612i,-0.00031848+0.00024231i,-0.00057264+7.826e-05i,5.0741e-05+0.00028965i,0.00052554+0.00098666i,-0.00014493+0.0011324i,-0.001212+0.00011637i
-0.0019092-0.00013739i,-0.0011534-0.0003243i,-0.00052299-0.00013448i,-0.0007573+0.0004393i,-0.0010036+0.00070289i,-0.00049511+0.00091535i,-0.00033055+0.0016632i,0.00049487+0.001649i,0.00066082+0.00045298i,8.5728e-06+0.00022317i,-0.00022172+0.001241i,-0.00075228+0.0010493i,-0.00079504-3.9569e-05i,-0.00010384-0.00078065i,0.00017357-0.00064817i,-0.00022666-0.00028299i,-0.00042374-0.00059934i,4.2391e-06-0.00066274i,0.00025024-0.00040095i,0.00024326-0.00049167i,-0.00046991-0.00023222i,-0.0011081+4.6064e-05i,-0.00053473-9.4349e-05i
-9.3119e-05+0.0016309i,0.0008427+0.0010729i,0.0020901+0.0013218i,0.0020033+0.0011334i,0.0011207+0.00093138i,3.7154e-05+0.0010654i,-0.00042349+0.0014655i,-0.00029792+0.0009509i,0.00035348+2.455e-05i,0.00082552-0.00088021i,0.00068442-0.0011061i,-8.7474e-06-0.0013542i,-0.00043977-0.0013014i,-0.00026266-0.00059554i,-0.00073164-0.00012671i,-0.00066228+0.00011314i,-8.3297e-05+0.00048122i,-0.00047954+0.00080128i,-0.00018385+0.00064583i,0.0010396-1.1927e-05i,0.001485-0.00086041i,0.0014822-0.0013739i,0.00075264-0.00055346i
-0.00066058+0.00093602i,6.3847e-05+0.0016609i,0.00058641+0.0021155i,9.9655e-05+0.0008019i,0.00053314-0.00088146i,0.00047637+0.0001248i,-0.00010134+0.0014336i,0.00038187+0.001662i,0.00012493+0.00074212i,-0.00076971-0.00021859i,-0.0007239-0.00025114i,-0.00052561+0.0001405i,-0.00038174+6.1893e-06i,-0.00050803+0.0004566i,-0.00013502+0.00025651i,0.00025058-0.00088906i,0.00020559-0.00037572i,0.0004489-9.9565e-05i,0.00018012-0.00072908i,-0.00014062+4.203e-05i,-0.00055724+0.00016295i,-0.00041284+9.1203e-05i,0.00040966+0.0005715i
-0.0013502+0.00072269i,-0.0019745+0.00088344i,-0.0019757+0.0012955i,-0.0011088+0.0015068i,-0.0012848+0.00097434i,-0.00077039+0.0010008i,0.00067452+0.0021648i,0.001146+0.0025575i,5.8e-05+0.0013035i,-0.001034+0.00070151i,-0.00075039+0.00044628i,-0.00054938+0.00018314i,-0.0011065-0.00033335i,-0.0011871-0.00054081i,-0.00059603-0.00052264i,5.1566e-05+0.00035614i,1.3287e-05+0.00070177i,-0.00028864+0.00026166i,-0.00031963+0.00020075i,-2.3494e-05+4.2181e-05i,0.00026857-0.00047634i,-0.00027201-0.00058078i,-0.00023621-0.00053602i
0.0009067+0.0011042i,0.001189+0.0001378i,0.00079362+7.9709e-05i,0.00054143+0.000462i,0.00093817+0.00050423i,0.00091747+0.00082966i,0.00069855+0.0015974i,0.00035796+0.0011601i,0.00047832+0.00080727i,0.00042708+0.00084142i,0.00068359+0.00024547i,0.0011723-0.00063823i,0.00031725-0.0008602i,-0.00019549-0.00041693i,-0.00030506-0.00062728i,-0.00056433-0.00056615i,-0.00026651-5.2598e-06i,-8.7148e-05-9.8464e-05i,-0.0005036+7.5939e-05i,-0.00025495+0.00013012i,5.0399e-05+0.0003231i,-0.00018796+0.00043451i,0.00021125+5.7938e-05i
-0.0013386+0.00037014i,-0.0011106+0.00043035i,-0.00096017+0.00089556i,-0.00095916+0.0017617i,-0.00077134+0.0020327i,0.00013897+0.001727i,0.0013125+0.0010801i,0.0012438+0.00057869i,-0.0002286+0.00040588i,-0.00083054+0.00028393i,0.00038449+0.00027909i,0.00047964+0.00011473i,-0.00038572-0.00018519i,-2.5638e-05-0.00025125i,6.2196e-05-0.00038304i,-2.022e-05+0.00025536i,-0.00023835+0.0011923i,-0.00064861+0.00061906i,-0.00088685-0.00081343i,-0.00019375-0.00095757i,-9.0534e-05-0.00038287i,-0.00051155-0.00014358i,-0.00022895+0.00060233i
