-0.0046532+0.00089542i,-0.0048677+0.0020565i,-0.003506+0.0035594i,-0.0015019+0.0032175i,-0.00049974+0.0025815i,-0.00042891+0.0026798i,-0.00064854+0.0024774i,-8.2683e-05+0.0021038i,0.00041223+0.0011676i,0.0010725+9.9385e-05i,0.0011233-0.0001109i,7.5902e-05-0.0001933i,0.00053623-0.0011533i,0.0016737-0.0016623i,0.0010672-0.0020772i,0.0002318-0.00079499i,-0.00046869+0.0003792i,-0.00019076+0.00035993i,-0.00034619-1.2513e-05i,-0.00065724+5.1995e-06i,-0.00013799+0.00097023i,-1.7673e-05+0.0014063i,0.00041743+0.00068157i
-0.00061224-0.0001925i,1.0461e-05+0.00072775i,-0.00042043+0.0018842i,-0.0012794+0.0019853i,-0.00095013+0.0015291i,0.00022721+0.0016052i,0.00090191+0.001651i,0.00054132+0.0015572i,0.00032645+0.0015175i,0.00032683+0.00063081i,0.00041416-0.00064386i,0.00069853-0.00091004i,0.00091139-0.00056352i,0.0012647-0.00048673i,0.0015637-0.00021651i,0.00096354+0.00023485i,0.0006741+4.479e-05i,0.00060802-9.1611e-05i,-0.00036071-0.0003911i,-0.00052925-0.00028656i,-0.00038293+0.0001309i,-0.00021202+0.00030037i,0.00045308+0.00025763i
-0.00045089+0.00060129i,-0.00035048+0.00047972i,5.38e-05+0.00034511i,-0.0006894-0.00020597i,-0.0017245-7.8935e-05i,-0.0011273+5.2863e-05i,0.00010996+0.00086388i,0.00034822+0.0015678i,0.00043124+0.0011236i,0.00072098+0.00049992i,0.00096015+0.00025906i,0.00076062+0.00054086i,-2.2927e-05+0.00040843i,-0.00047333-0.00030271i,-0.0005143-8.0241e-05i,-0.00046868+0.00025836i,-0.00061229+0.00020205i,-0.00026309+0.00057285i,0.00075774+0.00053589i,0.0009871+0.00045698i,0.00066545+0.00016105i,0.0004413+7.2736e-05i,0.00016352+0.00018834i
-0.00072386-0.00041131i,-0.0008888-6.1333e-05i,-0.001494-7.0784e-05i,-0.0010533-0.00017559i,-0.00052771+0.00022932i,-3.369e-05+0.00014834i,-0.00021141+0.00068265i,-0.00038651+0.0015176i,0.00034864+0.00095829i,0.0010508-4.302e-05i,0.00025405-0.00021539i,-0.00096427-0.00011166i,-0.00077648+2.504e-06i,0.00040092+0.00045002i,0.00068301+0.000248i,-0.00033749-0.00042645i,-0.00075988-0.00021805i,-0.00037983+6.0458e-05i,0.00026407-0.00034135i,1.6381e-05+0.00028627i,-0.00057081+0.00052068i,-0.00025459-0.00038881i,-9.0807e-05-0.0011667i
-0.0010172+0.0017226i,-0.0014737+0.0010052i,-0.0011321+0.0012971i,-0.0007209+0.001244i,-0.00032341+0.00036593i,-0.00028515+0.00018026i,8.4885e-05+0.00015003i,0.00091886+0.00056383i,0.00051271+0.0012574i,-0.00024996+0.00079792i,-0.00088836+0.00014494i,-0.00076038-0.00011079i,-0.00026303-0.00027202i,1.6906e-05-0.00071051i,0.0005729-0.0012422i,0.00053413-0.00077701i,-1.155e-05-6.1552e-05i,-0.00022113+0.00037761i,-9.3588e-05+0.00015171i,-0.00021505+0.00020291i,-0.00020622+0.00033185i,0.00030318-5.8253e-05i,0.00051668-0.0002854i
0.0023482-0.00036852i,0.0023551-0.00064482i,0.0012904-0.0018025i,-0.00021153-0.0016829i,-0.0010651+0.00096024i,-0.00068906+0.0017528i,-0.00032617+0.00076199i,4.8838e-05+0.00061234i,0.00030796+0.00050187i,-7.9288e-05+0.00020973i,-0.00011864-5.1404e-05i,8.5046e-05-3.4591e-05i,-0.00089677+0.00068341i,-0.0010624+0.00081285i,0.00023059+0.00082516i,0.00077437+0.00092541i,0.00060278-0.00045078i,0.00047741-0.0015098i,0.00024001-0.0012197i,-2.4776e-05-0.00093307i,0.00032763-0.0013771i,0.00030209-0.0011464i,-7.9566e-05-0.00019105i
0.00062759+0.00054647i,0.00061677+0.00051613i,0.00056741+0.00068553i,0.00093718+0.00028414i,0.00029288+0.00081583i,-0.0009677+0.0018262i,-0.001249+0.0021321i,-0.00086698+0.0016926i,-0.00012206+0.001157i,0.00013934+0.0005684i,-0.00022825-0.0004147i,-0.00075644-0.00054671i,-0.00034029+0.00038398i,0.00061829+0.00066962i,-0.00036342+0.00014115i,-0.00086088-0.00043791i,-0.00036269-0.00045718i,-0.00014187-0.00035993i,0.00020533+0.00034694i,-9.7743e-05+0.00019377i,0.00014623-0.00016825i,0.00055026-0.00049496i,0.00063973-0.00042651i
-0.0013663-0.0003743i,-0.0016985+0.00014389i,-0.00071523+0.00073891i,-0.00026386+0.00057535i,-0.00084893+0.00044909i,-0.00077138+0.0013859i,-0.00067716+0.0022578i,-0.0011336+0.0020955i,-0.0013731+0.00062438i,-0.00065619-0.00017001i,0.00074769-0.00021404i,0.00046309-7.7097e-06i,-0.00040546+0.00045933i,-8.3898e-05+0.00048148i,4.1597e-05-0.00054915i,-8.3359e-06-0.00063959i,-0.00026055+0.00022533i,-0.0008549+0.0004096i,-0.00095282+0.00026505i,-0.00082661-6.7308e-05i,-0.0008515-0.00078927i,-0.00056115-0.00029773i,-0.00018144+0.00060091i
-0.00019204+0.0013046i,0.00045309+0.00159i,0.0013184+0.0014289i,0.0016521+0.00039452i,0.00021901-0.00011609i,-0.0013201+0.00021166i,-0.0014099+0.0005051i,-0.00056375+0.00081986i,0.00015366+0.00034311i,0.00039216-0.00050331i,0.00021817-0.0005351i,-0.00042176-0.00055483i,-0.00023625-0.0005425i,0.00039812-1.5579e-05i,0.00025733+0.00046412i,-0.00044177+0.00057459i,-0.00057991+0.00086983i,-0.00046567+0.00082661i,-7.5873e-05+0.00011361i,0.00011638-0.00015985i,-0.00026112+8.5404e-05i,-0.00049043+0.00028299i,-0.00074286-0.00010491i
-0.00011256+0.00056467i,0.00048641+7.931e-05i,0.00055258+8.2737e-05i,-0.00026747+0.00077667i,-0.0017428+0.0011773i,-0.0018206+0.00084745i,-0.00074806+0.0012054i,-0.0008785+0.0015699i,-0.00026157+0.0009132i,0.00061763+0.00048991i,-0.00011843+0.0006421i,-0.000929+0.00040911i,-0.00053474-0.00028558i,0.00017603-0.00061126i,0.00075373+0.00011802i,0.00043832+0.00058112i,-0.00026645+0.00037992i,-4.7392e-05-0.00055948i,0.00043232-0.00089584i,0.00021734-0.00024694i,-0.00041715+0.00014897i,-0.00054851+8.235e-05i,-0.00020526+6.2726e-05i
-8.6953e-05+0.0014864i,-0.00088177+0.00038761i,-0.0001228+0.00063605i,0.0009833+0.00076804i,0.00087569+0.00056334i,0.00041641+0.00031678i,0.00026303+0.00036305i,7.5098e-05+0.00071954i,-0.00012069-0.00012218i,3.3027e-05-0.0011029i,-0.00023514-0.00079913i,-0.00070473-0.00050811i,-0.0010245-8.8682e-05i,-0.00099876+0.00077755i,-0.0006822+0.00066376i,-0.0010033+0.00036775i,-0.00067627-0.00038633i,0.00011642-0.00036303i,-0.000131-4.5878e-05i,5.1249e-05+4.2713e-05i,0.0006864+0.0004948i,0.00022596+0.00034393i,-0.00025451+0.00027509i
-0.0012262-0.0005488i,-0.0019882-0.00075639i,-0.00084083-0.00022301i,0.00011414-0.00024344i,-0.0003028-0.0002321i,-0.00048092+8.5163e-05i,-0.00019696+0.00021359i,0.0010301+0.00086729i,0.00057328+0.0013307i,-0.00089495+0.00075127i,-0.00064736+0.00015808i,-5.6707e-05+7.6321e-05i,-0.00059197-3.6718e-05i,-0.00015628-8.5757e-05i,0.00050267+0.00038438i,-0.00015274+0.00024688i,-0.00074668-0.00014979i,-0.00019358-0.00050979i,0.00063949-0.001444i,0.0005456-0.0012286i,0.00061375+0.00012443i,0.0011393+0.00070689i,0.00036212+0.0009611i
0.00091699+0.00027145i,0.00022272+0.00019027i,-0.00063212-0.00024274i,-0.0007227-0.00082342i,-0.0004816-0.0010042i,-0.00092657-0.00011407i,-0.00073915+0.0014289i,-1.8948e-05+0.0017255i,0.00040283+0.0011461i,0.00019261+0.00065175i,-0.00044325+0.00022813i,-0.00049943-0.00044621i,-8.0887e-05-0.00093796i,-0.00051139-0.00082955i,-0.00090267-0.00098822i,-0.00068278-0.00042178i,-0.00039998+0.00075188i,-0.0003011+0.00071964i,-0.00049209+0.00035171i,-1.3977e-05+0.00048456i,-3.5834e-05+0.00046497i,-0.00034816+0.00022873i,-0.00031089-0.00044575i
0.00073326+0.00027872i,4.2109e-05-1.5884e-05i,0.00021687-0.00037395i,-0.00023452+0.00030562i,-0.0012876+0.0012803i,-0.0015785+0.0020814i,-0.00097591+0.0027864i,-0.00023503+0.0020706i,0.00021214+0.00096787i,5.6538e-05+0.00023519i,-0.0001315-0.00015884i,6.7278e-05+0.00028961i,0.00039673-0.00013004i,0.00053582-0.00081573i,0.00027313-0.00028756i,0.00022552-9.4284e-05i,0.00083763+0.00019021i,0.00095968+0.00035846i,0.00070694+0.00027722i,0.00022138+0.00056984i,-0.00044562+0.00066281i,-0.0009109-2.4426e-05i,-0.00094333-0.00044136i
0.00066933-0.00084801i,0.0011687-0.00138i,0.0013687-0.001172i,5.1668e-05-0.00097893i,-0.00085034-0.00086391i,-0.00044304+8.5602e-05i,-0.00030458+0.0012708i,-0.00013524+0.0017639i,-0.00018293+0.0010203i,-0.00063311-0.0004279i,-0.00055689-0.0010232i,-0.00042974-0.00085567i,-0.0002798-0.00025041i,-0.00086315+0.00058202i,-0.0011449+0.00055658i,-0.00044343+0.00018944i,-0.00027045-7.3182e-05i,-0.00020293-0.0006956i,-0.00090575-0.00033882i,-0.00078522-0.00021909i,-0.00013599-0.0005184i,-0.00015517-0.00049685i,-0.00027016-0.00041692i
-0.0006954-0.0031337i,-0.0013352-0.0028184i,-0.0030056-0.0021023i,-0.002897-3.718e-05i,-0.0013326+0.0015744i,4.4491e-05+0.001819i,0.00044231+0.0018419i,-0.00016528+0.001184i,-0.0010513+0.00026794i,-0.0012755+0.00027781i,-0.00032821+0.00012269i,0.00075515+0.00026241i,0.0012572+0.00059861i,0.00094556+0.00010572i,0.0017318-0.0011544i,0.0019504-0.0017595i,-3.3101e-05-0.00051475i,-0.00081212+0.00099246i,0.000223+0.0011823i,0.00049946+0.00018763i,-3.3501e-05-0.00029436i,-0.00043567+0.0001485i,-0.00042585+0.00022557i
-0.0010408+0.0005962i,-0.00057601+0.00080186i,-0.00055359+0.0015582i,-0.00060867+0.0010908i,-0.00023413+0.00031513i,-0.0002222+0.0010954i,-0.00035138+0.0017158i,-0.00037246+0.0012792i,-0.00075572+0.00038576i,-0.00075616-0.00079356i,-0.00028845-0.0011411i,-0.00027016-0.0008855i,-0.00047442-0.00041343i,-0.00090568-7.9629e-05i,-0.00070479-0.00025174i,-0.00044222+0.00050862i,-0.00049716+0.00063834i,-0.00060595-0.00039865i,-5.937e-05-0.0012131i,0.0002833-0.00065556i,0.00011612+0.00040624i,8.3916e-05+0.00051317i,-0.00020194+0.00052007i
-0.00015773-0.0006071i,0.0011331-4.6063e-05i,0.0013747+0.00044603i,0.0007118+0.00058916i,0.00030135+0.00091851i,-0.00037289+0.001983i,-0.00084047+0.0028417i,-0.0012513+0.0025968i,-0.0011836+0.000922i,2.2784e-05-0.00030081i,0.00060826-0.0005853i,0.00049028-0.00053986i,-8.9961e-05-0.00022225i,-0.00027355-0.00048848i,6.8949e-05-0.00085305i,0.0005069-0.0014348i,0.00038501-0.00099893i,0.00041635-0.00064508i,0.00067033-0.00058787i,-0.00013214-0.00019883i,-0.00098056-0.00046968i,-0.00065322-0.00042849i,0.0004721+0.00018987i
0.00041044+0.00087797i,0.0013841+0.00061989i,0.0012811+0.00012862i,0.00036523+0.00043793i,-0.0003453+0.00049137i,-0.0016148+0.00094001i,-0.002075+0.0016294i,-0.00095884+0.0011058i,0.0001007-3.1953e-05i,5.1841e-05-0.00040542i,-0.00015994-0.00026045i,-0.00031347-0.00014605i,-0.00094438+0.00017762i,-0.0012351+0.00033587i,-0.0009454+0.00046837i,-0.0010712+0.00096149i,-0.0013309+0.00047789i,-0.0012525-0.00022922i,-0.0005414-0.00044841i,-0.00020189-0.00016985i,-0.00018051+0.00027215i,-0.00025619+0.000606i,-0.00038516+0.00077306i
-0.0026169+0.0029018i,-0.0019113+0.0034566i,-0.00052861+0.0019951i,-3.3775e-05+0.0005904i,0.00029589-0.0004117i,0.00042037+5.7352e-05i,0.00021804+0.0010372i,0.001+0.00089017i,0.0015037+0.00023478i,0.00042754-0.0007915i,-0.00057372-0.00054212i,-0.0001703+1.0496e-05i,9.8684e-05-0.00032209i,-0.00053363-0.00069159i,-0.00047006-0.00080164i,0.00049468-0.00049143i,0.00048277+8.9387e-05i,0.00025834+0.00090433i,0.00035765+0.00051396i,0.00067522-0.00044787i,0.00073207-0.00062333i,-0.00010695-9.9344e-05i,-0.00038242+0.00039678i
-0.0013211-2.0774e-05i,-0.0013713-0.00025149i,-0.00093456-0.0010565i,-0.0013355-0.0010979i,-0.0018483-0.00027618i,-0.0016477+0.00051038i,-0.0012195+0.0012904i,-0.0013426+0.0013817i,-0.0011929-6.3985e-06i,-0.0010339-0.00058649i,-0.00026089-0.00013727i,0.00056869-0.00016296i,0.00066645-0.00075191i,0.00047701-0.0010367i,0.00080044-0.00023481i,0.0010693+0.00021806i,6.256e-05+0.0004369i,0.00039913+0.00026535i,0.00077765+2.1968e-05i,5.9686e-05-0.00016587i,7.5539e-05-0.0010723i,7.726e-05-0.0013884i,-0.00045463-0.0001955i
0.0020721-0.001029i,0.0013117-0.001492i,-1.1417e-05-0.0015846i,-0.0012377-0.0015811i,-0.0011107-0.00045452i,-0.0011163+0.0015602i,-0.0012597+0.0024787i,-7.4223e-05+0.0017916i,0.0003975+0.00075328i,-9.8565e-05+0.00054977i,-0.00019299+0.00056604i,7.0904e-05-0.00020161i,-5.5713e-05-0.00012779i,-0.00064166+0.00036762i,-0.00043001+0.00016661i,-8.713e-05+0.00064626i,0.00049108+0.0004941i,0.00084558-0.00017366i,0.00040814+0.00049786i,5.9002e-05+0.00052774i,7.8899e-05-0.00044284i,0.00021364-0.00087038i,-0.00010004-0.00012799i
0.0016744-0.0012823i,0.00098279-0.00063356i,-0.00080277-0.0010723i,-0.0018505-0.00069365i,-0.0026624+0.0004939i,-0.0020611+0.0017428i,-7.7805e-05+0.002261i,0.0010206+0.0019309i,0.0010205+0.0010688i,-0.00032884-0.00010463i,-0.00052133-0.00014275i,0.00018422+0.00031886i,0.00052729+0.00048522i,0.00028514+0.00065849i,-0.00029229+0.00086132i,-0.00083416+0.00080777i,-0.0012403+0.00011669i,-0.0006699-0.00041048i,-0.00023832-0.00037537i,-0.00014618-0.00045098i,-0.0002791-0.00018075i,-0.00024132-0.00085707i,6.6594e-07-0.0010666i
-0.00093925-7.3069e-06i,-0.00047321+2.3913e-05i,-2.0465e-05+0.00015457i,-0.00041301+0.00010344i,-0.00077437+0.00055995i,-0.00073028+0.0017597i,6.7396e-05+0.0018004i,0.0013373+0.00074131i,0.0012775+0.00029337i,0.00066082+0.00030385i,1.0296e-05+0.00062954i,-0.00013372+7.6716e-05i,0.00035976-0.00065681i,-0.00044282+1.2561e-05i,-0.0010937+3.2777e-05i,-0.00061025-0.00049563i,-9.4026e-05-0.0005888i,3.6688e-05-0.00041483i,-0.00062642+2.4888e-05i,-0.00065876-0.0001457i,-4.7084e-05-0.00033637i,-7.9217e-05-0.00022789i,-0.00033789-0.00055658i
-9.8991e-05+0.0011527i,0.00021651+0.00090655i,0.00088161+0.0001576i,0.00090711-0.00030079i,0.00038697-0.00038381i,0.00022227+0.00017373i,6.834e-05+0.00084991i,-0.00018068+0.0018113i,-0.00022096+0.0017353i,-0.00019301+0.00091705i,0.00017104-0.00040054i,0.00025878-0.0010205i,0.00013866-0.00036302i,-0.00030629-0.00047852i,-0.00054576-0.001405i,-0.00024815-0.0015639i,-6.3573e-05-0.0011874i,0.00075222-0.00054163i,0.00081505+0.00018855i,0.00047339+0.00014236i,0.00054336+9.1599e-05i,0.00063796+0.00060331i,0.00010229+0.00074773i
0.00083447+0.0025864i,0.0024373+0.00091926i,0.002941-0.00051539i,0.0016128-0.001608i,-0.00024742-0.00084191i,-0.00111+0.00017919i,-0.0016208+0.00048465i,-0.00084185+0.0015061i,0.00043661+0.0018079i,0.0010083+0.0012564i,0.0005572+0.00091126i,0.00032248+0.00010192i,0.00088829-0.00043305i,0.00080029-0.0010257i,-0.00024543-0.0014998i,-0.00011934-0.00096027i,0.00019919-0.00031959i,0.00017396+2.5202e-05i,0.00085061+0.00014867i,0.0005844+0.00066127i,0.00012845+0.00077322i,0.00060465+0.00016358i,0.00067985-0.00018955i
0.00077801-0.00021443i,0.00064754-0.00075918i,0.00057363+0.0002675i,-0.00054931+0.0005292i,-0.0016053+0.00012465i,-0.0013938+0.001159i,-0.00056583+0.0028127i,-0.00015067+0.00198i,0.00033533+0.00036881i,6.5295e-06-2.5758e-07i,-0.00089038+0.00013363i,-0.00053107+0.00066954i,-0.00011157+0.00090337i,-0.0004591+0.00067929i,-0.0003598+0.00093067i,-0.00022576+0.0010125i,0.00042288+0.00059151i,0.00053748+0.00033089i,1.1854e-05+0.00033544i,6.9132e-05+0.00051778i,6.2634e-05+0.00086948i,7.7581e-05+0.00052767i,-0.00042236-0.00083357i
-5.0219e-05-2.102e-05i,0.00023679+0.00017522i,0.0011994+0.00016641i,0.0010457+0.00050006i,-0.00022706+0.001062i,-0.00059051+0.0022054i,0.00010824+0.0020625i,0.00050183+0.0011576i,0.00090663+0.00063836i,0.00037886-0.0003225i,0.00048655-0.001287i,0.00054411-0.00089i,-0.00016853-0.00032772i,-0.00054611-0.00069791i,-0.0011554-0.00074095i,-0.00066248+0.00032167i,-0.00012817+0.0010869i,-0.00077575+2.7657e-05i,-0.00025473-0.00085549i,0.00053993-0.00052492i,0.0002436-0.00054448i,2.9952e-05-0.00064712i,-8.1292e-05-0.00031481i
-0.0013539+0.0016679i,-0.00065897+0.00095764i,8.5678e-06+0.00080819i,0.00033276+0.00012223i,-0.00029051-5.7521e-05i,-0.0010037+0.00018107i,-0.0011705+0.0010882i,-0.00062059+0.0016956i,-0.00032035+0.00080689i,-0.00061966-0.00066548i,-0.00039854-0.00066067i,-2.2235e-05-0.00052859i,-1.6011e-06-0.00060674i,-0.00024784-0.00038173i,-0.00022709-0.00067989i,-0.0001607-0.0010372i,-0.00038292-0.00092957i,-0.00063627-0.00043805i,-0.00035652-0.00057923i,0.00040288-0.00051626i,0.00039644+0.00029494i,0.00018247+0.00074489i,0.00025961+0.00083312i
-0.0020238+0.00031163i,-0.0014434+0.001716i,-0.00075295+0.0018809i,2.8271e-05+0.00042543i,0.0010399-0.0006319i,0.0013876-0.00020028i,0.00048595+0.00099969i,-4.3923e-05+0.0014139i,0.00022581+0.001109i,0.00044467+0.0014043i,0.00057935+0.0012167i,0.00057614-0.00025072i,0.00054858-0.0012191i,0.0007542-0.001121i,0.0007748-0.00065573i,0.00010808-0.00086122i,-0.00027648-0.0011211i,-0.00030839-0.00051399i,-0.00033109-0.00032176i,0.0004543-0.000209i,0.00039041-0.00031226i,-0.00047961-0.0004596i,-0.00073716-7.8207e-06i
0.0015103-0.0010016i,0.00070373-0.0017221i,-0.00024421-0.00089904i,-0.00088988-0.00042036i,-0.0014143+0.00054872i,-0.0016648+0.0011474i,-0.0012343+0.0012722i,-0.00051719+0.0012562i,-0.000239+0.00040404i,-0.00030212-0.00019152i,-0.00070845-0.00042119i,-0.00064223-0.00067049i,-0.0005477-0.00060208i,-0.00049018+0.00059407i,-0.0003167+0.00072129i,-0.00062599+0.00093105i,-0.00040868+0.0018182i,6.124e-06+0.0015834i,0.00020178+0.00058756i,0.00041315-0.00055913i,0.00060517-0.0011356i,6.2675e-07-0.00040506i,-0.00025977+0.00075518i
-0.0032308-0.0022012i,-0.0032071-0.0016933i,-0.0030704-0.00046468i,-0.0022553+0.0011757i,-0.0016084+0.0020736i,-0.00082987+0.0022471i,-0.00019904+0.0024199i,-0.00042374+0.0012671i,-0.00058996+0.00063823i,-0.00085386+0.0011485i,-0.00040841+0.0007308i,0.00021943+0.00035697i,0.00044264+0.00069236i,0.000348+0.00025992i,0.00044935-0.00071689i,0.0005221-0.0008888i,0.00017226-0.0005494i,-0.00013356-0.00051194i,0.0003957-0.00047568i,0.00080724-0.0002936i,-2.8544e-05-4.6341e-05i,-0.00028028+0.00035152i,0.00061029+0.00061421i
0.0011462+0.00082489i,-0.00012934+0.00093391i,-0.00037984+0.0010774i,-0.00056756+0.00075298i,-0.0010567+0.00070036i,-0.0011356+0.0018156i,-0.00063831+0.0015448i,0.00033467+0.0005203i,0.00064028-0.00011326i,0.00038017-0.00078353i,0.00010158-0.00029048i,2.0017e-05+0.00050075i,-5.4068e-05+0.00033555i,0.00047199+0.00016788i,0.00033491+2.2046e-05i,-0.00034382-0.00013831i,0.00025762+0.00028738i,0.00085926+0.00013376i,0.00095977+1.8657e-05i,0.00087665+0.00060071i,0.00074936-0.00032354i,0.00011672-0.00066192i,-0.00025202-0.00074029i
-0.00056993-0.0025434i,-0.00026778-0.002256i,0.00034231-0.002378i,-0.0002409-0.0022934i,-0.0012233-0.0019106i,-0.0021092-0.00037606i,-0.0018725+0.00080381i,-0.00014446+0.0011052i,-0.00063569+0.0013087i,-0.0017474+0.00018618i,-0.0012054-0.00093165i,-9.9325e-05-0.00095489i,3.2648e-05-0.00055394i,-0.00077033-0.0002747i,-0.0016881-0.00017787i,-0.0015301-0.00026736i,-0.00041553-0.00035092i,-0.00012209-0.00025424i,0.00020242-9.9936e-05i,0.00026808+0.00056192i,0.00027322+0.00015316i,0.00059639-0.000489i,0.0013095+0.0002717i
-0.00064344+0.000956i,-0.001347-0.00042592i,-0.001867-0.00086544i,-0.0019324-0.00061438i,-0.0025384+0.00081283i,-0.0022593+0.0024701i,-0.0011592+0.0028918i,0.00021778+0.0030645i,0.0012168+0.0024479i,0.00064654+0.00080051i,0.00032223+0.00025263i,0.0005338+8.0995e-05i,0.00060887-0.00044524i,0.00033781-0.00029476i,0.00022289+0.00074933i,0.00038834+0.00026196i,0.00091175-0.00055574i,0.00069251-5.2174e-06i,-0.00016918+6.5006e-05i,-0.00020851+0.00023084i,-0.00037497+0.00022067i,-0.0003553-8.1292e-06i,-0.00028381+1.1896e-05i
-0.0017057+0.0033288i,-0.00061681+0.0030756i,0.0005003+0.0032341i,0.0016173+0.003094i,0.0026236+0.0015661i,0.0018015+0.00066006i,-5.2856e-05+0.0007633i,-0.00049132+0.00035358i,-0.00049781-0.00038842i,-0.00016533-0.00027613i,0.00072334+6.3019e-05i,0.0010601+0.00022354i,0.00068159-0.00014465i,-0.00075126-0.0010244i,-0.0011941-0.0017404i,-0.0010534-0.0013467i,-0.0015396-0.00030553i,-0.0014653+0.00015028i,-0.0013463+0.00017718i,-0.00093837-0.00023431i,-9.6556e-05-3.2044e-05i,0.00017444+0.00048712i,0.00011243-1.115e-05i
0.00047686-0.00053397i,-7.5092e-05-0.00060747i,-0.0006383-0.0012089i,-0.0011444-0.001324i,-0.0021323-0.00014435i,-0.0021542+0.00071832i,-0.001083+0.0014031i,-0.00086294+0.0014081i,-0.00078494+0.00092897i,-0.00048165+0.0010096i,-0.00055136+0.0010098i,7.5663e-05+0.0010336i,0.00025826+0.00075397i,7.4097e-05-0.00016667i,-8.6469e-06-0.0011401i,-0.00047207-0.0012996i,-0.00075003-0.00065561i,-0.00097213-0.00035649i,-0.0007298+1.0768e-05i,-0.00012623+0.0003703i,-0.00025855-0.00019919i,0.00019827-0.00011255i,0.00069043+0.00056045i
-0.0018643-0.00047433i,-0.0027491-4.3644e-05i,-0.0020528+0.00091437i,-0.00063592+0.0019281i,-5.3505e-06+0.0015339i,-0.00059438+0.00070751i,-0.0010169+0.001309i,-0.00042581+0.0020773i,7.8705e-05+0.0011347i,0.0006221-0.00013403i,0.00071778-0.00051332i,0.00063463-0.00054716i,0.00064797-0.00060015i,0.00017372-0.00057957i,-0.00023459-0.00044714i,-0.00065318-0.00062475i,-0.00016936-0.00051362i,0.00050926-0.00030285i,0.00026287-0.00029262i,0.00029445-9.5462e-05i,-0.00029627-0.00020704i,-0.00030685-0.00049788i,0.000289-0.00057229i
-0.0013429+0.0005314i,-8.2402e-05+0.0017162i,0.00046181+0.0028325i,0.00038932+0.0021659i,0.00035611+0.0014824i,0.00026259+0.001323i,-0.00034007+0.00090439i,-0.0010479+0.0008343i,-0.00074427+0.00041508i,0.00014389-0.00012387i,0.00053979-0.00065489i,0.000527-0.00079836i,-0.00048024-0.00048635i,-0.0012235+0.00031088i,-0.00057851-0.00021122i,-0.00017927-0.00074354i,-0.000248-0.00027855i,0.00019339+0.00081899i,0.00027318+0.0010532i,-3.4778e-05+0.00037005i,-0.00050874-0.00014789i,-0.00065497-0.00038252i,-0.00039826-0.00039188i
-0.0017277-0.00025254i,-0.0017533-0.00067931i,-0.0013557-0.00081629i,-0.001735-0.0006376i,-0.0020426-0.00071278i,-0.0013921-0.00083923i,-6.6327e-05+9.5717e-05i,0.00078925+0.0010691i,-4.5292e-05+0.0012158i,-0.0002934+0.00053052i,0.00010582+9.8711e-05i,0.00045874-4.3203e-05i,0.00058474-0.00011324i,1.4671e-05-0.00041526i,0.0002378-0.0011652i,3.5418e-05-0.0012253i,-0.001613-0.0007422i,-0.0017077-0.0008995i,-0.0010116-0.00049758i,-0.00069282-7.5843e-05i,-0.00054504+4.7137e-05i,-0.00023233+0.00036884i,-0.00079185+0.00033447i
-0.0046692+0.0030611i,-0.0049189+0.0045496i,-0.0029653+0.0058987i,-0.00031047+0.0052927i,0.00056478+0.0044907i,0.0007835+0.0029552i,8.585e-05+0.0018147i,-0.00043273+0.0010079i,-0.00012559+0.00099395i,0.00013677+0.0011246i,-2.4591e-05+0.00017418i,-0.0002417-0.00034523i,-2.2756e-06-0.00072269i,-0.00011401-0.0017593i,-7.6177e-05-0.0021842i,4.7463e-05-0.0015071i,6.5812e-05-0.00047175i,0.00040296+0.00035426i,-4.0904e-05-0.00011515i,-0.00088993-0.0010294i,-0.00072542-0.00086259i,0.00015503-0.00013156i,-1.2013e-05+0.00047814i
0.0094124-0.003691i,0.0095707-0.0067551i,0.0060753-0.010352i,0.00018883-0.0078053i,-0.0040567-0.0038804i,-0.0038634+0.0012116i,-0.00064639+0.0033759i,0.0014778+0.00186i,0.0013687-0.0005872i,-0.00082602-0.0022602i,-0.0023399-0.0013486i,-0.0017274-0.00042936i,-0.00093611+0.0013612i,-0.0010704+0.0036846i,-0.0013817+0.00445i,-0.0010324+0.0038319i,-0.00021075+0.0016973i,0.00090265+2.3989e-07i,0.0017726-0.00029494i,0.0011039+0.00010932i,8.6468e-05-0.00040032i,-0.00039151-0.00094385i,-0.00054533-0.00027019i
0.0013068-0.0010265i,0.0014312-0.0020878i,-0.00029636-0.0037139i,-0.0018682-0.00249i,-0.0024841+0.00045292i,-0.0028023+0.0027692i,-0.0017858+0.0038286i,-0.00032323+0.0034607i,-0.00051474+0.0018705i,-0.0014972+0.00046176i,-0.001594+0.00012616i,-0.00084884+8.8355e-05i,-5.5736e-05+0.00034729i,0.00017525+0.0011374i,-7.0141e-05+0.0010458i,-0.00070363+0.00058941i,-0.00061098+8.3167e-05i,-0.00058968-0.00058418i,-0.00071376-0.00029712i,-3.2545e-05+0.00050017i,-6.3859e-05+0.00042545i,-0.001276-0.00023597i,-0.00099161-0.00017882i
