-0.0018255+0.00028196i,0.00034008-0.00023854i,0.00042375+0.00035158i,-0.00053715+0.00095349i,-0.00085792+0.0018792i,-0.00029692+0.0021022i,-0.00028941+0.001121i,0.00045654+0.00087352i,0.0010366+0.0013329i,0.0013047+0.0010983i,0.0018231+0.00090807i,0.0010121+0.00044965i,0.00011981-0.00048901i,0.00018916-0.0008002i,-0.00021398-0.00036114i,-0.00080062+0.00010163i,-0.00060183+0.0004765i,-0.00045534+0.00074669i,0.00013637+0.00036459i,-0.00014083+0.00030107i,0.00029451+0.00016473i,0.00082292-0.00066623i,6.1434e-05-0.00052337i
0.0011025+6.9746e-05i,0.0012746-0.00069676i,0.0011964-0.00064209i,-0.00018492+0.00013571i,-0.00019339+0.00019762i,0.00012852-0.00042495i,-0.00045769-0.00086882i,-0.00035123-0.00040478i,0.00080318+4.4522e-05i,0.00095912+0.00024188i,0.0005311+0.00023177i,-0.00025455+0.00057645i,-0.00083311+0.00010088i,-0.00030354-0.00011485i,0.00032766+0.0001352i,0.00049595+0.00040233i,0.00070231+0.0010029i,0.00040768+0.00078051i,-0.00037217+6.1705e-05i,-0.00071249-0.00046352i,-0.00029696-0.00074387i,-0.00016938-0.0002566i,-0.00026568+0.00046949i
0.0026186-0.00020172i,0.0025348+0.00044415i,0.0021436+0.00020439i,0.0010442-0.00027158i,-1.7952e-05-0.00027459i,-0.00017747+1.7748e-05i,7.9673e-05+0.00052999i,-0.00033207+0.00034239i,-0.00033205+1.409e-05i,-0.00016507-0.00082569i,-0.00030032-0.0007549i,-2.5197e-06-0.00039191i,0.00052918-3.7414e-06i,0.00057706+0.0005789i,5.8568e-05+0.00049069i,-0.00030637+0.00035493i,0.00025555+0.00012558i,0.00086409-0.00045951i,0.0011839-0.00055965i,0.0011478-0.00012381i,0.00021158-5.6085e-05i,-0.00091864-0.00025222i,-0.00076287-4.2078e-06i
0.00023981-0.00012674i,0.00082144-0.00011879i,0.00064472+0.00027557i,0.0006375+7.9533e-05i,0.00075466+0.00019499i,0.00031989+0.00052067i,-0.00039867+0.00039885i,-0.00037202+0.00051269i,0.00064781+0.00093682i,0.0012787+0.00086524i,0.00066293+0.00044473i,0.00018654+0.00048023i,0.00010236+0.00052923i,-0.00025363+0.00036307i,-0.00049067-0.00042723i,-8.051e-05-0.00037913i,-0.00031201+0.00043794i,-0.00089551+0.00034442i,-0.00057603-0.00014658i,-0.00017407-0.00010829i,2.8126e-05-0.00027524i,0.00066469-0.00024206i,0.00081204+0.00048481i
0.00063216-0.00062265i,0.00076255-0.0010561i,0.00093259-0.00054529i,0.00016099+0.00054881i,-0.0010114+0.0014759i,-0.00059769+0.0010936i,0.00014579-3.4895e-05i,0.00011603-5.2948e-05i,7.408e-05+0.00013985i,0.0001206-0.00022647i,-0.00053746-0.00082335i,-0.00082389-0.00054495i,-0.00064366+2.5898e-05i,-7.1302e-05+9.0282e-05i,0.00032707+0.0003252i,-0.00013854+0.00028515i,0.0002166+0.00017662i,0.00068725+0.00033118i,0.00051101+0.00045217i,-9.3805e-05+0.00047284i,-0.00047283-0.00020217i,-0.00037377-0.00040571i,1.5065e-07+1.5215e-05i
0.00040141+0.0012438i,0.00077872+0.00010627i,0.00045803+0.00011674i,-8.5727e-05+0.00078305i,-0.00031284+0.001249i,6.3158e-05+0.0009543i,-8.5195e-08+0.00064705i,-0.00045187+0.00014322i,-1.7415e-06+4.8527e-05i,0.0006826+0.00012938i,0.00055797-0.00029209i,0.00011225+0.0003033i,-0.00075658+0.001098i,-0.0011846+0.00069589i,-0.00016724+0.0003949i,0.00046634+0.00072421i,0.00035217+0.00010753i,5.6773e-05-0.00087272i,-8.8789e-05-0.00038684i,-7.5849e-05+4.6906e-05i,0.00050337-0.00029624i,0.00022193-0.00025379i,-0.00051575-0.00010624i
-0.0006484-0.00025592i,0.00049925+0.00017337i,0.00068378-0.00068285i,-0.00029353-0.00086848i,-0.0010579+0.00017882i,-0.00082653+0.00097708i,-6.1444e-05+0.00038914i,5.2822e-05-9.371e-06i,0.00061422+0.00089079i,0.0005679+0.0012237i,3.2469e-06-0.00024246i,-0.00021906-0.0010729i,-0.0001787-0.00048923i,0.00069146-0.00029006i,0.0013132-0.00072684i,0.0010157-0.00078478i,0.00025732-0.00015587i,-0.00023161-0.00030836i,1.1567e-05-0.00060644i,0.00020367-0.00012592i,-5.863e-05-0.00046008i,0.00014751-0.00056269i,5.7676e-06-0.00019218i
0.00014764-0.0010885i,-0.00038496-0.0013512i,-0.00062016-0.00084941i,-0.00082026+0.00016688i,-0.00076727+0.00075806i,-0.00070043+0.00021588i,5.5917e-06-0.00037588i,0.00034934-0.00023891i,0.00060453+0.00050164i,0.00081842+0.0002728i,0.00019766-0.00067235i,-0.00029709-0.00047498i,-0.00067404+0.00043975i,-0.00075132+0.00043143i,0.00021972-0.00010344i,0.0009435-0.00029505i,0.00051494-0.00021442i,0.00029134+0.0002801i,0.00020554+0.00059504i,0.00010348+0.00043457i,-7.4497e-05-3.9828e-05i,-0.00047053-0.00059448i,-0.00043255-0.00037404i
0.00096283+0.00012595i,0.0023838-0.0010261i,0.0023559-0.0014752i,0.00098736-0.000819i,-0.00019968+0.00026336i,-0.00015412+0.00010329i,-0.00012938-0.00020345i,-0.00022644+0.00020948i,8.0613e-05+0.00094657i,3.9926e-05+0.00081831i,0.00034566+0.00045437i,0.00051062-0.00011337i,0.00011841-0.00056576i,8.3312e-05-0.00029466i,0.00038349-4.242e-05i,0.00017033-0.00049217i,0.00013004-0.00031655i,0.00063835-0.00025095i,0.00087434-9.1753e-05i,0.00086438+0.00031348i,0.00056417+0.00080633i,0.0001694+0.00060962i,3.925e-05+0.00026764i
0.00034071+0.0007463i,0.00011646+2.5375e-05i,0.00034634+0.00077252i,0.00056148+0.00066488i,0.00019446-0.00019001i,-0.00081347-0.00036139i,-0.0019067-0.00029576i,-0.0017691-0.00059803i,4.4457e-05-0.00086188i,0.0014103-0.00052822i,0.00083641+9.478e-05i,-0.00033385+0.00054199i,-0.00023994+0.0013528i,-7.1003e-05+0.0012732i,3.041e-05+0.00010671i,0.00085238+0.00018795i,0.00072489+0.00043524i,0.00037258-0.00034972i,-0.00028413-0.00037169i,-0.0011672+0.00042644i,-0.00076844+0.00085936i,0.00025812+0.00050681i,0.00081141-0.00017295i
0.00044738+0.00052259i,0.0012782+0.00091877i,0.00099025+0.00060599i,0.00065294+0.00016905i,0.0008744+9.8178e-05i,0.00092887-0.00071395i,0.00019558-0.0014443i,-0.00068165-0.00055029i,-0.00082801+0.00038821i,-0.0002096+0.00041025i,-0.00016076+0.00031812i,0.00045258+8.7876e-05i,0.0010323-0.00065254i,0.00047183-0.00074575i,-1.2668e-05-9.8468e-06i,-0.00017245+0.00035715i,-0.00072737-6.9089e-05i,-0.00062063-0.00044909i,-4.7318e-05-0.00055522i,0.00015681+0.00014553i,-0.00063471+0.0005872i,-0.00096639-0.00058916i,-0.00038983-0.00098847i
