-0.0027553-0.0015067i,-0.00033254-0.0027908i,-0.0019527-0.00087382i,-0.0024734+0.00046458i,-0.00090632+0.0010255i,0.0008404+0.00061667i,0.00063644-0.00028964i,-0.00034233-1.4681e-05i,3.1395e-05+0.0003522i,0.00084288+0.0006624i,0.00091631+0.0010163i,-6.2552e-05+0.00016244i,-0.0011714-0.00092296i,-0.0014186-0.0010102i,-0.0010809-0.00045057i,-0.00095781-0.00059953i,-0.00083423-0.001006i,-0.00039013-0.00025176i,0.00017607+0.00061205i,0.00062717+0.00038117i,0.0008788-0.00013961i,0.00063455-0.00012357i,0.00077548+9.2191e-05i
0.00042894+0.0014398i,0.00046623+0.00078439i,3.5585e-06-0.0013159i,-0.0008241-0.0021504i,-0.0012624-0.0013447i,-0.0012985+0.00031662i,-0.0012517+0.0010037i,-0.00091438+0.00023269i,-0.00041846-0.00067442i,-0.0007383-0.0007897i,-0.00054029-0.00045964i,0.00018589-0.00012025i,0.0010378-6.2393e-05i,0.0013126+7.7321e-05i,0.00083436+0.00011597i,0.00020827-3.4354e-05i,-0.00043523-0.00012372i,-0.00027235-0.00021764i,-0.00023001-0.00046387i,-7.0635e-05-0.00044203i,0.00036827+0.00010199i,0.00033278+0.00022537i,0.0001313-4.846e-05i
-0.002506+0.00018833i,-0.002249-0.0011263i,-0.0008055-0.0015309i,-0.00021458-0.00078553i,-0.00039949-0.00093792i,-0.00026874-0.0007712i,0.00018618+0.00035433i,0.00049428+0.0010645i,0.00060766+0.00066062i,0.00070457-0.0005108i,0.0010646-0.00096963i,0.00090735-0.00082801i,-5.9141e-05-0.00093822i,-0.000728-0.00055228i,-0.00052634-0.00060157i,-0.00061531-0.00095288i,-0.00029395-0.00024471i,0.00031167+0.00070461i,7.4017e-05+0.00048603i,-0.0001361-0.00016171i,0.00025243+6.9201e-05i,0.00035312+0.00071552i,0.00025693+0.00095362i
0.00055481-0.0012619i,0.00047158-0.0014315i,-3.8471e-05-0.0011975i,0.00026838-0.00047892i,0.00062941-0.00035124i,-0.00023382-0.00054562i,-0.00082247-0.00077168i,-9.7344e-05-0.0006309i,-4.7852e-06-2.441e-05i,-0.00060827+0.00036167i,-0.00077768-0.00025143i,-0.00015215-0.00077643i,0.00032314-0.00078183i,-0.00013724-0.00059299i,-0.00088836-0.00048602i,-0.0012399-0.00056466i,-0.001803-0.00045632i,-0.0010544-0.00087475i,-0.00015652-0.00067381i,-0.00030943+0.00010395i,0.00014182+0.001058i,0.00083339+0.00090914i,0.00090421+0.00047181i
0.00089107-0.00081676i,0.00026687-0.00061341i,-1.1278e-05-0.00013679i,-1.4462e-05-0.00030365i,-6.9962e-05-0.00044493i,-0.0012863-0.00012829i,-0.0020467+1.0276e-05i,-0.0012195+0.00021304i,-0.00086096+1.4699e-05i,-0.00075221-0.00049948i,-0.00057361-8.4745e-05i,-0.00081787+0.0009191i,-0.00096662+0.0010875i,-0.0003452+0.00032043i,0.00023262-0.00044937i,0.00054733-0.0008391i,0.00062622-0.00059726i,-0.00036413-0.00013504i,-0.00079905+0.00045232i,0.00046027+0.00055531i,0.00086564+0.00023848i,0.00038492+0.00037711i,4.0785e-05+0.00077649i
-0.0008559+0.00060091i,-0.00039201-0.00064782i,0.00023201-0.00099953i,-3.7718e-05-0.001068i,-0.0010013-0.00106i,-0.0016595-0.00052436i,-0.0014414-0.00022243i,-0.00028056+5.4924e-05i,0.00087759+0.00054585i,0.00098655+0.00098112i,-0.00028927+0.00062666i,-0.00074604-0.00021608i,0.00027661-0.00030056i,0.00098961-0.00027676i,0.00050355-8.1327e-05i,-0.00073563-0.00027754i,-0.00074191-0.00053324i,0.00010478-0.00052926i,0.0011074-0.00012084i,0.00095527-0.00020563i,-0.00025148-0.00050613i,-0.00055533+1.0036e-06i,-0.00028761+0.000107i
0.00075862-0.0011759i,0.00095845-0.0023958i,-0.00013083-0.002991i,-0.00028345-0.0021449i,-5.9785e-05-0.0010508i,2.9782e-05-0.00029441i,9.2244e-05-1.7382e-05i,-0.00030195-0.00024405i,-0.00014665-0.0007045i,0.00055721-0.00045558i,0.0013436+0.00031008i,0.00088759+0.00060633i,0.00061695+0.00044754i,0.00055158+0.00026455i,-0.00016116+0.00035124i,-0.0004397+0.00048151i,0.00023274-4.1903e-05i,0.00058721-0.0006921i,-0.00018582-0.00070907i,-0.00093015-0.00047823i,-0.00097891-3.3399e-05i,-0.0008725+0.00014644i,-0.00086523+0.00011258i
0.0011504+0.001283i,0.0009231+0.00095948i,0.00047012+0.00031908i,1.1393e-05-0.00013384i,9.6917e-05-0.0011386i,-1.5817e-05-0.00071038i,-0.00065107+5.5654e-05i,-0.00046079-0.0002374i,-0.00012196-0.00036653i,-0.00068332-0.0003251i,-0.0012053-0.00079869i,-0.00080869-0.0011483i,0.00021011-0.00065088i,0.00092622-0.00015712i,0.00059801+0.00025456i,-0.00047458+0.00068939i,-0.00034323+0.00036089i,0.00043703-0.00014268i,0.00041833-0.00074363i,0.00023222-0.00089967i,0.00021135-9.57e-05i,-0.00046335+0.00039991i,-0.00091428+0.00077611i
-0.0029362-0.00053472i,-0.0029528-0.0010612i,-0.0016855-0.0012107i,-0.00073579-0.00065612i,-0.00091396-0.00012433i,-0.00072843-0.00050554i,-0.0007713-0.00080484i,-0.0012281-0.00099144i,-0.00071408-0.0011067i,-0.00052972-0.00086839i,-0.00012229-0.00080774i,0.00086797+0.00027249i,0.00035733+0.0011892i,-0.00071549+0.00087922i,-0.0015293+0.00096888i,-0.0015826+0.00073964i,-0.000434+0.00067443i,3.3737e-05+0.0005892i,4.6826e-06-2.9279e-05i,-0.00037216-0.00013087i,-0.00026809+0.00043221i,0.0002323+0.0011055i,0.00018295+0.0009244i
0.00094168-0.0024758i,0.0011533-0.0014756i,0.00042454-0.00033187i,0.00074088-0.00019855i,0.0005794-0.00059855i,-0.00046659-0.00061409i,-0.00076155-0.00013192i,-0.00012867+0.00032941i,0.0001513+0.00046276i,-0.00031472-0.00044755i,-0.00097424-0.001153i,-0.00091977-0.0012136i,-0.00035231-0.00025599i,0.00011399+0.00035698i,0.00010097-5.3113e-05i,-0.00065733+1.469e-05i,-0.00089214+0.00044231i,-0.00028659+6.2115e-05i,0.00052308-0.00050571i,0.00016859+5.3127e-05i,-8.9105e-05+9.7674e-05i,0.00020911-0.00047963i,-9.1981e-05-0.00017622i
0.0017943+0.0005831i,0.0013242+6.7369e-05i,-0.000479-0.00070347i,-0.0013433-0.00046993i,-0.001016+0.00013381i,-0.00055319+0.00027346i,0.00051652+0.00027012i,0.00083367+0.0004711i,0.0001462+0.00058896i,4.7853e-05+0.00095536i,-0.00031547+1.2669e-05i,-0.0011078-0.00093787i,-0.0011569-0.00082568i,-0.0005995+0.00025155i,-0.00047468+0.00090019i,-0.00071272-7.9513e-05i,-0.0004582-0.00034627i,-1.3601e-05-6.6296e-05i,-0.00055446-0.00056452i,-0.0007456-0.00062096i,-0.00054616-0.00019016i,-0.00049933-5.8833e-05i,0.00013987+0.00019342i
