0.0019771-0.00042526i,0.0016655-0.0012416i,0.00052373-0.0022045i,-0.0014878-0.0020955i,-0.0025049-0.00093808i,-0.0019533+0.00070556i,-0.0012065+0.0019496i,-0.00055881+0.0012413i,0.00033148-0.00023736i,0.00086546-0.00087098i,0.00099999-0.0013051i,0.00061018-0.00077501i,-0.00029302+0.00016075i,-0.0013658+0.00071707i,-0.0016115+0.00015143i,-0.00054868-0.00048127i,0.00031248-0.00032355i,-6.1806e-05-0.00045834i,-0.00018088-0.00065629i,0.00016525+0.00011747i,-0.00042596+5.3402e-05i,-0.00046368-0.00058034i,-0.00014819-0.00029277i
-0.0003152-0.00026725i,-0.0002798-1.549e-05i,-0.00073722+0.00037611i,-0.00033985-3.582e-05i,0.00055266+0.00040372i,0.001138+0.00023278i,0.00032382-0.00073939i,-0.00051714-0.0010376i,-0.00050647-0.00090351i,-0.00045862-0.00040695i,-0.00050301+0.00027224i,-0.00046655+0.00020057i,-0.00022709+7.4587e-05i,0.00061759+0.00064246i,0.00089023+0.00061755i,0.00054396+0.00071045i,0.0004554+0.00074614i,0.00035909+0.00096291i,0.00066028+0.0008716i,0.00046223+0.00021889i,0.0002259+0.00032218i,-0.00016339+0.00043722i,-0.00011463+0.00022299i
-0.0018314+0.00060429i,-0.0016705+0.00092446i,-0.0011243+0.00084348i,-0.0010087+0.00048516i,-0.0013741+0.00071672i,-0.00076277+0.0015843i,-0.00066027+0.0013831i,-0.0011538+0.0005519i,-0.0007438+6.6519e-05i,-0.00027636+0.00027921i,6.7563e-05-0.00011677i,0.00023945-0.00015716i,-0.00016086-0.00031524i,0.00011018-0.00057725i,0.00020201-0.00042077i,0.00031086-0.00030382i,0.00040352-0.00020999i,-8.8135e-05+0.00013899i,-7.0568e-05+0.00027107i,0.00063481-0.00018737i,0.00048912-0.00026476i,-0.00073841+0.00010327i,-0.00099712+0.00027823i
0.0013859-0.001209i,-8.619e-05-0.00055737i,-0.00072186-0.00017278i,-0.0004708+0.00030197i,-0.00049954+0.00031014i,-0.00080763+0.00029367i,-0.00074191+8.9155e-05i,-0.00029353-0.00053859i,-0.0001662-0.00084298i,-0.00014099-0.00080444i,-5.0534e-05-0.00064134i,0.000273-4.2685e-05i,-0.00063535+0.00043882i,-0.0015666+0.00097826i,-0.00074502+0.0010395i,8.765e-05+0.00060902i,0.00033074+0.00026671i,0.00065764+0.00060622i,0.00043576+0.00070347i,-0.0001589+0.0001678i,-0.00054089+1.2116e-05i,-0.00063867-0.00020966i,-0.00023508-0.00042463i
-0.00040355-0.00065321i,-0.0018158-0.00039441i,-0.0016695+0.00097646i,-0.0013167+0.0010671i,-0.0016283+0.00099447i,-0.0014718+0.00076365i,-0.0011099+1.4726e-05i,-0.0010403+0.0003674i,-0.00061394+0.0005052i,-0.00011892+0.00011863i,-3.3422e-05+0.00040414i,0.00063497+0.0004897i,0.0015222-0.00020506i,0.00060983-0.00039213i,-0.00097092-0.00017003i,-0.0009008+3.004e-05i,0.00022189-0.00025824i,0.00091342-0.00043592i,0.00041293-0.00030862i,-0.00049581+0.00017125i,-0.00099351+0.00046383i,-0.00094343+0.00086085i,-0.0001905+0.00095715i
-0.00075254+0.0012876i,-0.0011031+0.0018025i,-0.00083437+0.0011625i,-0.00027135+0.00033853i,0.00011121-5.3418e-05i,-0.00083609-0.00083869i,-0.001435-0.00052503i,-0.0005888+0.00017023i,0.00035364+0.00010242i,-9.0087e-05+0.00042412i,-0.00044471+0.00033163i,-0.00010623-0.00025882i,-0.00036792-0.00072833i,-0.00084253-0.00097848i,-0.00043281-0.00071032i,0.00020359-0.00083884i,0.00013723-0.0014624i,5.1221e-05-0.00074522i,0.00056158+0.00023333i,0.00051658+0.00055536i,0.0005766+9.6145e-05i,0.0010883-0.00091194i,0.0012518-0.0010024i
-0.00012728+0.001287i,5.8537e-06+0.0013714i,0.0001038+0.00096447i,0.00014402+0.00024246i,0.00020011+0.00024498i,-0.00018761+0.00010971i,-0.00058489-3.764e-05i,-0.00078603-0.00016409i,-0.00066052-0.00011616i,0.00017112-0.00036158i,0.00052817-0.00044052i,0.00052941-0.00041962i,0.0010203-0.00038675i,0.00075041-0.00057342i,0.00051143-0.0009416i,0.00058355-0.0010403i,0.00042506-0.00067235i,-1.9672e-05-0.00015067i,-0.00036984+0.00039562i,-0.00061956+0.0010687i,-0.0005225+0.00083774i,-0.0003838-8.7215e-05i,3.2113e-05-0.0001504i
0.0010258-0.00064327i,-0.00047426-2.4144e-05i,-0.00077113+0.00056362i,0.00044798+4.5248e-05i,0.00013445-0.00036895i,-1.5034e-05+0.00020479i,0.00046513+0.00088393i,-6.096e-06+0.00016676i,-0.00072619-0.00048454i,-0.00037934-0.00011396i,0.00039701-0.00011809i,0.00017937-0.00042776i,-0.00038603+9.1983e-05i,-0.00051518+0.00078853i,-0.00082386+0.00085985i,-0.00099675-0.00015809i,-0.00017689-0.00073358i,0.00028308-0.0008302i,-4.2806e-05-0.00055129i,5.2526e-05-0.00030875i,0.00019348-0.00014271i,9.9805e-05+0.00074613i,0.00027993+0.0005864i
-0.00027243+0.0002826i,-0.00029862+0.0012206i,-0.00070476+0.0012645i,-0.0010988+0.00027686i,-0.0017161+0.0002821i,-0.0011873+0.00056167i,-0.00093813+0.00054065i,-0.00063214+0.00054756i,1.4343e-05-8.8738e-05i,-0.00017202-0.00049829i,-0.00051864-0.00015601i,-0.00014476+0.00010383i,0.00093535-7.2576e-05i,0.0012819-2.8175e-05i,0.00071652+0.00028523i,0.00056822+0.00058416i,0.00016114+0.0011206i,0.00017776+0.0010489i,0.00050716+0.00051627i,-0.00042319-3.0986e-05i,-0.0010772-0.0011214i,-0.00055964-0.00092952i,0.00019343-0.00028778i
-0.0016623+0.0023529i,-0.0010221+0.00139i,-0.0006526+0.0002222i,0.00022188-4.7389e-05i,0.00073384-0.00028946i,-0.00030146-0.0010673i,-0.00051668-0.001254i,0.00020422-0.00050769i,0.00029872+5.3369e-05i,0.00058136+0.00010605i,0.00048457+0.00012997i,5.5388e-05+0.0004778i,0.0001017-0.00027433i,-0.00014904-0.0011403i,-0.00017648-0.0016832i,-0.0002045-0.0012081i,0.0001534-0.00027885i,0.00055282+9.1108e-05i,-5.1378e-06+0.00050443i,2.8645e-05+0.0006857i,0.00066702+0.00082204i,0.0005491+0.00027373i,3.5478e-05+4.5675e-05i
0.00045008-4.4998e-05i,0.0010408-0.0007239i,0.00038659-0.00023114i,-0.00013877+1.5732e-05i,-0.0006287-0.00084404i,-0.00046116-0.0014582i,-0.00016622-0.001179i,-5.2559e-05-0.00052668i,-9.9228e-05+0.00052503i,-0.0010564+0.00013462i,-0.00077739-0.00057645i,0.00073939+3.2743e-05i,0.00092585+0.00074289i,0.00037269+0.00071709i,4.1443e-05+0.00050359i,-0.00044813+0.00056779i,-0.00060038+0.00038428i,8.0705e-05-2.7033e-05i,0.00071341+0.00022158i,0.00031352+0.0001992i,-8.7432e-05-0.00027815i,-4.9923e-05+0.00034961i,0.00028937+0.00041067i
