0.0024769+0.0002948i,0.0035358-0.00032397i,0.0025154-0.00092036i,0.00073345-0.0019642i,-0.0007525-0.0021433i,-0.0017202-0.00023897i,-0.0014229+0.0013736i,-9.4117e-05+0.00056978i,0.0011288-0.0011268i,0.0012042-0.0016267i,-0.00018369-0.0018912i,-0.00056231-0.0021792i,-0.0005356-0.0016741i,-0.0008969-0.00037372i,-0.00077733+6.8079e-06i,-0.000608-9.005e-05i,-0.00080796-0.00016046i,-0.00038144+0.00018797i,0.00036805+0.00094651i,0.00044344+0.00041742i,0.00011553-0.00021017i,-0.0007058-0.00026225i,-0.00064576-0.00044683i
-0.002664+0.00065369i,-0.002821+8.2096e-05i,-0.0028128-0.00063846i,-0.0025455+0.00044704i,-0.0023992+0.0020247i,-0.00082967+0.0016831i,0.00057754+0.00062552i,-2.374e-05+0.00039013i,-0.00059034-0.00013457i,-4.0084e-06-0.00045565i,0.00032345+0.0002651i,-0.00020085+0.00053812i,3.6202e-05+0.00047468i,0.00045737+0.00070478i,0.0006557+0.0005151i,0.0008112+0.00075721i,0.00067744+0.00093895i,0.00057936+0.00035193i,0.00041133+0.00032358i,0.00049077+0.00033955i,0.00018674+2.1289e-05i,-0.00014551-0.00039542i,-6.1461e-05-0.00076255i
1.0432e-05-0.0013435i,-0.00045658-0.00050229i,-0.0013092-0.00086012i,-0.0011197-0.0012988i,-0.0012398-0.0011748i,-0.0015449-0.00033046i,-0.00034685+0.00016796i,0.00042593+0.0002239i,-0.00015386-0.00017137i,-0.0004067-0.0007382i,-0.00041444-0.00040695i,0.00020741-0.00029267i,0.00059607-0.00024336i,0.00026225+3.1986e-05i,-0.00032083+2.937e-05i,-0.00080156-0.00038213i,-0.00044479-0.00087755i,-0.0004141-0.00098555i,-0.00051231-0.00037888i,-0.00072281-0.00066577i,-0.00032873-0.0012173i,-0.00019499-0.00028668i,-0.00019761+4.726e-06i
-0.00035065+0.0014488i,0.00042392+0.001017i,0.00092194+0.0011133i,0.0010839+0.0014617i,0.00099497+0.00099474i,0.00060505-0.00059577i,0.00017432-0.0013047i,4.0488e-05-0.00085254i,-0.00023258-4.3612e-05i,-0.00036746-4.5204e-05i,-0.00033775-0.00015179i,0.00026412+0.00030066i,0.00073445+0.00041567i,0.00030604+0.0003316i,-0.00012392+0.00040432i,-0.0003126-3.7973e-05i,-0.0007866-0.00016548i,-0.00060363+0.00019865i,4.711e-06-2.7469e-05i,0.00018801-0.00098848i,7.8178e-05-0.0015796i,0.0002226-0.0011879i,0.0007113-0.00040686i
0.00028658+0.0013183i,-0.00061388+0.0021507i,4.4192e-05+0.0025466i,5.6021e-05+0.0016346i,-0.00080553+0.00019259i,-0.00031644-2.2061e-05i,0.00012089-7.0049e-05i,-0.00034082-0.00034256i,-0.00044887-5.1092e-05i,-0.0010159+0.00025221i,-0.0014324+0.00032914i,-0.00029254+0.00022634i,0.00039243-5.3042e-05i,0.00039642+0.00014401i,0.0010839-0.00031842i,0.0015147-0.0010184i,0.0015221-0.00077835i,0.0006747-0.00049614i,0.00038218-0.00050323i,0.001278-0.00023684i,0.0014017-0.00011054i,0.0011763+9.1648e-05i,0.00054946+0.00045036i
0.0015339+0.0009225i,0.0017287+7.182e-05i,0.0027543+0.00036663i,0.0024619+0.00091011i,0.0012976+0.00020007i,0.00037279-0.0007698i,0.00037677-0.0011002i,0.0005128-0.00063122i,-9.2218e-05-0.0005132i,-5.5158e-05-0.00082351i,0.00031691-0.00031578i,0.00024694-0.00030779i,-8.8246e-05-0.00078449i,-0.00036214-0.00022678i,-3.051e-05-3.5174e-05i,0.0005678-0.00032865i,0.0010317-0.00017717i,0.0013533+0.00050552i,0.00058712+0.0012851i,-0.00045918+0.0013088i,-0.00014075+0.00011149i,0.00040249-0.00063355i,1.9122e-06-0.00019002i
-0.0030972-0.0001498i,-0.002922+0.00090673i,-0.0029196+0.001483i,-0.0030347+0.00082131i,-0.0017222+0.00087636i,0.00011102+0.0017693i,0.00054594+0.0012273i,0.00018235-0.00048714i,-0.00036956-0.00094462i,-0.00074681-5.6322e-05i,-0.00037409+0.00045968i,0.00042596+0.00025324i,0.00019396+0.0004697i,-0.00052469+0.00037776i,-0.00086088+0.00020896i,-0.00034071+0.00019674i,-2.4758e-05+0.00024887i,3.7522e-05+3.7089e-06i,3.3948e-05+0.00048869i,-0.00027551+6.5641e-05i,-3.3802e-05-0.0013071i,0.00039815-0.0011013i,0.00057505-0.00045497i
0.0010797-0.0017121i,0.00080953-0.0024847i,9.129e-05-0.0027866i,-0.00056735-0.00096812i,-0.00062458-1.7855e-05i,0.00069506-6.8827e-05i,0.0013617-0.00050474i,0.00084014-0.00079843i,-0.00021005-0.00058778i,-0.00098566-0.00031869i,-0.00077466+2.2306e-05i,-0.00013651+0.00022983i,-0.00012011+0.0005866i,-0.00041489+0.00048238i,-0.00065777+0.00017074i,-0.00084906+0.00014211i,-0.00066062-9.51e-06i,-0.00011629+0.0005115i,4.2619e-05+0.0013144i,0.00019631+0.00094557i,0.0011703+0.00015797i,0.001538-0.00030716i,0.00064478-0.00095765i
-0.00065097-0.00096781i,-0.00019821-0.00026728i,-0.001163+0.00017437i,-0.0018856+0.00020433i,-0.0016211+5.2576e-05i,-0.00089565+0.00079946i,-0.00026876+0.00033013i,-0.00037459-0.00033516i,-0.0010164-0.00031462i,-0.0011792-5.7097e-05i,-0.00094896+0.0005203i,-0.00057353+0.00010458i,5.0594e-05-0.00089949i,0.00027309-0.0006474i,-0.00010907+0.00025643i,-0.00059526+0.00046118i,-0.00022588+0.00056233i,0.00088408+0.00038287i,0.0013913+7.5521e-05i,0.0013522-2.332e-05i,0.0010165-0.0004548i,0.00037708-0.00036403i,0.00057815+0.00024623i
-6.3943e-05-0.00031473i,-0.00020368-0.00089565i,-0.00039434-0.0018328i,-0.00074339-0.0016161i,-0.0008433-0.0011357i,0.00012809-0.0012777i,0.00071319-0.0011766i,9.9862e-05-0.00097758i,-0.00025093-0.00043244i,-2.1433e-05-0.00026021i,-0.00055679-0.0002165i,-0.0011279+0.00012156i,-0.0014999+4.2791e-05i,-0.0015235-0.00016432i,-0.00097441-3.3105e-05i,-0.00062345-3.13e-05i,4.1016e-05-0.00025487i,0.00089399-0.00012018i,0.000757-0.00054154i,-0.0002239-0.001193i,-0.00059828-0.00095697i,-0.00068367-0.00055387i,-0.00079391-0.00024056i
-0.00013601+0.00011571i,-0.00056133+0.00046881i,-0.00097624+0.0013287i,-0.0015675+0.00050642i,-0.0010389-0.0004724i,-0.00057253+0.00037644i,-0.00038206+0.0004812i,0.00042163+0.00078746i,0.00041135+0.00097875i,-0.00092885+8.7071e-05i,-0.0014634-0.00071927i,-0.00098281-0.00044159i,-0.00042731-0.00038225i,-0.00044575+0.00013066i,-0.0011493+0.0010289i,-0.00076397+0.00048498i,-9.585e-05+3.6028e-05i,3.4576e-05+0.00027402i,-9.5857e-05+0.00024147i,0.00033021-0.00013855i,0.00031952+7.5955e-05i,3.3864e-05+0.00039892i,0.00010969+0.00044072i
