-6.3161e-06+3.4761e-05i,-1.6569e-05+0.00060212i,6.3692e-05-0.00028205i,-0.0006968-0.0003118i,-0.00195+0.00019802i,-0.0027952+0.0002753i,-0.0023485+0.00095352i,-0.0016334+0.0014662i,-0.0013553+0.00084275i,-0.00091748+0.00023397i,5.1724e-06-0.00040964i,0.00032939-0.00017929i,-0.00021462+0.00086571i,5.3482e-05+0.00089924i,0.00033611+0.00052926i,0.00048819-2.2034e-05i,0.00040441+0.00040547i,-2.5611e-05+0.00096986i,-0.00040943+0.0013357i,-0.00032044+0.0014475i,3.6581e-05+0.00046494i,0.00016199-0.00079621i,9.4093e-05-0.0005332i
-0.0020071-0.0016509i,-0.00050558-0.00072723i,-0.0011358+2.0414e-05i,-0.0010171+0.00094159i,-0.00064893+0.0021593i,-0.00047428+0.0013455i,-0.00070182-0.00022404i,-0.0011601-0.00044639i,-0.0017047-0.00047857i,-0.0014275-0.00021127i,-0.00025463-2.6538e-05i,0.00054296+8.9742e-05i,0.00042105+0.00056056i,-0.00012971+0.00076i,0.00052624+9.7968e-05i,0.0012924-0.00016071i,0.00074538-3.2803e-05i,-0.00029038-1.3504e-05i,-0.00023064-0.00027307i,0.00020224-0.00077383i,-0.00023656-0.00093271i,-0.00068948-0.00075609i,-0.00067409-0.00024129i
0.00020927+0.0010977i,-0.00042711+0.0010238i,0.0001775+0.00059349i,0.0003539+0.00020929i,-0.00073847-0.0011239i,-0.0012927-0.0011871i,-0.0013955-8.9749e-05i,-0.0010357+0.00046724i,-0.0002046+0.00028956i,0.0002601-0.00014975i,0.00013288-0.0003764i,0.00012613+5.6528e-05i,0.00026513-0.00036905i,-0.00010873-0.0011362i,-0.00037758-0.001065i,3.9016e-05-0.00034869i,0.00067484+6.2475e-05i,0.0013069-0.00011915i,0.001328-7.6678e-05i,0.00063607-1.7214e-05i,0.00045572-0.00067875i,0.00036724-0.00080546i,0.00065376-2.8627e-05i
-0.0019273-0.0024009i,-0.00091495-0.000703i,-0.0010372+0.00057591i,-0.0014589+0.00055462i,-0.00079165+0.00098191i,-0.00049494+0.0013312i,-0.00086457+0.0021608i,-0.00057372+0.0022384i,-0.00064405+0.0012204i,-0.00072948+0.00068844i,-0.0001661+8.1342e-05i,8.8667e-05-0.00029107i,4.4122e-05+3.4155e-05i,0.00029559+0.00020768i,-9.5426e-05+0.0003445i,-0.00052417+0.00066065i,-0.00075286+0.00010288i,-0.0009258-0.00074511i,-0.00037704-0.00062294i,0.00030698+0.0003552i,0.00024398+0.0012044i,0.00027729+0.00051806i,0.00067059-1.4553e-06i
0.0014863+0.0005084i,0.00047929+0.00063418i,0.0004621-0.00019319i,0.00075364-0.0013663i,0.00015311-0.0013212i,-0.00033096-0.0010558i,-8.5469e-05-0.00079171i,2.0286e-05-0.00066018i,4.7841e-05-0.00092848i,0.00066168-0.00055439i,0.0006969+0.00012691i,0.00060978-0.00033124i,0.0010379-0.00049484i,0.0010938-3.0355e-05i,0.00059439-0.00070903i,-0.00021675-0.0014346i,-0.00046519-0.00052831i,-0.00013702+0.00034365i,0.00034523+0.0002239i,0.00086197-6.3874e-05i,0.00046638+3.1032e-05i,0.00013317+0.00034489i,0.00012017+0.0010181i
0.00029133+0.0015137i,0.0015722+0.0015107i,0.0022307+0.0014062i,0.001498-0.00027401i,0.00040442-0.0017161i,-0.00055992-0.00085055i,-0.00074337+0.00046295i,-0.00049027+0.0012472i,0.00023561+0.0017121i,0.00057403+0.0016653i,0.0005498+0.00066192i,0.00058188-0.00017492i,0.00042727-0.00019253i,0.00017412-0.00032652i,-1.4317e-05-0.00035977i,0.00013473-0.00028293i,-0.00013187-0.00074914i,-0.00045035-0.0011609i,-0.00042634-6.3908e-05i,-0.00078075+0.00078235i,-0.0010122+0.00029861i,-5.9066e-05-0.00056552i,0.00076996-0.00081217i
0.00047322+0.0012663i,0.0014432+0.00090024i,0.0022541+0.0001315i,0.0014993-0.00045924i,0.00042951-0.00023024i,-0.00023504-0.00054544i,-0.0010546-0.00086109i,-0.0013247-0.0011376i,-0.00050114-0.0016346i,-6.095e-05-0.0014601i,-0.00037222-0.0011857i,-0.00067536-0.00098519i,-0.00010823-0.0006085i,0.00055538+0.00012778i,0.00060482+0.00016607i,5.5931e-05+0.00010986i,-0.00051607-0.00017237i,-0.00037973-0.00033406i,-0.00019924-0.00028662i,0.00015955-0.00058951i,0.00079381-6.6729e-05i,0.00066519+0.00023613i,0.00010902+2.7132e-05i
0.0011706-9.8426e-05i,0.0010678+0.00038275i,6.1122e-05+0.00039445i,-0.00076084-0.00022888i,-0.0012651-0.0011716i,-0.0012132-0.0010835i,-0.0010587-0.00040594i,-0.00068138-0.00032713i,-0.00081947-0.0001092i,-0.0011179-0.00029278i,-0.00050566+0.00020925i,-0.0007321+0.00074252i,-0.0011777-7.0244e-05i,-0.00084928-0.00057952i,-0.00066064-0.00017637i,-0.00065762-0.00062176i,-0.00030882-0.00075101i,-0.0003445-0.00024764i,-0.0005061-0.00032931i,-0.00041189-0.00014497i,-0.00058184+1.5598e-05i,-0.00011582+0.00034798i,0.00050233+0.00065725i
-0.00066706-0.001244i,-0.00090061-0.00045073i,0.00013305-0.00098106i,-0.0001683-0.00078247i,-0.0014756+8.3798e-05i,-0.0010519+0.00069465i,-0.00032122+0.00063288i,-0.00028426-0.00020249i,-0.00010967-0.0011864i,-0.00018094-0.0011825i,-0.00049775-0.00041132i,1.2883e-05+7.7558e-05i,0.00039996+0.00044531i,0.00031507-0.00016934i,-0.00025684-0.00072818i,-0.00065384-1.9521e-05i,-0.00052499+0.00073947i,-0.00094135+0.0010088i,-0.00096447+7.8584e-05i,0.00026249-0.0007044i,0.0010058-1.8849e-05i,0.00064917+0.0003464i,-0.00016887+0.00025197i
0.00038551+0.0011145i,0.0015299+0.0020038i,0.0023752+0.0012331i,0.0019226-0.00074959i,0.00074188-0.0016405i,-0.00055869-0.0012602i,-0.0014033-0.00090245i,-0.0014809-0.00032986i,-0.00083965-0.00050766i,0.0004995-0.00066158i,0.0010344-0.00049167i,0.0002141-0.00042182i,0.00032711-0.00023259i,0.00089173-1.252e-05i,0.0004618+0.00036014i,0.00016443-9.3873e-05i,0.00015103-0.00037406i,0.00020541+0.00021496i,6.3288e-05+0.00054673i,-0.00024028+0.00028336i,-0.00010429+0.00013232i,0.00012449+0.00037013i,0.00043011+0.0002002i
-0.0001498+9.697e-05i,-0.00013443-0.00033104i,0.00011067-9.4685e-05i,-0.00061053+0.00048816i,-0.0012741+5.2655e-05i,-0.00064596+0.00080582i,9.0569e-05+0.00078211i,8.1365e-05+0.00087002i,-0.00013621+0.0011657i,-7.3165e-05+0.00041601i,0.00013167+0.00026611i,9.27e-05+0.00030128i,-0.00028074+0.00023809i,1.0451e-05+0.00011657i,0.00046178+0.00051001i,0.00027989+0.00091604i,0.00026261+0.00046691i,0.00024528-4.7568e-05i,-4.6197e-05+0.00075657i,-0.00047501+0.00092511i,-0.00044776+0.00033977i,-0.00029394+0.00040428i,-2.5935e-05+0.00025952i
