-0.00064576+0.00025138i,0.00061693-0.00094369i,0.00034377-0.0003163i,0.00011115-0.00081926i,-0.00043361-0.0011824i,-0.00023028-0.00062421i,0.00021812+0.00026036i,0.00077827+0.00041737i,0.0014256+0.0007481i,0.0015107+0.00030339i,0.00075564-0.00094539i,-3.4308e-05-0.00068018i,-3.4745e-05+0.00021768i,0.00037886+0.00035116i,0.0001336+0.00057127i,0.00042655+0.00041348i,0.0011589-0.00061663i,0.00068567-0.00096618i,-0.00039459-0.00031264i,-0.00067109-0.00056479i,0.00032863-0.0010737i,0.00048816-0.00034567i,-0.00034454-0.00046057i
0.00082047-9.1293e-05i,0.0016885-0.00090631i,0.0023188-0.00090311i,0.00078088-0.00033559i,-0.00014379-0.00078576i,-0.00052536-0.0011345i,-0.0011077-0.0012173i,-0.00071596-0.00035019i,-0.00031257+0.0001276i,-0.00053068-0.00078425i,-0.00070929-0.00074477i,-0.00078895-0.00045219i,-0.00011446-0.00049604i,0.00079698-0.0005668i,0.00096065-0.00082291i,0.00063408-0.0011874i,0.00019689-0.00086465i,-0.00038774-4.0453e-05i,-0.00074207-4.0398e-05i,-0.00018446-0.00059807i,0.00043046-0.00028716i,0.00010641+0.00052208i,-0.00047901+0.00049893i
-0.00082969-0.0013171i,-0.00088208-0.0013068i,0.00026663-0.0016967i,0.0015323-0.0011656i,0.00063254-0.00045319i,-0.00030206-0.00072702i,-0.00039652-0.00023766i,-0.0013057+0.00034791i,-0.0013192-1.6401e-06i,-0.00039654-0.00057176i,0.0001209-0.00046134i,0.0002228+0.00015137i,0.00012492-1.7026e-05i,-0.00012848-5.35e-05i,-0.00022451+0.00022044i,0.00020465-0.00055414i,0.0010985-0.0010519i,0.0017386-0.0011578i,0.0013867-0.0013273i,0.00082017-0.0013089i,0.00013765-0.00099986i,0.0001109-0.0006323i,0.0001988-0.00063225i
-0.00070893+0.00065337i,0.00096271+0.0012259i,0.0024569+0.0017346i,0.0026024+0.00077353i,0.0016053+3.3033e-05i,0.00044947-0.00083211i,-0.00034228-0.0013289i,-0.00070806-0.00041647i,-0.00026775-0.00029733i,0.00027083-0.00077054i,-0.00023829-0.00069218i,0.00041136-0.00077122i,0.0013239-0.00068873i,0.00059892+0.00015558i,-0.00023982+0.00025838i,-0.00029541-0.00030004i,-0.00032335+8.9351e-06i,-0.00058966+7.8338e-05i,-0.00061259-0.0001507i,-1.8086e-05+0.00044986i,-2.8235e-06+0.0008509i,-0.00020517+0.00075446i,4.9273e-05+0.00049363i
0.00022907+0.0013642i,-0.00056171+0.0020858i,-0.00041176+0.0021507i,0.00048053+0.00075191i,0.00050705-0.00086773i,-0.00071157-0.0016641i,-0.00073022-0.0012906i,-0.00037479-0.00038685i,-0.00048007-6.7389e-05i,-0.00011281-0.00076066i,1.1061e-05-0.0010107i,-0.00024085-0.00086809i,-0.00061557-0.00096448i,-0.00020649-0.00060175i,0.00030981-8.6873e-05i,5.5314e-05+0.00025552i,-0.0002257+0.00061672i,-0.00028413+0.00046724i,3.7551e-05-0.0001749i,0.0002513+0.0002524i,0.00016777+0.00028869i,-7.9135e-05+0.00024819i,-0.00051565+0.00078686i
0.0018766-0.00064964i,0.0010787-0.0016224i,0.00066249-0.0021185i,0.00042314-0.0021078i,0.00026712-0.0020074i,-0.00012282-0.0014201i,-0.00050416-0.0010942i,-0.00025355-0.00018695i,-2.1632e-05+6.8243e-05i,-0.00025959-0.00041143i,-0.00031174-0.00028701i,-0.00029846-0.00023037i,-0.00013923-0.00027381i,0.00039287-0.00023315i,0.00066694-0.00018733i,1.3598e-05+0.00035406i,-3.5028e-05+3.5085e-05i,0.00064435-0.0012723i,0.00072972-0.0013209i,-1.4082e-05-0.00038483i,-0.00059599+0.00044382i,-0.00049789+0.00038005i,-0.00087425+0.0003846i
0.00025593+2.3396e-05i,-0.00016677+4.0726e-05i,-0.000293+0.00012369i,-5.1693e-06-0.00054298i,0.00022833-0.0014924i,0.00010672-0.0013272i,0.00010127-0.0008675i,1.4606e-05-0.00054537i,0.00052407-0.00057486i,0.00087691-0.0010134i,0.00014481-0.00054947i,-0.00026145-5.2392e-05i,0.00027585-0.00026796i,0.00059846-9.0134e-05i,0.00035791+5.5968e-05i,-0.00038436-0.0004394i,3.5421e-05-0.00067776i,0.00038965-0.00061021i,0.0001627-0.0001978i,0.00015996+0.00012472i,0.00035745+0.00017238i,0.0006183+6.7732e-05i,0.00059275-0.00017955i
0.00024963-0.0012192i,0.0012715-0.0011345i,0.0019555-0.00092905i,0.00089761-0.0013094i,-0.00043656-0.00086438i,-0.0011487-0.00049957i,-0.00097462-0.0011479i,-0.00076263-0.00053664i,-0.00030071+9.7501e-05i,0.0003838-0.00042251i,3.2843e-05-0.00072612i,0.00010935-0.0002855i,0.00029788+0.00046957i,0.00030015-0.00016163i,0.00080038-0.00057365i,-0.00015135-0.00051529i,-0.00079933-0.0010449i,-5.3598e-05-0.001079i,-0.00020082-0.00053312i,-0.0010653+0.00030425i,-0.00079085+0.00033557i,-0.00035669+0.0002857i,0.00017311+0.00075144i
0.0011167+0.00032454i,0.001283+7.7215e-05i,0.002167-0.000744i,0.0019518-0.0020796i,0.00092394-0.0026379i,0.00026028-0.0015013i,-0.00053684-0.00034838i,-0.0008569+0.00055639i,-0.00027801+0.00074679i,-0.00024205-0.00040494i,6.4491e-05-0.00069097i,0.00063245+0.00019404i,0.00025925+0.00085333i,5.4237e-05+0.0005669i,-0.00010305+0.00020807i,0.0001038+0.0006257i,3.3412e-05+0.00083248i,-0.00028156+0.00039982i,-0.00037129+0.00019308i,-8.5362e-05-5.0128e-05i,7.2876e-05-0.00021625i,-0.00044349-0.00025308i,-0.00037745+0.00034759i
0.00044853+0.00023112i,0.00067787+0.00010089i,0.00034742+0.00023089i,0.0012553-0.00058161i,0.0018568-0.0021248i,0.0010164-0.0027041i,-4.9645e-05-0.0013833i,-0.00062228+5.0271e-05i,-0.00046738+3.6029e-05i,-0.00014597-0.0004156i,1.4379e-07-0.00039616i,-0.00013306+8.7474e-05i,-0.00041519+0.00027261i,-0.00013939+0.00037573i,0.00055972+0.00026769i,0.00072756-0.00014858i,5.9457e-05-0.00053984i,-7.3255e-05-0.0010616i,9.9503e-05-0.00035543i,0.00016459+0.00070465i,0.00026037+0.0010074i,0.00040237+0.00067105i,-0.00018227+0.00022574i
0.0013173-0.0014744i,0.0015476-0.00059635i,0.0011139-0.00041061i,-6.0908e-05-0.0018493i,-0.00059397-0.0019171i,-0.00055984-0.00087742i,8.5878e-05-0.00079288i,0.00093209-0.00084219i,0.0013737-0.00086342i,0.00058633-0.00094666i,3.9515e-05-0.0012561i,0.000314-0.0010836i,0.00088209-0.00036736i,0.00074073+4.2834e-06i,0.00035564-0.0001999i,0.0005944-0.00031709i,0.00065179-0.0003547i,0.00020354-0.00034743i,0.00036496+8.9435e-05i,0.001212-0.0002095i,0.0011433-0.00039631i,0.001026+8.4675e-07i,0.00056556+0.00039744i
-0.00019985-6.6123e-05i,-0.00048423-5.1793e-05i,0.00041701+5.3115e-06i,0.0014994-0.00093146i,0.0009021-0.0016959i,-0.00010786-0.0016822i,-0.00050414-0.0010548i,-0.0003605-0.00031502i,-0.00017895-0.00025i,-0.00065581-0.0004655i,-0.0012673-0.0004306i,-0.00094766+0.00021926i,-0.00060255+0.00074687i,-0.00074135+0.00042392i,-0.00012396-0.00014536i,0.00076001+0.00022241i,0.00057477+0.00028506i,1.963e-05-0.00041759i,-0.00034837-0.0012109i,-0.00094019-0.0013259i,-0.00080357-0.00029778i,-0.00031962+0.00012431i,0.00015375-0.00013037i
0.0011856-0.0023553i,0.00061147-0.0017516i,0.00044634-0.00088735i,4.1282e-06-0.00044698i,-2.4711e-05-0.00063288i,-0.00039798-0.00076177i,-0.0009109-0.00070186i,-0.00093698-0.00028604i,-0.00058112-7.3012e-05i,-0.00011741-0.00011331i,-0.00046869+7.4909e-05i,-0.00035059+0.00019784i,0.00038043+0.0003786i,0.00072155+0.00017798i,0.00083297-0.00026605i,0.00096109-0.00046421i,0.0010846+9.304e-05i,0.00054892+0.00028062i,-9.7842e-05-0.0004621i,-0.00055625-0.00070475i,0.00011189-0.00064469i,0.0013599-0.00042199i,0.0014864-0.00048394i
-0.0001141+0.001223i,2.4127e-05+0.00087714i,7.9931e-05-0.00016926i,0.00089733-0.00050691i,0.001207-0.00074955i,0.00055272-0.00077474i,-0.00089798-0.00015767i,-0.0015662+6.1503e-05i,-0.0007509-0.00022307i,0.00028154-1.805e-05i,0.00048256+0.00024398i,0.00032323+0.0002762i,0.00018704+0.00097002i,-0.0001607+0.0010208i,0.00025804-0.00048135i,0.00046128-0.0010681i,0.00024435-0.00065973i,0.00025389-0.00055278i,2.8435e-05-0.00019192i,-0.00079864+0.00052359i,-0.00069575+0.00027744i,-0.00053039-0.00056272i,-0.0012369-0.00041554i
0.00013217-0.00056172i,-0.00074691-0.0014507i,-0.00060483-0.0011719i,0.00027573-0.00017663i,0.00052974-9.9661e-05i,0.00019594+0.00037968i,-2.5557e-05+0.00052411i,-0.00047797+7.7588e-05i,-0.00086147+0.00023516i,-0.0008305-0.00023477i,-0.0004289-0.0010325i,0.00092892-0.0011794i,0.0013669-0.00035641i,0.00030202+0.00033262i,-0.00020516+7.5285e-05i,0.0002512-8.8847e-05i,0.00015748-8.4224e-05i,-8.377e-05+0.00022438i,-0.00015349+0.00049481i,3.4578e-05+0.00019891i,0.0010973+0.00038544i,0.00051038+0.00068945i,-0.00088585+0.00030745i
6.7731e-05+0.0026245i,0.0016233+0.0027318i,0.0027767+0.0025558i,0.003239+0.0014259i,0.0029247+0.00023933i,0.00202-0.00071943i,0.000879-0.00076191i,-0.00039963-0.00023029i,-0.00035072+0.0001992i,0.0008695+0.00053219i,0.0017752+0.00046434i,0.0014962+3.5462e-05i,0.00072822+2.4392e-05i,-8.0508e-05+0.00051282i,-0.00078572+0.00037347i,-0.00053715+0.00020933i,0.00084559+0.00051285i,0.0016748+0.00026516i,0.0014676-0.00016123i,0.00070759-0.00031693i,-0.00041847-7.1553e-06i,-0.00052673-5.3377e-05i,-9.1604e-05-0.00028187i
