-1.3771e-05+0.0015015i,3.7375e-06-0.00044131i,0.00044397-0.00034649i,-0.00010396-0.00017759i,-0.00018599+0.00030157i,6.0027e-05+0.0016698i,0.00022469+0.0011989i,0.0005196+0.00080102i,0.00070701+0.0012202i,0.00076376+0.0001399i,0.00012747-0.00080157i,-0.00013686-0.00010865i,0.00049159+0.00074938i,0.00099677+0.00072815i,0.00046116+0.00021731i,0.00079664-0.00011993i,0.00077918+0.00026813i,-7.666e-05+0.00048239i,0.00014163+0.00024058i,0.0003546-0.00019005i,0.0001753-0.00039942i,-0.00014986-0.00067648i,-0.00033345-0.00070927i
0.0027129+0.0004425i,0.0024196+0.0010522i,0.0011943-0.00048287i,-0.00032073-0.0021498i,-0.00078591-0.0021202i,0.00013898-0.00090589i,0.00051334+7.3394e-05i,5.3676e-05+0.00060529i,0.00042165+0.00043074i,-0.00010222-0.00029817i,-0.00046256-0.00045537i,-6.3e-06-9.6588e-05i,-0.0010455-1.8419e-05i,-0.0015154+0.00024794i,-0.0012467+0.00089988i,-0.00085899+0.00020702i,-0.00023421-0.00068094i,0.00024093-0.00043941i,0.00062796+0.00058459i,0.00036145+0.001132i,0.0003131+0.00058065i,0.00033294-0.00024281i,-0.00016679-0.00041211i
-0.0013349-0.00090091i,-0.00042669+0.00054523i,-2.5055e-05+0.00055412i,0.00033061-0.00021233i,0.00036759-0.00040897i,0.00077989-0.00080502i,0.0006627-0.00061285i,0.00035153+0.00055246i,0.00020905+0.00087884i,-2.6549e-05+0.0010646i,0.0001447+0.00079124i,0.00060352+0.00038757i,0.001041+0.00021753i,0.0010868-0.00029247i,0.0013922-8.9719e-05i,0.0011677+0.00024282i,0.000542+0.00085081i,0.00082056+0.0010335i,0.00058123+0.00033942i,-0.00015037-0.00018386i,-0.00071167-0.00066311i,-0.00042016-0.00034084i,0.00021139+0.0002675i
0.0017475+0.0011626i,0.0010533+0.0017128i,0.00070204+0.00068793i,0.00091423-0.00061766i,0.00088604-0.0011636i,0.00026891-0.00042354i,0.00048188-0.00031282i,0.0011551-0.00049343i,0.0011475-0.00013904i,0.00078226-0.00014743i,0.00012231-0.00090972i,-0.00035409-0.00079111i,-0.00017507+0.00014858i,0.00028367+6.6175e-05i,0.00029428-0.00010131i,0.00029236+0.0005488i,0.000488-0.00070948i,0.00095635-0.0016321i,0.00048916-0.0011761i,-0.00029571-0.00057558i,-0.00049423-0.00045366i,-0.00055358-0.00036839i,4.5712e-05-0.00059845i
0.00022874+0.0012366i,0.00035098+0.0010251i,9.5139e-05+0.00077435i,0.00048282+0.00047383i,0.00052683+0.00050488i,9.0154e-05+0.0004431i,0.00035547-0.00024042i,0.00031879-0.00012695i,0.00027378+0.00017623i,0.00054929-0.00055707i,0.00044036-0.0014964i,-1.4338e-05-0.0010772i,-0.00016502-0.00037993i,7.4873e-06-0.00075701i,-0.00034046-0.00059564i,0.00011085+0.00043037i,0.00097739+0.00088373i,0.00035539+0.00072314i,-0.00025171+0.00036996i,2.9642e-08-5.2993e-07i,-0.00039764-0.00021154i,-0.00097573-0.00025353i,-0.00065164-0.0002691i
0.00016051+0.0024357i,0.00048551+0.0023308i,0.00082403+0.0013858i,0.0016061+8.1283e-05i,0.0024506-0.00060224i,0.0020616-0.00044981i,0.0011044-0.00050852i,5.8007e-05-8.9938e-05i,-0.00048865+0.00033924i,-0.00026836+0.00019771i,-0.00023766+4.5043e-05i,-0.00079948+7.88e-06i,-0.00097117-0.00027423i,-0.00023976-0.00096998i,-0.00010638-0.00089981i,-3.6631e-05-0.00037162i,0.00073235+0.00014732i,0.00041223+0.0002485i,-0.00039776-0.00016122i,-0.00018725+0.0002689i,-4.2929e-05+0.0011323i,0.00015094+0.0011471i,0.00048177+0.00098609i
0.00042343-0.00084729i,-0.00034023-0.00086291i,0.00034077-0.00099739i,0.00056926-0.00026577i,0.0009846-0.00037705i,0.00091936-0.00099723i,0.00022498-0.00050066i,-0.00021875-3.3038e-05i,-0.0005467+0.00016915i,0.00012554+0.00039516i,0.00063008+0.00018529i,9.0038e-05+2.4387e-05i,-0.00059815+1.1228e-05i,7.5795e-05+0.00028916i,0.00060173+0.00056744i,0.00019382+0.00049063i,-0.00035644+0.00036046i,-0.00046779-0.00014163i,-0.00025524-0.00036846i,-0.00023923-0.00051352i,-4.5564e-05-0.00052645i,-0.00015754-0.00042481i,0.00010952-0.00012415i
0.0016843-0.0012375i,0.0014051-0.0021035i,0.0017898-0.0013953i,0.0016359-0.00016142i,0.0015563+0.00069092i,0.00091638+0.0010866i,0.0002262+0.00050281i,0.00024323-0.00015708i,-4.2935e-06-0.00019953i,-0.00028947-0.0002276i,-0.00011775-0.00040143i,2.2686e-05-0.00029141i,6.0155e-05+0.00017866i,-0.00032276-0.00024879i,-0.00054276-0.0012647i,1.5404e-05-0.0010413i,0.00014032-0.00064564i,-3.5571e-05-0.00043781i,-0.00011826+0.00039324i,0.00038897+0.00099134i,0.00047168+0.0012013i,0.00023807+0.00023148i,0.00056973-0.00068053i
0.00010592-0.00068906i,0.0005586-0.00054505i,0.0022189-0.00036585i,0.0014617-0.00080358i,0.00036573-0.0013628i,-5.6439e-05-0.0010114i,-0.00022058-0.00024942i,-0.00040003-1.2265e-05i,-0.00071136-0.00023836i,0.000116-0.00048669i,0.00035154-0.00028311i,-0.00046825-0.00031972i,-0.00020546-0.00019559i,0.00044764-0.00024074i,0.00034704+6.3487e-05i,-7.8504e-05+0.00049417i,-0.00024319+0.00062452i,-0.00026455+0.00073462i,-0.00050781+0.00062112i,-0.00071161+0.00059098i,-0.0002767+0.00042343i,0.00018929+3.4182e-05i,-0.00029006-0.00071774i
0.0021685+0.00019334i,0.0021021+0.00056598i,0.0013101+0.00046209i,0.0014921+0.00012381i,0.0020778-0.00018563i,0.0018451-0.00025437i,0.0017989+7.3176e-05i,0.0015363+0.00085179i,8.3705e-05+0.0010504i,3.3599e-05+0.00059796i,0.00057721+0.00037624i,-0.00020888-0.00026592i,-0.00093563-0.0011756i,-0.00033072-0.00083106i,0.00023894+0.00035042i,0.00016655+0.00043488i,0.00038728+2.8282e-05i,-0.00046571-0.00046009i,-0.0007549-0.00033676i,0.00040063+0.00053248i,0.00096615+0.0002404i,0.00021214+0.00013901i,-0.00034997+0.00019887i
0.0012179-2.077e-05i,0.0013391+4.462e-05i,0.00093571+0.00023283i,0.0011597-0.00033184i,0.001209-0.00056202i,0.0010891-0.00032343i,0.00090522+0.00036955i,0.00031543+0.00026653i,7.4644e-05-0.00020021i,0.00031328-0.00019847i,0.00074922+4.2115e-05i,0.0010687+6.3177e-05i,0.00092824+8.4946e-05i,0.0005576-0.00047429i,-0.00016184-0.00081735i,0.00024637-0.00053218i,0.00058626-0.00046272i,-0.00044816-0.00032805i,-0.00075215-0.00049723i,4.0296e-05+1.528e-05i,0.0006416+0.00084351i,-0.00017597+0.00072061i,-0.00069775-1.6261e-07i
