0.0014996-0.0011609i,0.0020154-0.0014397i,0.0014704-0.0026626i,-0.00030591-0.0014021i,-0.001399+0.0011438i,-0.0014859+0.0017377i,-0.00064784+0.0010409i,0.00061322+0.0012903i,0.0012613+0.00081513i,0.0010866-0.00049645i,0.0006099-0.0010454i,-9.84e-06-0.00032568i,-0.00045085-5.7697e-05i,-0.00051898-0.00040981i,-0.00028688-0.00040013i,-0.00013449-0.00070284i,0.00029645-0.00049297i,0.00053002-0.00036472i,-0.00056973-0.00059255i,-0.0013302-0.00070327i,-0.00036734-0.00049367i,0.00025064-0.00035394i,6.7365e-05-0.00020088i
-0.0014901-0.0015408i,-0.0014333-0.00024571i,-0.00098964+0.001563i,0.00028484+0.0021821i,0.0020876+0.0020961i,0.0024313+0.00096563i,0.0011439-0.00013775i,-0.0002947+2.6023e-05i,-0.00038285+0.00046907i,0.00048787+0.00091761i,0.00063868+0.0011099i,0.00059662+0.00042592i,0.00038465-5.1172e-05i,-0.0001352-0.00015118i,0.00011769-0.0001013i,0.00041414-0.00031014i,-0.00011034-0.00050026i,-0.00046967+0.00013917i,-0.00021523-6.5064e-07i,-4.0659e-05-0.00018891i,-0.00056196+7.9574e-05i,-0.0012141+0.00054177i,-0.0010783+0.0010205i
0.00073671-0.0005356i,-5.0099e-05-0.00042299i,-0.00065725-0.00030503i,-0.00083601+0.001361i,-0.00013845+0.0020531i,0.00039824+0.00080675i,0.00018357-0.00035058i,0.00024242-0.00011119i,0.00027309+0.0002187i,6.8579e-05-0.00083193i,0.00013092-0.00094081i,0.00020801-0.00047302i,-0.00034076-0.00070885i,-0.00036925-0.00038726i,8.3416e-05+7.8997e-05i,-0.00021021+0.00022404i,-0.00044116+0.00033298i,-0.00011528+0.00025962i,-0.00037374-3.6387e-05i,-0.00081904-0.00030701i,-0.00019092-0.00022869i,-2.8455e-05-0.00055556i,-0.00070704-0.00078626i
0.0011616-1.143e-05i,0.0016473+0.00054788i,0.0017719-3.1994e-05i,0.0011457-0.00048739i,0.00090001+0.00063124i,0.0010538+0.0011087i,0.00083417-0.00020017i,0.00012038-0.00065659i,0.00072315+4.5929e-05i,0.0015463+0.00063135i,0.00091578-3.2169e-05i,3.7196e-05-0.00019622i,-0.00011968+0.00039599i,9.609e-05-0.00013827i,-0.00041324-0.00067389i,-0.00040191-0.00043136i,0.0009906+9.5492e-05i,0.0010819-0.00038816i,0.0009726-0.00088252i,0.00090613+3.5022e-05i,4.4995e-05+0.00037401i,-0.00018705-0.00017134i,-0.00069061-0.00022404i
-0.0026057-0.0011405i,-0.002717-0.00043786i,-0.0018131+0.00023591i,-0.00018917+0.00071541i,0.0013552+0.001766i,0.00091724+0.0016722i,-7.9511e-05+0.00047247i,0.00036947-2.2616e-05i,0.00099312-0.00014723i,0.00083294-1.5368e-06i,-0.00035645+0.00047074i,-0.00077002+0.00089564i,-0.00026473+0.00049641i,0.00068519-8.6491e-06i,0.0013172+0.00048597i,0.00076522+0.00076262i,0.00044013+0.00065905i,0.0001407+0.00050088i,0.00015093+0.00019512i,0.00011737+3.8208e-05i,-0.00059014+0.00019836i,-0.0004588+7.9286e-05i,0.00024837+0.00035843i
0.00066476-0.00069629i,0.0010047-0.0012146i,0.00054464-0.0017719i,9.9549e-05-0.00098026i,0.0012735+0.00018447i,0.00098147+0.00048932i,-0.00033068+0.00081093i,-0.00064915+0.0010996i,-0.00018197+0.00067367i,-0.00021093+6.8762e-05i,-0.00080975-0.00022875i,-0.001009-0.00031905i,2.024e-05+0.00021506i,0.00057475+0.00037531i,7.0923e-05-0.0001156i,-0.00018241-0.00027148i,-0.00010478-0.00059061i,-0.00036487-0.0017449i,-0.00080685-0.0018091i,-0.00072903-0.00010806i,-4.2648e-05+0.00075057i,4.3608e-05+9.5527e-05i,-0.00027335-8.8428e-05i
-0.0014572-0.0010855i,-0.0014528-0.00038529i,-0.0017524+0.00063103i,-0.0018756+0.0013594i,-0.0013094+0.0025345i,-0.00027346+0.0022535i,0.00013667+0.00046598i,0.00026516-0.00016011i,0.00018439+0.00047614i,-0.00013245+0.00076232i,9.9603e-05+0.00031565i,0.00061781-3.4267e-06i,0.00059566-0.00041966i,2.8319e-06-0.00046486i,-0.00023464-0.00048693i,-0.0003923-0.00081593i,-0.00062528-0.00060683i,-0.00045881-0.00045724i,-0.00037073-0.00011687i,-0.00050354+0.00051901i,-0.00066439+0.00067633i,-0.00062395+0.00088648i,-0.00028143+0.00083659i
-0.0022487+0.00076571i,-0.0015265+0.0004806i,-0.0015135-0.0002747i,-0.00073859+0.00012073i,0.00082219+0.001544i,0.0015754+0.0015521i,0.0012993+0.00063615i,0.00072441+7.0406e-05i,0.00012569-0.00046807i,-0.00067356-0.0009421i,-0.00072598-0.00071595i,7.463e-05-0.00020579i,3.223e-05-0.00040785i,5.747e-05-0.00024019i,0.00074037+0.00080506i,0.00062419+0.0010116i,-0.00021941+0.00020561i,0.00015505+6.9874e-05i,0.00082043+0.00013009i,0.00085204-8.8525e-05i,0.00067732+0.00038473i,0.00021441+0.00017737i,0.00025222-0.00056719i
-4.6543e-05-0.0012064i,0.00023135-0.00076396i,-6.8196e-05+0.00043308i,-0.00051797+0.0010512i,-0.00069383+0.00064184i,-0.0011214+0.00032851i,-0.0012235+0.00022709i,-0.00084376+9.1438e-05i,-0.00050123+6.6563e-05i,-0.00064762-0.00026558i,-0.0010581-0.00080576i,-0.00062488-0.00065182i,-0.00043101+5.6134e-05i,-0.00045557-0.00010096i,-5.3837e-05+0.00033421i,0.00024046+0.00056086i,0.00042361-0.00045891i,0.00089438-0.0010091i,0.0011474-0.0011531i,0.00095141-0.00075211i,0.00054741-7.4521e-05i,0.00014049+0.0003246i,-0.00038448-0.00017147i
0.0016703+0.00019089i,0.0020261+2.6321e-05i,0.00068555-0.00061478i,-7.0158e-05+7.6817e-05i,0.00054573+0.00097604i,0.00039901+0.00058947i,-0.00080038-0.00048932i,-0.00064706-0.00041732i,0.00045407-7.0602e-06i,-0.00053807+0.00039754i,-0.0013415+0.00017513i,-0.0010647-0.00022735i,-0.00043429+0.00036316i,7.0312e-05+0.00061134i,0.00052302+0.00034115i,0.00028033-0.00015114i,0.00015349-0.00022624i,0.00014355-0.00049362i,-0.00015671-0.00059374i,7.7241e-05+3.755e-06i,0.00055278+0.00038621i,0.00068405+0.00047608i,0.00027567+0.00018019i
-0.00088002-0.00020328i,-0.00086585+0.0001138i,-0.0013883+0.00030433i,-0.00057667-0.00036458i,0.00062517+0.00046157i,0.0009967+0.00055491i,0.00057579-0.00046133i,-0.00014478-0.00036436i,-0.00014184+0.00038969i,-6.2786e-05+0.00063984i,-0.00022029+0.00046122i,8.2966e-06+0.00015695i,0.00037046-0.00016497i,-2.9754e-06-0.00059545i,-0.00070189-0.00078841i,-0.00015386+8.5349e-05i,0.00088542+0.00058163i,0.0014165+0.00017028i,0.0010093+0.00027253i,0.00046685+0.00048601i,0.00061359+0.000437i,0.00093031-0.00017847i,0.00081326-0.0012197i
0.00058692-0.0021999i,0.00047764-0.0023446i,-0.00045138-0.001246i,-0.00084541+0.00068444i,0.00023186+0.0025511i,6.0961e-05+0.0020158i,4.291e-05+0.00049136i,-6.0174e-06+0.00023583i,-0.00017542+0.00016702i,-8.6681e-05+2.0816e-05i,-0.00042794+5.6595e-05i,-0.00053113+0.00027931i,-0.00037121+0.00024561i,-0.00025511-0.00010265i,0.00056847-0.0004159i,0.00078897-0.00077644i,-0.00016603-0.0005978i,-0.00050793-0.00028353i,-0.00094038-0.0010131i,-0.00083781-0.00047525i,-0.0004597+0.00071659i,3.9176e-05+0.00034479i,-3.3887e-05-1.5209e-05i
-0.00021477+0.0013279i,0.0002959+0.00060519i,0.00041903+9.9769e-05i,0.0010164+5.9172e-05i,0.0012518+0.00017801i,0.00089414+0.00036141i,0.00072469+3.1581e-05i,0.00011443+0.00034181i,-0.00042866+0.00085122i,0.00034671+0.00070248i,0.00097443-0.00019541i,0.00074902-0.0004345i,5.1161e-05-0.00045665i,-7.9104e-05-0.00069045i,0.0005172-0.00077184i,0.00088289-0.00020937i,0.00042952+0.00012665i,-0.00043917-0.00021437i,-0.00024485-0.00037754i,0.00074506-0.00028939i,0.00078561+0.00017075i,0.00038854+0.00064061i,-0.0001362+0.00033187i
8.436e-05-0.00014725i,-6.1581e-05-0.00013515i,-0.000836+0.00030334i,-0.0002116+0.0012147i,0.00054707+0.0021503i,0.00036672+0.001648i,0.00013507+0.00077198i,0.00025045+0.0002451i,0.00019903-0.00084539i,-0.00035373-0.0010556i,-0.00064026-0.00023537i,-0.00066543+0.00025272i,-0.00061318+0.00051935i,0.00017064+0.00066237i,0.00073913+0.00018998i,0.0009083-4.7152e-05i,0.00069754-0.00017733i,0.00013987-0.00012315i,0.00028315+0.00051179i,0.00090388+0.00081928i,0.0011696+0.00081317i,0.00072795+0.00014834i,2.5483e-05-0.00035405i
-3.5453e-05+0.0016103i,-0.00062595+0.00078759i,6.6327e-05+0.00054537i,0.00026362+0.00028801i,0.00036395-0.00069935i,0.00060447-0.00088309i,-8.6207e-05-0.00031327i,-0.00029723-0.00029292i,-3.4314e-05-0.0005205i,0.00015434-0.00095632i,-2.4382e-05-0.0017331i,-0.00029638-0.0014641i,3.6825e-05-0.00078344i,-0.00023227-0.00078006i,-0.00053733-0.00040021i,-0.00028667+0.00027576i,0.0001809+0.00077004i,0.00029966+0.00042666i,-0.00050824-0.00030906i,-0.00037754-0.00054954i,-0.00034756-0.00033469i,-0.00052213-6.3897e-05i,6.186e-05-0.00059464i
-0.00057635+0.00072283i,-0.00018993+0.00028213i,0.00096955+0.00058441i,0.0011036+0.0019787i,0.00090954+0.0022747i,0.00044709+0.0016185i,-0.00045866+0.00088808i,-0.00072608+0.00034362i,-0.00036921+1.3462e-05i,-0.00035903-5.038e-05i,-0.00040738+0.00019119i,-0.00098694+0.00050355i,-0.0010201+0.00020359i,-0.00016577+0.00033777i,8.455e-05+0.00020012i,-0.00036753-0.00081209i,-0.00014455-0.0010935i,0.00018971-0.00035778i,0.00016887-0.00032214i,0.0003406-0.00071522i,-7.5363e-05-0.0013928i,-0.00022501-0.0013589i,0.00045709-0.0015602i
0.0011415+0.00063375i,0.00023839-0.00012529i,0.00042341-0.00055321i,0.00069089-0.00042006i,0.00050836+0.00040305i,0.00012387+0.0015913i,-0.00029262+0.0010243i,0.00010311-0.00030386i,0.00072211-0.00051106i,0.00036654-0.00042321i,6.1525e-05+1.9861e-05i,-0.00023327+0.00087988i,-0.00010962+0.00086475i,0.00061319-8.2854e-05i,0.00034035-0.00016469i,-0.00039587-0.00025358i,-0.00063102-0.00075509i,7.7511e-05+0.00013043i,0.00045559+0.00035437i,0.00015697-0.00032848i,-2.5196e-05-0.00021909i,-0.00075906-0.00016544i,-0.00069584-0.00028314i
0.002079+0.0015561i,0.0011807+0.0010846i,0.00044049+0.00025195i,0.00055456-0.00017397i,0.0011185-0.00040598i,0.0011945-0.00052202i,0.00031733-0.00059957i,0.00056095-0.00014089i,0.00056745+0.00059973i,-0.00028647+0.00075088i,-0.00069605+0.00090556i,-0.00059501+0.00060232i,-4.2599e-05+7.9809e-05i,0.0002681+0.00014172i,0.00023975+5.9728e-05i,0.00039534-8.8199e-05i,0.00017288-0.00010847i,-0.00048898+4.5649e-05i,-0.00043594+0.00029341i,0.00014222+0.0001838i,0.00039036-0.00014611i,-0.00017055+0.00017662i,-0.00045443+0.00029412i
-0.00070882-0.0018117i,-0.00058647-0.0014836i,-0.00087591-0.00059215i,-0.0012425+0.00013913i,-0.00071525+0.000577i,0.00025011+8.4634e-05i,0.00061208-0.00024812i,-1.4529e-05+0.00052932i,6.503e-05+0.00012639i,0.00054437-0.00037614i,0.00046959+0.00048691i,0.00041359+0.0011136i,-2.9409e-05+0.00085257i,-0.00063072+0.00036833i,-0.00011895+0.00026624i,0.00063062+6.2352e-05i,0.00093884+0.00041862i,0.00016137+0.00080216i,-0.00075802+0.00025194i,-0.00069046+7.9946e-05i,0.00051746-7.3502e-05i,0.00098003-0.00015869i,0.00027849-1.8327e-05i
