-0.00041271-0.00042983i,-0.00056341+9.4662e-06i,-0.00096221+0.00094989i,-0.0015454+0.00086077i,-0.0011942+0.0011892i,0.00022082+0.0016955i,0.00073817+0.0021441i,1.4959e-05+0.0021341i,0.00036729+0.0017615i,0.00092559+0.0014289i,0.0011637+0.00048225i,0.00055191-0.00054146i,0.00024136-0.00075781i,0.00062155-6.057e-05i,0.00029333+0.00053952i,-5.0344e-05+0.00051055i,0.00064426-0.00054943i,0.00096208-0.00021514i,6.061e-05+0.00061657i,-0.00077556+0.00080917i,-0.00066011+0.00021663i,-0.00071982-0.00021364i,-0.00086103+0.00028238i
-0.0029072-0.00046747i,-0.002305-0.0011758i,-0.0015108-0.00030312i,-0.00047036+0.0012499i,0.0008464+0.0012903i,0.0016523+0.00025623i,0.0015378-0.00090801i,0.0011628-0.00030717i,0.0008318+0.00030571i,0.00040035-0.00036913i,-6.4359e-05-0.0010762i,-0.00054211-0.00095797i,-0.00029456-0.00027817i,-0.00032726-0.00023505i,-0.00075088-0.00040683i,-0.0006144-7.3546e-05i,0.00010169+0.0004267i,0.00083462+0.00062376i,0.00098334-0.00036701i,0.00010582-0.0010858i,-0.00028713-0.00095746i,0.00036205-0.00065308i,0.00039948-0.0005145i
0.00032682-0.0030021i,0.00082816-0.0024268i,0.00068566-0.0017385i,-0.00076671-0.0019549i,-0.00093414-0.001215i,0.00020772-0.00057272i,0.00056362-0.00054891i,0.00029009+9.1041e-05i,0.00015428-0.00044217i,0.00048751-0.0013735i,0.00012766-0.00083341i,-0.00074349-1.6625e-05i,-0.0011066-0.00012069i,-0.00063428-0.00017362i,-0.00010214-0.00014591i,-2.5296e-06-0.00045689i,0.00035155-7.1667e-05i,0.00041799-4.8075e-05i,0.0011087-0.00017321i,0.0014372-0.00020212i,0.0001047+0.000333i,-0.00027616+0.00078125i,0.00036144+0.00041533i
0.0010856+0.00080559i,0.0011784+0.00072658i,0.0010716+0.00079245i,0.0015219+0.00042336i,0.0019045-0.00033988i,0.0012169-0.00042718i,9.3975e-06+3.2069e-05i,-0.00016874+0.00028807i,1.8222e-05+2.5287e-05i,-0.00099026-0.00050886i,-0.0015557-0.00057732i,-0.0010763-0.00023519i,-0.00099038+0.00072145i,-0.00055905+0.0013085i,0.00016564+0.0007039i,4.3734e-05+0.00027373i,-4.7191e-05+0.00035746i,9.107e-05+0.00013243i,0.00044233-0.00047493i,0.00069849-0.00071461i,0.0005068-0.00037045i,0.00017467-0.00031183i,-9.4791e-06-0.00082826i
-0.00192+0.0040521i,-0.0010507+0.0024374i,0.00044928+0.0018124i,0.0023605+0.002243i,0.0027118+0.0019962i,0.0021586+0.00028321i,0.0012647-0.0010204i,0.00054458-0.00065701i,0.0010166+0.00027633i,0.00090648+0.0004451i,0.0001722-0.00026535i,-0.0009308-0.0011014i,-0.0021223-0.0010739i,-0.0014477-6.4137e-05i,-0.00050464+0.00045782i,-0.00050699+0.00022998i,-0.00048341-0.00010716i,0.00020469-6.1232e-05i,0.00082818-9.6165e-05i,0.0008543-0.00041141i,0.00029928-0.00025796i,-5.3547e-05+0.00015935i,-0.00035666+8.2437e-05i
0.001132-0.00022935i,0.00162+0.00061671i,0.0020811+0.00085281i,0.0032294+9.4415e-05i,0.0029264-4.8832e-05i,0.0012293-0.00035192i,6.8436e-05-0.0012896i,-6.2532e-05-0.00029643i,0.00029894+0.00075245i,0.00065309-6.2171e-05i,-7.6919e-05-6.0024e-05i,-0.00093819+0.00031296i,-0.00083896-0.00034112i,-9.0054e-05-0.00021446i,0.00069724+0.000356i,0.0010773+0.00020953i,0.00074955-0.00034492i,0.00011709-3.3161e-05i,0.00026313+0.0001825i,0.00027962+0.00044017i,-0.00027704+0.00093737i,-0.0001639+0.00050792i,0.00017749+5.5737e-05i
0.0018359-0.00060956i,0.0013291-0.0008536i,0.00095089-0.0018108i,0.0013002-0.0013231i,0.0020109-0.0011172i,0.00098354-0.0014492i,-0.00012996-0.0012776i,-0.00015254-0.00082572i,-6.2238e-05-0.0010056i,-0.00076406-0.0005704i,-0.0013968-0.00021746i,-0.0013097-0.00026028i,-0.001256+0.00019677i,-0.00031395+0.00010848i,0.0013902+2.098e-05i,0.0015444+0.00046519i,0.00046564+0.00044971i,0.00010467+0.00064523i,0.00013869+0.00020792i,0.00021871-3.4022e-05i,0.00039334-0.00042541i,0.00024812-0.00029082i,9.5165e-05+0.00022395i
-0.0014472+6.0406e-05i,-0.00088808+0.0013608i,0.00021365+0.0013674i,0.00076704+0.00011931i,0.00019089-0.00058174i,0.00027007-0.00091304i,0.00086039-0.00075122i,0.00089013-0.00091361i,0.00063746-0.00098408i,0.00017304-0.0003116i,-6.7162e-05+0.00027437i,-0.00043975-2.314e-05i,-0.0012463+5.5078e-05i,-0.0012197+0.00017505i,-0.00043254+0.00046806i,8.7753e-05+0.00064048i,0.00092008+0.00027265i,0.00092256+0.00068871i,0.00031011+0.0009551i,-0.00016429+0.0010281i,-0.0001785+0.0012334i,0.0002815+0.0006881i,0.00032739-0.00037581i
0.00022378+0.00044968i,0.00056836+0.00060904i,0.00019599+0.00044003i,0.00061484-0.00018326i,0.0017983-0.00022974i,0.0022901-0.00072193i,0.0013384-0.0013316i,0.0003867-0.00084989i,0.00024477-0.00076102i,-0.00034455-0.00064977i,-0.00088209+0.00025868i,-0.00065151+0.00019074i,-7.2081e-05-0.00025325i,0.00069399-0.00035839i,0.00077979-0.00042013i,0.00035061-0.00042041i,7.8607e-05-6.1825e-05i,0.00048078+0.00040512i,0.00025824+0.00073435i,0.00022341+0.00071228i,0.00089477+0.00048906i,0.0010775+0.00029502i,0.00036291+0.00032687i
-0.00045875+0.003404i,-0.00085221+0.0030147i,-0.00045086+0.0024083i,0.001018+0.00085268i,0.0019009-6.2928e-06i,0.0012078-0.0005401i,0.00073468-0.00094792i,-6.1603e-05-0.00064104i,-0.00037152-0.00056048i,0.00020453-0.0008216i,-0.00014274-0.0010493i,-0.00071733-0.00090162i,-0.0010082-0.00088636i,-0.0012842-0.00073057i,-0.00080002-0.00056488i,-0.00017671-0.00027757i,0.001144+0.00034848i,0.0023672+0.00080672i,0.001822+0.00017676i,0.00022999-0.001221i,-0.00084346-0.00076011i,-0.0001885+0.00073022i,-3.8406e-05+0.0011364i
-0.0017709-0.00020866i,-0.00082416+0.00029121i,0.0016842+0.00049504i,0.0026848+0.0013628i,0.0020473+0.0017764i,0.0019844+0.00078468i,0.0015025+0.00046313i,0.00036806+0.00067177i,0.0005056+0.00091292i,0.00017622+0.00090918i,-0.00090733+0.00038502i,-0.00095823-0.00023047i,-0.00066732+0.00033685i,-0.00025327+0.001038i,9.7476e-05+0.00065949i,0.00011863+0.00041402i,0.00018103-8.728e-05i,0.00040235-0.00024444i,0.00067675-0.00012441i,0.00085878+0.00017071i,0.00042689-0.00017456i,-0.00034082-0.0005572i,-0.0005485-0.00046234i
