-0.002567-0.00023634i,-0.0023964-0.00049275i,-0.0020384+0.00046376i,-0.00066792+0.0014501i,0.00012889+0.001836i,0.00039327+0.0017363i,0.0002323+0.0017649i,9.9464e-05+0.0016301i,0.00067887+0.0011029i,0.0010266+0.00027526i,0.00094438-0.0002979i,0.00080299-1.8552e-05i,0.00072523+0.0003865i,0.00030124+0.00059439i,0.00016308-0.00043149i,0.00056501-0.0014756i,0.00044705-0.00060324i,0.00064788+0.00061257i,0.00021787+0.00088219i,2.4321e-05+0.00049731i,0.00021252-0.00022056i,-0.00015216-0.00028515i,0.00029877+0.00051142i
-0.0004797+0.0010601i,-0.00034499+0.0012525i,-0.00033937+0.0013442i,-0.00012538+0.00020209i,-0.00025185-0.00043778i,-0.00030638-0.00054368i,0.00022878-0.00084037i,-0.00037317-0.0010774i,-0.0013685-2.1918e-06i,-0.00091942+0.00043604i,-8.089e-06-0.00066155i,0.0003365-0.00076636i,0.00023575-0.00086182i,-0.00052086-0.0009658i,-0.00073786-0.00030064i,-0.00021851-0.00015293i,-0.00016041-0.00031558i,0.000154-0.0003201i,0.00052675+0.00054104i,0.00068239+0.00049301i,0.00032397+2.9268e-05i,2.9841e-05-0.00014655i,0.0001863-0.00026112i
-0.0014918+0.00089059i,-0.00082166+0.001136i,-0.00056998+0.0010005i,-0.0012272+0.00078252i,-0.0011895+0.00066878i,-0.0010599+0.0007598i,-0.00091511+0.00056141i,-0.00064174+0.0003854i,-0.00037748+0.00054037i,-0.00039189+0.00017463i,-0.00067998-0.00016689i,-0.00016606-0.00021936i,9.2484e-05-0.00021095i,-0.00010773-0.00033218i,7.155e-05-0.00114i,0.00017489-0.0014443i,-0.00041022-0.0013044i,-0.00065494-0.00047996i,-1.9314e-05-0.00029723i,0.0010171-0.00076001i,0.00061811-0.00055936i,-6.8689e-05-0.00027463i,9.8662e-06+0.00017519i
0.0017233-0.00072072i,0.0008729+0.00027849i,0.00089904+0.00046671i,0.00048047+0.00049371i,-5.6451e-05+0.00053829i,-7.3151e-05+0.00034684i,-1.9711e-05+8.8501e-06i,9.9122e-05+0.00017801i,0.00034357-0.00042436i,0.00038656-0.00073098i,4.9341e-05-0.0005401i,-0.0003071-0.00011253i,-0.00038036+0.00012343i,-0.0002872-0.00014385i,-0.00043682-3.1924e-05i,-0.00032101+0.00033321i,0.00019743+3.9374e-05i,0.00058294-0.0002143i,0.00044257-8.4211e-05i,-0.00036194+6.0866e-05i,-9.5912e-05-0.0002818i,6.4062e-05-0.0010376i,-0.00062735-0.00033437i
2.4956e-05+2.524e-05i,0.00083388-0.00034444i,0.00031312-0.0006163i,-0.0009857-0.0012123i,-0.00077196-0.0010478i,-0.00077978+0.00016816i,-0.0010238+0.00064041i,-0.00073098+0.00023627i,-0.00092698+0.00043555i,-0.0017702+0.00074636i,-0.0013203+0.00057784i,-0.00035388+0.00057288i,-8.293e-05+0.00028459i,-0.00030503-0.00012772i,-0.0010496-0.00038272i,-0.00082193-0.00056599i,2.4297e-05-0.00011225i,0.00045922+0.00015071i,0.00072414-0.0001727i,0.00039001+0.00026351i,-0.00050971+0.00061735i,-0.0010722+0.00026149i,-0.000706+0.00059787i
-0.00069907-0.00015152i,-0.00065995-0.00046192i,-0.00093953-0.00049458i,-0.00037281+0.00011197i,0.00014196+0.00078734i,1.3332e-05+0.00057035i,-6.4925e-05-0.00051081i,-0.00016374-0.00049724i,-0.00041593-0.00032921i,-0.00013081+2.4635e-05i,0.0002713+0.0007769i,-0.0002158+0.00031487i,-0.00013984-0.00046704i,2.0298e-05-0.00043037i,0.00060001-0.00024356i,0.0011099-0.00077329i,0.00080722-0.00075923i,0.00012883+6.4312e-05i,-0.00025591+0.00074466i,7.93e-05+0.00040179i,0.00017555-0.00017017i,0.0001799-0.00029997i,-0.00031418-0.0004456i
-0.0019371-0.00085261i,-0.0012498-0.00028587i,-0.0018427+0.00015512i,-0.0023539+0.00077876i,-0.0010416+0.00080243i,8.8693e-05+0.00049965i,-0.00019871+0.00070818i,-0.0011223+0.00035363i,-0.001521+0.00048462i,-0.0017611-0.00016516i,-0.0013726-0.00059524i,-0.00061052+0.00018042i,-0.00012034+0.00036114i,0.00047598+0.00013798i,0.00098793+0.00034596i,0.00016633+0.00025829i,-0.00028105+0.00042112i,-0.00015514+0.00015834i,-0.0007562-0.00035329i,-0.00083541-0.00047246i,3.5657e-05-0.00040648i,0.00039238-0.00021421i,-0.00015751-0.00017534i
0.00031075-0.00039946i,-0.00051344-8.128e-05i,-0.00085374-0.00042339i,-0.00060369-0.0011633i,-0.0010568-0.0012953i,-0.0013418-0.00048848i,-0.00051727-0.00027461i,1.7593e-05-0.0008792i,0.00038757-0.0010693i,0.00074301-0.00096791i,0.00044597-0.00073227i,-0.0003168+0.00030178i,-0.00012223+0.00062911i,0.00018677+0.00035271i,-4.9972e-05-6.411e-05i,-0.00016013-0.00029341i,-3.1619e-05+0.00059436i,0.00030344+0.00095737i,0.00014116+0.00041387i,-0.00041372-0.00027095i,-0.0002904-0.00058866i,0.00027921-0.00030064i,0.00015118+0.00047402i
-0.00089414-0.0013055i,-0.0019223-0.0017903i,-0.0014609-0.0015374i,-0.00051156-7.2145e-06i,-0.00069276+0.0005009i,-0.00059318+0.00019821i,0.00014786+1.8527e-05i,-1.9171e-05-0.00057365i,-0.00061788-0.00084516i,-0.00055737+0.00025429i,-0.00030566+0.0005397i,-0.0005764+7.1859e-05i,-0.00033181+7.3489e-05i,-6.7842e-06+0.00029394i,-6.0985e-05+0.00036177i,-0.00019898-0.00043735i,-0.00071213-0.00097303i,-0.00077977+0.00018807i,-0.00049834+0.0011191i,-0.00021386+0.00029559i,0.00012844-0.0006963i,0.00069229-0.00054005i,0.00029921+8.2483e-05i
0.00046653+0.001522i,0.00010179+0.0013405i,-0.00036289+0.00096538i,-0.00095903+0.00016309i,-0.00094719-0.00049467i,-0.00029868-0.0007791i,0.00010985-0.00018148i,-7.9436e-05+0.0004967i,-0.00052167+0.00060629i,-0.0003583+0.00070328i,-4.2657e-05+0.00074837i,-0.00012771+0.00028141i,-0.00024267-0.00069193i,0.0001822-0.0014387i,0.00066216-0.0011198i,0.00035073-0.00097656i,0.00011808-0.0010504i,0.00074349-0.00041664i,0.00073674+5.0983e-05i,0.00057133+0.00020636i,0.00037531+0.00050631i,-6.7226e-05+0.00031262i,4.8663e-05-0.0002775i
5.9893e-05+0.0018383i,0.00086839+0.0019493i,0.0007096+0.001483i,0.0001972+0.00034214i,2.1071e-05+0.00029453i,-0.00028358-0.00019197i,-0.00034731+0.00014267i,-0.00048637+0.00054161i,-0.0010051+0.00030535i,-0.0010453+0.00056993i,-0.00074417+0.0007464i,-0.00059057-2.9163e-05i,-0.00063826-0.00031587i,-0.00015815-0.00035853i,8.9078e-05-0.00092551i,0.00031253-0.00090862i,0.00048187-0.00065803i,1.2223e-06-0.00036589i,-0.00060813+4.5223e-05i,-0.00026486-5.6752e-05i,0.00038036+0.000151i,0.00024039+0.00055853i,-0.00038504+0.00039444i
