0.0029134+0.00041887i,0.002181-0.0002311i,0.00023087-0.0014254i,-0.00036451-0.0026315i,-0.00075731-0.0012137i,-0.001063+0.0013033i,-0.0013353+0.002623i,-0.00098701+0.0028939i,0.00038795+0.0018643i,0.0014265+0.00094771i,0.0013642-0.00031801i,0.00046157-0.0017399i,-0.00030898-0.0012077i,-0.00073488-0.000355i,-0.0012059-0.00023691i,-0.0008077-0.00046262i,0.00021365-0.00031161i,0.00078549+0.00068081i,0.00079536+0.0010008i,7.8202e-05+0.00034402i,0.0002708+0.0001933i,0.00031742+8.1327e-05i,-0.00020345-0.00081222i
-0.0012287-0.0033986i,-0.0013684-0.0044211i,-0.0013928-0.0044954i,-0.00083855-0.0023585i,-0.00073274-0.000649i,-0.00042061+0.00043727i,-0.00018822+0.00049932i,-0.00016228+1.6405e-05i,0.00035438+0.00020027i,0.0010643+0.00091336i,0.0013616+0.00083119i,0.0006823+0.001063i,-0.0006198+0.0011087i,-0.0010112+0.00087209i,-0.0007219+0.00013533i,-0.00060628-0.00029086i,-0.00022074+0.00041953i,-0.0001791+0.00036434i,-0.00025657+0.0002452i,-0.00011026-0.00022741i,-0.00012012-0.00056221i,-0.00042535+4.4992e-05i,-0.00016507+0.00091298i
-0.00031468+0.0015028i,0.0003811+0.0017213i,0.00089984+0.001238i,0.00059072-4.4334e-05i,0.00052488-0.00042487i,0.00060471-0.00030707i,9.1229e-05-4.2948e-05i,-0.00029737+4.489e-05i,0.00010895+8.491e-05i,0.0012882+6.9446e-05i,0.0015577-0.00045102i,0.0012579-0.00079396i,0.0011112-0.00014202i,0.00078319+0.00030198i,0.00029331+3.3312e-05i,0.00012292-0.00054135i,0.00024476-0.00066641i,3.7389e-05-0.00043476i,-0.00037629-0.0002153i,-0.00033223+0.00023427i,-2.9739e-05+0.00050759i,9.7511e-05+0.0010421i,0.00019774+0.00065825i
0.0021609+0.0014501i,0.0022647+0.00039259i,0.0027669-0.0013986i,0.0018273-0.0025566i,6.6796e-05-0.0018722i,-0.0011691-0.0013104i,-0.00085535-0.0010732i,0.00024313-0.00044446i,0.00081257-0.00052939i,0.00050615-0.0012921i,0.00022066-0.0015946i,-0.00026234-0.0012538i,2.585e-05-0.00065232i,0.00080275-0.00044348i,0.00026239-0.00048533i,0.00019693+0.00043654i,0.00038924+0.00048897i,6.9761e-05-0.00085863i,0.00021208-0.0010519i,4.7171e-06-2.373e-05i,5.0784e-05+0.00045149i,-9.035e-05+0.00010364i,4.5704e-05-2.5719e-05i
-0.00035039-0.00048203i,-0.00083+0.00036096i,-0.0021328+0.0002548i,-0.00096402+0.00019847i,-5.5326e-05+0.001314i,-6.1882e-05+0.0015618i,0.00023938+0.00057008i,-5.0885e-06+0.00051401i,0.00011399+0.00069059i,0.00084705+0.00033367i,0.00021401+0.00045682i,-0.00012972+0.0014005i,0.00019303+0.0013325i,-0.00016971+0.00016195i,-0.00028051-0.00068784i,0.00046709-0.00069427i,0.0003749-0.00011339i,-0.00032355-0.00039517i,-0.00045466-0.00051545i,-0.00041915-0.00021014i,-0.00053863-0.00096764i,-5.2838e-05-0.00062587i,0.00024623+4.9058e-05i
0.00069932+0.00037299i,0.00034385-0.00014209i,0.00025762+0.00010996i,0.00058145+0.00013836i,0.00051864+2.2462e-05i,-3.6997e-05-0.00013583i,-0.00025343+0.00025124i,0.00024248+0.00058128i,0.0011257+0.00045563i,0.0016299+8.8113e-06i,0.00091908-0.00044013i,0.00076809-0.00045943i,0.0012769+0.00072706i,0.00085011+0.001086i,0.00038014+0.00049861i,0.00031523+0.00037184i,-0.00049349+0.00063607i,-0.00091236+0.00064625i,-0.00062817+0.00041694i,-0.00097733-0.00053266i,-0.00035201-0.00074953i,0.00037882+0.00020562i,0.00091058+0.00049753i
-0.0017218-0.0006424i,-0.00058072+0.00024411i,0.00092258-0.000513i,0.0013211-0.00095298i,0.00085309-0.00038641i,0.00084608+6.6995e-05i,0.00061292-0.00011465i,-0.00013583+0.00057131i,-0.00044936+0.00096534i,4.0778e-06+0.00041109i,0.00066384+0.00013719i,0.00045292+0.0002089i,0.00021357+0.00039563i,-7.2138e-05+0.00060906i,-0.00043392+0.00054257i,-0.0008721-4.3335e-05i,-0.00030349-0.00037962i,0.00023618+0.00015312i,-1.0149e-05+0.00056641i,-3.0647e-05+0.00050634i,-0.00025245-0.0003011i,-7.4992e-05-0.00067808i,0.00062433+7.609e-05i
0.00070968-0.0026721i,9.8423e-05-0.0036306i,-0.00051608-0.0043334i,-0.00025835-0.0028706i,-6.5268e-05-0.0010133i,0.00012506+0.00048599i,0.00030553+0.00088063i,0.00027415+1.5429e-05i,0.0005646-0.00031833i,0.00060202-0.00051955i,0.00042113-0.00093811i,-0.00045639-0.00030548i,-0.001704+0.00059589i,-0.0019791+0.00058508i,-0.0013922+0.00061339i,-0.0010655+0.00041112i,-0.00077489-0.00038728i,-0.0011304-2.5553e-05i,-0.00087176-3.411e-05i,-0.00032844-0.00044493i,4.5809e-05-0.00016609i,0.00047121+0.0004636i,0.00067569+0.0011267i
0.00012422-0.00095658i,0.00062376-0.00043833i,0.00031957-0.00085716i,-0.00016598-0.00085643i,-0.00036949-7.2279e-05i,0.00020242+0.00027034i,0.00054851+0.00036022i,-7.4831e-05+0.00024547i,-0.00014972+0.00069115i,0.00037356+0.00056377i,0.00027921+0.00021432i,0.00023513+0.00039362i,0.00041624+0.00057424i,-0.00031929+0.00030658i,-0.00069185-0.00014692i,-0.00035906-1.0323e-06i,-0.00018266-3.4706e-05i,-6.7374e-05+0.00016516i,-2.3923e-05+0.00031876i,-4.7179e-05+0.00045273i,0.00011361+0.000201i,-0.00012437-0.00010954i,-2.9447e-05-6.9762e-05i
-0.0011758+3.0998e-05i,-0.0012406+0.00051518i,-0.0011228-0.00019945i,-0.00087199-0.0017991i,-0.0012624-0.0015757i,-0.0019029+8.131e-05i,-0.001288+0.00054876i,4.0654e-05-6.9422e-05i,7.4168e-05+0.00036308i,-0.00015626+0.0011405i,-0.00028989+0.00049267i,3.123e-05+6.4872e-05i,-0.00028273+6.5973e-05i,-0.00059739-7.0679e-05i,0.00022027-0.00029255i,0.00065947-0.00048128i,0.00054498-0.00060131i,0.00041646-4.4165e-05i,-0.00013014+0.00041517i,-0.00066987-0.00053215i,-0.00046797-0.0009599i,-0.00014157-0.0003828i,-0.00091219+6.8692e-05i
-0.00046289+0.00049043i,-0.00058421+0.0007611i,-0.0001992+0.00050222i,-0.00020862-0.00074684i,8.9802e-05-1.3713e-05i,0.00060934+0.00087427i,0.00039929+0.0007367i,-7.1318e-05+0.00065191i,-7.086e-05+0.001033i,-7.1851e-06+0.00086727i,-0.00021564-0.00025745i,-0.00019921-0.00042906i,0.00023009-0.00016508i,0.00030304-3.2152e-05i,-0.00013279+0.00014988i,-0.00033647+0.00028172i,-0.00039903+0.00045281i,0.00013337-0.00018398i,0.0010229-0.00017618i,0.00053055+0.00038196i,-0.00019145+0.00023462i,-0.00048144+0.00020685i,-0.00017413+5.6532e-05i
