-0.0043028+0.00050501i,-0.0039782+0.00019543i,-0.0045585+0.0019251i,-0.0028908+0.0027963i,-0.00065156+0.0026038i,0.00047283+0.002143i,0.00052174+0.0022009i,0.0012602+0.0018641i,0.0024711+0.0014275i,0.0023418+0.0011143i,0.0012974+0.00071647i,0.00096184+0.00058584i,0.0003741+6.6261e-05i,-0.00071117-0.00032979i,-0.00049653-0.00026574i,0.00037638-0.00069487i,0.00092666-0.0007241i,0.00094166-0.00051813i,0.00025051-0.00056241i,-0.00022285-0.00029883i,-0.00014618-0.00013587i,0.00023518-0.00026571i,0.00060571+1.3829e-05i
0.0028327+0.0012746i,0.0041736-0.0006669i,0.0038235-0.0019865i,0.0020767-0.0019245i,0.00087304-0.0013998i,0.00044325-0.00066921i,0.00029712-0.00029392i,0.00084292+0.00028595i,0.0012167+0.00096373i,5.997e-05+9.426e-05i,-0.00030487+5.9639e-05i,-0.00018992+0.00028695i,-0.00096154+0.00044199i,-0.0010574+0.00029384i,-0.00048774+0.00045184i,-0.00035507+0.00063283i,-0.00019785-0.00025592i,0.00011335-9.0214e-05i,-1.8337e-05+0.00049751i,-9.7203e-05+0.00043019i,0.00010017+0.00035056i,0.0005211+0.00050304i,0.00051801+0.00073415i
-0.0025325+0.0011679i,-0.0016626+0.0027555i,0.00014812+0.0024787i,0.0010918+0.0018168i,0.0018205+0.0018818i,0.0015461+0.00022122i,0.00083793-0.00092718i,0.00086904-0.00032142i,0.00081127+0.00018755i,0.00039024+8.9829e-06i,0.00013815+0.00013159i,5.0072e-05+0.00076295i,0.00014553+2.0457e-05i,-0.00017528-0.00024124i,-9.2004e-05+0.00014866i,-0.00032514-0.00060027i,-0.00084058-0.0011317i,-0.00018494-0.0010404i,0.00062106-0.00088336i,0.00048043-0.00067664i,0.0003963-0.00039139i,0.00041703+0.00025745i,0.00034572+0.00012709i
0.00065031-0.0035191i,-0.0020558-0.0032214i,-0.0042608-0.0029764i,-0.004717-0.0016659i,-0.004241+0.00043031i,-0.0026244+0.0017531i,-0.00053883+0.0013647i,-0.00015543+0.00053727i,-0.00029494+0.00030592i,-0.00074072+0.00027016i,-0.0012555+0.00041584i,-0.00098138+0.00063003i,9.6726e-05+0.00042852i,0.001161+0.00023971i,0.0016836+0.00062454i,0.0010493+0.00096672i,-0.00012462+4.7138e-05i,-0.00038874+0.0001266i,-0.00034698+0.0010649i,-0.00022531+0.00074685i,0.00023904-0.00039513i,-0.00015657-0.00096876i,-0.00035447-0.00024619i
-0.00067337+0.00066011i,-0.0010121+0.0013764i,-0.00015377+0.0017914i,0.00028119+0.00050876i,-0.00031884+0.00020284i,-0.00022866+0.00032904i,0.00020175+0.00015472i,0.00035325+9.8439e-05i,0.0002622-0.00042698i,-0.00010132-0.00021316i,-0.00048977+5.7856e-05i,-6.2473e-05+0.00028533i,1.1949e-05+0.00031879i,-0.00024893+0.00050328i,-1.3996e-05+0.00096474i,-6.5863e-05+0.00063651i,-0.00026427-0.00023871i,0.00018939-0.00035017i,0.00063864+0.00016867i,0.00073705+8.419e-05i,0.00053022-0.00049602i,0.0001564-0.00091321i,-3.1582e-06-0.00075454i
-0.001693-0.00096207i,-0.0012912-0.00045421i,-0.00066481+0.00047569i,-0.0015407-5.4971e-05i,-0.0018166+0.00022173i,-0.00087329+0.0011157i,-3.6995e-05+0.00092699i,0.0004641+0.00098612i,0.00068952+0.0013384i,0.0011466+0.0015685i,0.0010375+0.001964i,0.00057339+0.0014358i,3.1772e-05-0.00060547i,-0.00082991-0.0018891i,-0.0010137-0.0011735i,-0.00060983-0.00045634i,-0.0005988-0.00012415i,-0.00058196-1.6167e-05i,8.3194e-05+0.00040071i,5.6068e-05+0.00056873i,-0.00016919+6.8002e-06i,0.00029619-0.00064999i,-1.765e-05-0.0005989i
0.0025326+0.001004i,0.0018122-0.00043167i,0.0021119-0.0017345i,0.0006842-0.0015647i,-0.00098386-0.0015727i,-0.00058612-0.0011098i,0.00023767+0.00043276i,1.3097e-05+0.0013956i,6.3715e-06+0.0013931i,0.00014615+0.00042133i,-0.00057793-0.00011599i,-0.0013744+0.00023311i,-0.0013944+0.00030831i,-0.00038459+0.00045507i,0.00051753+7.8478e-05i,0.00068458+0.00053861i,0.00021181+0.0011579i,-0.00029164+0.0012431i,-0.00039505+0.0012245i,-6.5789e-05+0.00082222i,0.00084966+0.00017443i,0.0009449-0.00018116i,7.3751e-05-7.0578e-05i
-0.00012062+0.0021195i,0.00073088+0.0024778i,0.0016904+0.001909i,0.0013094-0.00038777i,-9.5004e-05-0.0018921i,-0.0012291-0.0014955i,-0.0014947-0.00080829i,-0.0010325-0.00023361i,0.0003547+0.00035063i,0.00085284+2.4711e-05i,7.5871e-05-0.00015238i,-4.5063e-05+0.00018186i,-0.00037678+0.00090994i,-0.00070493+1.6121e-05i,-0.00023529-0.00031432i,-0.00017512+0.00044793i,-0.00045377+0.00063321i,-0.00015098+0.00048382i,0.00010507+0.00023949i,0.00019382+1.9734e-05i,-0.00020794+0.00033901i,-0.000712+0.00059758i,-0.00021559+5.121e-05i
0.00088572-0.00057562i,0.00010706-0.00023691i,-0.00081573-0.00030891i,-0.0015223-0.00053606i,-0.0015409+0.00099459i,-0.00052092+0.0013079i,0.00014852+5.9339e-05i,0.00054227-0.00065123i,0.00074478-0.00074559i,0.0008665+0.00010388i,0.00037849+0.00063786i,-0.00092646+0.00058576i,-0.00074123+0.00086109i,0.00057663+0.0016744i,0.00084822+0.0012459i,0.00065698+0.00064615i,-4.1252e-05+0.00055644i,-0.00034847-3.8376e-06i,0.00014309-0.0004398i,0.00052703-0.00067041i,0.00037234-0.0007523i,-0.00029549-0.00015187i,-0.00037583+0.00012072i
0.00049873+0.0040011i,0.00068209+0.0040875i,0.0018585+0.0035471i,0.0022751+0.0016718i,0.0013322+0.00041153i,0.00019482-8.2444e-05i,-0.00017049-0.00029398i,-9.3771e-05+0.00062118i,0.00076899+0.00089801i,0.0012015+0.00021721i,0.00040537+0.00033038i,-0.00014666+0.00053019i,8.9861e-05+0.00089475i,0.00030714+0.00086254i,0.00021255+5.2479e-05i,-0.00026028-0.00041598i,-0.00043781-0.00021569i,-0.0001195-0.00014503i,9.0094e-05+4.7252e-05i,-0.00021083+0.00046435i,-0.00049291+0.00021648i,8.1183e-05-0.00012373i,0.00041043-0.00011708i
0.00049275+0.00038957i,-0.00045045-0.0009426i,-0.0013005-0.0010543i,-0.00080112-0.00071898i,0.00088979+0.00011388i,9.1657e-06+0.00093042i,-0.00063538+0.00062808i,0.00024752+0.00050683i,0.00082736+0.00044713i,0.00021771+0.00065219i,-0.00082273+0.00079604i,-0.00059828+0.0003344i,0.0001942+0.00012681i,0.00056968+0.00090195i,0.00091462+0.0012752i,0.00037731+0.0004659i,-0.00034292+5.0671e-05i,-0.00037117-0.0001797i,-0.00030108-0.0011131i,-0.00088774-0.0011499i,-0.00070369-0.00054842i,0.0001911+6.2183e-05i,0.00022652+0.00054085i
