-0.00037003+0.0012501i,4.4866e-05+0.00031409i,-0.00071358-0.00045732i,-0.00036645-0.00018589i,-0.00010142+0.00064i,-0.00022701+0.0011444i,0.0002962+0.001364i,0.0015369+0.0011321i,0.0020697+0.0007026i,0.0024205-6.7432e-05i,0.0022842-0.00031805i,0.0014269-0.00028417i,0.00072426-0.00063965i,0.00064786-0.00094126i,-0.00012468-0.0010611i,-0.0011113-0.000692i,-0.00084822+4.6207e-05i,-0.00042185+0.00069349i,-0.00025439+0.0005887i,-0.00023974-0.00088123i,-0.00031012-0.0014761i,-0.00039371-0.0010203i,-0.0004181-0.00054601i
-0.001447+0.000438i,-0.000829+0.00076497i,-0.0003687+0.00018703i,-0.00094408-0.00047755i,-0.0005812-0.00076183i,0.0012069-0.0010142i,0.0015085-0.0010222i,0.00086649-0.00080381i,0.00093307-0.0009207i,0.00046386-0.0013094i,9.5336e-05-0.00082813i,0.00064411-0.00040667i,0.00090357-0.00018362i,0.00048968-0.00057422i,0.00012892-0.0010967i,1.0507e-05-0.00057537i,-0.00050769-0.0003915i,-0.0007302-0.0006233i,-0.00026545-1.9936e-05i,0.00032676+0.00020905i,0.00028563+0.00012823i,-4.9631e-05-0.00037148i,-3.3417e-05-0.0011392i
0.00212-0.001966i,0.00098649-0.0016212i,0.00059953-0.0010075i,-0.00018424+0.00017238i,-0.001128+0.00024955i,-0.0011723-0.00065004i,-0.0006213-0.0011522i,0.00018704-0.0011169i,-4.2286e-06-0.0013806i,0.00012522-0.0018432i,0.00021611-0.0013014i,-2.1574e-05-0.00034842i,0.00059059-0.00014762i,0.00045612-0.00042364i,0.00011654-0.00041783i,-0.00014609-0.00013988i,-0.00060292-0.00035711i,-0.00050505-0.00017087i,-0.00064558+0.00055696i,-0.00039901+0.001092i,-0.00032252+0.00046347i,-0.00035208-0.00067933i,-1.8829e-06-0.00074888i
-0.00045555+0.0025372i,-0.00039845+0.0026253i,6.6456e-05+0.0024359i,0.0014864+0.0010189i,0.0015082+0.00017694i,0.00018858+0.00027342i,-0.00098608-8.426e-05i,-0.00084358-0.00037871i,-0.00024984-0.00088315i,0.00015962-0.00083048i,0.00011262+9.1555e-05i,4.1839e-05+0.00091796i,-0.0001315+5.8267e-05i,-0.00027174-0.00084117i,4.1705e-05-9.7368e-06i,0.00011694+0.00045142i,0.00028119+0.0011135i,-4.6296e-05+0.0011598i,-0.00069647+5.0337e-05i,-0.00077567-0.00017755i,0.00011057-0.00024176i,0.00077972-0.00024364i,9.3836e-05+0.00039229i
0.0004265-0.0003264i,0.00095626-0.0016952i,0.0014803-0.0015313i,0.001517-0.00087791i,0.00086317-0.00086969i,0.00025994-0.0011i,-5.0169e-05-0.00063404i,0.00012472+0.00067485i,0.00013817+0.00062572i,-6.5599e-05+3.7902e-05i,0.0006116-0.00049254i,0.00063907-0.00049471i,0.0003188-0.00026471i,0.0003765-0.00071436i,0.00021597-0.00044857i,-0.00040442+0.00024365i,-0.00091394+2.0009e-05i,-0.00059398-0.00056446i,-0.00022388-0.00048154i,-0.00027166+2.4667e-05i,-0.00022997+0.0003088i,0.00027337+0.00068712i,0.00067966+0.00029263i
0.001165+5.6902e-05i,0.0012328+0.0013956i,-0.00034982-0.00041848i,-0.0018608-0.001481i,-0.0011141-5.6349e-05i,0.00061743+0.0010625i,0.00082162+3.1133e-05i,0.00060732-0.00085226i,0.00048407-0.00087513i,0.00045446-0.00047911i,-3.7262e-05+1.5172e-05i,-0.00015944+0.0003818i,0.00069487+0.00027952i,0.0010331-0.0011517i,0.001035-0.0018797i,0.00030758-0.0014158i,-0.00074516-0.00041824i,-0.00021984-9.3987e-05i,-0.00026048-0.00022152i,-0.00099258+3.3887e-05i,-0.00088013+0.00031981i,-0.00032862-9.4872e-05i,0.00022579-0.00075677i
-0.0010089+0.0021984i,0.00018941+0.0001896i,0.00047118-0.00059813i,0.00068694-0.0002374i,0.0015009-0.0010291i,0.0011614-0.0014932i,0.00034527-0.00066785i,0.00023375-0.00022303i,0.00053093-0.00014689i,0.00018643-0.00066183i,-0.00077275-0.0012017i,-0.0011805-0.00031282i,-0.0008624+0.0003747i,-0.0001983+4.7939e-05i,0.00034193-4.1842e-05i,-0.00014999+0.00029973i,-0.00049677+0.00041935i,0.00013408+0.0013824i,0.00022244+0.0017526i,6.5967e-05+0.0010236i,0.00091302+0.00042783i,0.0012166+0.00045285i,0.00066803+0.00076587i
0.0011747+4.2885e-05i,0.0012755-0.00099139i,0.002083-0.0014213i,0.002507-0.0014457i,0.0015418-0.00060358i,0.00029053-0.00062891i,-3.0953e-05-0.0010182i,6.6764e-05-0.00061651i,0.00046115-0.00016472i,0.00053504-0.00012392i,0.00048904-0.00042008i,0.00063701-0.00028879i,0.0008656+0.001169i,0.0008474+0.0012706i,0.00026292+0.00024413i,-0.00021008-6.9492e-05i,-0.00037091-0.0004152i,-0.00012296+1.8652e-05i,-0.00049014+0.00040847i,-0.00066219+0.00024201i,-0.00011974+0.00017669i,-0.00046822-0.00021255i,-0.00085624-0.00029222i
0.00016403-0.0010014i,-0.00039943-0.0017476i,-0.00013704-0.0015898i,-0.00036881-0.0020095i,-0.00051938-0.0029004i,-0.00017812-0.0019468i,0.00010441-0.00048844i,0.00012228-0.00064151i,-0.00024547-0.00033806i,-0.00071645+0.00011011i,-0.00071014-8.6014e-05i,-0.00014096+0.00040197i,7.8165e-05+0.00055707i,0.00061053+0.00028883i,0.0010377-0.00042948i,0.0010946-0.00092447i,0.00047387-0.00034972i,-0.00014938+0.00028286i,-0.00050698+0.00019558i,0.00022973-1.5023e-05i,0.00048613-0.00030169i,3.9096e-05-0.00070006i,0.00043312-0.00087477i
-4.1197e-05+0.0032874i,0.0020875+0.0023669i,0.0035693+0.0016321i,0.0030015-5.6231e-05i,0.0020641-0.0010881i,0.00070045-0.0016943i,-0.00022528-0.0020639i,-0.00078094-0.001352i,-0.00047787-0.00027165i,0.00078396-0.0001507i,0.0010206-0.00035828i,0.00057698-0.00053656i,0.0006728-0.00013854i,0.00044969+0.0010909i,0.00029509+0.0015413i,-7.4009e-05+0.0013544i,-0.00044343+0.00011567i,3.5492e-05-0.00035339i,4.3044e-05+6.6236e-05i,-0.00030056+0.0001076i,-0.00011873-0.00031348i,0.0001893-0.00054887i,0.00050337+0.00032774i
-0.0031464-0.0011412i,-0.0025688-0.00076597i,-0.0018562-8.5435e-05i,-0.00044848+0.00051388i,0.00081676+0.00083543i,0.0014584-8.4572e-05i,0.0010793-0.00087686i,0.00014898-0.00094586i,-8.657e-05+0.00026635i,-0.00019383+0.0011104i,-0.00026802+0.00058543i,0.00025313+0.00035958i,0.00010765+0.00012776i,-0.00042917-8.8877e-05i,-0.00068893-0.00035906i,-0.0010637-0.0006483i,-0.00042608-0.00029751i,-0.0002376-0.00029989i,-0.00058323-0.00051467i,-0.00032715-0.0004648i,-0.00035701-0.00043501i,-0.00029466-9.7078e-05i,-0.00047288+0.00050963i
