-0.0010106-0.0014519i,-0.0018382-0.0021772i,-0.0026313-0.0030907i,-0.0028104-0.0020593i,-0.0013926-0.0010789i,-5.2205e-05-0.00069945i,0.0003173+0.0001961i,0.0003718+0.00041747i,4.8362e-05+0.00023651i,0.0005476+0.00057291i,0.00060654-6.9864e-05i,-0.00074027-0.0005567i,-0.0015036-0.00023954i,-0.00087478+0.00013542i,4.6154e-05+0.00021878i,0.00045141-0.00042292i,0.00029442-0.00018194i,0.00042899+0.00046267i,0.00050577+0.00032475i,5.1354e-05-0.00017333i,6.2006e-05-0.00027582i,0.00018749+0.00010994i,0.00052519+0.00052396i
0.0001389-0.00023219i,-0.00043895-0.00028516i,-0.00057793-4.6463e-05i,-0.00038265-0.0005367i,-4.4067e-05-0.0008649i,-0.00029627+0.00026057i,-0.00028099+0.00018468i,-0.00043951-0.00047767i,-0.00090639-7.5343e-05i,-0.00050849+0.00032446i,0.00058727+0.00052866i,0.0010201+0.00059509i,0.00080239+0.00045774i,0.00010767+0.00015665i,-0.00023072+0.00017135i,-3.6883e-05+0.00025038i,-0.0001046-0.00022496i,-6.2702e-05+1.3058e-05i,0.00010771-0.00035235i,-0.00012203+5.2454e-05i,-0.00015039+0.001104i,-0.00022754+0.00099748i,0.00019272+0.00029726i
-0.0012737-0.00053822i,-0.0019809-0.00092055i,-0.0013685-0.00078245i,-0.00046905-0.00076007i,6.8265e-05-0.00090547i,-2.327e-05-0.0011488i,-8.7697e-05-0.0013i,-7.2885e-05-0.00083067i,-0.00029049-0.00041588i,0.00014548-0.00029228i,0.00024984+0.00015004i,0.00047006+0.00056018i,0.00055965+0.0009974i,0.00028645+0.00024382i,0.00023475-0.00061794i,-0.00042555-0.00038983i,-0.00079765-0.00027475i,-0.00017974-0.0006944i,0.00039656-0.0010133i,0.00064759-0.001381i,0.00060411-0.00080851i,0.00039696+0.00071555i,0.00010137+0.00076496i
-0.00015589+0.00019086i,-0.00043349+0.00056027i,0.00066138+0.00079423i,0.0011275+0.0001296i,0.00088928-0.00092903i,0.00081252-0.0016756i,0.00053431-0.0016118i,0.00060167-0.00083892i,0.00048098+0.00033342i,0.00067516+0.0006909i,0.00053276+0.00046805i,0.00013734+0.00018537i,-0.0002704+0.00022758i,0.00027057+0.00013775i,0.00069176-0.00014482i,-0.00010086+4.865e-07i,-0.0010996+8.0692e-05i,-0.000859-0.00046432i,-2.123e-05-0.00067614i,-0.00078696-0.00055361i,-0.00074214-0.00015741i,0.00019069+0.0004613i,-7.334e-05+0.00092005i
-0.00024254-0.001488i,-0.00078757-0.0015867i,-0.0014351-0.0011926i,-0.00082726-0.00060541i,-5.6977e-06-0.00058429i,-0.00041675-0.0012365i,-0.00087719-0.0012443i,-0.00054415-0.00044188i,-0.00027109-4.2279e-05i,-0.00017483+1.0707e-05i,5.7469e-05+1.2783e-06i,0.00027617+0.00016522i,0.0010153-2.4611e-05i,0.0013283+0.00016515i,0.00088077-0.00010688i,0.00060624-0.0008412i,-5.2105e-05-0.00098368i,-0.0011214-0.00032393i,-0.00083138+0.00022368i,-9.5942e-05-0.00017379i,-0.00011508+4.677e-05i,0.00022815+0.00052867i,0.00045+0.00024253i
0.00099225-1.7396e-05i,0.0012911-0.00065476i,0.00035842-0.00096011i,-0.00080889-0.00031791i,0.00024354-0.00076121i,0.001302-0.001884i,0.00056188-0.0013171i,1.0928e-05-0.00047865i,-0.0002619-0.00018497i,-0.0009638-0.00016855i,3.1479e-05-0.00041093i,0.0015746+6.2162e-05i,0.0015661+0.00082072i,0.00086472+0.00063236i,0.00095499+0.00033038i,0.0010695+0.00016512i,0.00020923+0.00059293i,-0.00010786+0.00096757i,-0.00046536+0.00043279i,-0.00095176-6.6406e-05i,-0.0006093-0.00052051i,0.00016285-0.0010341i,9.5734e-05-0.0013798i
0.0014334-0.00093461i,0.0019071-0.00027731i,0.00079598-0.00076334i,7.9379e-05-0.00089161i,-0.00026117-0.00049336i,-0.0008631-0.00029633i,-0.00073525-0.00071024i,-2.6482e-05-0.0012882i,-0.0003251-0.0018364i,-0.00019783-0.00095548i,2.557e-05-0.00014179i,0.00015976-4.4733e-05i,0.0010833+0.00057791i,0.00087858+0.0013911i,-0.00023928+0.0013789i,-6.1191e-05+0.00047938i,0.00063186-5.6261e-05i,0.00059297+0.00028179i,0.00021596+0.00020554i,-0.00017816-1.9711e-06i,-0.00011877+0.00032234i,-4.7875e-05+0.00032595i,-0.00015313-0.0004144i
0.0010381-0.0011066i,0.00086461-0.0016188i,-5.6487e-05-0.0018614i,0.00039929-0.0013482i,0.00074461-0.0010637i,-0.00012483-0.0007633i,-0.00049427-0.00057444i,0.00026513+0.00023539i,0.00047373+0.00071313i,-0.00032174-1.7119e-05i,-0.0011099-0.00077153i,-0.00057013-0.00073704i,-0.00018966-6.3282e-05i,-0.00017392+0.00040579i,-0.00021937+8.315e-05i,-0.00037499-0.00035922i,-0.00011603-3.829e-05i,0.00044468+0.00041624i,0.00051567+0.00057426i,0.0015504-1.3611e-05i,0.0021222+4.7583e-05i,0.00059868-0.00023477i,-0.00034246-0.00064763i
-4.2014e-05-0.0011797i,-0.00071442-0.00019656i,-0.00074179+0.0001841i,0.00047811+8.5807e-05i,0.0011128+0.00016584i,0.00073388+0.00038988i,3.1672e-06-0.00014039i,-0.00076707-0.0011071i,-0.00064545-0.0008663i,-0.00040841-0.00039203i,-0.00026638+0.00038653i,-0.00030955+0.00061261i,-0.00047296+0.00031063i,-0.00037664+0.00022074i,-0.00019446+0.00083523i,-0.00035808+0.0014996i,-0.00033136+0.00028932i,-3.9201e-05-0.00082915i,-9.9685e-05-0.00031976i,-0.00050855-0.00024629i,-4.2871e-06-0.00054529i,0.00049627-0.00063814i,-6.812e-05-0.00068939i
-0.00064011+0.00021967i,0.0001921+0.00082179i,0.00074875+0.00065077i,0.00072223-9.0736e-05i,0.00064295-0.0015697i,0.00052643-0.002218i,0.00033069-0.0017437i,2.3512e-05-0.00079855i,0.00064137+0.00051669i,0.00049532+0.00085493i,-0.00029758-4.141e-05i,3.2458e-05-0.00040998i,0.00055936-0.00027219i,1.3125e-05-9.9086e-05i,-0.0003258-0.00037267i,0.00031129-0.00079257i,0.00022321-0.00028086i,0.00025322-0.00014527i,0.00033384-0.00036527i,-0.0002956-0.00018189i,-0.00063888-9.0187e-05i,-0.00048125-0.00053612i,-5.5096e-05-0.0009974i
0.00053551-0.00028103i,0.00067635-0.0012796i,0.00080862-0.0016858i,0.00015988-0.0012306i,-0.00041063-0.0013013i,-0.00060715-0.0013186i,-0.00075984-0.0012373i,-0.00055606-0.0013937i,-0.00022068-0.0013517i,0.00049497-0.00095627i,0.00065614-0.00053138i,0.00016455-0.00046115i,-0.00088206-0.00050899i,-0.0017366-0.00087769i,-0.0018815-0.00065494i,-0.0018989+1.3733e-05i,-0.0014144-0.00025808i,-0.0012497-0.00015702i,-0.00088431-5.5412e-05i,-0.00035084-0.00078356i,-0.00045887-0.0012037i,-0.00013851-0.00082476i,-0.00010815-0.00067772i
