-0.0015957-0.0010841i,-0.00088666-0.0016266i,-0.001195-0.0019717i,-0.00056359-0.0018981i,-0.00055137-0.00062814i,-0.00057462+0.00050412i,-0.00043721+0.00083426i,4.4891e-05+0.00069573i,0.00043322+0.00021284i,-1.6117e-05-0.00055489i,-0.00045892-0.00059477i,-0.00067289-1.1263e-05i,-0.00042741+9.9558e-05i,-0.00015539+0.00020737i,-0.00032186+0.00015221i,-0.00027809+0.00016013i,-0.00012759-0.00014992i,-3.2578e-06-7.0349e-06i,-0.00011311+0.000645i,0.00018711+0.00023966i,-0.00037481-0.00089589i,-0.0010515-0.0019447i,-0.00084348-0.0019238i
0.0015763-0.00088454i,0.00078304-0.0002453i,0.00037138-0.00018554i,-0.00038514-0.00032225i,-0.0007047-0.0013012i,-0.0010245-0.00093981i,-0.00062641-9.8616e-06i,-0.000205-0.00048415i,-0.00062768-0.00075951i,-0.0007018-0.00051491i,-0.00014547-0.00052723i,0.00026351-0.0009552i,-0.00038806-0.00067386i,-0.00068329-0.00037322i,-0.00020778-2.2797e-05i,-5.1555e-05+9.23e-05i,-0.00033472-4.553e-05i,-0.00086879+2.8586e-05i,-0.0010816+0.0004225i,-0.0003957+0.00027048i,0.00055937-0.00042999i,0.00052313-0.00074904i,-0.00014453-0.00090859i
0.00065584+0.00061478i,-0.0006984+0.00016105i,-0.0010453-0.00037i,-0.00070419-0.00075784i,-0.00071265-0.00038619i,-0.00054512+0.00014328i,-0.00034345+1.1868e-05i,-0.00082266-6.4063e-05i,-0.00090194+0.00039357i,-0.00044921+0.00015615i,-0.00033079-0.00071733i,0.00023691-0.00062555i,-6.0478e-05-0.00014843i,-0.00031254-0.00022433i,0.0005589+8.3015e-05i,0.00081097+0.00054034i,0.00092993+0.00013704i,0.00037891-0.00051096i,-0.00010766-0.00051272i,0.00046758-3.2526e-05i,0.0010413-0.00025424i,0.00078579-0.00020963i,0.0003261+0.00038466i
-0.0017709-0.00040204i,-0.0022954-0.00011342i,-0.001996+0.00026969i,-0.00023863+0.0011i,0.00054817+0.0018886i,0.00048795+0.0011889i,0.00019762-0.00024758i,9.0354e-05-0.00087544i,0.00020006-0.00042001i,0.00034198+0.00020745i,0.00037008-0.00034455i,0.00032955+0.00025083i,0.00010191+0.00077241i,-7.364e-05+0.00042367i,-0.00022172+0.00037743i,0.00011395-0.00043553i,-5.321e-05-0.0012889i,-0.00015989-0.00087677i,0.000105-5.0983e-05i,0.00019184-6.8768e-05i,-0.00024796+0.00022207i,-0.00026092+0.0013116i,1.8072e-05+0.0012343i
-0.0011521-0.0006897i,-0.0015208-0.001518i,-0.0013184-0.0010233i,-0.00078548+0.00021879i,1.9773e-05+0.00070832i,-0.0006021+0.00036104i,-0.0010757-0.00040782i,-0.00071441-0.00036484i,-0.00078504+3.0664e-05i,-0.00094112+3.8971e-05i,-0.00073785+0.0004187i,-0.00033617+0.00043896i,-0.00027827-0.0001514i,-3.5012e-05-0.00016022i,0.00053343-0.00035888i,0.00029753-0.00048596i,0.00044985-0.00056957i,0.00063723-0.00065755i,-9.9158e-05-0.00031824i,-8.4484e-05-0.00033231i,0.00032423-0.00023754i,0.00055615+6.7532e-05i,0.00015506-6.5511e-05i
0.00083137-0.00068578i,4.2242e-05-0.00094751i,-0.00042157-0.00038467i,-0.00129+7.829e-05i,-0.0014413-0.00053964i,-0.00016942-0.00092131i,0.00061093-0.00093786i,0.00069925-0.00074871i,0.00014443-0.00023535i,-0.00037177+6.2988e-05i,-0.0011375+0.00037531i,-0.0014237-0.00011467i,-3.1401e-05-0.00022208i,0.00066394-0.00045969i,0.00072914-0.00085144i,0.00087621-0.0007917i,-1.2568e-05-0.00062429i,-0.00059403+3.6878e-05i,-0.00021473-0.00054935i,0.00089964-0.0010149i,0.00069965-0.00039361i,-1.7587e-05+5.208e-05i,-0.00014283-0.00010658i
-0.00052806+0.001042i,-0.00075226-8.0989e-05i,-0.00075454-0.00040824i,0.00041383+1.6286e-05i,0.00087662-3.9146e-05i,0.00019529+0.00021431i,-8.9154e-05+0.00042344i,-0.00015925-0.00029744i,-0.00024063-0.00063037i,0.0001333+0.0004901i,5.8795e-05+0.0011406i,0.00034132+0.00050106i,0.00028003+1.2323e-05i,-0.00029841-0.00011273i,0.00014174-0.00089456i,0.00024563-0.0014069i,0.00053872-0.0010526i,-2.8067e-05+0.00031989i,-0.00072035+0.0010702i,-0.00060171+0.00074i,-0.0008585-0.0002592i,-0.0010631-0.00066096i,-0.0012418+0.00063629i
0.001228+0.00046081i,-0.00039988-0.00017106i,-0.00057849-0.0013831i,0.00022755-0.0017168i,0.00015366-0.0013983i,0.00011688-0.00051168i,0.00026908+0.00015i,-7.7516e-05-0.00021236i,5.93e-05-0.00036358i,0.00088858-0.00018479i,0.00044662-0.00013684i,-0.00070846-0.00021148i,-0.00093002+0.00075479i,-0.00018097+0.0013361i,8.7304e-05+0.0009538i,-0.00019197+0.00056014i,0.00031485+3.8169e-06i,0.00029749+0.00026468i,-0.00028753-0.00018821i,-0.00027843-0.00047351i,0.00034385-0.00013771i,0.0010444+6.7291e-05i,0.0011596+0.00044688i
-0.0010693-0.00040475i,-0.0010016+0.0001584i,0.00016029+0.00074856i,0.0004682+0.00014551i,0.00028042-0.00017244i,0.00019208-0.0011093i,0.00024428-0.0021445i,-0.00056577-0.0008276i,-0.0019041+0.00092487i,-0.0019522+0.0010623i,-0.00099228+0.00037234i,-0.00071407+0.00015779i,-0.0011047+0.00020253i,-0.00081483+2.1678e-05i,-0.00040827-0.00011247i,-2.2015e-07-0.00013739i,0.00040569-0.00071875i,0.00051003-0.00084136i,0.00015372+0.00058442i,-5.9275e-05+0.001495i,0.00010071+0.001058i,0.00018599+0.00081235i,-0.00047521+0.00043627i
0.00018521-0.0017796i,-0.00041755-0.0020125i,-0.0015837-0.00092045i,-0.0015352-0.0005498i,-0.0005179-0.00073833i,-0.00035912+5.9536e-05i,-0.00025423+7.8567e-05i,0.00016147-0.00071459i,0.00065259-0.00065019i,0.00070309-0.00086071i,0.00071282-0.0011696i,0.00036323-0.00091429i,0.00026842-9.3773e-05i,-0.00023175+0.00044411i,-4.9911e-05-8.8245e-05i,0.00080043-0.00061055i,0.00042571-0.00058732i,-0.00040257-0.00023957i,-0.0003258+9.5774e-05i,0.00056615+0.00059343i,-7.9608e-06+0.00073719i,-0.00093506-5.3945e-05i,3.0831e-05-0.00083375i
0.00036168+1.2643e-05i,-0.00061099-0.00031239i,-0.00096878-0.0010735i,-0.00064652-0.0005775i,-0.0003484+6.8118e-05i,-0.00030622-0.00017538i,-0.00030956-0.0006235i,-0.00062442-0.00034579i,-0.001268+0.00041795i,-0.0011701+0.00040323i,-9.6625e-05+0.00057007i,0.00073076+0.00088021i,0.00025132+0.00078932i,-0.00039563+0.00029381i,-1.6031e-05-0.00069992i,0.00012083-0.00060662i,-0.00020799+7.5728e-05i,-0.00058566+0.00044976i,-0.00095032+0.00018464i,-0.00023924-0.00016093i,0.00037555+2.5847e-05i,0.00020863-0.0005994i,0.00049805-0.001294i
-0.0018104-8.2495e-05i,-0.0021288+0.00023643i,-0.0014595+0.0018365i,0.00021097+0.0013523i,0.00098394+0.00033154i,0.00093144-0.00052782i,0.0011721-0.00117i,0.0009907-0.00092561i,0.00083305-3.7981e-05i,0.00098825+0.00028696i,0.0005223+0.00033229i,-8.9527e-06+0.00032553i,-0.00021423-0.00041472i,-0.00034203-0.00085751i,-0.00011562-0.00075023i,0.00031165-0.00083734i,-2.4059e-06-0.0002691i,-0.00029113+0.00083175i,-0.00011383+0.0010041i,-6.831e-05+3.8284e-05i,-6.3064e-05-0.00073728i,-0.00022274-0.0011658i,-0.00045747-0.00065749i
