-0.006136-0.00071659i,-0.0045385+0.00045757i,-0.00368+0.0034139i,-0.0029934+0.0048644i,-0.0016672+0.0040211i,-0.00015687+0.0024645i,0.00074524+0.0019843i,0.0014941+0.0019942i,0.0010399+0.0017077i,0.00020509+0.0011779i,0.0020083+0.0007465i,0.0029486-0.00027918i,0.0021679-0.00067821i,0.0011521-0.00074911i,-0.00034532-0.00072548i,-0.00079493-6.791e-05i,0.00044766-0.00013643i,0.00097973-0.00038047i,-0.0001651+0.00017195i,-0.0011181+0.00065312i,-0.00071545+8.3322e-05i,0.00013146-0.00020563i,0.00017066+0.00048056i
-0.0012215-7.8872e-05i,-0.00099138-7.2621e-05i,-0.0011092-0.00045137i,-0.00072987+6.9074e-05i,8.4701e-06+0.00071007i,0.00047209-0.00032856i,0.0010513-0.0011965i,0.00094661-0.0011812i,0.00066111-0.00051004i,0.00055611-0.00026587i,0.00054869-4.577e-05i,0.00054032-5.6613e-05i,0.00066697-0.00010608i,0.00016631+8.6311e-05i,-0.00019981-0.0001334i,-0.00036366-0.00053434i,-0.00033195-0.0012222i,0.00021036-0.00081879i,0.00051073+0.00047466i,-0.00010798+0.00043299i,-0.00034747-0.00059537i,-2.2745e-05-0.00023083i,-0.00050995+0.00070811i
0.0010044-0.0024439i,-4.0374e-05-0.0024082i,-0.00078305-0.0015365i,-0.00062143-0.00060462i,0.00037869+0.00012186i,0.00066271+5.0857e-05i,0.00052035-0.00030576i,0.00064864-0.0004892i,0.00044166-0.0008983i,0.00010141-0.00023401i,0.00035826+0.00051709i,0.00068936+0.00056191i,0.0014638+0.00020246i,0.0016327+0.00043997i,0.00049554-3.1914e-05i,0.00019637-0.00076281i,0.00075051-0.0012424i,0.00088779-0.0009423i,0.00083702-0.00028935i,0.00091381+6.3358e-05i,0.00067785+0.00038599i,-8.365e-05+0.0005542i,-0.00029357+0.00074295i
0.00058577+0.0037781i,0.0014794+0.0026212i,0.0020087+0.0022438i,0.0020509+0.0019843i,0.0012481+0.00049064i,0.00084589-0.00081654i,0.00022574-0.00061586i,0.00058359-0.00087969i,0.0010487-0.0012024i,0.00020747-0.0011432i,-6.186e-05-0.0010079i,0.0004813+6.5357e-06i,0.00026713+0.00097816i,-0.00079838+0.00013966i,-0.0011541-0.00018324i,-0.00061599-1.2113e-05i,0.00029806-0.00096177i,0.00077993-0.00090386i,-0.00011302-0.00038446i,-0.00075818+5.5604e-05i,0.00039977+0.00098439i,0.0015096+0.00078489i,0.0010315+0.00020665i
-0.00048007-0.00077858i,-0.0013033-0.0012679i,1.1597e-05-0.0017274i,0.0014605-0.0014973i,0.0014137-0.00019888i,0.00072686+0.00015864i,-0.00024724-0.00016293i,-0.0004391-0.00027619i,0.00045191-0.00025698i,0.00071243-0.00052389i,6.805e-05+2.3342e-05i,0.00025767+0.00044185i,0.00033234+0.00048475i,-0.00010102+0.0010001i,0.00048943+0.00097436i,0.00076995+0.0005342i,-5.1012e-05-7.626e-05i,-0.00012135-0.00039656i,0.0007688-0.00016582i,0.00082301-0.00024352i,0.0007978-0.00068764i,0.0006155-0.0009674i,0.00014007-0.00065716i
-0.0010192-0.00025824i,-0.00071507-0.0013118i,0.00034802-0.00030214i,0.00028288+0.00086315i,-2.7825e-05+0.00075603i,8.2788e-05-7.5303e-05i,0.00068855-0.00070469i,0.00093234-0.00031183i,0.0005249-0.00015823i,0.00046119+0.00032412i,0.00074333+0.00048125i,0.00074158-0.00023694i,0.00059112+0.0003119i,0.00068855+0.0005721i,0.00030479-5.0199e-05i,0.00031454+0.00067042i,0.00024739+0.00058255i,-0.00016773-0.00096949i,0.00040613-0.0016816i,0.00023666-0.00060226i,-0.0003024+0.00065976i,-0.00055353+0.00041577i,-0.00038623+0.00039489i
0.00037284+0.0011106i,0.0013424+0.0005473i,0.0019926+0.00095485i,0.0019329+0.00053217i,0.0014849-0.00097258i,0.0012697-0.0013656i,0.00075895-0.0010834i,0.00023677-0.00077309i,-6.4088e-05-0.0004023i,0.00017275-0.00057665i,0.00027889+0.00019544i,8.3393e-05+0.00073039i,0.00073741+0.00015596i,0.00093681-0.00044786i,4.5031e-05-0.0001394i,-0.00032442-0.00010868i,0.00023662-8.7351e-05i,0.00045518+0.00033943i,0.00023578-0.00016792i,0.00021432-0.0002789i,-0.00046477-0.00010935i,-0.0015243-0.00013812i,-0.00092006+0.00011327i
0.001304-0.00061428i,0.0013425-0.00048005i,0.00091772-0.00078108i,0.00039665-0.0011207i,0.00054945-0.0013877i,0.00081353-0.0013466i,0.00047009-0.00056642i,0.0005078-0.00068014i,0.00074445-0.0015398i,0.0005566-0.0013709i,0.00066428-0.00080296i,0.00086354-0.00071417i,0.00067842-0.00050456i,-0.00013299-0.00029971i,-8.0015e-05-0.0002606i,0.00067151+0.00036469i,0.00085044+0.00080769i,0.0007541+3.4731e-05i,0.00090237-0.00048804i,9.3782e-05-2.8274e-05i,-0.00035668+0.00029698i,-0.00011784-6.7986e-05i,-1.1972e-05-0.00014879i
0.00079681-0.00097591i,0.0010412-0.0010705i,0.00093363-0.00035097i,0.00061668-0.00034451i,0.00027489-0.00052387i,0.00054066-3.5893e-05i,0.00087426-8.5723e-05i,0.0010642-0.00063296i,0.0011294-2.9945e-05i,0.00078794+0.000373i,0.0013699-0.00027701i,0.0017141+2.0039e-05i,0.00081324+0.00064383i,0.00018743+0.00076775i,1.463e-05+0.0015232i,0.00018407+0.0011829i,0.00011642+0.0007006i,-9.5908e-06+0.0010714i,0.00049059+0.0006799i,0.00048176+0.00031256i,0.00030801+0.00039609i,0.00041678-0.00025463i,-0.00016786-0.00037548i
-0.00030019-0.00035825i,-0.001407-0.00091083i,-0.0024694-0.00094788i,-0.0021849-0.00033836i,-3.7283e-05-0.00037864i,0.0016839-0.00077852i,0.0004477-0.00049962i,5.345e-05-4.4389e-05i,0.0008767+0.00055486i,-1.4504e-05+0.00027636i,0.00035446-0.00053018i,0.0010534-0.00011826i,0.00096239-0.000109i,0.00066087-0.00036517i,6.4051e-05-0.00022987i,6.3988e-05+5.8724e-05i,0.00095627-0.00014411i,0.00047417-0.0005111i,0.00033692-7.1088e-05i,0.00046837-3.076e-06i,0.00013574-0.00029471i,-7.8772e-05+0.00042411i,0.00017344+0.0001855i
0.00085052-0.001399i,0.0022434-0.0015931i,0.0025502-0.0019188i,0.00094638-0.00076766i,-0.00038754+0.0006178i,-0.00078507+0.00065865i,-0.00028984-0.00034939i,3.7754e-05-0.0013177i,-0.0004042-0.0011462i,-0.00050427-0.00050075i,-9.5314e-05+0.00019097i,0.00080334-0.00014083i,0.00095869-0.00028095i,0.00062419+0.00014664i,0.00060136-3.7525e-05i,0.00084962+0.00035849i,0.00060622+0.00018072i,0.00022037-0.0004114i,0.00036125-0.00089829i,0.00047459-0.00063924i,0.0001178-0.00025593i,0.00027984-6.692e-05i,0.00027971+0.00020464i
-0.0014805+0.0012303i,-0.00094108+0.0023557i,-8.5736e-05+0.0023514i,0.00035892+0.0019049i,0.0011763+0.0010584i,0.0013805-0.00043558i,0.00077123-0.0010088i,2.2076e-07-0.00011008i,-0.00025766+0.00014114i,0.0002174+0.00022003i,0.00052102+0.00040277i,0.00033472+0.00035745i,9.7831e-05-0.00025135i,0.0005133-0.00035063i,0.00051755-1.7643e-05i,0.0004168-0.00038673i,0.00026664-0.00060508i,0.00027959+2.0149e-05i,0.00071153+0.00047128i,0.00054486-0.00012581i,0.00079969-0.00076214i,0.0013846-0.00060504i,0.0014006+6.0764e-05i
0.0041101-0.0012375i,0.0029228-0.0030465i,0.0027586-0.004296i,0.0015882-0.004049i,0.00024086-0.0029757i,-0.00025602-0.0019402i,-1.5079e-05-0.0011202i,0.00051783-8.6788e-05i,0.0007694-6.8008e-06i,0.00011424-0.00085194i,0.00056746-0.00036413i,0.001032+0.0012782i,0.00067564+0.0021973i,0.00077649+0.0018369i,0.00043077+0.00078255i,2.7034e-05-0.00029611i,1.6094e-05+0.00035806i,0.00012714+0.0006405i,-0.00025534+0.00031835i,-0.00031459+0.00047423i,0.00016407+2.4294e-06i,-0.00044689-0.00028115i,-0.001082-0.00039868i
0.0019162+0.00033293i,0.0020111+0.00018654i,0.0011736+4.8442e-05i,0.0014106+9.6871e-05i,0.001368-0.0003338i,0.00038549-0.00092494i,0.00050159-0.0013358i,-4.5065e-05-0.0010335i,-0.0010888-0.00022652i,-0.00086365+7.6693e-05i,-0.00029338+0.00016562i,0.00069143+0.00029527i,0.0013388-0.00040155i,0.00049454-0.00050363i,-0.00054023+0.00048236i,-0.00017789+0.00076195i,0.00079006+0.00086101i,0.0006376+0.00046317i,-3.5381e-05-1.9097e-05i,-0.00035865+0.00027477i,-0.00024317-0.00037753i,0.00020259-0.00078571i,2.809e-05-0.00051418i
0.00056797-0.0010178i,-0.00097421-0.0013266i,-0.0021304-0.0010533i,-0.001265+0.00049561i,0.00059956+0.001029i,0.0013927+0.0009021i,0.00085058+4.5342e-05i,0.00090481-0.00069542i,0.00086933-0.00022392i,5.2738e-05-0.00032042i,-0.00040186-0.00017125i,-0.00048174+0.00073707i,0.00025539+0.00036811i,0.00081262+1.8463e-06i,0.00037379+0.00018999i,-2.2883e-06+0.00030978i,7.9701e-05+9.0993e-05i,0.00036743-0.0006293i,0.00014297-0.000582i,7.6054e-05-9.4306e-06i,0.00022069-0.00015049i,-0.00051028+0.00010247i,-0.00022819+0.00023529i
-0.00079617+0.0012221i,0.00029788+0.0008952i,0.00026789+0.00018006i,-0.00013864-0.00036657i,0.00038096-0.00041017i,0.00081837-0.00036852i,0.00071819-8.0771e-05i,0.00071204-4.6382e-05i,0.00075438-0.00040303i,0.00016953-3.0869e-05i,-0.00025587+0.00019938i,0.00040554-0.0003191i,0.000837-0.00024796i,0.00045672+0.00062025i,-0.00014096+0.00056572i,0.00017736-0.00014343i,0.00065702-0.00031503i,6.0322e-05-0.00024115i,-0.00088626+0.00035473i,-0.00087097+0.00078209i,-0.00077485+0.0004668i,-0.00052065+0.00038231i,-0.00020833-0.00029759i
-0.00081881+0.0011549i,-0.0011924+0.00073114i,-0.0007088+0.0020349i,0.0010635+0.002458i,0.0016516+0.0011158i,0.0012242+4.8154e-05i,0.00077013-0.00057463i,0.00067613-0.0013395i,0.0012063-0.00093802i,0.0011542-0.00033124i,0.00064325-0.00031476i,0.00042503-0.00010161i,0.00066577+0.0001807i,0.00096117+0.00011684i,0.00017383-5.8759e-05i,-0.00070303+0.00011425i,-0.00013437+0.00059567i,0.00059223-9.1729e-05i,0.0012786-0.00037063i,0.0011401+0.00048303i,0.00024137+0.0010253i,-0.00023154+0.00067675i,-0.00043536+0.00021484i
-0.00039338-0.00048872i,-0.00059045-0.0013778i,0.00022646-0.0022421i,0.0013605-0.0021753i,0.0015308-0.0016899i,0.0011399-0.0009587i,0.00093485-0.00019556i,0.00099579-0.00034362i,0.00089858-0.00082297i,0.00044291-2.7994e-07i,0.0001015+0.00031878i,0.00037471+0.00013992i,0.00087191+0.0007977i,0.00076421+0.00090012i,-4.4426e-05+0.00045653i,-0.00034515+0.00042642i,-0.00046422+0.00043834i,-0.00043116+0.00024654i,-0.00027114+0.00025495i,-0.00053652+0.00035529i,-0.00015637+0.00028848i,0.00039646+0.00036352i,0.00018033+0.00050618i
