0.0015696-0.00080173i,0.00097343-0.0012242i,-0.00012916-0.002321i,-0.0020679-0.0021937i,-0.0032766-0.00077987i,-0.0035263+0.00076641i,-0.0023345+0.0026768i,-0.00073705+0.0022915i,0.00070068+0.00056001i,0.0018116-0.00045847i,0.0013579-0.0014295i,2.1929e-05-0.0012045i,-0.00098467+9.6701e-05i,-0.0013678-0.00024256i,-0.0013902-0.001171i,-0.0012222-0.0013536i,-0.00041261-0.001424i,0.0004653-0.00091117i,0.00024857+0.00017801i,-0.00063203+0.00044472i,-0.00063445-4.1235e-05i,7.404e-05+1.0984e-05i,0.00044476+0.0005393i
-0.0012726-0.0020217i,-0.0020829-0.00046731i,-0.002457+0.00093497i,-0.001449+0.0012655i,-0.0011739+0.0015159i,-0.0011231+0.0017044i,-0.00033164+0.0010365i,-0.00018087+0.00024081i,-0.0008475+1.9836e-06i,-0.00073876+0.0001775i,-0.00011043+0.000401i,-0.00013061-0.00018551i,-0.0001891-0.00038064i,0.00045076+0.0002531i,-8.0401e-05+0.0007012i,-0.0017483-8.2788e-05i,-0.00117-0.00020422i,0.00040439+0.0002961i,0.00087554+0.0001449i,0.000475-0.00041627i,-9.9518e-06-2.3457e-05i,-8.9074e-05+0.00059662i,-0.00015364+0.0005979i
0.00065681-0.0013901i,0.000285-0.00067847i,-0.00063619-0.0012447i,-0.0010589-0.0013202i,-0.0014878+2.303e-05i,-0.0015369+0.00094353i,-0.00049393+0.0013104i,-0.00040694+0.00057397i,-0.00070634-0.00069767i,-0.00085829-0.00068344i,-0.0010959-0.00042983i,-0.0010483+0.00022589i,-0.00098311+0.00044319i,-0.00067592+0.0005963i,6.7538e-05+0.001157i,0.00041689+0.00065401i,-0.00075921-0.00021755i,-0.00099983-0.00059924i,-0.00018419+0.00018704i,-0.00015033+0.00060384i,-0.0004161+0.00029277i,-0.00031132+0.0003791i,-4.8533e-05+0.00083856i
-4.7156e-05-0.00066516i,-0.00085667-0.00078919i,-0.0019658-0.00073266i,-0.0021926-0.00042075i,-0.0022756-0.00058748i,-0.0017806-0.00040002i,-0.00050073-0.00026738i,0.00013238-0.00038027i,-0.00015216-0.00077577i,-0.00077276-0.0010374i,-0.00063235-0.0012106i,0.00044475-0.00074423i,0.00090987-5.0471e-05i,0.00053786+0.00024218i,0.0002244+0.00038082i,0.00015516+0.00013455i,7.6741e-05+0.00028998i,0.00035956-3.7266e-05i,0.00023378-2.0144e-05i,-0.00035414+8.0587e-05i,-0.00023931+0.00033564i,-0.0001477+0.00091915i,4.9106e-05+0.00031428i
-0.00076309-3.8792e-05i,-0.00035181+0.00033458i,-0.00026501-1.7976e-05i,-0.0013144-0.00080269i,-0.0011805-0.00064597i,-0.00089478+0.00030111i,-0.00068587+0.00080485i,-0.00029175+0.00074608i,-0.00036378+0.00076833i,-0.00080084+0.00057108i,-0.00043532-0.00030318i,0.00076924-0.0014529i,0.0014617-0.0010737i,0.0010168-0.0003706i,0.00035178-5.4084e-05i,-0.00037578-0.0003504i,-0.00033216-0.0011282i,-0.00025992-0.0011908i,-0.00038766-0.00062556i,-0.00024566-0.00064263i,-0.00050456+0.0003538i,-0.00091121+0.00092589i,-0.00063998-0.00022508i
-0.0014368-0.00063669i,-0.0020213-0.00062223i,-0.0015946+0.00032671i,-0.00072411+0.0010067i,-0.0012172+0.0010035i,-0.0019423+0.0010365i,-0.00090138+0.00098587i,-0.00037942+0.00093015i,-0.00038101+0.00059394i,-0.00011567+0.00020246i,0.00022855+0.00051087i,0.00056883+0.00048444i,0.00014706-0.00052401i,-5.8868e-05-0.000243i,4.6103e-05+0.00022336i,-2.3686e-05-9.1826e-05i,7.2484e-06-0.00052202i,-0.00020522-0.0005544i,-0.00023803-0.00034282i,-0.00044365-3.3669e-05i,-0.00083812+0.00051774i,-0.00078248+0.00036282i,-0.00054213+0.00010976i
-0.00057902-0.0014822i,-0.0010662-0.0016194i,-0.001243-0.0015044i,-0.0012527-0.00063881i,-0.0011128-2.339e-06i,-0.0007474+0.0006225i,-0.00019039+0.0006115i,0.00029492+0.00017456i,0.00049536-0.00015369i,0.00071595+4.4135e-05i,0.0013145-0.00031383i,0.00073064-0.00075862i,0.00030486-0.0005857i,0.00037729+5.0606e-05i,-0.00015393+0.00029609i,-0.00080617+2.6007e-05i,-0.00057368-6.0122e-05i,0.00041663-0.00029283i,0.00092721-0.00044492i,0.0013241+0.00028928i,0.00095321+0.00038176i,0.00017317-0.00047955i,-0.00067621-0.00074634i
-0.0002437-0.0013061i,-0.0010951-0.00063136i,-0.000696-0.0004056i,-0.0005935-0.00081658i,-0.0013141-0.0017573i,-0.0014954-0.0010797i,-0.0017164+0.0002994i,-0.00078909+9.7206e-05i,0.00053629-0.00025998i,0.00076617-0.0003154i,0.00066899-0.00036437i,0.00047148-0.00014699i,0.00045845-0.00032514i,0.00023962-0.00052446i,-4.2153e-05-0.00068126i,0.00019815-0.00033605i,2.1462e-06+0.00030335i,-0.00052586+0.00028753i,-0.0005853+0.00088229i,-0.00016294+0.00086096i,0.00017854-0.00032014i,0.00067293-3.2888e-05i,0.00026734+0.00069514i
-0.00025478-0.0010762i,-0.0014641-0.0015884i,-0.0023464-0.0011094i,-0.0021799-0.00023127i,-0.0020534+0.00063713i,-0.0021037+0.001134i,-0.0014235+0.0014926i,-0.00098338+0.00093913i,-0.00098275-1.6054e-05i,-0.00069587-2.1112e-05i,-0.00031169-0.00017818i,0.00018512-0.00044024i,0.00021995-0.0004434i,-0.00049795-0.00030876i,-0.00086237-0.00041349i,-0.00071169-0.0003198i,8.6402e-05+5.5591e-05i,0.00071103+7.098e-05i,0.00050232+0.00064829i,1.2344e-05+0.00094904i,-7.5752e-05+0.00037498i,0.00024989+0.00049214i,-0.00035905+0.00066474i
0.00066179-0.00094786i,0.00015011-0.0012932i,0.00053254-0.0013937i,-0.0001653-0.0012823i,-0.00097539-0.00012259i,-0.000648+0.0012281i,-0.00012983+0.0012389i,0.00024049+0.0008687i,0.00036474+0.00047764i,7.0123e-05-0.00033761i,0.00012923-0.0012397i,-5.1949e-05-0.00087105i,-0.00047092-8.8388e-06i,-0.00087131+0.00016111i,-0.00112+0.00021103i,-0.00043106+0.00039843i,-0.00015771+1.4486e-06i,-0.00053515-0.00058874i,-0.00051388-0.00016761i,-5.5042e-05+0.0001666i,-0.00039565-0.0004674i,-0.0004253-0.00040722i,9.258e-05+0.00013832i
0.00052266+0.00022187i,-0.00037237+0.00040938i,-0.00093314+0.00022786i,-0.00055536-0.00082787i,-0.0012992-0.0012271i,-0.0023747-0.00089805i,-0.0012617-0.00031274i,-0.00033964-0.00020788i,-0.00013928-0.00056206i,0.0002191-0.000584i,0.00022756-0.00061188i,3.7833e-05-0.00024477i,0.00062342-0.00044088i,0.00071371-0.00064382i,0.00018965-0.00098184i,0.00022057-0.001385i,0.00026587-0.0011487i,-0.00021865-0.00073047i,-0.00071092-0.0007422i,-0.0009443-0.00034434i,-0.00050009-0.00013676i,-0.00042396-0.0003819i,-0.00070456-0.00077027i
