0.00059831+4.0684e-05i,0.0010591-0.00061485i,0.0007882-0.00060599i,-0.00032288-0.00094628i,-0.0023697-0.00035891i,-0.0030349+0.0010465i,-0.0018868+0.0015534i,-0.00061825+0.0013885i,0.0005661+0.0012989i,0.0015273+0.00029633i,0.0019011-0.0012989i,0.0011656-0.0015822i,-0.00024016-0.00077642i,-0.00048726-4.819e-05i,-0.00031866-0.00054265i,-0.0003052-0.00047661i,-0.0005964+0.00062618i,0.00010899+0.00095787i,0.00068222+0.0012172i,-0.00030841+0.0013176i,-0.0002796+0.00027889i,-0.00054563-0.0010598i,-0.00017715-0.0015303i
-0.0003425+0.0027278i,0.00084639+0.00082062i,0.0010688+0.00020064i,0.00069848+0.0011574i,0.000224+0.0014784i,-0.0006922+0.00053946i,-0.0016298+0.00053295i,-0.0017989+0.0019477i,-0.0010684+0.0016257i,-0.00019631+4.3533e-05i,-8.523e-06-0.00076913i,0.00011195-0.00023758i,0.00034946-7.6332e-05i,0.00078455-0.00079054i,0.00097057-0.0011454i,0.000604-0.00097638i,-0.00013996-0.00053499i,1.0442e-05+2.5123e-05i,0.00056686+5.4252e-05i,0.00065081-0.00024914i,0.00081325+0.00044492i,-0.00010256+0.00069094i,-0.00068002-0.00013836i
-0.0022181-0.0013685i,-0.0021492-0.0007321i,-0.001653+7.3507e-05i,-0.0010257-7.5518e-05i,-0.00070383+0.00021007i,-0.0012205+0.00033991i,-0.001205+0.00025799i,0.00017012+0.0010899i,0.00054175+0.0012302i,0.00017039+0.00077617i,2.5676e-05+0.00027556i,7.9811e-05-0.00054864i,0.00016863-0.00096136i,-0.00019958-0.0010597i,3.7414e-05+0.0006626i,0.00032084+0.0015821i,0.00077577+0.00025064i,0.00096705+0.0003632i,0.0010058+0.0012274i,0.0005253+0.0010841i,-0.00043214+0.0003327i,-0.00019137-0.00029466i,0.00043247+5.8667e-05i
0.0022728-0.0034112i,0.0012229-0.0034075i,-1.4024e-05-0.0030321i,-0.0018359-0.0021026i,-0.0031057-0.00098733i,-0.0028177+8.8567e-05i,-0.0016673-5.8004e-05i,-0.00014755+0.00018024i,0.00050289+0.00099675i,0.00068717+0.00032937i,0.00092276-0.00031964i,0.00031758-7.615e-05i,-0.00011647+0.0003313i,-0.00014434+0.00065717i,0.00010007-0.00034723i,0.0002397-0.00056695i,0.0001646-0.00015656i,0.00043777-9.9049e-05i,0.0008135+7.7662e-05i,0.00027647+0.00057221i,-5.4596e-05+0.00075535i,-0.00052065-0.00020346i,-0.00098122-0.00066642i
0.00076433-0.00072833i,0.00062381-0.001735i,0.00075158-0.0014436i,-0.00013529-0.00069111i,-0.00080557-0.00078842i,-0.00086943-0.00055361i,-0.0015303-2.857e-05i,-0.0013266+0.00013257i,-0.00027474+0.00043295i,0.00037984+0.00072946i,0.00043185+0.00032733i,0.00059479-0.0007067i,0.00080931-0.00090965i,0.00027659-0.00018546i,-0.00020952+0.00018193i,-0.00019052+0.00015864i,-3.6741e-07+0.0003942i,-0.0003958+0.00044901i,-0.00050165+1.4055e-05i,-0.00016443+0.00029101i,-0.00030707+0.00029047i,1.7974e-05-0.00035348i,-3.4604e-05-0.0005455i
-0.0014522+0.00098422i,-0.00067471+0.00021915i,-0.00016162-0.0003893i,0.00045087-0.00056989i,-0.00011173-0.00090796i,-0.0014789-0.00062949i,-0.0017203-8.1869e-05i,-0.00061933+0.000819i,0.00012472+0.0011133i,-0.00023054+0.00077156i,-0.0003802-0.00015771i,0.00026871-0.0012639i,0.0010437-0.0017412i,0.00066477-0.0018664i,0.0002147-0.0015135i,0.00032971-0.0010606i,0.00083894-0.00097703i,0.0010419-0.00056259i,0.00072272-0.00010055i,0.00038862+0.00021875i,-0.00012419+9.9973e-05i,-0.00025654-0.00058229i,-0.00020681-0.00032293i
0.00027674-0.00094055i,0.00091568-0.0014498i,0.00078574-0.0018109i,-6.7382e-05-0.0010792i,-0.0015232-0.00067744i,-0.0022263-0.00043687i,-0.0017428+0.0011458i,-0.00075977+0.0017628i,-6.6456e-06+0.0011984i,0.0009989+0.001065i,0.0013721+0.00068685i,-3.4442e-05+0.0004666i,-0.0002396+0.00012834i,0.00025513-0.00059505i,-0.00026625-0.00069628i,-0.00033535-0.00028288i,0.00025765+0.00067268i,0.00040195+0.0010006i,-6.2315e-05-3.9439e-05i,-0.00057624-0.00051838i,-0.00042124-0.00071944i,-0.00074092-0.00046662i,-0.00099019-0.00012145i
0.00038705-0.0015396i,0.00049323-0.0019806i,0.00063287-0.002158i,-9.2849e-05-0.0010249i,-0.001393-0.0004631i,-0.0014662-0.00022392i,-0.00054921-3.8045e-05i,-0.0001062+0.00050517i,-2.16e-05+0.0011156i,0.00027383+0.00049061i,0.00013459-4.855e-05i,-7.8108e-05+0.00025944i,3.918e-05-0.00051831i,0.00057748-0.00063692i,0.00037607-9.1517e-05i,6.7792e-06+0.00032134i,-0.00011678+0.00073958i,-1.687e-05+0.00059138i,0.00037301+0.00014487i,0.00039922-0.00013861i,-0.00016408-7.3074e-05i,-0.00057094+0.00031853i,-0.0004045+0.00062145i
-0.0010054+0.00060568i,-0.0003288+0.00050943i,-0.00067825-0.00034161i,-0.0015751+0.00030566i,-0.0025073+0.00044398i,-0.0015253-3.1087e-05i,-0.00074942-2.1062e-06i,-0.00057055+0.0006283i,-0.00019322+0.00109i,-2.4872e-05+0.00050324i,0.00014274+0.0005491i,0.00052633+0.0004918i,0.00035267-0.00018947i,0.00039281-0.00066449i,0.00074068-0.00074051i,0.00019038-0.00011563i,-0.0004156+0.00012592i,-0.00039121+4.3896e-05i,-0.00056342-0.00025744i,0.00014863-0.00089753i,0.00091795-0.0003962i,0.00057156+0.00050334i,-0.00028358+0.00061125i
-0.0020682-0.00033233i,-0.0012364+0.00014937i,-0.00042121+0.00016492i,-0.00065601-5.7007e-06i,-0.0011653+0.00026423i,-0.0018563+0.00062638i,-0.0013992+0.00074978i,-0.00042018+0.0011655i,3.1096e-05+0.00068231i,-6.5276e-06-0.00011758i,-0.00052427-7.9752e-05i,-0.0010242-0.00025051i,-0.00066905-0.00020646i,0.00051598+0.00031002i,0.00055595-5.6332e-05i,-0.00014955-0.00082005i,0.00019241-0.00072607i,0.00021473-0.00062534i,-0.000555+4.5597e-06i,-0.00062167-0.00011358i,-0.0010231-0.00064854i,-0.001617-0.00025716i,-0.0013952-5.5481e-05i
0.0016869-0.00076112i,0.0013894-0.00135i,0.0011988-0.00087329i,0.00040117-0.00046869i,-0.00030869-0.00065684i,-0.0009488-0.00039999i,-0.0014664+0.0011937i,-0.0010013+0.001688i,-0.00034016-3.5095e-05i,0.00012923-0.00089394i,0.00058738-0.00062511i,0.00039574+7.2215e-05i,0.00046483-6.5741e-06i,0.00033515-0.00068704i,0.00042977-0.00090076i,0.00030454-0.00078361i,0.00039107-0.00043397i,0.00087123-0.00016223i,0.0011305-0.00031118i,0.0012746-0.00014519i,0.001196+0.00035011i,0.00098514+0.00054541i,-3.2802e-05+0.00060912i
